,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,2,9,0.5062,0.51976,0.2087,0.21232,1.403921923828125,1.37430560546875,2.28011298828125,2.28049041015625
1,CIFAR10,feddyn,0,0,100,0.01,2,19,0.5797,0.60106,0.339,0.34264,1.292963232421875,1.2133753125,2.2438056640625,2.243653505859375
2,CIFAR10,feddyn,0,0,100,0.01,2,29,0.5881,0.60176,0.347,0.35376,1.513918798828125,1.4261949072265625,2.1706595703125,2.169682958984375
3,CIFAR10,feddyn,0,0,100,0.01,2,39,0.6031,0.619,0.4089,0.41844,1.34008583984375,1.2551473291015625,2.04730869140625,2.04414978515625
4,CIFAR10,feddyn,0,0,100,0.01,2,49,0.6294,0.6572,0.4422,0.45424,1.45097919921875,1.315676279296875,1.96582646484375,1.9603108544921874
5,CIFAR10,feddyn,0,0,100,0.01,2,59,0.626,0.649,0.5301,0.5425,1.368618603515625,1.228583291015625,1.74804228515625,1.7359118408203125
6,CIFAR10,feddyn,0,0,100,0.01,2,69,0.6687,0.70322,0.6021,0.62458,1.18293037109375,1.0272078076171876,1.460480078125,1.43598892578125
7,CIFAR10,feddyn,0,0,100,0.01,2,79,0.7111,0.75312,0.6358,0.66356,0.97053447265625,0.8040528051757813,1.313486865234375,1.277970791015625
8,CIFAR10,feddyn,0,0,100,0.01,2,89,0.6917,0.73528,0.6607,0.69672,1.08362587890625,0.9023738232421875,1.194053515625,1.1464861669921875
9,CIFAR10,feddyn,0,0,100,0.01,2,99,0.739,0.7905,0.6899,0.72954,0.91464013671875,0.6970001782226563,1.06664140625,1.0038955224609376
10,CIFAR10,feddyn,0,0,100,0.01,2,109,0.6969,0.73874,0.7121,0.75534,1.123663134765625,0.9156080981445313,0.9479054931640625,0.8685130859375
11,CIFAR10,feddyn,0,0,100,0.01,2,119,0.7302,0.7794,0.7372,0.78264,0.9454340576171875,0.7262824438476563,0.81740859375,0.7121720654296875
12,CIFAR10,feddyn,0,0,100,0.01,2,129,0.7456,0.79988,0.7503,0.8001,0.8511427490234375,0.6476523596191406,0.755243115234375,0.6302424658203125
13,CIFAR10,feddyn,0,0,100,0.01,2,139,0.7082,0.74734,0.7584,0.81132,1.035927197265625,0.84944939453125,0.7229385498046875,0.5835590112304687
14,CIFAR10,feddyn,0,0,100,0.01,2,149,0.7133,0.7622,0.7627,0.81608,1.0201782470703125,0.7998059228515625,0.710515625,0.5694137329101563
15,CIFAR10,feddyn,0,0,100,0.01,2,159,0.7087,0.74922,0.7714,0.8276,1.056056396484375,0.8573523608398438,0.6836753173828125,0.51972208984375
