,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,2,9,0.4683,0.47744,0.1667,0.1663,1.469366064453125,1.457729609375,2.277067578125,2.27711615234375
1,CIFAR10,feddyn,0,0,100,0.01,2,19,0.5679,0.57522,0.2918,0.28892,1.289104052734375,1.24119375,2.235871875,2.23607255859375
2,CIFAR10,feddyn,0,0,100,0.01,2,29,0.5637,0.5817,0.422,0.42568,1.4619794921875,1.3929252734375,2.15499541015625,2.15474705078125
3,CIFAR10,feddyn,0,0,100,0.01,2,39,0.6113,0.6257,0.4917,0.4945,1.22251513671875,1.167984736328125,2.030168212890625,2.02855921875
4,CIFAR10,feddyn,0,0,100,0.01,2,49,0.6432,0.65862,0.5101,0.51328,1.224349658203125,1.13569546875,1.954014697265625,1.9504063330078125
5,CIFAR10,feddyn,0,0,100,0.01,2,59,0.6307,0.65344,0.5629,0.57238,1.274385986328125,1.1596490380859374,1.74193955078125,1.73241177734375
6,CIFAR10,feddyn,0,0,100,0.01,2,69,0.6633,0.68994,0.6178,0.6336,1.16034267578125,1.0276811596679687,1.473880322265625,1.45353669921875
7,CIFAR10,feddyn,0,0,100,0.01,2,79,0.7029,0.73874,0.6439,0.66728,0.979899853515625,0.8288570483398437,1.325530712890625,1.2952572265625
8,CIFAR10,feddyn,0,0,100,0.01,2,89,0.674,0.70852,0.6642,0.69136,1.16652451171875,1.0022672973632814,1.2137123046875,1.1728794287109374
9,CIFAR10,feddyn,0,0,100,0.01,2,99,0.7309,0.7785,0.6868,0.72078,0.9005566162109375,0.7023719458007812,1.09932626953125,1.0455082470703125
10,CIFAR10,feddyn,0,0,100,0.01,2,109,0.6741,0.7207,0.706,0.74312,1.2352875,1.0218584814453124,0.986052490234375,0.9179715454101562
11,CIFAR10,feddyn,0,0,100,0.01,2,119,0.7206,0.76314,0.7304,0.77044,0.9640078369140626,0.7871223046875,0.85314423828125,0.7632459643554688
12,CIFAR10,feddyn,0,0,100,0.01,2,129,0.7401,0.7818,0.7444,0.7879,0.9144077880859375,0.7121411962890625,0.782795361328125,0.6759226318359375
13,CIFAR10,feddyn,0,0,100,0.01,2,139,0.688,0.72896,0.7542,0.79876,1.107957568359375,0.9136735595703125,0.7483322998046875,0.627959169921875
14,CIFAR10,feddyn,0,0,100,0.01,2,149,0.6977,0.74472,0.7561,0.804,1.100800244140625,0.8848839135742187,0.7369303955078125,0.611906279296875
15,CIFAR10,feddyn,0,0,100,0.01,2,159,0.7066,0.74864,0.7651,0.81508,1.050558349609375,0.8472589526367188,0.7049541748046875,0.5584045971679688
16,CIFAR10,feddyn,0,0,100,0.01,2,169,0.6973,0.73986,0.7699,0.82234,1.00105224609375,0.82680162109375,0.692114892578125,0.5336902465820312
17,CIFAR10,feddyn,0,0,100,0.01,2,179,0.7063,0.74986,0.7762,0.82858,1.049443603515625,0.8387340454101563,0.688151025390625,0.5136046228027343
18,CIFAR10,feddyn,0,0,100,0.01,2,189,0.7466,0.79466,0.7777,0.83214,0.9008757568359375,0.6742813549804687,0.6823193359375,0.5014539538574219
19,CIFAR10,feddyn,0,0,100,0.01,2,199,0.7233,0.77028,0.7828,0.83848,1.00487412109375,0.7742044750976562,0.6755128173828125,0.4836477648925781
20,CIFAR10,feddyn,0,0,100,0.01,2,209,0.7175,0.7643,0.7829,0.84302,0.98138544921875,0.7769637109375,0.669015966796875,0.47028807373046877
21,CIFAR10,feddyn,0,0,100,0.01,2,219,0.7218,0.76936,0.7841,0.8464,0.9615147216796875,0.7406457836914062,0.6665508544921875,0.45697914794921873
22,CIFAR10,feddyn,0,0,100,0.01,2,229,0.7305,0.78544,0.7868,0.85044,0.9183813232421875,0.6767328491210938,0.666834423828125,0.44811312377929685
23,CIFAR10,feddyn,0,0,100,0.01,2,239,0.7641,0.82096,0.7922,0.85638,0.821140478515625,0.5709553295898437,0.660437744140625,0.43203946533203125
24,CIFAR10,feddyn,0,0,100,0.01,2,249,0.7575,0.82204,0.7921,0.86028,0.822311328125,0.55451408203125,0.6545626708984374,0.4179273571777344
25,CIFAR10,feddyn,0,0,100,0.01,2,259,0.695,0.74364,0.7936,0.8622,1.067354833984375,0.8513395190429688,0.652442919921875,0.41177736328125
26,CIFAR10,feddyn,0,0,100,0.01,2,269,0.7539,0.80772,0.7962,0.86522,0.864524609375,0.6290406640625,0.6469609130859375,0.4024220495605469
27,CIFAR10,feddyn,0,0,100,0.01,2,279,0.7634,0.82236,0.7959,0.86732,0.7912256103515625,0.55673396484375,0.65069208984375,0.39887684326171874
28,CIFAR10,feddyn,0,0,100,0.01,2,289,0.7437,0.79156,0.7994,0.86848,0.952614892578125,0.7115562036132812,0.6451697998046875,0.39183218505859374
29,CIFAR10,feddyn,0,0,100,0.01,2,299,0.7422,0.79154,0.7995,0.86992,0.9422326904296875,0.6998089208984375,0.6394135009765625,0.38637692993164063
30,CIFAR10,feddyn,0,0,100,0.01,2,309,0.7253,0.7758,0.7994,0.87068,0.924932275390625,0.7155565844726562,0.6346223388671876,0.38464948608398436
31,CIFAR10,feddyn,0,0,100,0.01,2,319,0.7732,0.82702,0.8029,0.87254,0.760660693359375,0.5416392333984374,0.6273321044921875,0.38086508178710937
32,CIFAR10,feddyn,0,0,100,0.01,2,329,0.7392,0.78104,0.8014,0.87334,0.877366357421875,0.6846122412109376,0.624449365234375,0.38022083251953126
33,CIFAR10,feddyn,0,0,100,0.01,2,339,0.764,0.81336,0.8047,0.874,0.830822998046875,0.5955669897460938,0.6191846435546875,0.37750417236328127
34,CIFAR10,feddyn,0,0,100,0.01,2,349,0.7437,0.79324,0.8059,0.87514,0.877729638671875,0.6689931713867188,0.613821044921875,0.37539915283203124
35,CIFAR10,feddyn,0,0,100,0.01,2,359,0.7433,0.79094,0.8063,0.87554,0.86450810546875,0.6650280029296874,0.607259423828125,0.3737432531738281
36,CIFAR10,feddyn,0,0,100,0.01,2,369,0.7376,0.78598,0.8077,0.8763,0.917704638671875,0.6971009619140625,0.6028517333984375,0.37061220336914064
37,CIFAR10,feddyn,0,0,100,0.01,2,379,0.7122,0.7567,0.8095,0.87704,1.043970751953125,0.8309170849609375,0.600522412109375,0.3678438671875
38,CIFAR10,feddyn,0,0,100,0.01,2,389,0.7296,0.77454,0.811,0.87748,1.002506787109375,0.785761162109375,0.5965074462890625,0.36813959716796874
39,CIFAR10,feddyn,0,0,100,0.01,2,399,0.7731,0.83476,0.8139,0.87772,0.7473509765625,0.5174488842773437,0.5921248291015625,0.36697329223632813
40,CIFAR10,feddyn,0,0,100,0.01,2,409,0.7755,0.83246,0.8151,0.87956,0.7658562744140625,0.5357969616699219,0.590287744140625,0.36469954345703126
41,CIFAR10,feddyn,0,0,100,0.01,2,419,0.7286,0.77678,0.8165,0.87996,0.9903741943359375,0.7589994287109375,0.587259912109375,0.36362868896484374
42,CIFAR10,feddyn,0,0,100,0.01,2,429,0.7741,0.819,0.8149,0.88038,0.7862013671875,0.579204609375,0.58601025390625,0.3629515612792969
43,CIFAR10,feddyn,0,0,100,0.01,2,439,0.7644,0.8107,0.8157,0.88138,0.8771986083984376,0.6472482678222656,0.5827921875,0.36068503662109375
44,CIFAR10,feddyn,0,0,100,0.01,2,449,0.735,0.78598,0.8162,0.8822,0.969511083984375,0.721738515625,0.579981640625,0.3602401354980469
45,CIFAR10,feddyn,0,0,100,0.01,2,459,0.777,0.83252,0.8182,0.88254,0.7908628662109375,0.5398749487304687,0.572909130859375,0.3586197912597656
46,CIFAR10,feddyn,0,0,100,0.01,2,469,0.7449,0.7879,0.8202,0.88416,0.9539239990234375,0.7247911596679687,0.5720127197265625,0.35572289428710935
47,CIFAR10,feddyn,0,0,100,0.01,2,479,0.7595,0.80938,0.8218,0.88456,0.84553232421875,0.62077146484375,0.5711044189453125,0.3552558203125
48,CIFAR10,feddyn,0,0,100,0.01,2,489,0.7358,0.7797,0.8226,0.88358,0.920536865234375,0.7238461059570312,0.5706601318359374,0.35716164794921873
49,CIFAR10,feddyn,0,0,100,0.01,2,499,0.7797,0.83578,0.8216,0.88292,0.7367117431640625,0.5205005694580078,0.568573779296875,0.35750886779785157
50,CIFAR10,feddyn,0,0,100,0.01,2,509,0.7593,0.8082,0.8211,0.8833,0.8209507568359375,0.6131567980957031,0.5693259521484375,0.35715601989746093
51,CIFAR10,feddyn,0,0,100,0.01,2,519,0.7056,0.75748,0.8219,0.88356,0.9989836181640624,0.786279638671875,0.568739306640625,0.3570582159423828
52,CIFAR10,feddyn,0,0,100,0.01,2,529,0.7664,0.82624,0.8206,0.88346,0.7866517578125,0.5529664953613281,0.5689844970703125,0.3582565277099609
53,CIFAR10,feddyn,0,0,100,0.01,2,539,0.7794,0.83182,0.8231,0.88356,0.722575634765625,0.5226404455566406,0.5706629638671875,0.3575471197509766
54,CIFAR10,feddyn,0,0,100,0.01,2,549,0.7372,0.79064,0.8243,0.88258,0.9593923095703125,0.7005466259765625,0.5696502685546875,0.35689219787597654
55,CIFAR10,feddyn,0,0,100,0.01,2,559,0.777,0.83104,0.823,0.88298,0.777497607421875,0.5384991296386719,0.5683813232421875,0.35536721069335936
56,CIFAR10,feddyn,0,0,100,0.01,2,569,0.7398,0.79332,0.8227,0.8834,0.8854035400390625,0.658644873046875,0.5702753173828125,0.3542436212158203
57,CIFAR10,feddyn,0,0,100,0.01,2,579,0.7812,0.8321,0.8233,0.8841,0.7804828125,0.5456871435546875,0.5704560302734375,0.35277433471679687
58,CIFAR10,feddyn,0,0,100,0.01,2,589,0.7434,0.7906,0.8249,0.88502,0.9328207763671875,0.6998060229492188,0.5699843017578125,0.3488018310546875
59,CIFAR10,feddyn,0,0,100,0.01,2,599,0.7257,0.7696,0.8258,0.88568,1.00643671875,0.7791636499023438,0.567804833984375,0.3469809399414063
60,CIFAR10,feddyn,0,0,100,0.01,2,609,0.7403,0.7885,0.8234,0.88518,0.8816453369140625,0.6677175219726562,0.5696829833984375,0.34707481384277344
61,CIFAR10,feddyn,0,0,100,0.01,2,619,0.7411,0.78256,0.8231,0.88492,0.8744413818359374,0.6833513671875,0.572900146484375,0.3477255236816406
62,CIFAR10,feddyn,0,0,100,0.01,2,629,0.7378,0.78904,0.8218,0.88538,0.9388931396484375,0.710573681640625,0.5716866455078125,0.3479543054199219
63,CIFAR10,feddyn,0,0,100,0.01,2,639,0.7547,0.80262,0.8233,0.88516,0.925987255859375,0.6785460278320312,0.5713137939453125,0.34816700317382815
64,CIFAR10,feddyn,0,0,100,0.01,2,649,0.7391,0.7827,0.8227,0.8851,0.9456068359375,0.7290966381835937,0.5728542236328125,0.34809826538085936
65,CIFAR10,feddyn,0,0,100,0.01,2,659,0.775,0.82528,0.8223,0.88368,0.77180498046875,0.5566011938476563,0.57128671875,0.3504017053222656
66,CIFAR10,feddyn,0,0,100,0.01,2,669,0.765,0.8199,0.8226,0.8839,0.787795458984375,0.5633690209960938,0.5723594482421875,0.349473798828125
67,CIFAR10,feddyn,0,0,100,0.01,2,679,0.7368,0.77592,0.8198,0.88384,0.958968310546875,0.7481185083007813,0.5737105224609375,0.352277255859375
68,CIFAR10,feddyn,0,0,100,0.01,2,689,0.7728,0.82624,0.8189,0.88398,0.7454815673828125,0.5316523901367187,0.571623095703125,0.3550565393066406
69,CIFAR10,feddyn,0,0,100,0.01,2,699,0.7319,0.7836,0.8194,0.8823,0.9628785888671875,0.7299043359375,0.5711492919921874,0.3566795483398438
70,CIFAR10,feddyn,0,0,100,0.01,2,709,0.7607,0.80742,0.8185,0.88126,0.8355934326171875,0.6264074096679687,0.57055537109375,0.3577225537109375
71,CIFAR10,feddyn,0,0,100,0.01,2,719,0.7325,0.7791,0.8187,0.88096,0.9360419677734375,0.7301797680664063,0.5695304931640625,0.3563113671875
72,CIFAR10,feddyn,0,0,100,0.01,2,729,0.7423,0.78924,0.8194,0.88122,0.90865341796875,0.6935003247070313,0.5679245361328125,0.35578678466796876
73,CIFAR10,feddyn,0,0,100,0.01,2,739,0.7495,0.79692,0.8192,0.8814,0.8620086181640625,0.6607603784179688,0.5680353271484375,0.356062021484375
74,CIFAR10,feddyn,0,0,100,0.01,2,749,0.7566,0.8008,0.8185,0.88176,0.8679040771484375,0.6514394018554688,0.5668899169921875,0.3561916711425781
75,CIFAR10,feddyn,0,0,100,0.01,2,759,0.7351,0.78324,0.8204,0.88162,0.9365531494140625,0.7131713037109375,0.563470703125,0.35576729858398437
76,CIFAR10,feddyn,0,0,100,0.01,2,769,0.764,0.81684,0.8216,0.88162,0.858003759765625,0.6096737353515626,0.5629837890625,0.35398121337890626
77,CIFAR10,feddyn,0,0,100,0.01,2,779,0.7332,0.78088,0.8234,0.88234,0.9370782470703125,0.7138978564453125,0.5616275146484375,0.35267459594726563
78,CIFAR10,feddyn,0,0,100,0.01,2,789,0.7495,0.79558,0.8242,0.8831,0.865852685546875,0.6632163500976562,0.558976513671875,0.3504114025878906
79,CIFAR10,feddyn,0,0,100,0.01,2,799,0.7355,0.77498,0.8245,0.88296,0.939428564453125,0.7359909521484375,0.5576973388671875,0.35033726440429686
80,CIFAR10,feddyn,0,0,100,0.01,2,809,0.7437,0.7898,0.8256,0.8832,0.9209822021484375,0.707847216796875,0.55993427734375,0.35023046020507814
81,CIFAR10,feddyn,0,0,100,0.01,2,819,0.755,0.80222,0.8231,0.88444,0.86961025390625,0.64580669921875,0.5631292724609375,0.34732311645507813
82,CIFAR10,feddyn,0,0,100,0.01,2,829,0.7639,0.8128,0.821,0.88362,0.7781876953125,0.585660029296875,0.5642198486328125,0.3485240869140625
83,CIFAR10,feddyn,0,0,100,0.01,2,839,0.7798,0.83696,0.8226,0.88384,0.7287558837890625,0.5132175329589844,0.56344892578125,0.3496018676757813
84,CIFAR10,feddyn,0,0,100,0.01,2,849,0.697,0.73622,0.8221,0.88394,1.07838837890625,0.8806640795898437,0.5622984375,0.34963538330078126
85,CIFAR10,feddyn,0,0,100,0.01,2,859,0.7361,0.78104,0.8216,0.88436,0.9344243896484375,0.718522529296875,0.56101015625,0.34750443359375
86,CIFAR10,feddyn,0,0,100,0.01,2,869,0.7773,0.83366,0.8208,0.88584,0.7681751708984375,0.5272725854492187,0.5581900146484375,0.3456033215332031
87,CIFAR10,feddyn,0,0,100,0.01,2,879,0.7865,0.84286,0.8227,0.887,0.7493281005859375,0.5043236376953125,0.556342236328125,0.343081806640625
88,CIFAR10,feddyn,0,0,100,0.01,2,889,0.7441,0.79608,0.822,0.88892,0.9386130859375,0.6677009106445313,0.5585397216796875,0.3372046423339844
89,CIFAR10,feddyn,0,0,100,0.01,2,899,0.7473,0.8007,0.8205,0.8891,0.85221953125,0.6300368481445312,0.5583170654296875,0.33616515625
90,CIFAR10,feddyn,0,0,100,0.01,2,909,0.752,0.80328,0.8205,0.88914,0.8650810791015625,0.6446271923828125,0.5568244873046875,0.3363782189941406
91,CIFAR10,feddyn,0,0,100,0.01,2,919,0.7257,0.77518,0.8208,0.8886,0.9976615966796875,0.755797548828125,0.558083984375,0.3372032568359375
92,CIFAR10,feddyn,0,0,100,0.01,2,929,0.7814,0.8401,0.8219,0.88864,0.7534138671875,0.512146484375,0.557248193359375,0.33679395629882813
93,CIFAR10,feddyn,0,0,100,0.01,2,939,0.7356,0.79026,0.8211,0.88962,0.9387421630859375,0.6796383349609375,0.556194873046875,0.33381523681640624
94,CIFAR10,feddyn,0,0,100,0.01,2,949,0.7747,0.83896,0.823,0.89046,0.750141845703125,0.49950738037109377,0.5573913818359375,0.3315739538574219
95,CIFAR10,feddyn,0,0,100,0.01,2,959,0.7801,0.83488,0.8233,0.8906,0.7468203125,0.5073303503417969,0.5604208251953126,0.32951372680664065
96,CIFAR10,feddyn,0,0,100,0.01,2,969,0.7876,0.85234,0.8256,0.89072,0.699440576171875,0.4556679724121094,0.5596238525390625,0.32839574829101564
97,CIFAR10,feddyn,0,0,100,0.01,2,979,0.7744,0.83706,0.8241,0.89072,0.768485498046875,0.5187536376953125,0.561191796875,0.32816903686523435
98,CIFAR10,feddyn,0,0,100,0.01,2,989,0.747,0.80088,0.8233,0.89044,0.8449802001953125,0.6257839770507813,0.5586708740234375,0.3288500866699219
99,CIFAR10,feddyn,0,0,100,0.01,2,999,0.7336,0.78246,0.8232,0.89014,0.919842724609375,0.704197705078125,0.557533935546875,0.329457529296875
