,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,2,9,0.382,0.37986,0.152,0.14874,2.11522529296875,2.105251689453125,2.2796724609375,2.2797137890625
1,CIFAR10,feddyn,0,0.3,100,0.01,2,19,0.4371,0.44222,0.2618,0.26454,2.16113125,2.1032842578125,2.23674755859375,2.2366175390625
2,CIFAR10,feddyn,0,0.3,100,0.01,2,29,0.2635,0.26862,0.337,0.33436,3.76713193359375,3.715508828125,2.16460927734375,2.164144453125
3,CIFAR10,feddyn,0,0.3,100,0.01,2,39,0.4535,0.47008,0.4136,0.41614,2.39917392578125,2.29272986328125,2.05564736328125,2.053461630859375
4,CIFAR10,feddyn,0,0.3,100,0.01,2,49,0.4556,0.47368,0.4418,0.44732,2.38115546875,2.2524311328125,1.990113916015625,1.98526533203125
5,CIFAR10,feddyn,0,0.3,100,0.01,2,59,0.4617,0.47374,0.5151,0.52548,2.84478759765625,2.716608662109375,1.804233203125,1.792758134765625
6,CIFAR10,feddyn,0,0.3,100,0.01,2,69,0.4417,0.45822,0.572,0.5872,2.554071484375,2.45513033203125,1.5645189453125,1.5420678564453125
7,CIFAR10,feddyn,0,0.3,100,0.01,2,79,0.6617,0.6932,0.6025,0.62342,1.146266259765625,1.006765654296875,1.430757861328125,1.3987660205078125
8,CIFAR10,feddyn,0,0.3,100,0.01,2,89,0.523,0.54556,0.6177,0.64586,2.1915595703125,2.0116670458984376,1.325533740234375,1.2845152197265626
9,CIFAR10,feddyn,0,0.3,100,0.01,2,99,0.6685,0.70722,0.6483,0.6794,1.127369677734375,0.9502338134765625,1.2098359375,1.1581911181640625
10,CIFAR10,feddyn,0,0.3,100,0.01,2,109,0.6041,0.63112,0.672,0.70364,1.7063298828125,1.544428740234375,1.095391845703125,1.0308345166015624
11,CIFAR10,feddyn,0,0.3,100,0.01,2,119,0.6271,0.65414,0.696,0.7328,1.438083056640625,1.2836792822265626,0.9541449951171875,0.8691147973632812
12,CIFAR10,feddyn,0,0.3,100,0.01,2,129,0.6513,0.68606,0.7109,0.7519,1.26882119140625,1.09097271484375,0.8777916748046874,0.77670451171875
13,CIFAR10,feddyn,0,0.3,100,0.01,2,139,0.3963,0.42042,0.7195,0.76496,3.0269234375,2.808671806640625,0.8364390869140625,0.723198876953125
14,CIFAR10,feddyn,0,0.3,100,0.01,2,149,0.4762,0.49182,0.7231,0.77048,2.65440927734375,2.50320830078125,0.8285402099609375,0.71088939453125
15,CIFAR10,feddyn,0,0.3,100,0.01,2,159,0.6677,0.70254,0.7327,0.78184,1.230875341796875,1.049306982421875,0.7890096435546875,0.6523445776367187
16,CIFAR10,feddyn,0,0.3,100,0.01,2,169,0.5006,0.5197,0.7362,0.78932,2.8150796875,2.659424111328125,0.770713037109375,0.6245997338867187
17,CIFAR10,feddyn,0,0.3,100,0.01,2,179,0.5244,0.54278,0.7433,0.79678,2.44920302734375,2.238183974609375,0.7581240234375,0.599772275390625
18,CIFAR10,feddyn,0,0.3,100,0.01,2,189,0.6542,0.69674,0.7446,0.8013,1.225307568359375,1.0293885888671874,0.7487006591796875,0.5890546630859375
19,CIFAR10,feddyn,0,0.3,100,0.01,2,199,0.6555,0.6867,0.7481,0.80752,1.230862744140625,1.06909994140625,0.7367137451171875,0.5710003686523437
20,CIFAR10,feddyn,0,0.3,100,0.01,2,209,0.5412,0.56548,0.7507,0.81008,2.19794443359375,2.015746728515625,0.72712216796875,0.5606378588867188
21,CIFAR10,feddyn,0,0.3,100,0.01,2,219,0.5151,0.5349,0.7553,0.81272,2.15824443359375,1.95424107421875,0.7171125,0.5495821875
22,CIFAR10,feddyn,0,0.3,100,0.01,2,229,0.5281,0.54632,0.7599,0.81732,2.30341689453125,2.1040911572265624,0.7070193603515625,0.537666787109375
23,CIFAR10,feddyn,0,0.3,100,0.01,2,239,0.6672,0.70678,0.7657,0.8226,1.162407080078125,0.9669052197265625,0.68892333984375,0.5209886645507813
24,CIFAR10,feddyn,0,0.3,100,0.01,2,249,0.6927,0.72844,0.7718,0.82758,1.040172021484375,0.860800166015625,0.6766055419921875,0.5079174389648438
