,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,3,9,0.3765,0.38104,0.199,0.1954,2.1808779296875,2.15768234375,2.28016005859375,2.28073685546875
1,CIFAR10,feddyn,0,0.3,100,0.01,3,19,0.4774,0.4896,0.2786,0.27636,1.635434765625,1.5894778759765624,2.22802060546875,2.228824140625
2,CIFAR10,feddyn,0,0.3,100,0.01,3,29,0.3555,0.3606,0.3603,0.3633,3.16511806640625,3.126870625,2.1036591796875,2.103629326171875
3,CIFAR10,feddyn,0,0.3,100,0.01,3,39,0.3802,0.3872,0.4025,0.40784,3.13992802734375,3.059793427734375,2.02254970703125,2.020379873046875
4,CIFAR10,feddyn,0,0.3,100,0.01,3,49,0.5535,0.58498,0.4545,0.46536,1.50348955078125,1.377398544921875,1.90774794921875,1.90185365234375
5,CIFAR10,feddyn,0,0.3,100,0.01,3,59,0.4593,0.47532,0.5216,0.53608,2.8171189453125,2.67822861328125,1.72842763671875,1.715418115234375
6,CIFAR10,feddyn,0,0.3,100,0.01,3,69,0.4762,0.49282,0.5619,0.5851,2.81628330078125,2.64297529296875,1.565207861328125,1.5429231103515626
7,CIFAR10,feddyn,0,0.3,100,0.01,3,79,0.5089,0.5308,0.5988,0.62446,2.010618359375,1.874821943359375,1.41604453125,1.381737119140625
8,CIFAR10,feddyn,0,0.3,100,0.01,3,89,0.5574,0.58506,0.6285,0.66588,1.945001318359375,1.7501991650390625,1.243030126953125,1.1916644140625
9,CIFAR10,feddyn,0,0.3,100,0.01,3,99,0.6003,0.63432,0.6596,0.70008,1.4660625,1.298877373046875,1.090015625,1.0178004345703124
10,CIFAR10,feddyn,0,0.3,100,0.01,3,109,0.6298,0.66346,0.6789,0.7248,1.272632080078125,1.098911474609375,0.9800691162109375,0.8867936083984375
11,CIFAR10,feddyn,0,0.3,100,0.01,3,119,0.523,0.54088,0.697,0.74666,2.47982705078125,2.290146220703125,0.896049072265625,0.7821362451171875
12,CIFAR10,feddyn,0,0.3,100,0.01,3,129,0.5038,0.51752,0.7054,0.75862,2.47037080078125,2.3052973486328123,0.856360986328125,0.730996416015625
13,CIFAR10,feddyn,0,0.3,100,0.01,3,139,0.5832,0.61834,0.7125,0.7652,1.79292119140625,1.5688994970703125,0.840211767578125,0.7091374487304688
14,CIFAR10,feddyn,0,0.3,100,0.01,3,149,0.5587,0.58218,0.7225,0.77448,1.790708984375,1.6220565966796876,0.809793017578125,0.6684272973632812
15,CIFAR10,feddyn,0,0.3,100,0.01,3,159,0.6898,0.74186,0.728,0.78176,1.0125583740234374,0.8148161474609374,0.791764013671875,0.6420648974609375
16,CIFAR10,feddyn,0,0.3,100,0.01,3,169,0.5508,0.58388,0.7349,0.78914,1.87217978515625,1.66935458984375,0.7764796875,0.6210377685546875
17,CIFAR10,feddyn,0,0.3,100,0.01,3,179,0.7149,0.75938,0.7419,0.79842,0.9480959716796875,0.7506147827148437,0.7537749755859375,0.5905172387695312
18,CIFAR10,feddyn,0,0.3,100,0.01,3,189,0.6795,0.72166,0.7456,0.80352,1.0705521484375,0.888959248046875,0.7442273681640625,0.575756484375
19,CIFAR10,feddyn,0,0.3,100,0.01,3,199,0.72,0.76638,0.7488,0.80632,0.92931708984375,0.73120787109375,0.7348807373046875,0.5667769458007812
20,CIFAR10,feddyn,0,0.3,100,0.01,3,209,0.5612,0.5903,0.752,0.81256,1.85018203125,1.6480030908203125,0.7231293212890625,0.5436785668945312
21,CIFAR10,feddyn,0,0.3,100,0.01,3,219,0.6617,0.69738,0.7594,0.81578,1.290946826171875,1.0897618481445313,0.7170521484375,0.5340177490234375
22,CIFAR10,feddyn,0,0.3,100,0.01,3,229,0.6212,0.64694,0.7614,0.81892,1.460634375,1.3099392724609376,0.7122310546875,0.5288805029296875
23,CIFAR10,feddyn,0,0.3,100,0.01,3,239,0.6496,0.69166,0.7639,0.8199,1.1866203125,1.005348173828125,0.7080855224609375,0.5266675463867188
24,CIFAR10,feddyn,0,0.3,100,0.01,3,249,0.6835,0.71788,0.765,0.82232,1.154356640625,0.9706386572265625,0.7025789794921875,0.5244164733886719
25,CIFAR10,feddyn,0,0.3,100,0.01,3,259,0.5656,0.5974,0.77,0.8245,1.8563306640625,1.64513171875,0.69380068359375,0.5166146789550782
26,CIFAR10,feddyn,0,0.3,100,0.01,3,269,0.7002,0.73516,0.7735,0.82726,1.065133203125,0.8796588427734375,0.68519580078125,0.5075403857421875
27,CIFAR10,feddyn,0,0.3,100,0.01,3,279,0.6124,0.65106,0.7725,0.82764,1.50391748046875,1.32314826171875,0.6805006103515625,0.5056296435546875
28,CIFAR10,feddyn,0,0.3,100,0.01,3,289,0.5228,0.5489,0.7741,0.82958,2.21412890625,2.010559482421875,0.6747101318359375,0.5013502807617187
29,CIFAR10,feddyn,0,0.3,100,0.01,3,299,0.6575,0.68826,0.7748,0.83192,1.36456201171875,1.176195078125,0.671849267578125,0.4978493017578125
30,CIFAR10,feddyn,0,0.3,100,0.01,3,309,0.561,0.58348,0.7786,0.8324,1.981467431640625,1.79033033203125,0.6681063232421875,0.49624631103515626
31,CIFAR10,feddyn,0,0.3,100,0.01,3,319,0.539,0.56784,0.7821,0.83578,1.888938623046875,1.655512265625,0.66066845703125,0.4862597607421875
32,CIFAR10,feddyn,0,0.3,100,0.01,3,329,0.6949,0.73652,0.7827,0.83758,0.9970906982421875,0.836998583984375,0.6558388916015625,0.48201679931640623
33,CIFAR10,feddyn,0,0.3,100,0.01,3,339,0.6897,0.73392,0.7871,0.84054,1.053933984375,0.8627588818359375,0.646878662109375,0.47069805297851564
34,CIFAR10,feddyn,0,0.3,100,0.01,3,349,0.7125,0.75474,0.7893,0.84104,0.9571495849609375,0.7794686865234375,0.641060791015625,0.469580703125
35,CIFAR10,feddyn,0,0.3,100,0.01,3,359,0.6701,0.7163,0.7885,0.843,1.1444998046875,0.951415400390625,0.637171337890625,0.46670440673828123
36,CIFAR10,feddyn,0,0.3,100,0.01,3,369,0.7112,0.75416,0.7894,0.84262,0.9846743408203125,0.7989826733398437,0.6352416015625,0.4673823046875
37,CIFAR10,feddyn,0,0.3,100,0.01,3,379,0.5528,0.58006,0.7938,0.84364,1.9552455078125,1.7350464453125,0.63204443359375,0.46573212890625
38,CIFAR10,feddyn,0,0.3,100,0.01,3,389,0.5438,0.5735,0.794,0.84452,1.962444580078125,1.7709380615234376,0.6307363525390625,0.46301038330078126
39,CIFAR10,feddyn,0,0.3,100,0.01,3,399,0.5886,0.61724,0.7936,0.8455,1.935250244140625,1.6869968701171876,0.629814404296875,0.46170712158203125
40,CIFAR10,feddyn,0,0.3,100,0.01,3,409,0.681,0.72354,0.7948,0.84668,1.0746419921875,0.8692609521484375,0.627896728515625,0.457698818359375
41,CIFAR10,feddyn,0,0.3,100,0.01,3,419,0.6282,0.66096,0.7958,0.84824,1.48864375,1.2740476953125,0.627507421875,0.4551816552734375
42,CIFAR10,feddyn,0,0.3,100,0.01,3,429,0.6296,0.66382,0.7952,0.84856,1.598118212890625,1.382234140625,0.6277146484375,0.45537150024414064
43,CIFAR10,feddyn,0,0.3,100,0.01,3,439,0.6677,0.71026,0.7962,0.84858,1.1468822265625,0.947722705078125,0.6285875,0.45455308227539065
44,CIFAR10,feddyn,0,0.3,100,0.01,3,449,0.7077,0.74968,0.7968,0.84882,0.9245003173828125,0.7559844750976562,0.626871240234375,0.454113037109375
45,CIFAR10,feddyn,0,0.3,100,0.01,3,459,0.6498,0.68082,0.7982,0.84884,1.3493744140625,1.1716014111328126,0.6266053466796875,0.4519797875976562
46,CIFAR10,feddyn,0,0.3,100,0.01,3,469,0.6857,0.727,0.7974,0.84764,1.08923056640625,0.895242587890625,0.62803603515625,0.4531532434082031
47,CIFAR10,feddyn,0,0.3,100,0.01,3,479,0.6687,0.70782,0.7955,0.84676,1.17620556640625,0.9865073974609375,0.6286103271484375,0.4546307568359375
48,CIFAR10,feddyn,0,0.3,100,0.01,3,489,0.6285,0.65532,0.7951,0.84758,1.50135888671875,1.3341669140625,0.62639873046875,0.45341374755859376
49,CIFAR10,feddyn,0,0.3,100,0.01,3,499,0.6024,0.62998,0.7974,0.84898,1.626739306640625,1.4518337744140626,0.6227650146484375,0.44896463134765624
50,CIFAR10,feddyn,0,0.3,100,0.01,3,509,0.6083,0.63522,0.7988,0.84954,1.523459912109375,1.3622260791015626,0.6190369140625,0.4476734216308594
51,CIFAR10,feddyn,0,0.3,100,0.01,3,519,0.642,0.67746,0.8016,0.84892,1.368391357421875,1.1760845166015625,0.61695888671875,0.44903223510742185
52,CIFAR10,feddyn,0,0.3,100,0.01,3,529,0.7084,0.74364,0.7998,0.84932,0.986354296875,0.8149443139648438,0.6159534912109375,0.45074126586914065
53,CIFAR10,feddyn,0,0.3,100,0.01,3,539,0.6437,0.67412,0.8008,0.84974,1.422715087890625,1.222020927734375,0.61493427734375,0.45082443725585936
54,CIFAR10,feddyn,0,0.3,100,0.01,3,549,0.5714,0.5969,0.801,0.84944,2.028639892578125,1.8278979345703126,0.6156315185546875,0.45015807983398437
55,CIFAR10,feddyn,0,0.3,100,0.01,3,559,0.7239,0.75832,0.8011,0.85008,1.07699130859375,0.89107869140625,0.6150589111328125,0.44864455932617187
56,CIFAR10,feddyn,0,0.3,100,0.01,3,569,0.7267,0.76536,0.801,0.84928,0.930799853515625,0.749202548828125,0.616619677734375,0.449378583984375
57,CIFAR10,feddyn,0,0.3,100,0.01,3,579,0.6876,0.7223,0.7998,0.84982,1.15097783203125,0.956670078125,0.616483740234375,0.44830333740234374
58,CIFAR10,feddyn,0,0.3,100,0.01,3,589,0.7192,0.75862,0.8023,0.8508,0.9911615478515625,0.7888211572265625,0.6146336181640625,0.4415950134277344
59,CIFAR10,feddyn,0,0.3,100,0.01,3,599,0.6883,0.72522,0.8022,0.85202,1.092327880859375,0.89909853515625,0.6146493408203125,0.43974818115234376
