,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,2,9,0.3697,0.36608,0.2134,0.21138,2.25265009765625,2.2538174365234376,2.2816572265625,2.282023994140625
1,CIFAR10,feddyn,0,0.3,100,0.01,2,19,0.4528,0.45836,0.264,0.26516,2.09429150390625,2.033165400390625,2.23863515625,2.239245703125
2,CIFAR10,feddyn,0,0.3,100,0.01,2,29,0.2465,0.24638,0.3299,0.33296,3.7998568359375,3.76457806640625,2.16590927734375,2.1661340625
3,CIFAR10,feddyn,0,0.3,100,0.01,2,39,0.4966,0.51672,0.3964,0.39968,1.870012548828125,1.7800451318359376,2.0534501953125,2.052407021484375
4,CIFAR10,feddyn,0,0.3,100,0.01,2,49,0.444,0.4588,0.4198,0.4316,2.529069921875,2.414633486328125,1.981549755859375,1.9783481591796874
5,CIFAR10,feddyn,0,0.3,100,0.01,2,59,0.4319,0.44662,0.4912,0.50326,2.93309814453125,2.802962880859375,1.7916767578125,1.7824838720703124
6,CIFAR10,feddyn,0,0.3,100,0.01,2,69,0.4788,0.49498,0.5577,0.57204,2.2354767578125,2.1165327685546873,1.547649365234375,1.5274592333984376
7,CIFAR10,feddyn,0,0.3,100,0.01,2,79,0.6568,0.68932,0.5911,0.61062,1.17170009765625,1.0310150537109375,1.4144931640625,1.383996669921875
8,CIFAR10,feddyn,0,0.3,100,0.01,2,89,0.5409,0.5598,0.6101,0.6369,2.024514697265625,1.8651863134765625,1.304132080078125,1.26392806640625
9,CIFAR10,feddyn,0,0.3,100,0.01,2,99,0.6836,0.71256,0.6398,0.66604,1.082893115234375,0.9368696240234375,1.191603271484375,1.140887158203125
10,CIFAR10,feddyn,0,0.3,100,0.01,2,109,0.6026,0.62612,0.6626,0.69064,1.79104296875,1.614172978515625,1.08230966796875,1.0192576611328126
11,CIFAR10,feddyn,0,0.3,100,0.01,2,119,0.6578,0.68436,0.693,0.72382,1.25539990234375,1.113481533203125,0.94888896484375,0.865749365234375
12,CIFAR10,feddyn,0,0.3,100,0.01,2,129,0.6752,0.71128,0.711,0.74544,1.123881884765625,0.9596363159179687,0.8731059326171875,0.7770462182617187
13,CIFAR10,feddyn,0,0.3,100,0.01,2,139,0.4858,0.51108,0.7219,0.76164,2.39643115234375,2.22035962890625,0.8289301513671875,0.7234654711914063
14,CIFAR10,feddyn,0,0.3,100,0.01,2,149,0.4752,0.49058,0.7282,0.76704,2.600970703125,2.44819224609375,0.8174790283203125,0.7093809741210938
15,CIFAR10,feddyn,0,0.3,100,0.01,2,159,0.6371,0.67426,0.7386,0.7786,1.352867919921875,1.1489440576171874,0.779256494140625,0.6537410522460938
16,CIFAR10,feddyn,0,0.3,100,0.01,2,169,0.5793,0.6077,0.742,0.78634,1.840020703125,1.6538256982421875,0.7624267333984375,0.6259065795898437
17,CIFAR10,feddyn,0,0.3,100,0.01,2,179,0.5996,0.61998,0.7468,0.795,1.695450048828125,1.526992431640625,0.749122021484375,0.6010984741210937
18,CIFAR10,feddyn,0,0.3,100,0.01,2,189,0.6497,0.68862,0.7534,0.8018,1.2830984375,1.074830224609375,0.735007861328125,0.5864081689453124
19,CIFAR10,feddyn,0,0.3,100,0.01,2,199,0.671,0.7074,0.7586,0.80874,1.1748796875,1.003439755859375,0.7217799072265625,0.5666785864257813
