,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,2,9,0.3506,0.348,0.1043,0.10312,1.999464208984375,1.9985151708984374,2.29149462890625,2.291712138671875
1,CIFAR10,feddyn,0,0.3,100,0.01,2,19,0.414,0.41682,0.1796,0.1787,2.06318310546875,2.0391798388671876,2.26530458984375,2.26564556640625
2,CIFAR10,feddyn,0,0.3,100,0.01,2,29,0.2116,0.21244,0.2594,0.2625,3.79764306640625,3.770804306640625,2.21666982421875,2.217305947265625
3,CIFAR10,feddyn,0,0.3,100,0.01,2,39,0.4975,0.5092,0.342,0.34628,1.608535302734375,1.57747853515625,2.13320234375,2.1336648828125
4,CIFAR10,feddyn,0,0.3,100,0.01,2,49,0.4698,0.47682,0.393,0.39948,1.914008740234375,1.8562787646484376,2.07299912109375,2.072247919921875
5,CIFAR10,feddyn,0,0.3,100,0.01,2,59,0.4508,0.4605,0.4815,0.48812,2.8984060546875,2.81461017578125,1.911355712890625,1.9072690380859374
6,CIFAR10,feddyn,0,0.3,100,0.01,2,69,0.4662,0.4747,0.5592,0.56658,2.1725076171875,2.0696165185546875,1.669225244140625,1.659053359375
7,CIFAR10,feddyn,0,0.3,100,0.01,2,79,0.6488,0.66716,0.5951,0.60516,1.13550498046875,1.062089365234375,1.522346728515625,1.5064693603515624
8,CIFAR10,feddyn,0,0.3,100,0.01,2,89,0.5402,0.54898,0.6126,0.62572,2.005615478515625,1.8992233056640626,1.410231689453125,1.388878642578125
9,CIFAR10,feddyn,0,0.3,100,0.01,2,99,0.6546,0.683,0.6314,0.64906,1.13471357421875,1.0133877880859374,1.296004296875,1.2671421435546875
10,CIFAR10,feddyn,0,0.3,100,0.01,2,109,0.581,0.59518,0.6525,0.67276,1.894509130859375,1.7816507568359374,1.175595751953125,1.13819880859375
11,CIFAR10,feddyn,0,0.3,100,0.01,2,119,0.6445,0.66874,0.6731,0.69968,1.283295947265625,1.146961806640625,1.033514794921875,0.981431171875
12,CIFAR10,feddyn,0,0.3,100,0.01,2,129,0.6287,0.66122,0.6878,0.71864,1.3360123046875,1.1733308251953125,0.954202685546875,0.8892583422851562
13,CIFAR10,feddyn,0,0.3,100,0.01,2,139,0.4633,0.48402,0.6997,0.7293,2.23696298828125,2.085350341796875,0.9079529541015625,0.8320460473632812
14,CIFAR10,feddyn,0,0.3,100,0.01,2,149,0.4718,0.48348,0.7015,0.73434,3.0830904296875,2.93785720703125,0.894731298828125,0.81572521484375
15,CIFAR10,feddyn,0,0.3,100,0.01,2,159,0.6529,0.68584,0.7077,0.74266,1.20449296875,1.0584580908203125,0.8557561279296875,0.760789794921875
16,CIFAR10,feddyn,0,0.3,100,0.01,2,169,0.5741,0.58928,0.7175,0.75132,1.906265771484375,1.7699526318359375,0.8324594970703125,0.7285116625976562
17,CIFAR10,feddyn,0,0.3,100,0.01,2,179,0.5466,0.56062,0.7233,0.7605,2.26214658203125,2.078657978515625,0.8161565185546875,0.702189130859375
18,CIFAR10,feddyn,0,0.3,100,0.01,2,189,0.6597,0.69262,0.7292,0.76506,1.20335185546875,1.045892607421875,0.8014692138671875,0.6854861938476563
19,CIFAR10,feddyn,0,0.3,100,0.01,2,199,0.6298,0.64904,0.7376,0.77226,1.378415625,1.2515587451171875,0.79035888671875,0.6663467504882813
20,CIFAR10,feddyn,0,0.3,100,0.01,2,209,0.5564,0.57828,0.741,0.77832,1.8918662109375,1.74653921875,0.7766464599609375,0.6489427416992187
21,CIFAR10,feddyn,0,0.3,100,0.01,2,219,0.4883,0.50988,0.7457,0.78238,2.37872958984375,2.2006918017578125,0.766285107421875,0.6349595825195312
22,CIFAR10,feddyn,0,0.3,100,0.01,2,229,0.5413,0.55714,0.7503,0.7859,2.193307421875,2.0498648828125,0.76216884765625,0.6266030517578125
23,CIFAR10,feddyn,0,0.3,100,0.01,2,239,0.6748,0.70808,0.755,0.79298,1.109391552734375,0.9369599047851562,0.7468351806640625,0.6069355346679688
24,CIFAR10,feddyn,0,0.3,100,0.01,2,249,0.6842,0.7217,0.7623,0.79908,1.088195654296875,0.905822734375,0.7329236083984375,0.58873484375
25,CIFAR10,feddyn,0,0.3,100,0.01,2,259,0.5337,0.5432,0.7648,0.80138,1.964343603515625,1.8734775439453124,0.725739599609375,0.580576259765625
26,CIFAR10,feddyn,0,0.3,100,0.01,2,269,0.6617,0.6943,0.7692,0.80556,1.130019287109375,0.986727685546875,0.7133208740234375,0.56830966796875
27,CIFAR10,feddyn,0,0.3,100,0.01,2,279,0.6395,0.66498,0.7718,0.80826,1.320843603515625,1.178503291015625,0.709238427734375,0.5609972241210938
28,CIFAR10,feddyn,0,0.3,100,0.01,2,289,0.5675,0.59814,0.7751,0.81274,1.822324365234375,1.613729814453125,0.701137451171875,0.5512611401367188
29,CIFAR10,feddyn,0,0.3,100,0.01,2,299,0.606,0.6327,0.7766,0.81642,1.550242041015625,1.41380798828125,0.692886279296875,0.541218828125
30,CIFAR10,feddyn,0,0.3,100,0.01,2,309,0.5483,0.57286,0.7753,0.8175,2.08907939453125,1.9155038671875,0.6889388916015625,0.5368433276367187
31,CIFAR10,feddyn,0,0.3,100,0.01,2,319,0.6724,0.7062,0.7752,0.82006,1.0908482421875,0.9419139111328125,0.682255908203125,0.529885302734375
32,CIFAR10,feddyn,0,0.3,100,0.01,2,329,0.5435,0.56364,0.7776,0.8213,1.919086328125,1.7729409765625,0.677827490234375,0.5264090063476563
33,CIFAR10,feddyn,0,0.3,100,0.01,2,339,0.6935,0.73466,0.7795,0.82392,0.979188525390625,0.827571982421875,0.6708696044921875,0.5216614477539062
34,CIFAR10,feddyn,0,0.3,100,0.01,2,349,0.458,0.47032,0.7806,0.82314,2.40470634765625,2.252476435546875,0.6683716064453125,0.520247509765625
35,CIFAR10,feddyn,0,0.3,100,0.01,2,359,0.4502,0.46768,0.7804,0.82506,2.5119712890625,2.355431259765625,0.662389697265625,0.5160269384765624
36,CIFAR10,feddyn,0,0.3,100,0.01,2,369,0.5228,0.54558,0.7802,0.82436,2.08534384765625,1.9243400927734375,0.6608512451171875,0.5157734301757813
37,CIFAR10,feddyn,0,0.3,100,0.01,2,379,0.5338,0.55274,0.781,0.82568,2.10867841796875,1.9440576611328124,0.6602666259765625,0.5139804150390626
38,CIFAR10,feddyn,0,0.3,100,0.01,2,389,0.6159,0.6489,0.7832,0.82652,1.41230478515625,1.246839560546875,0.655913427734375,0.5108612548828125
39,CIFAR10,feddyn,0,0.3,100,0.01,2,399,0.7256,0.76656,0.7821,0.82884,0.9108039306640625,0.73522578125,0.6529265625,0.5070513354492188
40,CIFAR10,feddyn,0,0.3,100,0.01,2,409,0.6669,0.7075,0.7843,0.8305,1.19087099609375,1.011351435546875,0.65193115234375,0.5038354907226562
41,CIFAR10,feddyn,0,0.3,100,0.01,2,419,0.6665,0.70206,0.7829,0.8315,1.1598837890625,0.9841668774414063,0.6490760009765625,0.5012261596679688
42,CIFAR10,feddyn,0,0.3,100,0.01,2,429,0.7091,0.75044,0.7832,0.83194,0.9268849365234375,0.7647661987304688,0.6449680908203125,0.49655208984375
43,CIFAR10,feddyn,0,0.3,100,0.01,2,439,0.5828,0.61144,0.7847,0.83498,1.7216693359375,1.5392445263671874,0.6391859130859375,0.4897617395019531
44,CIFAR10,feddyn,0,0.3,100,0.01,2,449,0.5644,0.5919,0.7836,0.8355,1.745007958984375,1.5506495654296875,0.6375067138671875,0.48699508544921877
45,CIFAR10,feddyn,0,0.3,100,0.01,2,459,0.7042,0.73632,0.7881,0.8366,1.07837861328125,0.8947908715820313,0.6341003173828125,0.4850639709472656
46,CIFAR10,feddyn,0,0.3,100,0.01,2,469,0.6745,0.70582,0.7904,0.83732,1.2362025390625,1.0484388403320313,0.6321133056640625,0.4812328479003906
47,CIFAR10,feddyn,0,0.3,100,0.01,2,479,0.6788,0.71378,0.7906,0.83762,1.17719716796875,0.9958703857421874,0.63180234375,0.48081859008789063
48,CIFAR10,feddyn,0,0.3,100,0.01,2,489,0.6612,0.69626,0.7911,0.83906,1.28642109375,1.10878685546875,0.62789638671875,0.4786220324707031
49,CIFAR10,feddyn,0,0.3,100,0.01,2,499,0.7182,0.75944,0.7917,0.83918,0.9808388671875,0.7917458129882813,0.6277644287109375,0.4773608935546875
50,CIFAR10,feddyn,0,0.3,100,0.01,2,509,0.6533,0.6931,0.7924,0.83984,1.2199791015625,1.0529694165039063,0.629524462890625,0.47566408813476563
51,CIFAR10,feddyn,0,0.3,100,0.01,2,519,0.5678,0.591,0.7928,0.8389,1.778538623046875,1.64673982421875,0.6314139892578124,0.47767119506835937
52,CIFAR10,feddyn,0,0.3,100,0.01,2,529,0.6242,0.64668,0.7925,0.83782,1.487979736328125,1.3147521240234374,0.632662744140625,0.48137485473632813
53,CIFAR10,feddyn,0,0.3,100,0.01,2,539,0.6911,0.73132,0.7927,0.83768,1.058430712890625,0.8678711547851562,0.63515185546875,0.48228239990234373
54,CIFAR10,feddyn,0,0.3,100,0.01,2,549,0.6959,0.72966,0.7909,0.83822,1.072315087890625,0.8910435107421875,0.63642451171875,0.48322812377929686
55,CIFAR10,feddyn,0,0.3,100,0.01,2,559,0.7138,0.75424,0.7912,0.84018,0.9984086669921876,0.8231287890625,0.633102880859375,0.479317919921875
56,CIFAR10,feddyn,0,0.3,100,0.01,2,569,0.6878,0.72354,0.7922,0.8417,1.073822412109375,0.9012191674804687,0.6335463623046875,0.4773777770996094
57,CIFAR10,feddyn,0,0.3,100,0.01,2,579,0.7348,0.77244,0.7911,0.84224,0.919637353515625,0.7304317065429687,0.6318212158203125,0.47350761962890625
58,CIFAR10,feddyn,0,0.3,100,0.01,2,589,0.5962,0.62842,0.794,0.84364,1.508537646484375,1.34695025390625,0.631894287109375,0.4697485827636719
59,CIFAR10,feddyn,0,0.3,100,0.01,2,599,0.4518,0.47356,0.7922,0.84338,2.4438642578125,2.292623544921875,0.6315760009765625,0.46970921997070314
60,CIFAR10,feddyn,0,0.3,100,0.01,2,609,0.645,0.68502,0.7922,0.84464,1.206824951171875,1.040614912109375,0.631456396484375,0.4679189599609375
61,CIFAR10,feddyn,0,0.3,100,0.01,2,619,0.6069,0.63162,0.794,0.84392,1.594367919921875,1.41534287109375,0.63305107421875,0.46869901977539064
62,CIFAR10,feddyn,0,0.3,100,0.01,2,629,0.5383,0.54986,0.7895,0.84302,2.1778595703125,2.0267719921875,0.6338877197265625,0.4709335241699219
63,CIFAR10,feddyn,0,0.3,100,0.01,2,639,0.6626,0.69344,0.7904,0.8428,1.3903990234375,1.1783533056640625,0.635830517578125,0.4723251220703125
64,CIFAR10,feddyn,0,0.3,100,0.01,2,649,0.5538,0.57472,0.7909,0.84224,2.07339443359375,1.872702197265625,0.639152490234375,0.47329748779296876
65,CIFAR10,feddyn,0,0.3,100,0.01,2,659,0.7027,0.73696,0.7902,0.84012,1.061959326171875,0.8930351440429688,0.642161572265625,0.478456044921875
66,CIFAR10,feddyn,0,0.3,100,0.01,2,669,0.6286,0.66652,0.7922,0.84006,1.34186904296875,1.165713779296875,0.6466214599609375,0.4803963122558594
67,CIFAR10,feddyn,0,0.3,100,0.01,2,679,0.6384,0.66386,0.7892,0.83854,1.352128564453125,1.19626818359375,0.6492754638671875,0.483556591796875
68,CIFAR10,feddyn,0,0.3,100,0.01,2,689,0.7247,0.76444,0.7875,0.8376,0.9324912109375,0.7546949462890625,0.650498974609375,0.48739034790039065
69,CIFAR10,feddyn,0,0.3,100,0.01,2,699,0.5629,0.58078,0.7886,0.83818,2.1368001953125,1.96788857421875,0.6484707275390625,0.4854809887695313
70,CIFAR10,feddyn,0,0.3,100,0.01,2,709,0.4945,0.50898,0.7907,0.83878,2.5660875,2.427532861328125,0.6464824951171875,0.484502119140625
