,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0,100,0.01,2,9,0.46,0.45888,0.2551,0.24924,1.496470947265625,1.5005003662109375,2.27298291015625,2.27363966796875
1,CIFAR10,fedexp,0,0,100,0.01,2,19,0.524,0.53178,0.3237,0.32014,1.346432763671875,1.32923244140625,2.21022333984375,2.21142888671875
2,CIFAR10,fedexp,0,0,100,0.01,2,29,0.5456,0.56158,0.3862,0.38638,1.362097509765625,1.3003783837890626,2.10414462890625,2.105472509765625
3,CIFAR10,fedexp,0,0,100,0.01,2,39,0.5468,0.5678,0.4334,0.44072,1.298209521484375,1.248341943359375,1.99522177734375,1.9955971875
4,CIFAR10,fedexp,0,0,100,0.01,2,49,0.5986,0.6116,0.4674,0.47622,1.232623681640625,1.1797933349609375,1.9021154296875,1.900645576171875
5,CIFAR10,fedexp,0,0,100,0.01,2,59,0.6133,0.63532,0.5239,0.5355,1.18278193359375,1.11741142578125,1.742493994140625,1.73664603515625
6,CIFAR10,fedexp,0,0,100,0.01,2,69,0.6608,0.68768,0.5706,0.58834,1.045983056640625,0.9408892919921875,1.556718115234375,1.5436008349609376
7,CIFAR10,fedexp,0,0,100,0.01,2,79,0.6839,0.71182,0.6154,0.63632,0.9625627685546875,0.8582472583007813,1.361097998046875,1.337683173828125
8,CIFAR10,fedexp,0,0,100,0.01,2,89,0.6534,0.687,0.6413,0.66284,1.12777685546875,0.996556806640625,1.240388330078125,1.208460859375
9,CIFAR10,fedexp,0,0,100,0.01,2,99,0.7186,0.7519,0.6641,0.68702,0.876355517578125,0.7471412084960938,1.159024951171875,1.1188487353515626
10,CIFAR10,fedexp,0,0,100,0.01,2,109,0.6737,0.70362,0.6812,0.7055,1.101268798828125,0.9587992944335938,1.0813017578125,1.0328811572265626
11,CIFAR10,fedexp,0,0,100,0.01,2,119,0.7139,0.7475,0.7001,0.72842,0.928059326171875,0.7839989770507813,0.97909306640625,0.918614716796875
12,CIFAR10,fedexp,0,0,100,0.01,2,129,0.7262,0.76878,0.7148,0.74766,0.8656690185546875,0.701432431640625,0.910249853515625,0.837292353515625
13,CIFAR10,fedexp,0,0,100,0.01,2,139,0.6886,0.72296,0.7247,0.7604,1.027221923828125,0.8622402221679687,0.863603515625,0.7803858129882812
14,CIFAR10,fedexp,0,0,100,0.01,2,149,0.7021,0.7438,0.731,0.7705,0.9639611328125,0.7901654711914062,0.8341666748046875,0.742663447265625
15,CIFAR10,fedexp,0,0,100,0.01,2,159,0.7003,0.73628,0.7386,0.7813,1.0081885009765625,0.8296843212890626,0.800218701171875,0.6985052490234375
16,CIFAR10,fedexp,0,0,100,0.01,2,169,0.692,0.72934,0.7523,0.79568,1.022950146484375,0.8578075463867187,0.7461447021484375,0.62247775390625
17,CIFAR10,fedexp,0,0,100,0.01,2,179,0.6949,0.73138,0.7571,0.8006,1.053086669921875,0.8949998828125,0.7355957763671875,0.6087098413085937
18,CIFAR10,fedexp,0,0,100,0.01,2,189,0.7415,0.78406,0.762,0.80944,0.8266390869140625,0.6615273168945313,0.71206796875,0.5763025659179688
19,CIFAR10,fedexp,0,0,100,0.01,2,199,0.7399,0.7888,0.7695,0.81742,0.8365196533203125,0.6511996411132812,0.6933125732421875,0.5472718139648437
20,CIFAR10,fedexp,0,0,100,0.01,2,209,0.7174,0.767,0.7733,0.82156,0.9352050537109375,0.7439784545898438,0.6828030517578125,0.5329411840820313
21,CIFAR10,fedexp,0,0,100,0.01,2,219,0.7066,0.75738,0.7744,0.82696,0.958311669921875,0.7541702844238282,0.6728747802734375,0.5194239306640624
22,CIFAR10,fedexp,0,0,100,0.01,2,229,0.6951,0.73732,0.7786,0.83198,1.001634423828125,0.80646576171875,0.6635767333984375,0.5049871081542969
23,CIFAR10,fedexp,0,0,100,0.01,2,239,0.7101,0.74612,0.7777,0.83388,0.98763935546875,0.8078297216796875,0.66014287109375,0.4997114807128906
24,CIFAR10,fedexp,0,0,100,0.01,2,249,0.7508,0.80918,0.7818,0.83932,0.7853320068359375,0.5780201904296876,0.6515460205078125,0.47891842163085935
25,CIFAR10,fedexp,0,0,100,0.01,2,259,0.7174,0.76724,0.7835,0.84334,0.9300628173828125,0.7224274951171875,0.6473282470703124,0.4665924536132813
26,CIFAR10,fedexp,0,0,100,0.01,2,269,0.7476,0.80004,0.7846,0.84632,0.8190646240234375,0.6070152490234375,0.643043115234375,0.4576840185546875
27,CIFAR10,fedexp,0,0,100,0.01,2,279,0.7507,0.80552,0.7865,0.84818,0.8085806396484375,0.587784482421875,0.6407269775390625,0.45239411010742187
28,CIFAR10,fedexp,0,0,100,0.01,2,289,0.7171,0.7606,0.7895,0.85106,0.94460615234375,0.743919462890625,0.6365730712890625,0.442626015625
29,CIFAR10,fedexp,0,0,100,0.01,2,299,0.7333,0.77392,0.7899,0.85424,0.9069487060546875,0.7114862768554687,0.6323491943359375,0.43603843139648435
30,CIFAR10,fedexp,0,0,100,0.01,2,309,0.7118,0.75996,0.7921,0.85704,0.93721328125,0.7434857568359375,0.626640087890625,0.4282297961425781
31,CIFAR10,fedexp,0,0,100,0.01,2,319,0.765,0.82074,0.7947,0.86002,0.7295564697265625,0.5352962719726563,0.6206548095703125,0.41924610717773436
32,CIFAR10,fedexp,0,0,100,0.01,2,329,0.7333,0.78434,0.7958,0.8617,0.8867517822265625,0.6795399584960937,0.6183254638671875,0.41468573852539065
33,CIFAR10,fedexp,0,0,100,0.01,2,339,0.7344,0.7897,0.7955,0.86376,0.9194251953125,0.675620751953125,0.614193017578125,0.40916149658203127
34,CIFAR10,fedexp,0,0,100,0.01,2,349,0.735,0.79284,0.7954,0.86436,0.907110400390625,0.6654646557617188,0.6140262451171875,0.4067340100097656
35,CIFAR10,fedexp,0,0,100,0.01,2,359,0.737,0.7923,0.7959,0.8666,0.85557587890625,0.6344811767578125,0.611726708984375,0.40146044799804687
36,CIFAR10,fedexp,0,0,100,0.01,2,369,0.7444,0.79488,0.7988,0.86924,0.8393686279296875,0.6300423657226563,0.6078319091796875,0.39416935180664064
37,CIFAR10,fedexp,0,0,100,0.01,2,379,0.7311,0.78502,0.8015,0.87076,0.9322049560546875,0.6987821704101562,0.6049047607421875,0.39022442993164064
38,CIFAR10,fedexp,0,0,100,0.01,2,389,0.7258,0.77896,0.8018,0.8726,0.9294583984375,0.6978526000976563,0.602114794921875,0.3866246081542969
39,CIFAR10,fedexp,0,0,100,0.01,2,399,0.7446,0.79788,0.8021,0.87356,0.856689404296875,0.6234482543945312,0.6000615234375,0.381514794921875
40,CIFAR10,fedexp,0,0,100,0.01,2,409,0.7712,0.8378,0.8025,0.87592,0.780886181640625,0.5121154809570313,0.597368359375,0.37575347900390627
41,CIFAR10,fedexp,0,0,100,0.01,2,419,0.7372,0.79072,0.8031,0.8771,0.9284392822265625,0.67359185546875,0.5951406982421875,0.3725814318847656
42,CIFAR10,fedexp,0,0,100,0.01,2,429,0.7739,0.83346,0.8048,0.87834,0.736121826171875,0.513745712890625,0.5930488037109375,0.3697113171386719
43,CIFAR10,fedexp,0,0,100,0.01,2,439,0.7653,0.82388,0.8056,0.87956,0.7670770751953125,0.5340781262207032,0.5895777587890625,0.36607766235351563
44,CIFAR10,fedexp,0,0,100,0.01,2,449,0.7437,0.80178,0.8059,0.8804,0.8634584716796875,0.6229708361816406,0.5885932861328125,0.36017206787109374
45,CIFAR10,fedexp,0,0,100,0.01,2,459,0.7418,0.79344,0.8068,0.88092,0.8979292724609375,0.6811128100585937,0.5867372314453125,0.35834680908203126
46,CIFAR10,fedexp,0,0,100,0.01,2,469,0.7421,0.8005,0.8057,0.88204,0.8335306396484375,0.6181345947265625,0.586229541015625,0.35448822143554687
