,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0,100,0.01,2,9,0.4702,0.4741,0.2142,0.2145,1.735589599609375,1.6934539111328124,2.27588359375,2.27601328125
1,CIFAR10,fedexp,0,0,100,0.01,2,19,0.5025,0.51756,0.2253,0.2279,1.856147900390625,1.775818857421875,2.23828056640625,2.238418515625
2,CIFAR10,fedexp,0,0,100,0.01,2,29,0.5635,0.58696,0.2917,0.29644,1.665477978515625,1.52713828125,2.1646181640625,2.163866318359375
3,CIFAR10,fedexp,0,0,100,0.01,2,39,0.6029,0.62536,0.3949,0.40048,1.42727060546875,1.3242488134765624,2.042612548828125,2.039111142578125
4,CIFAR10,fedexp,0,0,100,0.01,2,49,0.614,0.6426,0.4406,0.45156,1.5508015625,1.4066277734375,1.9599728515625,1.953178291015625
5,CIFAR10,fedexp,0,0,100,0.01,2,59,0.6399,0.66652,0.54,0.55776,1.431691357421875,1.277772001953125,1.744741943359375,1.7289024462890625
6,CIFAR10,fedexp,0,0,100,0.01,2,69,0.6434,0.68078,0.6172,0.64338,1.28221552734375,1.1338917138671876,1.46787060546875,1.4380831884765626
7,CIFAR10,fedexp,0,0,100,0.01,2,79,0.6815,0.72232,0.652,0.6824,1.086150244140625,0.9284497119140624,1.325166259765625,1.2863518994140626
8,CIFAR10,fedexp,0,0,100,0.01,2,89,0.6727,0.70744,0.6784,0.711,1.2816619140625,1.1084683056640625,1.209715771484375,1.162644638671875
9,CIFAR10,fedexp,0,0,100,0.01,2,99,0.7169,0.75942,0.703,0.73824,1.007043310546875,0.8186457958984374,1.095843310546875,1.039585458984375
10,CIFAR10,fedexp,0,0,100,0.01,2,109,0.6774,0.71918,0.72,0.7586,1.219554833984375,1.020597060546875,0.9774489013671875,0.908546953125
11,CIFAR10,fedexp,0,0,100,0.01,2,119,0.7005,0.73886,0.7376,0.78186,1.1234134765625,0.9456610302734375,0.839190576171875,0.7488316040039062
12,CIFAR10,fedexp,0,0,100,0.01,2,129,0.7283,0.76984,0.7502,0.79558,0.9619548095703125,0.7820176635742188,0.772071484375,0.6664668872070313
13,CIFAR10,fedexp,0,0,100,0.01,2,139,0.6886,0.72374,0.7568,0.805,1.105590185546875,0.9310148266601562,0.7390470947265625,0.62361021484375
14,CIFAR10,fedexp,0,0,100,0.01,2,149,0.671,0.7086,0.7588,0.80852,1.268533203125,1.075551142578125,0.73284541015625,0.6159023828125
15,CIFAR10,fedexp,0,0,100,0.01,2,159,0.6993,0.7428,0.7645,0.8167,1.11587431640625,0.9114670458984375,0.69919931640625,0.564042939453125
16,CIFAR10,fedexp,0,0,100,0.01,2,169,0.6806,0.71954,0.77,0.8209,1.198493505859375,1.0114564965820312,0.6868819580078125,0.5436533618164062
17,CIFAR10,fedexp,0,0,100,0.01,2,179,0.7126,0.74338,0.7754,0.8258,1.046977783203125,0.8675039965820313,0.6767124267578125,0.5245019262695313
18,CIFAR10,fedexp,0,0,100,0.01,2,189,0.7217,0.7658,0.778,0.8288,1.0466453369140625,0.8304598901367187,0.6683239013671874,0.5145862268066407
19,CIFAR10,fedexp,0,0,100,0.01,2,199,0.712,0.75778,0.7823,0.83348,1.099442236328125,0.8662266650390625,0.6560990234375,0.4962893811035156
20,CIFAR10,fedexp,0,0,100,0.01,2,209,0.6836,0.71842,0.7841,0.8372,1.2395916015625,1.068515458984375,0.6490438232421875,0.4864713793945312
