,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0,100,0.01,1,9,0.524,0.53278,0.2304,0.2361,1.36042294921875,1.3355290625,2.2530947265625,2.252850654296875
1,CIFAR10,fedexp,0,0,100,0.01,1,19,0.5899,0.59656,0.3221,0.3272,1.307082470703125,1.2661143701171875,2.16744931640625,2.166937216796875
2,CIFAR10,fedexp,0,0,100,0.01,1,29,0.6237,0.64124,0.4056,0.41246,1.278306982421875,1.192216904296875,2.044384765625,2.042163330078125
3,CIFAR10,fedexp,0,0,100,0.01,1,39,0.6319,0.66684,0.494,0.50024,1.2858927734375,1.1480921850585937,1.873627783203125,1.86689423828125
4,CIFAR10,fedexp,0,0,100,0.01,1,49,0.617,0.64364,0.5598,0.57184,1.50495771484375,1.3552354296875,1.6828484375,1.66809177734375
5,CIFAR10,fedexp,0,0,100,0.01,1,59,0.645,0.67352,0.6315,0.6559,1.26822685546875,1.1201346142578126,1.392132080078125,1.3616432958984375
6,CIFAR10,fedexp,0,0,100,0.01,1,69,0.6602,0.69422,0.6716,0.70012,1.19760927734375,1.0267105004882813,1.204899072265625,1.1606741845703126
7,CIFAR10,fedexp,0,0,100,0.01,1,79,0.6821,0.70696,0.6932,0.7273,1.1261486328125,0.981259580078125,1.069018994140625,1.0116061376953125
8,CIFAR10,fedexp,0,0,100,0.01,1,89,0.6931,0.72396,0.7052,0.7424,1.06415537109375,0.9210344262695312,0.9950293701171875,0.930698583984375
9,CIFAR10,fedexp,0,0,100,0.01,1,99,0.6595,0.69288,0.7215,0.75824,1.338530078125,1.1730564428710937,0.91665361328125,0.8436237915039062
10,CIFAR10,fedexp,0,0,100,0.01,1,109,0.7178,0.75008,0.7333,0.77258,1.046860986328125,0.8740921630859375,0.8389694580078125,0.7552437573242188
11,CIFAR10,fedexp,0,0,100,0.01,1,119,0.7202,0.75422,0.7445,0.78482,0.999224072265625,0.8268038793945313,0.7970421875,0.70687923828125
12,CIFAR10,fedexp,0,0,100,0.01,1,129,0.6923,0.73798,0.7565,0.80106,0.98383935546875,0.818266875,0.7321484619140625,0.6270828637695313
13,CIFAR10,fedexp,0,0,100,0.01,1,139,0.6869,0.72906,0.7639,0.81076,1.096599658203125,0.9058482568359375,0.70580517578125,0.5922531811523437
14,CIFAR10,fedexp,0,0,100,0.01,1,149,0.7226,0.76162,0.7747,0.82126,1.021222705078125,0.8134153393554687,0.672912158203125,0.5423425939941406
15,CIFAR10,fedexp,0,0,100,0.01,1,159,0.7095,0.7435,0.7752,0.8247,1.040060302734375,0.8786730029296875,0.6663363037109375,0.5299552624511719
16,CIFAR10,fedexp,0,0,100,0.01,1,169,0.7137,0.7595,0.7775,0.82812,1.019739404296875,0.8238701733398438,0.6588172119140625,0.5150542504882812
17,CIFAR10,fedexp,0,0,100,0.01,1,179,0.7205,0.76228,0.7806,0.83152,1.041036572265625,0.84791984375,0.650378955078125,0.5021639916992188
