,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0,100,0.01,3,9,0.4403,0.43558,0.1728,0.1712,1.53811943359375,1.545092705078125,2.2787470703125,2.279000341796875
1,CIFAR10,fedexp,0,0,100,0.01,3,19,0.5481,0.55402,0.3559,0.35414,1.2582587890625,1.2449389697265625,2.2332052734375,2.233730712890625
2,CIFAR10,fedexp,0,0,100,0.01,3,29,0.5465,0.55804,0.3997,0.39532,1.292833740234375,1.2606645751953125,2.14747626953125,2.14797451171875
3,CIFAR10,fedexp,0,0,100,0.01,3,39,0.5821,0.59766,0.4559,0.46072,1.2542841796875,1.19621068359375,2.0353623046875,2.03520763671875
4,CIFAR10,fedexp,0,0,100,0.01,3,49,0.6198,0.63144,0.4921,0.49706,1.167304345703125,1.1058937255859376,1.9427109375,1.9410495947265625
5,CIFAR10,fedexp,0,0,100,0.01,3,59,0.6293,0.65548,0.5279,0.53764,1.1346744140625,1.056443935546875,1.827253515625,1.8230299072265626
6,CIFAR10,fedexp,0,0,100,0.01,3,69,0.637,0.65932,0.5694,0.57902,1.114884423828125,1.0343584765625,1.722006201171875,1.7147407177734375
7,CIFAR10,fedexp,0,0,100,0.01,3,79,0.6505,0.67364,0.6162,0.63182,1.103461669921875,1.0003351391601563,1.5327255859375,1.5174930810546876
8,CIFAR10,fedexp,0,0,100,0.01,3,89,0.6836,0.71084,0.6357,0.65814,0.9899369140625,0.894190283203125,1.424714599609375,1.4030824951171874
9,CIFAR10,fedexp,0,0,100,0.01,3,99,0.6895,0.7152,0.6576,0.68272,0.9744150390625,0.8527050756835938,1.297862841796875,1.268467626953125
10,CIFAR10,fedexp,0,0,100,0.01,3,109,0.7188,0.75788,0.6961,0.72664,0.856465673828125,0.7220129614257812,1.1003361328125,1.0544364697265625
11,CIFAR10,fedexp,0,0,100,0.01,3,119,0.7207,0.75188,0.7269,0.75914,0.8693537109375,0.7405525610351562,0.9223248291015625,0.8574157348632813
12,CIFAR10,fedexp,0,0,100,0.01,3,129,0.7064,0.73906,0.7427,0.77734,0.9344033203125,0.8018612817382812,0.8159761474609375,0.7333837451171875
13,CIFAR10,fedexp,0,0,100,0.01,3,139,0.6974,0.73788,0.7524,0.78892,1.004219775390625,0.8292490747070312,0.793831005859375,0.7044331567382812
14,CIFAR10,fedexp,0,0,100,0.01,3,149,0.6896,0.72862,0.7592,0.79826,1.05683349609375,0.8782032177734375,0.7508635009765625,0.6467333349609375
15,CIFAR10,fedexp,0,0,100,0.01,3,159,0.745,0.78996,0.7623,0.80364,0.783467333984375,0.6297867553710937,0.7332352783203125,0.6227196362304688
