,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0,100,0.1,2,9,0.5032,0.5024,0.4398,0.4343,1.41196103515625,1.4124852490234374,1.913261376953125,1.9156954150390626
1,CIFAR10,fedexp,0,0,100,0.1,2,19,0.5811,0.59542,0.5377,0.5454,1.17398916015625,1.1446315234375,1.406750634765625,1.402292021484375
2,CIFAR10,fedexp,0,0,100,0.1,2,29,0.6343,0.65108,0.6115,0.62704,1.05434697265625,0.994114697265625,1.12256298828125,1.0884089697265624
3,CIFAR10,fedexp,0,0,100,0.1,2,39,0.6747,0.7077,0.6595,0.68278,0.9436882080078125,0.8436191162109375,0.98637578125,0.917527255859375
4,CIFAR10,fedexp,0,0,100,0.1,2,49,0.7024,0.7403,0.686,0.71828,0.87880927734375,0.7534108203125,0.9141756103515625,0.818275341796875
5,CIFAR10,fedexp,0,0,100,0.1,2,59,0.7129,0.76062,0.7061,0.7467,0.8547589599609375,0.6962802124023437,0.860453662109375,0.7365715942382812
6,CIFAR10,fedexp,0,0,100,0.1,2,69,0.7235,0.78102,0.7242,0.7767,0.82263681640625,0.635333544921875,0.8129305908203125,0.6501363037109374
7,CIFAR10,fedexp,0,0,100,0.1,2,79,0.7356,0.80214,0.7351,0.79732,0.7961275390625,0.5790886328125,0.7845388916015625,0.5935519165039063
8,CIFAR10,fedexp,0,0,100,0.1,2,89,0.7408,0.8083,0.7432,0.8135,0.7883541748046875,0.5598899548339844,0.7619619140625,0.5459471154785156
9,CIFAR10,fedexp,0,0,100,0.1,2,99,0.7533,0.83008,0.7516,0.8277,0.7521617919921875,0.496854873046875,0.7432284423828125,0.5027594409179688
10,CIFAR10,fedexp,0,0,100,0.1,2,109,0.7579,0.83716,0.7599,0.84104,0.7437531982421876,0.4763079467773437,0.726510400390625,0.46623809448242187
11,CIFAR10,fedexp,0,0,100,0.1,2,119,0.7561,0.84684,0.7608,0.84988,0.7424624267578125,0.45171481201171876,0.720078466796875,0.4428952661132812
12,CIFAR10,fedexp,0,0,100,0.1,2,129,0.7615,0.85114,0.7672,0.85796,0.739604736328125,0.4404421057128906,0.7093018798828125,0.4204910400390625
13,CIFAR10,fedexp,0,0,100,0.1,2,139,0.7665,0.86048,0.7693,0.86478,0.71429443359375,0.4109028857421875,0.6968420654296875,0.39993316650390626
14,CIFAR10,fedexp,0,0,100,0.1,2,149,0.7704,0.86924,0.7743,0.87122,0.6972189208984375,0.3879055798339844,0.685416357421875,0.38014314819335937
15,CIFAR10,fedexp,0,0,100,0.1,2,159,0.7741,0.8723,0.7774,0.87568,0.6949465087890625,0.375022158203125,0.682706103515625,0.3665828454589844
16,CIFAR10,fedexp,0,0,100,0.1,2,169,0.7628,0.85962,0.7787,0.88304,0.7459138671875,0.4131420666503906,0.6782145751953125,0.35061700805664064
17,CIFAR10,fedexp,0,0,100,0.1,2,179,0.7801,0.88006,0.7803,0.8891,0.6930973388671875,0.35286490234375,0.670940625,0.3352115112304688
18,CIFAR10,fedexp,0,0,100,0.1,2,189,0.7795,0.88492,0.7832,0.89268,0.6888910400390625,0.3420463928222656,0.6671096435546875,0.3229297155761719
19,CIFAR10,fedexp,0,0,100,0.1,2,199,0.7721,0.88014,0.784,0.89616,0.7145479248046875,0.3519836474609375,0.6655734619140625,0.31275349365234373
20,CIFAR10,fedexp,0,0,100,0.1,2,209,0.7849,0.89188,0.7856,0.90064,0.6782585205078125,0.3230278283691406,0.6605159423828125,0.30168875732421874
21,CIFAR10,fedexp,0,0,100,0.1,2,219,0.7741,0.8746,0.7895,0.90312,0.7440126220703125,0.3660878845214844,0.6576974853515625,0.2923289074707031
22,CIFAR10,fedexp,0,0,100,0.1,2,229,0.7888,0.8999,0.7921,0.9079,0.6685125732421875,0.30012657104492185,0.6488026611328125,0.28198534240722656
23,CIFAR10,fedexp,0,0,100,0.1,2,239,0.7848,0.89974,0.7947,0.91114,0.6737517578125,0.30025357055664065,0.64732822265625,0.2728625152587891
24,CIFAR10,fedexp,0,0,100,0.1,2,249,0.7846,0.89918,0.7917,0.91264,0.6789347412109376,0.3023425170898438,0.643304345703125,0.2687187445068359
25,CIFAR10,fedexp,0,0,100,0.1,2,259,0.7877,0.89924,0.7929,0.91408,0.6780446533203125,0.3005194140625,0.6398617919921875,0.26462125
26,CIFAR10,fedexp,0,0,100,0.1,2,269,0.7843,0.89238,0.793,0.91688,0.681916162109375,0.31918729125976564,0.6374145263671875,0.25777177124023437
27,CIFAR10,fedexp,0,0,100,0.1,2,279,0.7899,0.9085,0.7959,0.91816,0.6580882568359375,0.2769330249023437,0.635147021484375,0.2548539385986328
28,CIFAR10,fedexp,0,0,100,0.1,2,289,0.7869,0.90202,0.7978,0.92102,0.676177783203125,0.2956683447265625,0.631459912109375,0.24771839477539062
29,CIFAR10,fedexp,0,0,100,0.1,2,299,0.7883,0.90614,0.8006,0.92308,0.6562999755859374,0.28683240478515626,0.6261338623046875,0.24338479431152343
30,CIFAR10,fedexp,0,0,100,0.1,2,309,0.7916,0.91136,0.7999,0.92422,0.665349169921875,0.266982783203125,0.6269677734375,0.23827825805664063
31,CIFAR10,fedexp,0,0,100,0.1,2,319,0.795,0.91698,0.8003,0.92632,0.64307744140625,0.25733895629882814,0.6206016845703125,0.23380513732910158
32,CIFAR10,fedexp,0,0,100,0.1,2,329,0.7903,0.91268,0.8022,0.92774,0.67066025390625,0.26641284057617187,0.6170563720703125,0.22927806030273437
33,CIFAR10,fedexp,0,0,100,0.1,2,339,0.7937,0.9165,0.8037,0.92924,0.6590249267578125,0.2581512292480469,0.61429716796875,0.22487155212402343
34,CIFAR10,fedexp,0,0,100,0.1,2,349,0.7941,0.91784,0.8036,0.93036,0.6521788330078125,0.25392455627441407,0.61620478515625,0.2212831671142578
35,CIFAR10,fedexp,0,0,100,0.1,2,359,0.7961,0.92106,0.8043,0.9319,0.6518476318359375,0.24043921142578126,0.61432568359375,0.21706189025878905
36,CIFAR10,fedexp,0,0,100,0.1,2,369,0.7934,0.9174,0.8015,0.93256,0.6495380615234375,0.25284149658203126,0.6142890625,0.21501025634765625
37,CIFAR10,fedexp,0,0,100,0.1,2,379,0.7994,0.9255,0.8036,0.93466,0.632137158203125,0.23203245971679687,0.610862353515625,0.212531474609375
38,CIFAR10,fedexp,0,0,100,0.1,2,389,0.7995,0.92462,0.805,0.93556,0.6343016357421875,0.2330085089111328,0.6092802490234375,0.20985982788085938
39,CIFAR10,fedexp,0,0,100,0.1,2,399,0.8006,0.92176,0.8067,0.93694,0.631093798828125,0.24087523376464845,0.6055890380859374,0.2053234033203125
