,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0,100,0.1,4,9,0.5774,0.58914,0.5137,0.51848,1.21436884765625,1.170482373046875,1.720583837890625,1.71865654296875
1,CIFAR10,fedexp,0,0,100,0.1,4,19,0.6293,0.66494,0.6092,0.6328,1.149139990234375,1.0201371484375,1.17279248046875,1.1256010595703125
2,CIFAR10,fedexp,0,0,100,0.1,4,29,0.6841,0.72808,0.6651,0.7105,1.0323048828125,0.8375778369140625,0.981618310546875,0.8690227294921875
3,CIFAR10,fedexp,0,0,100,0.1,4,39,0.7109,0.77468,0.6978,0.75806,0.9355898681640625,0.6925026171875,0.904025439453125,0.72181775390625
4,CIFAR10,fedexp,0,0,100,0.1,4,49,0.7213,0.78734,0.7215,0.78828,0.90465390625,0.646379169921875,0.8614140625,0.6350581787109375
5,CIFAR10,fedexp,0,0,100,0.1,4,59,0.7287,0.80048,0.738,0.8094,0.870391552734375,0.606064580078125,0.826777490234375,0.5755208154296875
6,CIFAR10,fedexp,0,0,100,0.1,4,69,0.7398,0.8101,0.7492,0.82376,0.851556787109375,0.5703373315429687,0.791851318359375,0.5236409326171875
7,CIFAR10,fedexp,0,0,100,0.1,4,79,0.7432,0.82198,0.7557,0.83274,0.8379323974609375,0.5418364892578125,0.7729524169921875,0.4948284460449219
8,CIFAR10,fedexp,0,0,100,0.1,4,89,0.7371,0.81018,0.7602,0.84112,0.8920072021484375,0.5885772314453125,0.76089599609375,0.4720300048828125
9,CIFAR10,fedexp,0,0,100,0.1,4,99,0.7553,0.8361,0.7655,0.85216,0.8067512451171875,0.49271124633789065,0.747496728515625,0.44076423583984375
10,CIFAR10,fedexp,0,0,100,0.1,4,109,0.7379,0.81536,0.7717,0.85974,0.87791552734375,0.5655345654296875,0.7320484619140625,0.41502370849609377
11,CIFAR10,fedexp,0,0,100,0.1,4,119,0.7598,0.8396,0.7745,0.86508,0.7803068115234375,0.4762612927246094,0.71912763671875,0.40094020629882815
12,CIFAR10,fedexp,0,0,100,0.1,4,129,0.7712,0.85644,0.7767,0.86806,0.753759375,0.4321501794433594,0.712399560546875,0.3907391455078125
13,CIFAR10,fedexp,0,0,100,0.1,4,139,0.7703,0.86396,0.7816,0.87452,0.7471133056640625,0.40914138671875,0.7033689697265625,0.37312685424804687
14,CIFAR10,fedexp,0,0,100,0.1,4,149,0.78,0.87028,0.7826,0.88002,0.73348671875,0.3862667761230469,0.69866220703125,0.3576735009765625
15,CIFAR10,fedexp,0,0,100,0.1,4,159,0.7762,0.87226,0.7854,0.88324,0.727618896484375,0.38837169189453125,0.6874571044921876,0.3473612194824219
16,CIFAR10,fedexp,0,0,100,0.1,4,169,0.7736,0.86458,0.7867,0.88504,0.7466318603515625,0.41066331665039063,0.6838311767578125,0.34531144897460936
17,CIFAR10,fedexp,0,0,100,0.1,4,179,0.7567,0.83918,0.7878,0.88586,0.8036553955078125,0.4831515441894531,0.6787019287109375,0.34047430419921876
18,CIFAR10,fedexp,0,0,100,0.1,4,189,0.7474,0.82498,0.7911,0.88826,0.90409990234375,0.5550629956054688,0.6749060546875,0.3293585546875
19,CIFAR10,fedexp,0,0,100,0.1,4,199,0.7719,0.86372,0.7895,0.8913,0.7573478759765625,0.40428779296875,0.67347119140625,0.3229977233886719
20,CIFAR10,fedexp,0,0,100,0.1,4,209,0.7601,0.85352,0.7921,0.89388,0.7877656494140625,0.43721081176757814,0.669777734375,0.31405470092773435
21,CIFAR10,fedexp,0,0,100,0.1,4,219,0.7835,0.87946,0.7958,0.89644,0.7145683837890625,0.36375904418945315,0.6642837646484375,0.3088422888183594
22,CIFAR10,fedexp,0,0,100,0.1,4,229,0.7851,0.8768,0.7957,0.8968,0.7117600341796875,0.3691843395996094,0.659799267578125,0.3089938690185547
23,CIFAR10,fedexp,0,0,100,0.1,4,239,0.7814,0.8701,0.7963,0.8951,0.7248769287109375,0.3863521313476562,0.65710439453125,0.3126753875732422
24,CIFAR10,fedexp,0,0,100,0.1,4,249,0.791,0.88628,0.796,0.89602,0.6883127685546875,0.34097644104003905,0.65463505859375,0.30991635803222656
25,CIFAR10,fedexp,0,0,100,0.1,4,259,0.7919,0.88954,0.7989,0.90014,0.6742412841796875,0.3298790478515625,0.647921435546875,0.2981322589111328
26,CIFAR10,fedexp,0,0,100,0.1,4,269,0.7912,0.8891,0.8007,0.90336,0.687292529296875,0.3322784704589844,0.646021044921875,0.29196852966308595
27,CIFAR10,fedexp,0,0,100,0.1,4,279,0.7857,0.88604,0.7991,0.90442,0.70144052734375,0.3415773486328125,0.6459217529296875,0.28838707092285154
28,CIFAR10,fedexp,0,0,100,0.1,4,289,0.7895,0.88126,0.8029,0.90396,0.71459609375,0.3595426611328125,0.644494384765625,0.29193597595214843
29,CIFAR10,fedexp,0,0,100,0.1,4,299,0.7788,0.86748,0.8028,0.90506,0.7420791015625,0.4028532861328125,0.6409472412109375,0.2888980352783203
