,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0,100,0.1,4,9,0.5478,0.5572,0.4908,0.4862,1.27393154296875,1.2562937255859374,1.8160556640625,1.8182302197265625
1,CIFAR10,fedexp,0,0,100,0.1,4,19,0.6203,0.64206,0.5916,0.6,1.09022890625,1.0290447802734375,1.268109033203125,1.2491290869140625
2,CIFAR10,fedexp,0,0,100,0.1,4,29,0.6777,0.7098,0.6538,0.67364,0.9627293701171875,0.8561134497070313,1.032580810546875,0.9748069311523437
3,CIFAR10,fedexp,0,0,100,0.1,4,39,0.7138,0.75532,0.6955,0.73016,0.88698828125,0.7338643872070313,0.9046376953125,0.7982393383789063
4,CIFAR10,fedexp,0,0,100,0.1,4,49,0.7267,0.77996,0.72,0.76814,0.8418623046875,0.6616697802734375,0.836610693359375,0.6884918286132813
5,CIFAR10,fedexp,0,0,100,0.1,4,59,0.7385,0.7961,0.7386,0.7939,0.800315673828125,0.6119510766601562,0.792808740234375,0.6155136865234375
6,CIFAR10,fedexp,0,0,100,0.1,4,69,0.751,0.80956,0.7511,0.81268,0.7992577392578125,0.5720078344726562,0.7587908203125,0.558137607421875
7,CIFAR10,fedexp,0,0,100,0.1,4,79,0.7569,0.82256,0.7592,0.8254,0.767110595703125,0.5321823315429688,0.737148291015625,0.5198542919921875
8,CIFAR10,fedexp,0,0,100,0.1,4,89,0.7547,0.81978,0.7652,0.8362,0.7926025390625,0.5482046899414063,0.719122607421875,0.4889581066894531
9,CIFAR10,fedexp,0,0,100,0.1,4,99,0.765,0.83714,0.7737,0.85106,0.7564549560546875,0.4941274841308594,0.70018642578125,0.4518498681640625
10,CIFAR10,fedexp,0,0,100,0.1,4,109,0.7592,0.8314,0.7778,0.86064,0.7836684326171875,0.5157612890625,0.6872965576171876,0.42446554443359374
11,CIFAR10,fedexp,0,0,100,0.1,4,119,0.7691,0.8494,0.7816,0.86762,0.7308265380859374,0.45467537109375,0.677004345703125,0.40300962646484373
12,CIFAR10,fedexp,0,0,100,0.1,4,129,0.7785,0.86268,0.7868,0.87124,0.69727998046875,0.4124722314453125,0.67187763671875,0.3867716174316406
13,CIFAR10,fedexp,0,0,100,0.1,4,139,0.7828,0.86932,0.7917,0.87908,0.68796904296875,0.3943092602539062,0.6590730224609375,0.36590569580078125
14,CIFAR10,fedexp,0,0,100,0.1,4,149,0.7868,0.87484,0.7969,0.88386,0.6824392822265625,0.37552528198242185,0.6507596923828125,0.34939434692382815
15,CIFAR10,fedexp,0,0,100,0.1,4,159,0.7918,0.87882,0.7976,0.88854,0.6734433349609374,0.36349819458007815,0.6422301025390625,0.33567029174804686
16,CIFAR10,fedexp,0,0,100,0.1,4,169,0.7855,0.87544,0.7985,0.89028,0.6902414794921875,0.37510304443359377,0.6388854736328125,0.33050506103515626
17,CIFAR10,fedexp,0,0,100,0.1,4,179,0.7872,0.86984,0.8013,0.89428,0.7000107421875,0.39500630493164063,0.632467041015625,0.32220498291015626
18,CIFAR10,fedexp,0,0,100,0.1,4,189,0.7667,0.8402,0.803,0.89812,0.8107737548828124,0.4957951147460937,0.6276380859375,0.3109615551757812
19,CIFAR10,fedexp,0,0,100,0.1,4,199,0.7905,0.87846,0.8031,0.89976,0.691410205078125,0.36647755126953124,0.622891748046875,0.304272041015625
20,CIFAR10,fedexp,0,0,100,0.1,4,209,0.7882,0.87538,0.806,0.90378,0.704198828125,0.3731493115234375,0.61780703125,0.29486151245117187
21,CIFAR10,fedexp,0,0,100,0.1,4,219,0.7983,0.89238,0.809,0.90592,0.64998212890625,0.3278686535644531,0.6151572021484375,0.28935447998046876
22,CIFAR10,fedexp,0,0,100,0.1,4,229,0.8002,0.89104,0.8105,0.90524,0.6528112060546875,0.32894152954101563,0.611352490234375,0.28671521179199216
23,CIFAR10,fedexp,0,0,100,0.1,4,239,0.8006,0.88982,0.8108,0.90544,0.6556779541015625,0.332876708984375,0.6116716064453125,0.28715887329101564
24,CIFAR10,fedexp,0,0,100,0.1,4,249,0.8035,0.89624,0.8125,0.9069,0.641301123046875,0.31296695373535155,0.6099668701171875,0.284017939453125
25,CIFAR10,fedexp,0,0,100,0.1,4,259,0.8082,0.902,0.8147,0.90918,0.629794921875,0.29863070068359376,0.6064607177734375,0.2756305096435547
26,CIFAR10,fedexp,0,0,100,0.1,4,269,0.808,0.90158,0.8134,0.91092,0.636273388671875,0.3004761340332031,0.6043094482421875,0.2697566271972656
27,CIFAR10,fedexp,0,0,100,0.1,4,279,0.8046,0.89962,0.8141,0.91216,0.6409415283203125,0.2992637536621094,0.603096435546875,0.26599296264648437
28,CIFAR10,fedexp,0,0,100,0.1,4,289,0.8035,0.89924,0.8137,0.91284,0.6401434814453125,0.3086556005859375,0.6044919921875,0.267030849609375
29,CIFAR10,fedexp,0,0,100,0.1,4,299,0.7865,0.8826,0.8121,0.91356,0.6846140380859375,0.3483847131347656,0.598528173828125,0.2634729095458984
