,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0,100,0.1,2,9,0.4943,0.49458,0.4341,0.42776,1.403539453125,1.4059655322265625,1.91068203125,1.914377021484375
1,CIFAR10,fedexp,0,0,100,0.1,2,19,0.5735,0.58254,0.5347,0.53918,1.205130419921875,1.183489931640625,1.426825390625,1.4239652685546875
2,CIFAR10,fedexp,0,0,100,0.1,2,29,0.6327,0.6472,0.5977,0.61472,1.05544697265625,1.004269970703125,1.1548109375,1.1275125146484375
3,CIFAR10,fedexp,0,0,100,0.1,2,39,0.6704,0.69646,0.6489,0.67186,0.9611619384765625,0.87668708984375,1.00988330078125,0.9508971899414063
4,CIFAR10,fedexp,0,0,100,0.1,2,49,0.6917,0.73062,0.6761,0.7073,0.8973896240234375,0.7861553979492187,0.935338916015625,0.8514396142578124
5,CIFAR10,fedexp,0,0,100,0.1,2,59,0.7109,0.7503,0.702,0.73798,0.8659615234375,0.720509423828125,0.876486865234375,0.7678859741210937
6,CIFAR10,fedexp,0,0,100,0.1,2,69,0.7269,0.7787,0.7214,0.76844,0.80996787109375,0.6484344409179688,0.8203256591796875,0.6788174072265625
7,CIFAR10,fedexp,0,0,100,0.1,2,79,0.738,0.79492,0.7364,0.78904,0.7916741455078125,0.5996879296875,0.786747900390625,0.61888607421875
8,CIFAR10,fedexp,0,0,100,0.1,2,89,0.7463,0.80356,0.7472,0.8047,0.774521826171875,0.5710689111328126,0.75872080078125,0.5703440795898438
9,CIFAR10,fedexp,0,0,100,0.1,2,99,0.758,0.82296,0.7601,0.82062,0.73952138671875,0.5163550524902344,0.7351889892578125,0.5241777331542968
10,CIFAR10,fedexp,0,0,100,0.1,2,109,0.7617,0.83166,0.7644,0.834,0.7288029296875,0.4950407531738281,0.7182453857421875,0.48716449951171875
11,CIFAR10,fedexp,0,0,100,0.1,2,119,0.7632,0.8423,0.7675,0.84316,0.7221626953125,0.46624479125976565,0.70965712890625,0.463260380859375
12,CIFAR10,fedexp,0,0,100,0.1,2,129,0.7658,0.8449,0.7733,0.85168,0.7261820068359375,0.45763533081054686,0.6964107177734375,0.43855661743164065
13,CIFAR10,fedexp,0,0,100,0.1,2,139,0.7659,0.85036,0.777,0.86012,0.716659130859375,0.43521716552734374,0.68805205078125,0.41604781494140625
14,CIFAR10,fedexp,0,0,100,0.1,2,149,0.7718,0.86208,0.7767,0.86596,0.6978849853515625,0.41031061401367186,0.6796548095703125,0.39752467529296875
