,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0.3,100,0.01,4,9,0.2487,0.248,0.1637,0.16294,2.2795873046875,2.276478525390625,2.28290263671875,2.282732734375
1,CIFAR10,fedexp,0,0.3,100,0.01,4,19,0.2991,0.29738,0.282,0.28326,2.30994560546875,2.312859541015625,2.2438330078125,2.24370701171875
2,CIFAR10,fedexp,0,0.3,100,0.01,4,29,0.3173,0.31542,0.3445,0.35022,3.07033828125,3.0686768359375,2.18254814453125,2.182556650390625
3,CIFAR10,fedexp,0,0.3,100,0.01,4,39,0.5086,0.5179,0.3984,0.40116,1.363149755859375,1.334072958984375,2.0840228515625,2.08417365234375
4,CIFAR10,fedexp,0,0.3,100,0.01,4,49,0.4769,0.4839,0.4515,0.45548,1.54723212890625,1.517970166015625,1.974969482421875,1.97458728515625
5,CIFAR10,fedexp,0,0.3,100,0.01,4,59,0.4589,0.47378,0.4994,0.5061,1.9189228515625,1.8502569677734375,1.874233642578125,1.8723336865234375
6,CIFAR10,fedexp,0,0.3,100,0.01,4,69,0.6009,0.62106,0.5328,0.53898,1.16163427734375,1.0939216528320312,1.779967822265625,1.7759514453125
7,CIFAR10,fedexp,0,0.3,100,0.01,4,79,0.4545,0.45956,0.5775,0.58726,2.24571376953125,2.16543009765625,1.60107919921875,1.5918458642578126
8,CIFAR10,fedexp,0,0.3,100,0.01,4,89,0.5108,0.52348,0.5993,0.61596,1.914632861328125,1.840678544921875,1.498675048828125,1.48421111328125
9,CIFAR10,fedexp,0,0.3,100,0.01,4,99,0.4756,0.4883,0.6395,0.65508,1.923753857421875,1.8228201904296875,1.2746896484375,1.2483094384765625
10,CIFAR10,fedexp,0,0.3,100,0.01,4,109,0.5294,0.55262,0.6516,0.66984,1.48642294921875,1.3922107373046875,1.20855185546875,1.176511875
11,CIFAR10,fedexp,0,0.3,100,0.01,4,119,0.5217,0.53958,0.6695,0.68924,1.857504248046875,1.762835693359375,1.118451904296875,1.077163671875
12,CIFAR10,fedexp,0,0.3,100,0.01,4,129,0.4628,0.48146,0.6789,0.69856,2.49585908203125,2.364062529296875,1.070740625,1.0245910522460937
13,CIFAR10,fedexp,0,0.3,100,0.01,4,139,0.5968,0.62752,0.6854,0.70696,1.24114873046875,1.135652294921875,1.036254833984375,0.9849413671875
14,CIFAR10,fedexp,0,0.3,100,0.01,4,149,0.51,0.53288,0.6913,0.71562,1.802774462890625,1.663001142578125,1.0106010498046876,0.9543437768554688
15,CIFAR10,fedexp,0,0.3,100,0.01,4,159,0.5555,0.5787,0.6968,0.72548,1.75956474609375,1.6266880517578124,0.9949765625,0.9341240283203125
16,CIFAR10,fedexp,0,0.3,100,0.01,4,169,0.4889,0.51694,0.7024,0.73314,2.17307724609375,2.03258326171875,0.9619417236328125,0.8956497045898437
17,CIFAR10,fedexp,0,0.3,100,0.01,4,179,0.5829,0.60734,0.7099,0.74416,1.585489599609375,1.458970517578125,0.9072838623046875,0.8323634838867188
18,CIFAR10,fedexp,0,0.3,100,0.01,4,189,0.6043,0.62634,0.7145,0.74856,1.3528845703125,1.225223857421875,0.895193212890625,0.8177640014648437
19,CIFAR10,fedexp,0,0.3,100,0.01,4,199,0.4834,0.50684,0.7211,0.75874,2.2737521484375,2.130135048828125,0.84688427734375,0.7613815307617188
20,CIFAR10,fedexp,0,0.3,100,0.01,4,209,0.6347,0.66256,0.7305,0.7693,1.221243603515625,1.0857817041015625,0.810169677734375,0.7165395849609375
21,CIFAR10,fedexp,0,0.3,100,0.01,4,219,0.4913,0.50128,0.7367,0.77378,2.3353921875,2.198026572265625,0.7940998779296875,0.6961851416015625
22,CIFAR10,fedexp,0,0.3,100,0.01,4,229,0.6756,0.7057,0.7421,0.7818,1.04286953125,0.8969314721679688,0.7688185546875,0.6637532421875
23,CIFAR10,fedexp,0,0.3,100,0.01,4,239,0.526,0.53928,0.7464,0.78508,2.044121826171875,1.9071371630859375,0.751511572265625,0.640149482421875
24,CIFAR10,fedexp,0,0.3,100,0.01,4,249,0.6183,0.64404,0.7467,0.78868,1.26114306640625,1.1232989892578125,0.73859775390625,0.622433671875
25,CIFAR10,fedexp,0,0.3,100,0.01,4,259,0.6783,0.71484,0.7522,0.796,0.99278193359375,0.84329728515625,0.72448232421875,0.6033356030273438
26,CIFAR10,fedexp,0,0.3,100,0.01,4,269,0.5343,0.55848,0.7549,0.79908,1.84349384765625,1.690158271484375,0.7177792236328125,0.5940045922851562
27,CIFAR10,fedexp,0,0.3,100,0.01,4,279,0.7009,0.73908,0.7569,0.80344,0.9521635009765625,0.790584287109375,0.710230517578125,0.5827061962890625
28,CIFAR10,fedexp,0,0.3,100,0.01,4,289,0.6472,0.68424,0.7606,0.80812,1.173513037109375,1.0110699487304688,0.7019917236328125,0.57024986328125
29,CIFAR10,fedexp,0,0.3,100,0.01,4,299,0.6316,0.65914,0.7615,0.81206,1.3420298828125,1.181315048828125,0.6938470458984375,0.5559112670898437
30,CIFAR10,fedexp,0,0.3,100,0.01,4,309,0.59,0.6112,0.7621,0.8127,1.7151291015625,1.540608173828125,0.6909484375,0.5518221606445313
31,CIFAR10,fedexp,0,0.3,100,0.01,4,319,0.613,0.64226,0.7648,0.81444,1.559678369140625,1.3810005615234375,0.68783994140625,0.5444756176757812
32,CIFAR10,fedexp,0,0.3,100,0.01,4,329,0.5164,0.54892,0.7659,0.81694,1.8987,1.718794775390625,0.6835682373046875,0.5378068188476562
33,CIFAR10,fedexp,0,0.3,100,0.01,4,339,0.5349,0.56964,0.7664,0.81934,1.666711083984375,1.488367958984375,0.6789723388671876,0.5304325903320313
34,CIFAR10,fedexp,0,0.3,100,0.01,4,349,0.6167,0.64208,0.7675,0.82352,1.397218798828125,1.2262893603515626,0.67024560546875,0.5135866149902344
35,CIFAR10,fedexp,0,0.3,100,0.01,4,359,0.497,0.52476,0.7699,0.82572,2.2912853515625,2.097320615234375,0.6673411376953124,0.5055083618164062
36,CIFAR10,fedexp,0,0.3,100,0.01,4,369,0.6107,0.64078,0.7723,0.8273,1.434395947265625,1.25093484375,0.6643196044921875,0.5008125427246094
37,CIFAR10,fedexp,0,0.3,100,0.01,4,379,0.6965,0.73716,0.7738,0.8292,0.9473967041015625,0.7828141967773438,0.65991552734375,0.4957204467773437
38,CIFAR10,fedexp,0,0.3,100,0.01,4,389,0.545,0.56712,0.7765,0.83184,1.801556640625,1.633860126953125,0.6565064453125,0.487796376953125
39,CIFAR10,fedexp,0,0.3,100,0.01,4,399,0.5902,0.61208,0.7773,0.83372,1.523355126953125,1.3740820849609374,0.654008447265625,0.48477372802734375
40,CIFAR10,fedexp,0,0.3,100,0.01,4,409,0.6468,0.6907,0.7786,0.83446,1.125920166015625,0.9309833276367188,0.6535819580078125,0.48371179809570314
41,CIFAR10,fedexp,0,0.3,100,0.01,4,419,0.707,0.74766,0.7786,0.83562,0.951600830078125,0.7674193359375,0.6517332275390625,0.4796873400878906
42,CIFAR10,fedexp,0,0.3,100,0.01,4,429,0.623,0.6606,0.7814,0.8375,1.36981435546875,1.1941861572265624,0.6474058837890625,0.47347842407226565
43,CIFAR10,fedexp,0,0.3,100,0.01,4,439,0.5841,0.6116,0.7807,0.83854,1.537023828125,1.378278505859375,0.6466028076171875,0.4726440380859375
44,CIFAR10,fedexp,0,0.3,100,0.01,4,449,0.5954,0.6384,0.7832,0.8381,1.414416748046875,1.2201972265625,0.6449619873046875,0.4714333581542969
45,CIFAR10,fedexp,0,0.3,100,0.01,4,459,0.6357,0.6682,0.7836,0.84042,1.29019716796875,1.1233074853515626,0.639048486328125,0.46502843872070315
46,CIFAR10,fedexp,0,0.3,100,0.01,4,469,0.6041,0.62606,0.7843,0.84134,1.509486962890625,1.341656982421875,0.637325830078125,0.4629839880371094
47,CIFAR10,fedexp,0,0.3,100,0.01,4,479,0.711,0.75572,0.7902,0.84364,0.9083424560546876,0.7178067260742188,0.6333176025390626,0.4591188549804687
48,CIFAR10,fedexp,0,0.3,100,0.01,4,489,0.7216,0.76956,0.7897,0.84536,0.861168115234375,0.6904080004882812,0.6291738037109375,0.45298190795898435
49,CIFAR10,fedexp,0,0.3,100,0.01,4,499,0.6848,0.72604,0.7896,0.84706,1.03897607421875,0.8746591577148437,0.627451806640625,0.450616572265625
50,CIFAR10,fedexp,0,0.3,100,0.01,4,509,0.5561,0.584,0.7898,0.84866,1.808116064453125,1.6326942724609375,0.6239595458984375,0.4452746826171875
51,CIFAR10,fedexp,0,0.3,100,0.01,4,519,0.595,0.62748,0.7906,0.84876,1.48049287109375,1.287720107421875,0.623551806640625,0.4438645080566406
52,CIFAR10,fedexp,0,0.3,100,0.01,4,529,0.5477,0.57544,0.791,0.85096,1.7070947265625,1.500299599609375,0.6191786865234375,0.43914752685546876
53,CIFAR10,fedexp,0,0.3,100,0.01,4,539,0.6238,0.6662,0.7925,0.85214,1.279170751953125,1.0801511865234374,0.61713662109375,0.43512244140625
54,CIFAR10,fedexp,0,0.3,100,0.01,4,549,0.5309,0.55534,0.7937,0.85362,1.924743701171875,1.73514986328125,0.6156290771484375,0.430067314453125
55,CIFAR10,fedexp,0,0.3,100,0.01,4,559,0.5431,0.5714,0.794,0.85494,2.006883642578125,1.78822359375,0.6151983642578125,0.42740628295898436
56,CIFAR10,fedexp,0,0.3,100,0.01,4,569,0.6914,0.7419,0.7943,0.8557,0.986889404296875,0.7905975708007813,0.6164095947265625,0.4274217041015625
57,CIFAR10,fedexp,0,0.3,100,0.01,4,579,0.6305,0.6673,0.7968,0.85614,1.375119873046875,1.14666044921875,0.6175039306640625,0.42598612548828124
58,CIFAR10,fedexp,0,0.3,100,0.01,4,589,0.7302,0.77696,0.797,0.85526,0.84226015625,0.6479825903320312,0.6172958251953125,0.4261256726074219
59,CIFAR10,fedexp,0,0.3,100,0.01,4,599,0.5296,0.55878,0.7975,0.85688,2.04679423828125,1.82095826171875,0.61574365234375,0.42312891845703127
