,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0.3,100,0.01,2,9,0.3517,0.35358,0.1399,0.14274,2.19288623046875,2.1892120654296874,2.2789095703125,2.278814228515625
1,CIFAR10,fedexp,0,0.3,100,0.01,2,19,0.3873,0.38798,0.227,0.2246,2.83357509765625,2.765230390625,2.24204091796875,2.241905185546875
2,CIFAR10,fedexp,0,0.3,100,0.01,2,29,0.2518,0.25816,0.2965,0.2961,4.1509734375,4.0734090234375,2.17591533203125,2.17495111328125
3,CIFAR10,fedexp,0,0.3,100,0.01,2,39,0.4699,0.4868,0.3759,0.3774,2.1414052734375,2.068434892578125,2.07282333984375,2.069635634765625
4,CIFAR10,fedexp,0,0.3,100,0.01,2,49,0.4641,0.48342,0.4082,0.41184,2.4150498046875,2.307164951171875,2.01163740234375,2.0067509912109376
5,CIFAR10,fedexp,0,0.3,100,0.01,2,59,0.4173,0.42562,0.4899,0.49628,3.3319890625,3.21337470703125,1.849972998046875,1.839572685546875
6,CIFAR10,fedexp,0,0.3,100,0.01,2,69,0.4241,0.42934,0.5551,0.56914,2.7785419921875,2.674463525390625,1.630723486328125,1.610122587890625
7,CIFAR10,fedexp,0,0.3,100,0.01,2,79,0.5909,0.61062,0.5915,0.60814,1.525368896484375,1.40374015625,1.508215966796875,1.48040494140625
8,CIFAR10,fedexp,0,0.3,100,0.01,2,89,0.4718,0.49142,0.6139,0.63434,2.70370732421875,2.543070966796875,1.4077041015625,1.3729031494140624
9,CIFAR10,fedexp,0,0.3,100,0.01,2,99,0.6305,0.66392,0.6382,0.66042,1.2475005859375,1.0972361669921875,1.301306103515625,1.2586856494140626
10,CIFAR10,fedexp,0,0.3,100,0.01,2,109,0.5594,0.58472,0.6588,0.68564,1.96864345703125,1.8382825634765625,1.182268359375,1.1295262939453126
11,CIFAR10,fedexp,0,0.3,100,0.01,2,119,0.6177,0.64178,0.6807,0.71698,1.502280029296875,1.37339357421875,1.02811494140625,0.958892998046875
12,CIFAR10,fedexp,0,0.3,100,0.01,2,129,0.6067,0.62756,0.6962,0.73464,1.686214208984375,1.558162978515625,0.9377033203125,0.85699955078125
13,CIFAR10,fedexp,0,0.3,100,0.01,2,139,0.405,0.42472,0.7042,0.74738,2.96720283203125,2.816520244140625,0.890849609375,0.8018047607421875
14,CIFAR10,fedexp,0,0.3,100,0.01,2,149,0.4224,0.43154,0.7095,0.75198,2.7337248046875,2.639415517578125,0.882664013671875,0.7922686499023438
15,CIFAR10,fedexp,0,0.3,100,0.01,2,159,0.6362,0.67128,0.7178,0.76248,1.28974521484375,1.14079083984375,0.830196923828125,0.7248424340820312
16,CIFAR10,fedexp,0,0.3,100,0.01,2,169,0.5597,0.58194,0.7231,0.76968,2.00020166015625,1.870213505859375,0.80509833984375,0.691058701171875
17,CIFAR10,fedexp,0,0.3,100,0.01,2,179,0.5106,0.5267,0.7288,0.77668,2.3332462890625,2.179810068359375,0.78535078125,0.6624535009765625
18,CIFAR10,fedexp,0,0.3,100,0.01,2,189,0.6004,0.63396,0.7345,0.77958,1.55881748046875,1.3659794873046875,0.77548544921875,0.6510985009765625
19,CIFAR10,fedexp,0,0.3,100,0.01,2,199,0.6005,0.62216,0.7384,0.78648,1.584488427734375,1.425048671875,0.7619244873046875,0.6308444897460938
20,CIFAR10,fedexp,0,0.3,100,0.01,2,209,0.5647,0.58208,0.7418,0.79092,1.98306103515625,1.8424466845703125,0.7527070556640625,0.6187660571289062
21,CIFAR10,fedexp,0,0.3,100,0.01,2,219,0.4409,0.45684,0.747,0.79554,2.742708203125,2.554489560546875,0.740997607421875,0.6028569287109375
22,CIFAR10,fedexp,0,0.3,100,0.01,2,229,0.515,0.53582,0.7506,0.79848,2.38384814453125,2.2108007861328125,0.7348743408203126,0.5931978588867187
23,CIFAR10,fedexp,0,0.3,100,0.01,2,239,0.5978,0.6312,0.7562,0.80492,1.555798388671875,1.367356787109375,0.721163720703125,0.5761059936523437
24,CIFAR10,fedexp,0,0.3,100,0.01,2,249,0.6153,0.65008,0.7607,0.81132,1.405356201171875,1.2359624365234374,0.7090528564453125,0.5600066772460938
25,CIFAR10,fedexp,0,0.3,100,0.01,2,259,0.5065,0.52674,0.7618,0.81352,2.33292158203125,2.174451259765625,0.7044134765625,0.5547388647460938
26,CIFAR10,fedexp,0,0.3,100,0.01,2,269,0.5455,0.5706,0.7627,0.8159,1.5789509765625,1.457939794921875,0.699542431640625,0.5487000732421875
27,CIFAR10,fedexp,0,0.3,100,0.01,2,279,0.5954,0.61396,0.763,0.81744,1.761299560546875,1.6166749169921875,0.6963636474609375,0.5414635131835938
28,CIFAR10,fedexp,0,0.3,100,0.01,2,289,0.5065,0.5317,0.7669,0.81824,2.250225390625,2.060853447265625,0.6922534912109375,0.5362052734375
29,CIFAR10,fedexp,0,0.3,100,0.01,2,299,0.5964,0.62212,0.7667,0.81998,1.705417919921875,1.560932802734375,0.6881435302734376,0.5317995434570313
30,CIFAR10,fedexp,0,0.3,100,0.01,2,309,0.532,0.55052,0.7689,0.82104,2.221649609375,2.0605982568359376,0.6846185791015625,0.5301235400390625
31,CIFAR10,fedexp,0,0.3,100,0.01,2,319,0.6449,0.6747,0.7709,0.82224,1.252550927734375,1.0846542626953124,0.67829794921875,0.5260934838867187
32,CIFAR10,fedexp,0,0.3,100,0.01,2,329,0.5475,0.567,0.7731,0.82378,2.0236255859375,1.8563647265625,0.6749671142578125,0.5232084692382812
33,CIFAR10,fedexp,0,0.3,100,0.01,2,339,0.6488,0.6865,0.7752,0.82414,1.18417666015625,1.0324388671875,0.671880712890625,0.5203924096679687
34,CIFAR10,fedexp,0,0.3,100,0.01,2,349,0.4713,0.48814,0.7749,0.82464,2.4204005859375,2.247677158203125,0.6692083984375,0.5186373120117187
35,CIFAR10,fedexp,0,0.3,100,0.01,2,359,0.5055,0.52394,0.7749,0.82584,2.19700537109375,2.075136240234375,0.6648604248046875,0.5146067919921875
36,CIFAR10,fedexp,0,0.3,100,0.01,2,369,0.5422,0.56206,0.7787,0.82632,2.19641318359375,2.0143674560546874,0.6610004150390625,0.5106313549804687
37,CIFAR10,fedexp,0,0.3,100,0.01,2,379,0.5332,0.55282,0.7817,0.8279,2.15440224609375,2.002181533203125,0.657448876953125,0.5055901782226563
38,CIFAR10,fedexp,0,0.3,100,0.01,2,389,0.552,0.57636,0.7825,0.83052,1.84930224609375,1.708379765625,0.6554689697265625,0.5016579931640625
39,CIFAR10,fedexp,0,0.3,100,0.01,2,399,0.6753,0.71458,0.7825,0.83256,1.11694443359375,0.9307747607421875,0.6540966796875,0.496662685546875
40,CIFAR10,fedexp,0,0.3,100,0.01,2,409,0.5873,0.62066,0.7825,0.83388,1.688348828125,1.5149398388671875,0.650974658203125,0.49200103637695314
41,CIFAR10,fedexp,0,0.3,100,0.01,2,419,0.6777,0.71276,0.7813,0.83578,1.1738421875,1.008208916015625,0.6484738525390625,0.4897905920410156
42,CIFAR10,fedexp,0,0.3,100,0.01,2,429,0.6569,0.6928,0.7834,0.83564,1.09541904296875,0.9678587451171875,0.64738896484375,0.4895019287109375
43,CIFAR10,fedexp,0,0.3,100,0.01,2,439,0.5535,0.58266,0.7858,0.8369,1.941904443359375,1.7517397314453125,0.6415456787109375,0.484261611328125
44,CIFAR10,fedexp,0,0.3,100,0.01,2,449,0.5707,0.59752,0.7856,0.8376,1.76263994140625,1.5797916162109376,0.6386628173828125,0.4810489306640625
45,CIFAR10,fedexp,0,0.3,100,0.01,2,459,0.6396,0.66472,0.7877,0.83798,1.43902607421875,1.2760291650390625,0.63512919921875,0.47823774780273437
46,CIFAR10,fedexp,0,0.3,100,0.01,2,469,0.6462,0.68032,0.7882,0.83924,1.399680810546875,1.20433833984375,0.634675537109375,0.47611891845703125
47,CIFAR10,fedexp,0,0.3,100,0.01,2,479,0.6311,0.65828,0.7873,0.8392,1.31827080078125,1.184657939453125,0.634053271484375,0.47525821044921873
48,CIFAR10,fedexp,0,0.3,100,0.01,2,489,0.6279,0.65596,0.7903,0.83954,1.599024560546875,1.4223003564453125,0.6314102783203125,0.47314219482421876
49,CIFAR10,fedexp,0,0.3,100,0.01,2,499,0.6672,0.70042,0.7913,0.84038,1.217841845703125,1.0391567919921876,0.630720654296875,0.471400625
50,CIFAR10,fedexp,0,0.3,100,0.01,2,509,0.6208,0.6522,0.7916,0.84188,1.584926025390625,1.395012607421875,0.6294431884765626,0.4676988037109375
51,CIFAR10,fedexp,0,0.3,100,0.01,2,519,0.5908,0.61384,0.7913,0.84122,1.700322705078125,1.563715107421875,0.627330126953125,0.4663228271484375
52,CIFAR10,fedexp,0,0.3,100,0.01,2,529,0.5872,0.6133,0.7922,0.8416,1.793996240234375,1.6101988134765626,0.6248832275390624,0.4656955847167969
53,CIFAR10,fedexp,0,0.3,100,0.01,2,539,0.6049,0.64348,0.7931,0.84294,1.484938916015625,1.2804672119140625,0.622048046875,0.46270653930664063
54,CIFAR10,fedexp,0,0.3,100,0.01,2,549,0.682,0.71112,0.7934,0.84376,1.187650732421875,1.0381107592773438,0.6212441162109374,0.4638036669921875
55,CIFAR10,fedexp,0,0.3,100,0.01,2,559,0.635,0.673,0.7928,0.84468,1.442431298828125,1.2418116064453124,0.61859375,0.46069217041015625
56,CIFAR10,fedexp,0,0.3,100,0.01,2,569,0.6319,0.66096,0.7922,0.84652,1.378192626953125,1.207539150390625,0.61786240234375,0.45802025634765625
57,CIFAR10,fedexp,0,0.3,100,0.01,2,579,0.6551,0.70338,0.7939,0.84814,1.193848291015625,1.0071712329101563,0.6160289794921875,0.4546350451660156
58,CIFAR10,fedexp,0,0.3,100,0.01,2,589,0.5825,0.60968,0.7943,0.84796,1.7766505859375,1.595043291015625,0.6136823974609374,0.4517178271484375
59,CIFAR10,fedexp,0,0.3,100,0.01,2,599,0.422,0.43968,0.7972,0.84894,2.722671875,2.564609501953125,0.6120829345703125,0.4513400207519531
