,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0.3,100,0.01,4,9,0.1838,0.18338,0.1076,0.10766,4.0872240234375,4.0927401953125,2.29309736328125,2.29296302734375
1,CIFAR10,fedexp,0,0.3,100,0.01,4,19,0.2901,0.29946,0.1354,0.13338,3.2549943359375,3.235351259765625,2.2656302734375,2.26547169921875
2,CIFAR10,fedexp,0,0.3,100,0.01,4,29,0.3622,0.3683,0.2005,0.20268,3.08447822265625,3.056376376953125,2.2228654296875,2.22253935546875
3,CIFAR10,fedexp,0,0.3,100,0.01,4,39,0.4816,0.4967,0.3513,0.35736,2.04532490234375,1.9794739990234376,2.15508212890625,2.154081884765625
4,CIFAR10,fedexp,0,0.3,100,0.01,4,49,0.51,0.51866,0.4702,0.476,2.2399435546875,2.15847076171875,1.924477490234375,1.91970943359375
5,CIFAR10,fedexp,0,0.3,100,0.01,4,59,0.4444,0.45722,0.5202,0.52718,2.48071884765625,2.391120712890625,1.779016357421875,1.7699430078125
6,CIFAR10,fedexp,0,0.3,100,0.01,4,69,0.5478,0.56746,0.588,0.60388,1.501457373046875,1.427975830078125,1.51232744140625,1.491882666015625
7,CIFAR10,fedexp,0,0.3,100,0.01,4,79,0.5812,0.59546,0.6122,0.63104,1.5702634765625,1.4749730810546875,1.37972197265625,1.3517017431640626
8,CIFAR10,fedexp,0,0.3,100,0.01,4,89,0.4962,0.50886,0.6289,0.65082,2.1587130859375,2.06836818359375,1.3048517578125,1.2729870458984376
9,CIFAR10,fedexp,0,0.3,100,0.01,4,99,0.4955,0.51334,0.6705,0.693,2.19757529296875,2.0683022802734374,1.095478369140625,1.0507264892578125
10,CIFAR10,fedexp,0,0.3,100,0.01,4,109,0.4978,0.52212,0.6867,0.71144,2.196757421875,2.049656650390625,1.03442841796875,0.9836259155273438
11,CIFAR10,fedexp,0,0.3,100,0.01,4,119,0.4595,0.4713,0.7016,0.72772,2.72630703125,2.63175076171875,0.98264248046875,0.9266020947265625
12,CIFAR10,fedexp,0,0.3,100,0.01,4,129,0.4838,0.50246,0.7108,0.73854,2.630182421875,2.487249150390625,0.922544921875,0.8599309619140625
13,CIFAR10,fedexp,0,0.3,100,0.01,4,139,0.5483,0.5697,0.7165,0.74614,1.9998685546875,1.873793232421875,0.8944722412109375,0.8290534399414062
14,CIFAR10,fedexp,0,0.3,100,0.01,4,149,0.4599,0.47612,0.7203,0.74884,2.62028818359375,2.480857568359375,0.88357470703125,0.81732728515625
15,CIFAR10,fedexp,0,0.3,100,0.01,4,159,0.5816,0.59764,0.7267,0.75908,1.93507197265625,1.7835709326171876,0.8439435302734375,0.7697240185546875
16,CIFAR10,fedexp,0,0.3,100,0.01,4,169,0.4535,0.47504,0.732,0.7653,2.861088671875,2.673580634765625,0.8255371826171874,0.746178369140625
17,CIFAR10,fedexp,0,0.3,100,0.01,4,179,0.5813,0.60194,0.735,0.77218,1.8502318359375,1.713445986328125,0.79951845703125,0.713401083984375
18,CIFAR10,fedexp,0,0.3,100,0.01,4,189,0.5872,0.60784,0.7398,0.7763,1.6875560546875,1.5440470849609376,0.77710625,0.6872077124023438
19,CIFAR10,fedexp,0,0.3,100,0.01,4,199,0.5197,0.54116,0.7461,0.78452,2.1965,2.04942787109375,0.755168798828125,0.6600245263671874
20,CIFAR10,fedexp,0,0.3,100,0.01,4,209,0.6243,0.64308,0.7499,0.79084,1.4972892578125,1.3385637451171875,0.7361222412109375,0.6352799438476563
21,CIFAR10,fedexp,0,0.3,100,0.01,4,219,0.4961,0.51362,0.7562,0.79626,2.480751171875,2.36908505859375,0.7226762451171875,0.6191776513671875
22,CIFAR10,fedexp,0,0.3,100,0.01,4,229,0.6482,0.67316,0.7595,0.79916,1.259504296875,1.1238681201171874,0.70981953125,0.6030535595703125
23,CIFAR10,fedexp,0,0.3,100,0.01,4,239,0.4818,0.50046,0.764,0.80516,2.4977107421875,2.371900439453125,0.6959491455078125,0.5797819091796875
24,CIFAR10,fedexp,0,0.3,100,0.01,4,249,0.5396,0.55594,0.7681,0.80948,2.1719720703125,2.01037375,0.68548505859375,0.5657253100585937
25,CIFAR10,fedexp,0,0.3,100,0.01,4,259,0.6346,0.66372,0.7702,0.81466,1.2481685546875,1.1193445874023438,0.677828369140625,0.552894130859375
26,CIFAR10,fedexp,0,0.3,100,0.01,4,269,0.5629,0.58286,0.7719,0.81596,1.8553671875,1.6951884228515626,0.674344384765625,0.5484518334960937
27,CIFAR10,fedexp,0,0.3,100,0.01,4,279,0.7139,0.7524,0.7734,0.81918,0.955553759765625,0.8008381127929688,0.6672573974609375,0.53744470703125
28,CIFAR10,fedexp,0,0.3,100,0.01,4,289,0.5902,0.62158,0.7761,0.82288,1.5099251953125,1.3506246923828125,0.661631640625,0.5261086560058593
29,CIFAR10,fedexp,0,0.3,100,0.01,4,299,0.5573,0.5799,0.7762,0.82394,2.0306083984375,1.8722202099609375,0.6589404541015625,0.522991357421875
30,CIFAR10,fedexp,0,0.3,100,0.01,4,309,0.5822,0.61156,0.7757,0.82596,1.513819140625,1.3541208837890626,0.655830859375,0.5194118872070312
31,CIFAR10,fedexp,0,0.3,100,0.01,4,319,0.6065,0.62962,0.7781,0.82598,1.886697021484375,1.716017666015625,0.6572677734375,0.5165444482421875
32,CIFAR10,fedexp,0,0.3,100,0.01,4,329,0.6833,0.71432,0.7803,0.82834,1.11517255859375,0.9684911962890626,0.6552361328125,0.5141331030273437
33,CIFAR10,fedexp,0,0.3,100,0.01,4,339,0.5349,0.56204,0.7822,0.83014,2.0192859375,1.8483359326171875,0.65004716796875,0.5065436596679688
34,CIFAR10,fedexp,0,0.3,100,0.01,4,349,0.5964,0.61442,0.783,0.83084,1.634592919921875,1.5030765576171874,0.646497021484375,0.5034995190429687
35,CIFAR10,fedexp,0,0.3,100,0.01,4,359,0.4909,0.51374,0.7867,0.83044,2.6687255859375,2.51046279296875,0.6447622314453125,0.5038839086914062
36,CIFAR10,fedexp,0,0.3,100,0.01,4,369,0.5566,0.57396,0.788,0.83216,1.920711865234375,1.778241044921875,0.6412018798828125,0.5014503430175781
37,CIFAR10,fedexp,0,0.3,100,0.01,4,379,0.5922,0.61934,0.7861,0.83342,1.63223828125,1.4637686376953125,0.6374419921875,0.4969119091796875
38,CIFAR10,fedexp,0,0.3,100,0.01,4,389,0.486,0.50386,0.7887,0.83472,2.4515353515625,2.288676669921875,0.633755810546875,0.4885315185546875
39,CIFAR10,fedexp,0,0.3,100,0.01,4,399,0.598,0.62024,0.7892,0.8337,1.62583056640625,1.4921739208984375,0.6316279296875,0.48711821044921877
40,CIFAR10,fedexp,0,0.3,100,0.01,4,409,0.5746,0.59666,0.788,0.83498,1.65375888671875,1.503848466796875,0.63060458984375,0.4878884912109375
41,CIFAR10,fedexp,0,0.3,100,0.01,4,419,0.7097,0.73638,0.7886,0.83582,0.9560688720703125,0.8214913208007812,0.6274643310546875,0.485032392578125
