,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0.3,100,0.01,2,9,0.295,0.28766,0.1594,0.16108,2.1312826171875,2.1337204443359377,2.2887951171875,2.289016875
1,CIFAR10,fedexp,0,0.3,100,0.01,2,19,0.3681,0.36388,0.2055,0.20536,2.022951953125,2.0226746923828123,2.2490439453125,2.24947109375
2,CIFAR10,fedexp,0,0.3,100,0.01,2,29,0.3172,0.32016,0.2978,0.29576,2.3352587890625,2.31025791015625,2.176869921875,2.17788294921875
3,CIFAR10,fedexp,0,0.3,100,0.01,2,39,0.415,0.41686,0.3631,0.36644,1.768932861328125,1.757274638671875,2.09862646484375,2.10031078125
4,CIFAR10,fedexp,0,0.3,100,0.01,2,49,0.3552,0.35708,0.4041,0.40528,2.23728076171875,2.23371966796875,2.023102197265625,2.025099775390625
5,CIFAR10,fedexp,0,0.3,100,0.01,2,59,0.256,0.26026,0.4485,0.45308,3.17805166015625,3.149180009765625,1.883973388671875,1.8859057568359374
6,CIFAR10,fedexp,0,0.3,100,0.01,2,69,0.5288,0.5308,0.5005,0.50688,1.44794189453125,1.4270175537109375,1.71796435546875,1.7181679833984376
7,CIFAR10,fedexp,0,0.3,100,0.01,2,79,0.6188,0.62702,0.5514,0.55266,1.131489404296875,1.0991652685546875,1.54151279296875,1.5391612939453125
8,CIFAR10,fedexp,0,0.3,100,0.01,2,89,0.4878,0.50086,0.5775,0.57886,1.87666962890625,1.8213615380859376,1.434394091796875,1.4295713818359375
9,CIFAR10,fedexp,0,0.3,100,0.01,2,99,0.6331,0.65292,0.6087,0.61142,1.072937744140625,1.0120388330078125,1.348095166015625,1.3387922802734376
10,CIFAR10,fedexp,0,0.3,100,0.01,2,109,0.5648,0.58096,0.627,0.63152,1.501884423828125,1.451812822265625,1.268119091796875,1.2551816259765625
11,CIFAR10,fedexp,0,0.3,100,0.01,2,119,0.6308,0.64196,0.6488,0.6563,1.198114013671875,1.14418564453125,1.152744091796875,1.134788818359375
12,CIFAR10,fedexp,0,0.3,100,0.01,2,129,0.6342,0.64524,0.6662,0.67796,1.13217880859375,1.0754718310546876,1.073111767578125,1.04907521484375
13,CIFAR10,fedexp,0,0.3,100,0.01,2,139,0.4402,0.45218,0.6785,0.6926,2.0887654296875,1.998961220703125,1.0207130859375,0.9913612451171875
14,CIFAR10,fedexp,0,0.3,100,0.01,2,149,0.3759,0.38192,0.683,0.70242,3.089646875,3.0048101171875,0.9828805908203125,0.947875048828125
15,CIFAR10,fedexp,0,0.3,100,0.01,2,159,0.6672,0.69104,0.6907,0.71184,1.010303955078125,0.9261678051757812,0.94082138671875,0.8987789526367187
16,CIFAR10,fedexp,0,0.3,100,0.01,2,169,0.5343,0.54964,0.7082,0.7294,1.916861767578125,1.8079273974609376,0.8669268798828125,0.8116306665039063
17,CIFAR10,fedexp,0,0.3,100,0.01,2,179,0.529,0.54586,0.7126,0.73514,1.826977783203125,1.7331075048828124,0.8543269775390625,0.7951282592773438
18,CIFAR10,fedexp,0,0.3,100,0.01,2,189,0.6196,0.64924,0.7175,0.7451,1.2058033203125,1.0857191357421876,0.8260470947265625,0.7571440307617188
19,CIFAR10,fedexp,0,0.3,100,0.01,2,199,0.6443,0.6711,0.7254,0.75434,1.20001064453125,1.0751396337890624,0.803342041015625,0.7247527734375
20,CIFAR10,fedexp,0,0.3,100,0.01,2,209,0.5562,0.5733,0.7308,0.7599,1.791826025390625,1.6685682763671874,0.78998017578125,0.7071301611328125
21,CIFAR10,fedexp,0,0.3,100,0.01,2,219,0.5589,0.58366,0.736,0.7656,1.6118703125,1.4991720751953126,0.77720390625,0.6909066162109375
22,CIFAR10,fedexp,0,0.3,100,0.01,2,229,0.5922,0.60614,0.739,0.7718,1.3533794921875,1.2611101416015624,0.7635541015625,0.6730740283203125
23,CIFAR10,fedexp,0,0.3,100,0.01,2,239,0.4785,0.49552,0.7402,0.7744,1.950032177734375,1.8216092529296875,0.7589011474609375,0.6675043408203125
24,CIFAR10,fedexp,0,0.3,100,0.01,2,249,0.6801,0.7167,0.7468,0.78048,0.9923432373046875,0.8508332934570313,0.7444238037109375,0.6434075170898438
25,CIFAR10,fedexp,0,0.3,100,0.01,2,259,0.5245,0.54004,0.7497,0.78488,1.804659912109375,1.704327763671875,0.735062255859375,0.6283577294921875
26,CIFAR10,fedexp,0,0.3,100,0.01,2,269,0.6871,0.71984,0.7533,0.78882,1.005273095703125,0.867836552734375,0.726358984375,0.6166372998046875
27,CIFAR10,fedexp,0,0.3,100,0.01,2,279,0.6341,0.65214,0.7551,0.79142,1.361620458984375,1.2463980810546875,0.721441259765625,0.61091884765625
28,CIFAR10,fedexp,0,0.3,100,0.01,2,289,0.5055,0.53124,0.7564,0.7955,1.86505595703125,1.7228850048828126,0.714490478515625,0.6002650903320312
29,CIFAR10,fedexp,0,0.3,100,0.01,2,299,0.5557,0.57266,0.7599,0.79914,1.92824541015625,1.7991080078125,0.7069637939453125,0.5903467114257812
30,CIFAR10,fedexp,0,0.3,100,0.01,2,309,0.5445,0.5626,0.7638,0.80152,2.0453271484375,1.909668046875,0.70083779296875,0.5815391772460937
31,CIFAR10,fedexp,0,0.3,100,0.01,2,319,0.6803,0.72036,0.7662,0.80442,0.9766043212890625,0.8323841870117188,0.6921999267578125,0.5699728076171875
32,CIFAR10,fedexp,0,0.3,100,0.01,2,329,0.5725,0.59648,0.7674,0.806,1.56115927734375,1.4152082763671876,0.6874975341796875,0.565003486328125
33,CIFAR10,fedexp,0,0.3,100,0.01,2,339,0.633,0.6589,0.7699,0.8081,1.38170546875,1.2256023876953126,0.6814607666015625,0.5578890283203125
34,CIFAR10,fedexp,0,0.3,100,0.01,2,349,0.5544,0.57676,0.7735,0.81116,1.6108896484375,1.465015576171875,0.6774329345703125,0.5533858374023437
35,CIFAR10,fedexp,0,0.3,100,0.01,2,359,0.5377,0.5593,0.7747,0.81398,1.755494140625,1.6318907861328125,0.67316640625,0.5472477172851562
36,CIFAR10,fedexp,0,0.3,100,0.01,2,369,0.4487,0.4671,0.7752,0.81628,2.10989755859375,1.96797884765625,0.6680402587890625,0.539417470703125
37,CIFAR10,fedexp,0,0.3,100,0.01,2,379,0.614,0.63874,0.7767,0.81736,1.4492296875,1.283603818359375,0.664925439453125,0.5347550659179687
38,CIFAR10,fedexp,0,0.3,100,0.01,2,389,0.5817,0.60738,0.7747,0.81846,1.50671826171875,1.34942689453125,0.6643756591796875,0.5314345971679687
39,CIFAR10,fedexp,0,0.3,100,0.01,2,399,0.6426,0.6782,0.7767,0.82002,1.240967822265625,1.0707718310546874,0.6614574951171875,0.5253632592773437
40,CIFAR10,fedexp,0,0.3,100,0.01,2,409,0.618,0.65222,0.7777,0.82094,1.396308837890625,1.2229066552734376,0.659702587890625,0.5208244702148438
41,CIFAR10,fedexp,0,0.3,100,0.01,2,419,0.6836,0.71904,0.7769,0.823,1.046695849609375,0.8808464086914063,0.656806494140625,0.5167816027832032
42,CIFAR10,fedexp,0,0.3,100,0.01,2,429,0.7096,0.75242,0.7797,0.82344,0.8985615234375,0.73833634765625,0.6552972412109375,0.5139102258300782
43,CIFAR10,fedexp,0,0.3,100,0.01,2,439,0.7241,0.77054,0.7795,0.82494,0.872885595703125,0.7019181176757813,0.6538274658203125,0.5101797424316407
44,CIFAR10,fedexp,0,0.3,100,0.01,2,449,0.5639,0.59228,0.7796,0.82642,1.637777978515625,1.4456527880859376,0.652924462890625,0.5048272644042969
45,CIFAR10,fedexp,0,0.3,100,0.01,2,459,0.6707,0.70242,0.7801,0.82856,1.31065859375,1.1281236181640626,0.65009423828125,0.5008207067871093
46,CIFAR10,fedexp,0,0.3,100,0.01,2,469,0.6592,0.68848,0.783,0.83102,1.116444970703125,0.9787975146484375,0.6473640869140626,0.49520763916015625
