,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0.3,100,0.01,2,9,0.3096,0.30632,0.1627,0.16648,2.06580859375,2.0727956005859376,2.291496484375,2.29152046875
1,CIFAR10,fedexp,0,0.3,100,0.01,2,19,0.3452,0.34412,0.2715,0.26966,2.0322591796875,2.0186104248046877,2.25758994140625,2.257881455078125
2,CIFAR10,fedexp,0,0.3,100,0.01,2,29,0.241,0.24108,0.3422,0.33264,2.46500703125,2.469265546875,2.197191015625,2.1982390625
3,CIFAR10,fedexp,0,0.3,100,0.01,2,39,0.3451,0.34304,0.3579,0.35252,1.8255875,1.8118530810546876,2.13054873046875,2.132302109375
4,CIFAR10,fedexp,0,0.3,100,0.01,2,49,0.3364,0.33898,0.3809,0.37792,2.6795322265625,2.6748254296875,2.06541416015625,2.06759970703125
5,CIFAR10,fedexp,0,0.3,100,0.01,2,59,0.3913,0.3993,0.4269,0.42178,2.5125322265625,2.481785556640625,1.945918603515625,1.9481522021484374
6,CIFAR10,fedexp,0,0.3,100,0.01,2,69,0.4939,0.48974,0.476,0.47094,1.5320404296875,1.5166414990234376,1.793684814453125,1.7943722412109375
7,CIFAR10,fedexp,0,0.3,100,0.01,2,79,0.6042,0.60594,0.5233,0.52228,1.155565380859375,1.13294384765625,1.62171181640625,1.620025322265625
8,CIFAR10,fedexp,0,0.3,100,0.01,2,89,0.4474,0.45618,0.5487,0.54818,1.930412744140625,1.8947688623046874,1.515392822265625,1.5116540283203126
9,CIFAR10,fedexp,0,0.3,100,0.01,2,99,0.6341,0.6508,0.5788,0.58002,1.065036474609375,1.0130678271484375,1.4334736328125,1.4262888037109376
10,CIFAR10,fedexp,0,0.3,100,0.01,2,109,0.4589,0.4662,0.6006,0.6028,2.073391796875,2.033991923828125,1.348078662109375,1.3375587939453124
11,CIFAR10,fedexp,0,0.3,100,0.01,2,119,0.6502,0.66832,0.6286,0.63356,1.04283251953125,0.9906312890625,1.228263818359375,1.212912294921875
12,CIFAR10,fedexp,0,0.3,100,0.01,2,129,0.6324,0.64348,0.6481,0.6577,1.111817236328125,1.0581336767578124,1.136416064453125,1.1159177490234375
13,CIFAR10,fedexp,0,0.3,100,0.01,2,139,0.4348,0.447,0.6593,0.67076,1.995079296875,1.925906025390625,1.078108251953125,1.052912236328125
14,CIFAR10,fedexp,0,0.3,100,0.01,2,149,0.37,0.37404,0.6709,0.68332,2.82373115234375,2.774387568359375,1.036397412109375,1.006512568359375
15,CIFAR10,fedexp,0,0.3,100,0.01,2,159,0.6262,0.65572,0.6812,0.69542,1.103855078125,1.0212950317382812,0.9874125,0.951747255859375
16,CIFAR10,fedexp,0,0.3,100,0.01,2,169,0.5461,0.55944,0.6964,0.7159,1.85599033203125,1.77303703125,0.9045359375,0.8577205517578125
