,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0.3,100,0.1,3,9,0.4317,0.42388,0.3829,0.37974,1.562647802734375,1.5718253564453124,1.9678046875,1.971460400390625
1,CIFAR10,fedexp,0,0.3,100,0.1,3,19,0.4918,0.49494,0.5032,0.50238,1.378369140625,1.3748242578125,1.460696484375,1.463871123046875
2,CIFAR10,fedexp,0,0.3,100,0.1,3,29,0.5573,0.56704,0.5665,0.5724,1.22669638671875,1.194393271484375,1.25390634765625,1.2416671728515625
3,CIFAR10,fedexp,0,0.3,100,0.1,3,39,0.6107,0.62562,0.6027,0.61602,1.1113271484375,1.05829330078125,1.126658837890625,1.095393046875
4,CIFAR10,fedexp,0,0.3,100,0.1,3,49,0.6375,0.66022,0.6387,0.65788,1.033044384765625,0.96006755859375,1.034351806640625,0.9837967944335938
5,CIFAR10,fedexp,0,0.3,100,0.1,3,59,0.6633,0.69012,0.6682,0.69322,0.98224765625,0.8872194018554688,0.956928076171875,0.8816606958007812
6,CIFAR10,fedexp,0,0.3,100,0.1,3,69,0.6692,0.70852,0.6881,0.71998,0.936977490234375,0.8208000756835937,0.9050616943359375,0.8060958837890625
7,CIFAR10,fedexp,0,0.3,100,0.1,3,79,0.6824,0.72012,0.6949,0.73682,0.9350095458984375,0.8010550756835938,0.8712498046875,0.75339111328125
8,CIFAR10,fedexp,0,0.3,100,0.1,3,89,0.7163,0.76216,0.7087,0.75542,0.8377401611328125,0.6860929248046875,0.839918994140625,0.70007171875
9,CIFAR10,fedexp,0,0.3,100,0.1,3,99,0.7199,0.76756,0.7179,0.76926,0.8331290283203125,0.6692651684570312,0.817057080078125,0.6616407739257812
10,CIFAR10,fedexp,0,0.3,100,0.1,3,109,0.7106,0.76368,0.7301,0.78352,0.8460476318359375,0.6712206494140625,0.7894930419921875,0.6213884936523437
11,CIFAR10,fedexp,0,0.3,100,0.1,3,119,0.7163,0.77014,0.7361,0.7936,0.861106396484375,0.6664835546875,0.7760589599609375,0.592809111328125
12,CIFAR10,fedexp,0,0.3,100,0.1,3,129,0.7225,0.77654,0.7434,0.80536,0.84200703125,0.6381218896484375,0.7590802978515625,0.564039150390625
