,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0.3,100,0.1,1,9,0.5198,0.51876,0.4553,0.45238,1.3458580078125,1.3340023828125,1.964408642578125,1.9650126806640624
1,CIFAR10,fedexp,0,0.3,100,0.1,1,19,0.6054,0.62484,0.5856,0.59586,1.1306169921875,1.0624437890625,1.28641279296875,1.2637568701171875
2,CIFAR10,fedexp,0,0.3,100,0.1,1,29,0.6365,0.66724,0.6325,0.6531,1.08854541015625,0.9696830078125,1.068320458984375,1.0052096923828124
3,CIFAR10,fedexp,0,0.3,100,0.1,1,39,0.6716,0.7128,0.6612,0.69506,0.9829752197265625,0.8401666845703125,0.9815875,0.8769933251953125
4,CIFAR10,fedexp,0,0.3,100,0.1,1,49,0.627,0.66402,0.6893,0.72956,1.18785625,1.033794208984375,0.916765625,0.7771293872070313
5,CIFAR10,fedexp,0,0.3,100,0.1,1,59,0.6753,0.72588,0.7061,0.75452,1.024841943359375,0.8276334765625,0.8804065185546875,0.7125623779296875
6,CIFAR10,fedexp,0,0.3,100,0.1,1,69,0.6948,0.7421,0.717,0.76918,0.9636662353515625,0.7622712182617187,0.8512106201171875,0.6675770654296875
7,CIFAR10,fedexp,0,0.3,100,0.1,1,79,0.7044,0.75952,0.7259,0.78248,0.9114735107421875,0.7076863891601562,0.8254017822265625,0.6287973583984375
8,CIFAR10,fedexp,0,0.3,100,0.1,1,89,0.6998,0.75834,0.7326,0.79418,0.9227939208984375,0.7075592993164063,0.7993877685546875,0.5913279931640625
9,CIFAR10,fedexp,0,0.3,100,0.1,1,99,0.7151,0.77954,0.7392,0.80196,0.8713580078125,0.6496736059570313,0.7843523681640625,0.5655998168945312
10,CIFAR10,fedexp,0,0.3,100,0.1,1,109,0.7196,0.78342,0.7444,0.81126,0.857558203125,0.6320956787109375,0.766891650390625,0.540938896484375
11,CIFAR10,fedexp,0,0.3,100,0.1,1,119,0.7154,0.77446,0.7484,0.81796,0.9288909423828124,0.6756556909179687,0.7588486328125,0.5249738500976563
12,CIFAR10,fedexp,0,0.3,100,0.1,1,129,0.7282,0.78932,0.7492,0.82476,0.8526268310546875,0.6102831469726563,0.7467251220703125,0.5055454077148438
13,CIFAR10,fedexp,0,0.3,100,0.1,1,139,0.7149,0.78382,0.7515,0.83056,0.8685463623046875,0.621880654296875,0.7360471435546875,0.49034662353515623
14,CIFAR10,fedexp,0,0.3,100,0.1,1,149,0.7349,0.81162,0.7542,0.83462,0.790731689453125,0.5451522705078125,0.728900390625,0.4794541064453125
15,CIFAR10,fedexp,0,0.3,100,0.1,1,159,0.7456,0.81534,0.7563,0.83862,0.79568193359375,0.5377775756835937,0.7226974609375,0.4683644836425781
16,CIFAR10,fedexp,0,0.3,100,0.1,1,169,0.7459,0.82168,0.7595,0.84096,0.766402197265625,0.50940591796875,0.7163169921875,0.4584375830078125
17,CIFAR10,fedexp,0,0.3,100,0.1,1,179,0.7029,0.7655,0.7635,0.8442,0.96636748046875,0.7020092260742188,0.7073450927734375,0.4488157238769531
18,CIFAR10,fedexp,0,0.3,100,0.1,1,189,0.74,0.81008,0.7641,0.84588,0.8186740966796875,0.5593813671875,0.7052260986328125,0.44569137451171875
19,CIFAR10,fedexp,0,0.3,100,0.1,1,199,0.7336,0.8091,0.7675,0.84726,0.8397288330078125,0.565461162109375,0.700436572265625,0.4402375439453125
20,CIFAR10,fedexp,0,0.3,100,0.1,1,209,0.7497,0.82606,0.7706,0.8487,0.7749298095703125,0.504955986328125,0.694598193359375,0.4353413671875
21,CIFAR10,fedexp,0,0.3,100,0.1,1,219,0.7197,0.7939,0.7704,0.85172,0.8720104248046875,0.59497544921875,0.694896923828125,0.42902862182617185
22,CIFAR10,fedexp,0,0.3,100,0.1,1,229,0.7526,0.82882,0.7713,0.85254,0.769660302734375,0.49743951904296874,0.693401611328125,0.4245775146484375
23,CIFAR10,fedexp,0,0.3,100,0.1,1,239,0.7313,0.80664,0.7712,0.8526,0.856208203125,0.5741395825195312,0.693796728515625,0.4234247790527344
24,CIFAR10,fedexp,0,0.3,100,0.1,1,249,0.715,0.78458,0.7732,0.85406,0.8970377685546875,0.6332894091796875,0.6862560546875,0.4173675390625
25,CIFAR10,fedexp,0,0.3,100,0.1,1,259,0.7503,0.82588,0.7754,0.85718,0.77470791015625,0.5056640026855469,0.680172900390625,0.4124811157226563
26,CIFAR10,fedexp,0,0.3,100,0.1,1,269,0.742,0.8119,0.7779,0.85896,0.82142392578125,0.5451137817382813,0.67582490234375,0.40880405029296873
27,CIFAR10,fedexp,0,0.3,100,0.1,1,279,0.7525,0.82134,0.7773,0.86042,0.76833701171875,0.512386162109375,0.6718880615234375,0.40593259765625
28,CIFAR10,fedexp,0,0.3,100,0.1,1,289,0.7619,0.83774,0.7806,0.8621,0.738685107421875,0.4720459216308594,0.664768408203125,0.40380591552734374
29,CIFAR10,fedexp,0,0.3,100,0.1,1,299,0.7564,0.83402,0.7781,0.86218,0.7579308349609375,0.486032978515625,0.6667303466796874,0.40172841064453124
