,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedexp,0,0.3,100,0.1,4,9,0.4966,0.49406,0.4401,0.43706,1.388095849609375,1.39277439453125,1.88879765625,1.8927412109375
1,CIFAR10,fedexp,0,0.3,100,0.1,4,19,0.581,0.59246,0.5538,0.55922,1.181705224609375,1.148761064453125,1.35159287109375,1.3476518017578125
2,CIFAR10,fedexp,0,0.3,100,0.1,4,29,0.6057,0.62758,0.6099,0.62512,1.160361572265625,1.0847918994140624,1.126116015625,1.0929254248046876
3,CIFAR10,fedexp,0,0.3,100,0.1,4,39,0.6649,0.69316,0.6531,0.67866,0.992245556640625,0.8844506396484375,0.999011083984375,0.92798814453125
4,CIFAR10,fedexp,0,0.3,100,0.1,4,49,0.6915,0.7303,0.6812,0.71718,0.9290783447265625,0.7906846166992187,0.9236454833984376,0.8165019677734375
5,CIFAR10,fedexp,0,0.3,100,0.1,4,59,0.699,0.73514,0.7035,0.74466,0.930721630859375,0.7814466552734375,0.8776935546875,0.742180546875
6,CIFAR10,fedexp,0,0.3,100,0.1,4,69,0.6952,0.73658,0.7214,0.76652,0.9673865478515625,0.7905007861328125,0.838914013671875,0.6833477172851562
7,CIFAR10,fedexp,0,0.3,100,0.1,4,79,0.7179,0.77012,0.7297,0.78004,0.8477819580078125,0.6704155737304688,0.8167755615234376,0.64636568359375
8,CIFAR10,fedexp,0,0.3,100,0.1,4,89,0.698,0.74048,0.7347,0.79068,1.0344650390625,0.833353876953125,0.79966259765625,0.6161841015625
9,CIFAR10,fedexp,0,0.3,100,0.1,4,99,0.7167,0.76872,0.7451,0.80198,0.8960069091796875,0.6852341284179687,0.7770429443359375,0.5787565380859375
10,CIFAR10,fedexp,0,0.3,100,0.1,4,109,0.7234,0.7735,0.7522,0.81304,0.91308818359375,0.6943501123046875,0.761583935546875,0.5506813720703125
11,CIFAR10,fedexp,0,0.3,100,0.1,4,119,0.7352,0.79576,0.7576,0.8197,0.8175358154296875,0.599315185546875,0.7468645263671875,0.52882611328125
12,CIFAR10,fedexp,0,0.3,100,0.1,4,129,0.7138,0.77302,0.7636,0.82488,0.918165234375,0.68226595703125,0.7363000732421875,0.5124928430175781
13,CIFAR10,fedexp,0,0.3,100,0.1,4,139,0.7514,0.81198,0.765,0.83228,0.7818289306640624,0.5501932836914063,0.7267952392578125,0.4927982373046875
14,CIFAR10,fedexp,0,0.3,100,0.1,4,149,0.7452,0.81086,0.7673,0.8355,0.7904392578125,0.5496335546875,0.72151513671875,0.4807877136230469
15,CIFAR10,fedexp,0,0.3,100,0.1,4,159,0.7652,0.82662,0.7711,0.84018,0.77239189453125,0.5181046557617187,0.71529619140625,0.4681401232910156
16,CIFAR10,fedexp,0,0.3,100,0.1,4,169,0.7563,0.82836,0.7734,0.84368,0.7633544921875,0.5081565551757813,0.71469580078125,0.4616316088867187
17,CIFAR10,fedexp,0,0.3,100,0.1,4,179,0.7489,0.81328,0.7773,0.84644,0.816355517578125,0.556327763671875,0.701527978515625,0.4494858251953125
18,CIFAR10,fedexp,0,0.3,100,0.1,4,189,0.6944,0.75552,0.7788,0.8502,1.02842216796875,0.7622812329101563,0.6927905029296875,0.4398858203125
19,CIFAR10,fedexp,0,0.3,100,0.1,4,199,0.7541,0.81888,0.7805,0.85254,0.807177734375,0.5433461804199219,0.691700830078125,0.43384012451171877
20,CIFAR10,fedexp,0,0.3,100,0.1,4,209,0.7653,0.83038,0.7817,0.8558,0.7653149169921875,0.5024958715820312,0.685833203125,0.4248803979492187
21,CIFAR10,fedexp,0,0.3,100,0.1,4,219,0.7639,0.82692,0.7849,0.8572,0.7544334716796876,0.5056442041015625,0.6813239501953126,0.41921904174804686
22,CIFAR10,fedexp,0,0.3,100,0.1,4,229,0.7674,0.83976,0.7865,0.85896,0.7335241943359375,0.46830962646484375,0.6775944091796875,0.41597508422851565
23,CIFAR10,fedexp,0,0.3,100,0.1,4,239,0.7553,0.81894,0.7855,0.85898,0.805840283203125,0.5397220617675781,0.6767176513671875,0.41338490234375
24,CIFAR10,fedexp,0,0.3,100,0.1,4,249,0.7628,0.8338,0.7856,0.85986,0.741162744140625,0.4843454333496094,0.6707256591796875,0.4091811413574219
25,CIFAR10,fedexp,0,0.3,100,0.1,4,259,0.7754,0.85052,0.7854,0.86134,0.6988469970703125,0.43908812622070315,0.6660440673828125,0.40493143676757815
26,CIFAR10,fedexp,0,0.3,100,0.1,4,269,0.763,0.83644,0.7875,0.864,0.7568892333984375,0.4865630712890625,0.662833984375,0.3994223889160156
27,CIFAR10,fedexp,0,0.3,100,0.1,4,279,0.7836,0.85638,0.7869,0.86554,0.676873828125,0.42574645263671873,0.6583474853515625,0.3950272387695313
28,CIFAR10,fedexp,0,0.3,100,0.1,4,289,0.7525,0.81848,0.7882,0.86626,0.821582861328125,0.5436594409179687,0.6588845947265625,0.3938657092285156
29,CIFAR10,fedexp,0,0.3,100,0.1,4,299,0.7651,0.83802,0.7887,0.86658,0.732502587890625,0.4722177209472656,0.66251513671875,0.39228157470703123
