,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0,100,0.01,4,9,0.4642,0.46164,0.2238,0.22412,1.48007451171875,1.4893244873046876,2.2727751953125,2.272756416015625
1,CIFAR10,fedprox,0,0,100,0.01,4,19,0.4989,0.50238,0.3181,0.3199,1.425352685546875,1.4197213037109375,2.225093359375,2.225348466796875
2,CIFAR10,fedprox,0,0,100,0.01,4,29,0.5552,0.57056,0.3634,0.36546,1.29952861328125,1.2676603125,2.15282685546875,2.15310083984375
3,CIFAR10,fedprox,0,0,100,0.01,4,39,0.6274,0.63942,0.4314,0.43448,1.1207357421875,1.0610779541015625,2.0294982421875,2.028892890625
4,CIFAR10,fedprox,0,0,100,0.01,4,49,0.6304,0.65674,0.4826,0.49132,1.090520703125,1.0178663623046875,1.90279208984375,1.900021796875
5,CIFAR10,fedprox,0,0,100,0.01,4,59,0.599,0.62142,0.5197,0.53156,1.243751611328125,1.1627302392578125,1.791904833984375,1.7855993017578125
6,CIFAR10,fedprox,0,0,100,0.01,4,69,0.6669,0.69508,0.551,0.56486,1.006075927734375,0.9141160400390625,1.685558935546875,1.675742177734375
7,CIFAR10,fedprox,0,0,100,0.01,4,79,0.6606,0.69152,0.6083,0.62506,1.0235827880859374,0.923908056640625,1.473854052734375,1.4546553564453124
8,CIFAR10,fedprox,0,0,100,0.01,4,89,0.6584,0.68586,0.634,0.65496,1.056867822265625,0.9581823071289063,1.36232216796875,1.335339931640625
9,CIFAR10,fedprox,0,0,100,0.01,4,99,0.698,0.7264,0.6782,0.70708,0.9792308349609375,0.8557697583007813,1.11400673828125,1.0698703955078126
10,CIFAR10,fedprox,0,0,100,0.01,4,109,0.6946,0.73068,0.6952,0.72658,0.9555502685546875,0.823577685546875,1.04081103515625,0.988877998046875
11,CIFAR10,fedprox,0,0,100,0.01,4,119,0.6799,0.71734,0.7141,0.7474,1.063568896484375,0.9231075537109374,0.9514373046875,0.8881545922851563
12,CIFAR10,fedprox,0,0,100,0.01,4,129,0.7023,0.7354,0.7218,0.75874,0.968830712890625,0.8378228125,0.90829697265625,0.8377790380859375
13,CIFAR10,fedprox,0,0,100,0.01,4,139,0.7342,0.78004,0.73,0.77036,0.8147208740234375,0.658638681640625,0.868784716796875,0.7905403759765625
14,CIFAR10,fedprox,0,0,100,0.01,4,149,0.7126,0.75362,0.7348,0.77886,0.942025830078125,0.78420390625,0.8452714599609376,0.7617786645507812
15,CIFAR10,fedprox,0,0,100,0.01,4,159,0.7041,0.74152,0.7385,0.78612,0.98786337890625,0.8351802075195313,0.8302827880859375,0.7431049926757812
16,CIFAR10,fedprox,0,0,100,0.01,4,169,0.6855,0.72366,0.7431,0.79322,1.092582421875,0.9164115380859374,0.801329736328125,0.7081086840820312
17,CIFAR10,fedprox,0,0,100,0.01,4,179,0.7045,0.74972,0.7535,0.80264,0.9834822021484375,0.7982824658203125,0.7549692626953125,0.6490681762695313
18,CIFAR10,fedprox,0,0,100,0.01,4,189,0.7338,0.79088,0.756,0.80646,0.8580674072265625,0.6548897680664062,0.7463013671875,0.6365353662109375
19,CIFAR10,fedprox,0,0,100,0.01,4,199,0.7095,0.75748,0.7654,0.81604,0.9861873046875,0.7782375805664062,0.71110654296875,0.587996513671875
20,CIFAR10,fedprox,0,0,100,0.01,4,209,0.7153,0.76432,0.7693,0.82444,0.919189599609375,0.7173361767578125,0.68700888671875,0.55130037109375
21,CIFAR10,fedprox,0,0,100,0.01,4,219,0.71,0.75734,0.7734,0.82844,0.9586472412109375,0.7664967504882813,0.6745471435546875,0.5324803662109375
22,CIFAR10,fedprox,0,0,100,0.01,4,229,0.7564,0.81158,0.7781,0.83688,0.7468979736328125,0.5614795385742187,0.657664111328125,0.5045736828613281
23,CIFAR10,fedprox,0,0,100,0.01,4,239,0.7215,0.76628,0.7822,0.83982,0.904273291015625,0.7167841528320312,0.6492785888671875,0.48518650146484377
24,CIFAR10,fedprox,0,0,100,0.01,4,249,0.7549,0.8003,0.7838,0.8446,0.7836382080078125,0.5925625415039063,0.642177978515625,0.47158396484375
25,CIFAR10,fedprox,0,0,100,0.01,4,259,0.7661,0.82394,0.7854,0.849,0.740665283203125,0.5301095678710938,0.634210888671875,0.45683272338867187
26,CIFAR10,fedprox,0,0,100,0.01,4,269,0.7158,0.7699,0.7862,0.85202,0.9336945068359375,0.7156985400390625,0.6291775390625,0.4477678869628906
27,CIFAR10,fedprox,0,0,100,0.01,4,279,0.7679,0.82842,0.7904,0.85486,0.7394270751953125,0.5200828442382812,0.6237490234375,0.4376371850585937
28,CIFAR10,fedprox,0,0,100,0.01,4,289,0.7602,0.81766,0.7913,0.85914,0.7661752197265626,0.5464850927734375,0.61835107421875,0.4269562536621094
29,CIFAR10,fedprox,0,0,100,0.01,4,299,0.7386,0.79494,0.7949,0.86138,0.8316872314453125,0.6293448803710937,0.6143068603515625,0.4141463623046875
30,CIFAR10,fedprox,0,0,100,0.01,4,309,0.7302,0.78252,0.7971,0.86338,0.9353297607421875,0.7142041430664062,0.611753173828125,0.4094012133789062
31,CIFAR10,fedprox,0,0,100,0.01,4,319,0.7385,0.78658,0.7973,0.86584,0.87674970703125,0.6652034716796875,0.608490283203125,0.40226895263671875
32,CIFAR10,fedprox,0,0,100,0.01,4,329,0.7359,0.78584,0.7968,0.86748,0.9407945068359375,0.701422548828125,0.6051889404296875,0.3970265002441406
33,CIFAR10,fedprox,0,0,100,0.01,4,339,0.7381,0.79262,0.7996,0.8698,0.8710290771484375,0.6520486877441406,0.6026020263671875,0.3910971484375
34,CIFAR10,fedprox,0,0,100,0.01,4,349,0.7433,0.8002,0.8001,0.87282,0.8296035888671875,0.6123012231445313,0.6017147705078125,0.3800765966796875
35,CIFAR10,fedprox,0,0,100,0.01,4,359,0.7171,0.76268,0.804,0.87464,0.9456373046875,0.7519091430664062,0.6000892578125,0.37348867065429686
36,CIFAR10,fedprox,0,0,100,0.01,4,369,0.7645,0.83336,0.8042,0.87664,0.753641552734375,0.5060143884277344,0.5949212158203125,0.36815114013671874
37,CIFAR10,fedprox,0,0,100,0.01,4,379,0.7681,0.83058,0.8029,0.87882,0.7553365478515625,0.5181980615234375,0.593287060546875,0.3645490234375
38,CIFAR10,fedprox,0,0,100,0.01,4,389,0.7427,0.79794,0.8057,0.88118,0.8845158935546875,0.6364948657226562,0.5908273681640624,0.35788367919921876
39,CIFAR10,fedprox,0,0,100,0.01,4,399,0.7301,0.77946,0.8064,0.88182,0.9058195556640625,0.691817626953125,0.5878765625,0.354366767578125
40,CIFAR10,fedprox,0,0,100,0.01,4,409,0.7671,0.827,0.8088,0.8827,0.725789208984375,0.5196098571777343,0.584706591796875,0.3516713732910156
41,CIFAR10,fedprox,0,0,100,0.01,4,419,0.7772,0.84652,0.8089,0.88344,0.7109470703125,0.4654023352050781,0.58263818359375,0.34887005126953125
42,CIFAR10,fedprox,0,0,100,0.01,4,429,0.7371,0.78824,0.8104,0.8853,0.9205431396484375,0.6999661083984375,0.5813832275390625,0.34399638061523435
43,CIFAR10,fedprox,0,0,100,0.01,4,439,0.7483,0.79582,0.8112,0.88654,0.8445304443359375,0.6399702331542969,0.5797765869140625,0.3427829681396484
44,CIFAR10,fedprox,0,0,100,0.01,4,449,0.7343,0.78344,0.8118,0.88714,0.868934912109375,0.6667212646484375,0.5765732421875,0.34194328186035156
45,CIFAR10,fedprox,0,0,100,0.01,4,459,0.7486,0.79794,0.8113,0.88874,0.8660561279296874,0.6282443139648437,0.5743297119140625,0.33817730529785156
46,CIFAR10,fedprox,0,0,100,0.01,4,469,0.7534,0.80982,0.8116,0.88932,0.8194877685546875,0.5926698962402344,0.5729383056640625,0.33485951110839846
47,CIFAR10,fedprox,0,0,100,0.01,4,479,0.7775,0.84928,0.8129,0.89138,0.7073838134765625,0.45123086181640626,0.570975927734375,0.33075856140136717
48,CIFAR10,fedprox,0,0,100,0.01,4,489,0.7755,0.8419,0.8142,0.8921,0.71358212890625,0.47446830444335936,0.568714208984375,0.3259329565429688
49,CIFAR10,fedprox,0,0,100,0.01,4,499,0.7711,0.83116,0.8146,0.89358,0.7207548095703125,0.5027769909667968,0.5667385498046875,0.32310405944824216
50,CIFAR10,fedprox,0,0,100,0.01,4,509,0.7383,0.7901,0.8129,0.89534,0.8808321533203125,0.6477495703125,0.56512001953125,0.31921517395019533
51,CIFAR10,fedprox,0,0,100,0.01,4,519,0.7497,0.80066,0.8114,0.89646,0.81213466796875,0.6005758349609375,0.563178515625,0.3175155169677734
52,CIFAR10,fedprox,0,0,100,0.01,4,529,0.7538,0.80674,0.8156,0.89646,0.8328873779296875,0.6028384741210937,0.5590557373046875,0.31420427734375
53,CIFAR10,fedprox,0,0,100,0.01,4,539,0.7507,0.8097,0.8165,0.8964,0.83317529296875,0.58182423828125,0.55663564453125,0.31146997314453123
54,CIFAR10,fedprox,0,0,100,0.01,4,549,0.7354,0.78822,0.8166,0.898,0.9401974365234375,0.6851200537109375,0.5550220947265625,0.30755623046875
55,CIFAR10,fedprox,0,0,100,0.01,4,559,0.7625,0.8152,0.8178,0.89882,0.863339892578125,0.5887099340820312,0.5534165771484375,0.30541030029296873
56,CIFAR10,fedprox,0,0,100,0.01,4,569,0.7716,0.83552,0.8204,0.89978,0.7469013916015625,0.4981280517578125,0.5524972900390624,0.30401536010742186
57,CIFAR10,fedprox,0,0,100,0.01,4,579,0.7634,0.82876,0.8202,0.89882,0.785533349609375,0.5244509936523437,0.55059404296875,0.303544443359375
58,CIFAR10,fedprox,0,0,100,0.01,4,589,0.7929,0.86112,0.819,0.89934,0.67327841796875,0.4188278845214844,0.550734228515625,0.3033891796875
59,CIFAR10,fedprox,0,0,100,0.01,4,599,0.7652,0.82456,0.8199,0.90042,0.773188232421875,0.5325290539550781,0.5508802490234375,0.30126260986328124
