,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0,100,0.01,5,9,0.4658,0.46312,0.2681,0.26338,1.491134228515625,1.4971202490234374,2.2659791015625,2.266248115234375
1,CIFAR10,fedprox,0,0,100,0.01,5,19,0.5103,0.52242,0.3538,0.34632,1.375824462890625,1.3385721337890626,2.20876923828125,2.209727138671875
2,CIFAR10,fedprox,0,0,100,0.01,5,29,0.5276,0.53624,0.3753,0.37096,1.41072568359375,1.3767813818359376,2.15319560546875,2.154064697265625
3,CIFAR10,fedprox,0,0,100,0.01,5,39,0.5845,0.59486,0.4154,0.4114,1.230445263671875,1.19891384765625,2.08855234375,2.088597685546875
4,CIFAR10,fedprox,0,0,100,0.01,5,49,0.6549,0.67892,0.4781,0.48138,1.014615380859375,0.9323422412109375,1.94976123046875,1.9470106298828125
5,CIFAR10,fedprox,0,0,100,0.01,5,59,0.6248,0.64986,0.5191,0.5256,1.144458935546875,1.0496346435546875,1.856836328125,1.850865205078125
6,CIFAR10,fedprox,0,0,100,0.01,5,69,0.6332,0.65874,0.5718,0.58532,1.118773876953125,1.032553349609375,1.678299951171875,1.6657402392578124
7,CIFAR10,fedprox,0,0,100,0.01,5,79,0.6834,0.71316,0.6147,0.6315,0.9845187744140625,0.8698343115234375,1.50092197265625,1.4802766259765625
8,CIFAR10,fedprox,0,0,100,0.01,5,89,0.6664,0.6929,0.6405,0.66094,1.065425732421875,0.9527991943359375,1.373815380859375,1.3459446728515625
9,CIFAR10,fedprox,0,0,100,0.01,5,99,0.6712,0.69536,0.6626,0.68982,1.03559345703125,0.9272986254882812,1.244715673828125,1.2080192041015625
10,CIFAR10,fedprox,0,0,100,0.01,5,109,0.6795,0.70976,0.6766,0.70746,1.01093994140625,0.8897112768554688,1.156902880859375,1.1134649560546874
11,CIFAR10,fedprox,0,0,100,0.01,5,119,0.6896,0.7256,0.6999,0.73408,0.9847431640625,0.8464993725585938,1.05820517578125,1.0050017358398438
12,CIFAR10,fedprox,0,0,100,0.01,5,129,0.7176,0.76188,0.7139,0.75354,0.863169970703125,0.7137898754882812,0.9552514892578124,0.8898110546875
13,CIFAR10,fedprox,0,0,100,0.01,5,139,0.7368,0.77822,0.7263,0.76744,0.82905791015625,0.6636351831054688,0.8987697265625,0.8243738232421876
14,CIFAR10,fedprox,0,0,100,0.01,5,149,0.6999,0.73834,0.7363,0.77772,0.9899333740234375,0.8274859399414063,0.83790048828125,0.7530606201171876
15,CIFAR10,fedprox,0,0,100,0.01,5,159,0.6797,0.71842,0.746,0.79106,1.12728681640625,0.9396723706054687,0.7943424560546875,0.6987612963867188
16,CIFAR10,fedprox,0,0,100,0.01,5,169,0.7316,0.77674,0.7549,0.80302,0.818813037109375,0.6627603955078125,0.7342792724609375,0.6202284423828125
17,CIFAR10,fedprox,0,0,100,0.01,5,179,0.6919,0.72314,0.7574,0.80776,1.031353857421875,0.8881230908203125,0.720396435546875,0.6008326879882813
18,CIFAR10,fedprox,0,0,100,0.01,5,189,0.7333,0.77928,0.7623,0.81386,0.82926015625,0.6705530859375,0.7017163330078126,0.5746899877929688
19,CIFAR10,fedprox,0,0,100,0.01,5,199,0.7415,0.78644,0.7663,0.82008,0.8111940673828125,0.6291043627929688,0.687921826171875,0.5552218310546875
20,CIFAR10,fedprox,0,0,100,0.01,5,209,0.7647,0.8149,0.7674,0.82368,0.7396306396484374,0.5480890942382812,0.6805704345703125,0.5448965698242187
21,CIFAR10,fedprox,0,0,100,0.01,5,219,0.7232,0.77662,0.7699,0.82722,0.9540119384765625,0.7234418359375,0.6751970458984375,0.5361597021484374
22,CIFAR10,fedprox,0,0,100,0.01,5,229,0.7183,0.76758,0.7734,0.83104,0.908725,0.6975101831054688,0.6643361083984375,0.517488916015625
