,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0,100,0.01,2,9,0.4997,0.51442,0.2287,0.22408,1.428710205078125,1.40014068359375,2.2794568359375,2.27970728515625
1,CIFAR10,fedprox,0,0,100,0.01,2,19,0.5844,0.60808,0.2608,0.2625,1.33335703125,1.249522822265625,2.24699365234375,2.24693984375
2,CIFAR10,fedprox,0,0,100,0.01,2,29,0.5507,0.57432,0.3291,0.3298,1.81857734375,1.67893125,2.1751326171875,2.17354359375
3,CIFAR10,fedprox,0,0,100,0.01,2,39,0.6134,0.62998,0.413,0.41994,1.386123681640625,1.3120249951171874,2.0513541015625,2.046819130859375
4,CIFAR10,fedprox,0,0,100,0.01,2,49,0.6021,0.63586,0.4618,0.46868,1.513159814453125,1.3455843505859375,1.973030419921875,1.965449453125
5,CIFAR10,fedprox,0,0,100,0.01,2,59,0.6269,0.6594,0.55,0.56962,1.331727880859375,1.171666259765625,1.7592263671875,1.742720712890625
6,CIFAR10,fedprox,0,0,100,0.01,2,69,0.648,0.68238,0.6215,0.64992,1.279778271484375,1.1270992041015624,1.4849115234375,1.45328142578125
7,CIFAR10,fedprox,0,0,100,0.01,2,79,0.7027,0.73848,0.6546,0.68752,1.0111934326171874,0.8507673657226562,1.341444287109375,1.2985382275390625
8,CIFAR10,fedprox,0,0,100,0.01,2,89,0.6435,0.68092,0.6766,0.71224,1.343409423828125,1.159908369140625,1.229794921875,1.1771314794921874
9,CIFAR10,fedprox,0,0,100,0.01,2,99,0.7291,0.77674,0.6986,0.73682,0.9126160400390625,0.7082864672851562,1.117465869140625,1.053720556640625
10,CIFAR10,fedprox,0,0,100,0.01,2,109,0.6496,0.68832,0.7111,0.75576,1.37448466796875,1.1747612744140625,1.0013198974609374,0.9234273803710937
11,CIFAR10,fedprox,0,0,100,0.01,2,119,0.7102,0.75194,0.7303,0.77538,1.01729169921875,0.8340883227539062,0.8658989501953125,0.7651665478515625
12,CIFAR10,fedprox,0,0,100,0.01,2,129,0.7348,0.77562,0.7386,0.78706,0.9238468505859375,0.7396762158203125,0.8007801025390625,0.6835530590820312
13,CIFAR10,fedprox,0,0,100,0.01,2,139,0.689,0.71804,0.7477,0.79598,1.110292626953125,0.9621327197265624,0.7675162841796875,0.640158701171875
14,CIFAR10,fedprox,0,0,100,0.01,2,149,0.6847,0.72164,0.7511,0.79994,1.122942724609375,0.929018173828125,0.7580285888671875,0.63078244140625
15,CIFAR10,fedprox,0,0,100,0.01,2,159,0.6786,0.71694,0.7585,0.80902,1.170374560546875,1.0050258227539062,0.7207065673828125,0.578438642578125
16,CIFAR10,fedprox,0,0,100,0.01,2,169,0.699,0.72396,0.7637,0.81408,1.130398876953125,0.9648159204101563,0.7058349365234375,0.55699546875
17,CIFAR10,fedprox,0,0,100,0.01,2,179,0.688,0.73242,0.7697,0.818,1.173562939453125,0.9543466552734375,0.6957157470703125,0.5377411499023438
18,CIFAR10,fedprox,0,0,100,0.01,2,189,0.7348,0.78312,0.7727,0.82268,0.925059033203125,0.72476494140625,0.6840515625,0.5253827514648437
19,CIFAR10,fedprox,0,0,100,0.01,2,199,0.7122,0.75544,0.7775,0.82848,1.083299658203125,0.8778993994140625,0.66929150390625,0.5051047387695312
20,CIFAR10,fedprox,0,0,100,0.01,2,209,0.6917,0.73186,0.7799,0.83254,1.1509021484375,0.9368258642578124,0.65960322265625,0.49294129150390625
21,CIFAR10,fedprox,0,0,100,0.01,2,219,0.6954,0.73316,0.7831,0.83606,1.167040771484375,0.9804099267578125,0.653213671875,0.4821256359863281
22,CIFAR10,fedprox,0,0,100,0.01,2,229,0.7091,0.7526,0.7854,0.84,1.087691162109375,0.882731962890625,0.6505845947265625,0.47378161499023436
23,CIFAR10,fedprox,0,0,100,0.01,2,239,0.7618,0.80456,0.7892,0.8458,0.84315341796875,0.6397029418945313,0.640606201171875,0.4581682666015625
