,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0,100,0.01,1,9,0.5439,0.54368,0.2586,0.25834,1.3323251953125,1.3127938818359375,2.2492421875,2.249830615234375
1,CIFAR10,fedprox,0,0,100,0.01,1,19,0.5899,0.60352,0.3815,0.38658,1.293926708984375,1.233888515625,2.155400390625,2.155426953125
2,CIFAR10,fedprox,0,0,100,0.01,1,29,0.6469,0.67536,0.4463,0.45664,1.129504638671875,1.0265022412109375,2.0186861328125,2.01592166015625
3,CIFAR10,fedprox,0,0,100,0.01,1,39,0.6545,0.69088,0.5142,0.52612,1.1892111328125,1.0386186987304689,1.841649755859375,1.8324925390625
4,CIFAR10,fedprox,0,0,100,0.01,1,49,0.6709,0.7054,0.5708,0.58694,1.138519970703125,0.9913348315429688,1.653585009765625,1.6361254736328126
5,CIFAR10,fedprox,0,0,100,0.01,1,59,0.6742,0.69614,0.6301,0.65728,1.163970068359375,1.0280307104492188,1.378614453125,1.34590185546875
6,CIFAR10,fedprox,0,0,100,0.01,1,69,0.6525,0.68598,0.6612,0.69576,1.276489794921875,1.12112361328125,1.19988359375,1.1538462158203124
7,CIFAR10,fedprox,0,0,100,0.01,1,79,0.703,0.73392,0.6834,0.72,1.0469263671875,0.9046224682617188,1.074148291015625,1.015095849609375
8,CIFAR10,fedprox,0,0,100,0.01,1,89,0.6722,0.70554,0.6957,0.73226,1.19672568359375,1.01668294921875,1.0049151123046876,0.9372362548828125
9,CIFAR10,fedprox,0,0,100,0.01,1,99,0.6731,0.71332,0.7078,0.74726,1.31382646484375,1.084158671875,0.9339713623046875,0.8546260571289063
10,CIFAR10,fedprox,0,0,100,0.01,1,109,0.6947,0.73244,0.7202,0.76312,1.152613525390625,0.9624342895507813,0.8633775390625,0.7700775708007812
11,CIFAR10,fedprox,0,0,100,0.01,1,119,0.7399,0.78608,0.7287,0.77748,0.8692072021484375,0.6832981469726562,0.8237405029296875,0.7216246044921875
12,CIFAR10,fedprox,0,0,100,0.01,1,129,0.7376,0.7787,0.7443,0.79336,0.8812953857421875,0.7063602783203125,0.763850439453125,0.6447028515625
13,CIFAR10,fedprox,0,0,100,0.01,1,139,0.7284,0.77362,0.7537,0.80286,0.9275963623046874,0.7505599829101562,0.7364213134765625,0.60964984375
