,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0,100,0.01,2,9,0.3736,0.37708,0.2111,0.20732,1.7466904296875,1.7456214990234376,2.27798662109375,2.278007685546875
1,CIFAR10,fedprox,0,0,100,0.01,2,19,0.5014,0.5152,0.3023,0.29944,1.3832869140625,1.3642643896484374,2.213487890625,2.2139252734375
2,CIFAR10,fedprox,0,0,100,0.01,2,29,0.5315,0.54186,0.4001,0.39708,1.4152138671875,1.372099853515625,2.106912109375,2.1072675390625
3,CIFAR10,fedprox,0,0,100,0.01,2,39,0.5368,0.54838,0.4473,0.44884,1.384085546875,1.3438730859375,2.001878564453125,2.0015601220703125
4,CIFAR10,fedprox,0,0,100,0.01,2,49,0.5915,0.6023,0.4843,0.48858,1.244038525390625,1.2049512255859376,1.907405908203125,1.9055786328125
5,CIFAR10,fedprox,0,0,100,0.01,2,59,0.6017,0.61386,0.5309,0.5417,1.213235205078125,1.1607254443359376,1.7494056640625,1.7443068701171875
6,CIFAR10,fedprox,0,0,100,0.01,2,69,0.6526,0.67754,0.5784,0.58896,1.03298154296875,0.9476436572265625,1.5720373046875,1.5613752294921874
7,CIFAR10,fedprox,0,0,100,0.01,2,79,0.6904,0.7151,0.6178,0.63258,0.9278365966796875,0.8447891748046875,1.3779765625,1.3592568603515625
8,CIFAR10,fedprox,0,0,100,0.01,2,89,0.6676,0.6983,0.6361,0.65758,1.028777685546875,0.9203968408203125,1.26037890625,1.2344475048828125
9,CIFAR10,fedprox,0,0,100,0.01,2,99,0.7163,0.74888,0.6566,0.68136,0.84848876953125,0.7468228076171874,1.18117216796875,1.1484342333984374
10,CIFAR10,fedprox,0,0,100,0.01,2,109,0.6669,0.6937,0.6751,0.70152,1.06199033203125,0.959497353515625,1.102744140625,1.0631807421875
11,CIFAR10,fedprox,0,0,100,0.01,2,119,0.706,0.73952,0.6919,0.7231,0.9056086181640625,0.7858852026367188,1.0011579833984374,0.951352626953125
12,CIFAR10,fedprox,0,0,100,0.01,2,129,0.7225,0.7569,0.7111,0.74398,0.850235107421875,0.7328587963867188,0.9277485595703125,0.8685429272460937
13,CIFAR10,fedprox,0,0,100,0.01,2,139,0.6745,0.71234,0.7211,0.75502,1.00587333984375,0.8614398852539062,0.877600439453125,0.8108747680664062
14,CIFAR10,fedprox,0,0,100,0.01,2,149,0.6923,0.72592,0.7291,0.76394,0.9630808837890625,0.829258447265625,0.8453897216796875,0.77170892578125
15,CIFAR10,fedprox,0,0,100,0.01,2,159,0.6833,0.72276,0.7381,0.77564,1.06293134765625,0.9009566162109375,0.806081494140625,0.7233885498046875
16,CIFAR10,fedprox,0,0,100,0.01,2,169,0.7064,0.74398,0.7487,0.79088,0.9011269775390625,0.7637387329101563,0.7458785400390625,0.6444181591796875
17,CIFAR10,fedprox,0,0,100,0.01,2,179,0.6964,0.73956,0.7539,0.79594,0.97904873046875,0.8273320239257812,0.73499375,0.6298666430664063
18,CIFAR10,fedprox,0,0,100,0.01,2,189,0.7435,0.79476,0.7585,0.80584,0.770760693359375,0.616303505859375,0.7106161865234375,0.5962422338867187
19,CIFAR10,fedprox,0,0,100,0.01,2,199,0.7498,0.79504,0.7659,0.81356,0.7841634521484375,0.622167451171875,0.6920596923828125,0.5659331762695312
20,CIFAR10,fedprox,0,0,100,0.01,2,209,0.7162,0.7588,0.7686,0.81958,0.9215865966796875,0.7499440844726563,0.68203896484375,0.5505219873046875
21,CIFAR10,fedprox,0,0,100,0.01,2,219,0.6985,0.73762,0.7728,0.82512,0.980453515625,0.826290146484375,0.670802587890625,0.5347033569335937
22,CIFAR10,fedprox,0,0,100,0.01,2,229,0.7172,0.76246,0.7764,0.83092,0.9153006591796875,0.7332896313476562,0.6583481689453125,0.5167614514160156
23,CIFAR10,fedprox,0,0,100,0.01,2,239,0.6992,0.73968,0.7788,0.83234,0.9455806884765625,0.7879435766601562,0.654281787109375,0.5110362145996094
24,CIFAR10,fedprox,0,0,100,0.01,2,249,0.7545,0.81032,0.7825,0.83752,0.75016826171875,0.5606684948730469,0.644513427734375,0.48888195068359375
25,CIFAR10,fedprox,0,0,100,0.01,2,259,0.7238,0.76808,0.7859,0.84146,0.8941848876953125,0.7029221313476562,0.6390336669921876,0.47574490966796873
26,CIFAR10,fedprox,0,0,100,0.01,2,269,0.761,0.81374,0.788,0.84582,0.757399169921875,0.5651614807128906,0.6325135009765624,0.46442620849609373
27,CIFAR10,fedprox,0,0,100,0.01,2,279,0.7592,0.81116,0.79,0.84888,0.7843208740234375,0.572322548828125,0.6294052490234375,0.45894654296875
28,CIFAR10,fedprox,0,0,100,0.01,2,289,0.7217,0.7694,0.7902,0.85154,0.891215966796875,0.6983571313476562,0.62552158203125,0.44948667724609376
29,CIFAR10,fedprox,0,0,100,0.01,2,299,0.7223,0.78104,0.7913,0.85398,0.92160068359375,0.6915933935546875,0.6218846923828125,0.44248134399414063
30,CIFAR10,fedprox,0,0,100,0.01,2,309,0.7139,0.76396,0.7931,0.85698,0.9336247802734375,0.7342608154296875,0.61739091796875,0.4333341345214844
31,CIFAR10,fedprox,0,0,100,0.01,2,319,0.7696,0.82222,0.795,0.85956,0.715401025390625,0.5304298999023438,0.6122166015625,0.4237852734375
32,CIFAR10,fedprox,0,0,100,0.01,2,329,0.7398,0.7897,0.7966,0.86134,0.8246380126953125,0.6332064721679688,0.6084780029296875,0.41919116455078126
33,CIFAR10,fedprox,0,0,100,0.01,2,339,0.7392,0.78788,0.797,0.86298,0.8738617431640625,0.6728970776367188,0.604410693359375,0.41387637939453126
34,CIFAR10,fedprox,0,0,100,0.01,2,349,0.7302,0.78296,0.7988,0.8647,0.9053584716796875,0.6915753491210938,0.6015363037109375,0.4101527307128906
35,CIFAR10,fedprox,0,0,100,0.01,2,359,0.7305,0.77888,0.799,0.86642,0.886145068359375,0.6883223803710937,0.59843955078125,0.4050323876953125
36,CIFAR10,fedprox,0,0,100,0.01,2,369,0.7425,0.7894,0.8013,0.86898,0.81917265625,0.6311796801757813,0.594696728515625,0.3973085205078125
37,CIFAR10,fedprox,0,0,100,0.01,2,379,0.7159,0.76636,0.8017,0.8704,0.95587431640625,0.7416397778320313,0.5904652099609375,0.392343349609375
38,CIFAR10,fedprox,0,0,100,0.01,2,389,0.7358,0.78822,0.8034,0.87132,0.8612888916015625,0.662708515625,0.5875587158203125,0.388792802734375
39,CIFAR10,fedprox,0,0,100,0.01,2,399,0.7463,0.80056,0.8036,0.87366,0.841763623046875,0.6188342456054687,0.5828664794921875,0.3826844274902344
40,CIFAR10,fedprox,0,0,100,0.01,2,409,0.7762,0.83458,0.8042,0.87518,0.731484423828125,0.5049518322753906,0.57909228515625,0.3776152392578125
41,CIFAR10,fedprox,0,0,100,0.01,2,419,0.7468,0.80736,0.8067,0.8776,0.87388017578125,0.6240928552246093,0.575709375,0.3737624792480469
42,CIFAR10,fedprox,0,0,100,0.01,2,429,0.7754,0.83336,0.807,0.87856,0.7197467529296875,0.5066324816894531,0.573503759765625,0.3706014172363281
43,CIFAR10,fedprox,0,0,100,0.01,2,439,0.7777,0.84314,0.8068,0.8801,0.6830368896484375,0.46892281494140625,0.570978515625,0.36622632202148436
44,CIFAR10,fedprox,0,0,100,0.01,2,449,0.7481,0.80388,0.8098,0.88206,0.848955712890625,0.6191425183105469,0.5692607177734375,0.3601244616699219
45,CIFAR10,fedprox,0,0,100,0.01,2,459,0.7524,0.80626,0.8093,0.8831,0.8312622314453125,0.6068168481445313,0.5685532958984375,0.3590050646972656
46,CIFAR10,fedprox,0,0,100,0.01,2,469,0.7485,0.80108,0.8114,0.88406,0.815224560546875,0.607245439453125,0.5664656005859375,0.355110849609375
47,CIFAR10,fedprox,0,0,100,0.01,2,479,0.7718,0.8333,0.8106,0.88468,0.7210177978515625,0.503185673828125,0.5648655029296875,0.353007197265625
48,CIFAR10,fedprox,0,0,100,0.01,2,489,0.7549,0.81472,0.8123,0.88578,0.806600439453125,0.5786736401367187,0.5627043701171875,0.350583681640625
49,CIFAR10,fedprox,0,0,100,0.01,2,499,0.7838,0.84274,0.812,0.88702,0.6842713623046875,0.47047487182617187,0.56095078125,0.3473581823730469
50,CIFAR10,fedprox,0,0,100,0.01,2,509,0.7486,0.79768,0.8135,0.88814,0.839496630859375,0.6303808251953125,0.5596912109375,0.34198668701171875
51,CIFAR10,fedprox,0,0,100,0.01,2,519,0.7698,0.83294,0.8147,0.88956,0.706838916015625,0.4984684680175781,0.556211962890625,0.3393379754638672
52,CIFAR10,fedprox,0,0,100,0.01,2,529,0.783,0.844,0.818,0.89004,0.6804208251953126,0.4672068884277344,0.5533761474609376,0.33759121215820315
53,CIFAR10,fedprox,0,0,100,0.01,2,539,0.7577,0.82178,0.8189,0.89214,0.78720146484375,0.5505475646972656,0.5511061767578125,0.3313291809082031
54,CIFAR10,fedprox,0,0,100,0.01,2,549,0.7538,0.81452,0.8189,0.8926,0.804261669921875,0.5760271301269532,0.5494488037109375,0.3269744989013672
55,CIFAR10,fedprox,0,0,100,0.01,2,559,0.7866,0.85232,0.8175,0.89392,0.6968854248046875,0.4555436511230469,0.5486437744140625,0.3239047961425781
56,CIFAR10,fedprox,0,0,100,0.01,2,569,0.7492,0.81978,0.8167,0.8951,0.8148848876953125,0.5566819482421875,0.5484438720703125,0.32008844055175784
57,CIFAR10,fedprox,0,0,100,0.01,2,579,0.7768,0.84774,0.8173,0.89574,0.70360751953125,0.4538850146484375,0.54650537109375,0.3165218786621094
58,CIFAR10,fedprox,0,0,100,0.01,2,589,0.7442,0.8005,0.8197,0.89666,0.8737219970703125,0.6339748559570313,0.5438505126953125,0.3119881182861328
59,CIFAR10,fedprox,0,0,100,0.01,2,599,0.727,0.77928,0.8211,0.89736,0.969235400390625,0.716552294921875,0.5422920166015625,0.3096189538574219
60,CIFAR10,fedprox,0,0,100,0.01,2,609,0.7819,0.84764,0.8207,0.89868,0.689394091796875,0.44984998046875,0.541186865234375,0.3062491180419922
61,CIFAR10,fedprox,0,0,100,0.01,2,619,0.7497,0.81022,0.824,0.90026,0.814009130859375,0.5822999645996094,0.5392686279296875,0.30065348876953124
62,CIFAR10,fedprox,0,0,100,0.01,2,629,0.7725,0.83024,0.825,0.90124,0.7571010498046875,0.5164904455566406,0.537867822265625,0.2988530548095703
63,CIFAR10,fedprox,0,0,100,0.01,2,639,0.7749,0.8358,0.8245,0.90196,0.7514044189453125,0.5036094177246093,0.536597802734375,0.29719310485839845
64,CIFAR10,fedprox,0,0,100,0.01,2,649,0.7516,0.8073,0.8247,0.90286,0.83573369140625,0.5891880029296875,0.535178125,0.2956240130615234
65,CIFAR10,fedprox,0,0,100,0.01,2,659,0.7832,0.84362,0.8271,0.90346,0.707861181640625,0.4786380346679687,0.5336196533203125,0.2951324853515625
66,CIFAR10,fedprox,0,0,100,0.01,2,669,0.7485,0.80784,0.8268,0.9036,0.8173904296875,0.5885706274414062,0.533497998046875,0.29478991455078124
67,CIFAR10,fedprox,0,0,100,0.01,2,679,0.7605,0.80802,0.8285,0.90376,0.7819738525390625,0.5912005249023438,0.53316015625,0.2944435107421875
68,CIFAR10,fedprox,0,0,100,0.01,2,689,0.7473,0.80296,0.8279,0.9043,0.83255615234375,0.60043400390625,0.5315995849609375,0.2933157550048828
69,CIFAR10,fedprox,0,0,100,0.01,2,699,0.7647,0.83042,0.827,0.90448,0.76592939453125,0.51418861328125,0.530401171875,0.2928399987792969
70,CIFAR10,fedprox,0,0,100,0.01,2,709,0.7607,0.8186,0.8262,0.90496,0.793623828125,0.5665860766601563,0.5308583984375,0.2920515808105469
71,CIFAR10,fedprox,0,0,100,0.01,2,719,0.759,0.81834,0.8264,0.9051,0.802806591796875,0.5715734619140626,0.53023291015625,0.2900782189941406
72,CIFAR10,fedprox,0,0,100,0.01,2,729,0.7911,0.86036,0.8263,0.90532,0.67190654296875,0.419954111328125,0.52843896484375,0.2889211376953125
73,CIFAR10,fedprox,0,0,100,0.01,2,739,0.7462,0.79904,0.826,0.90542,0.84303662109375,0.6367335620117187,0.52756787109375,0.28859435302734376
74,CIFAR10,fedprox,0,0,100,0.01,2,749,0.7652,0.82854,0.827,0.9057,0.7602966796875,0.5194763403320313,0.52561572265625,0.2877513195800781
75,CIFAR10,fedprox,0,0,100,0.01,2,759,0.7481,0.80688,0.8284,0.90626,0.8472475830078126,0.6095811328125,0.5239918212890625,0.286841298828125
76,CIFAR10,fedprox,0,0,100,0.01,2,769,0.7717,0.83552,0.8261,0.90634,0.752936669921875,0.5056639819335937,0.52411044921875,0.28734103515625
77,CIFAR10,fedprox,0,0,100,0.01,2,779,0.7585,0.82622,0.8265,0.90678,0.768870361328125,0.5251624914550781,0.52271240234375,0.2861214276123047
78,CIFAR10,fedprox,0,0,100,0.01,2,789,0.7512,0.81084,0.825,0.90636,0.7879525634765625,0.5709350012207032,0.5229377685546875,0.2858608892822266
79,CIFAR10,fedprox,0,0,100,0.01,2,799,0.7687,0.83052,0.8264,0.90616,0.7600348876953125,0.516885927734375,0.52221708984375,0.2846992633056641
80,CIFAR10,fedprox,0,0,100,0.01,2,809,0.7558,0.81438,0.8269,0.90754,0.866662744140625,0.5992503857421875,0.521512255859375,0.28330794372558593
81,CIFAR10,fedprox,0,0,100,0.01,2,819,0.7795,0.84212,0.8289,0.90886,0.6992291748046875,0.4747235791015625,0.520609912109375,0.2823649426269531
82,CIFAR10,fedprox,0,0,100,0.01,2,829,0.7887,0.8572,0.829,0.90956,0.6478071044921875,0.428786123046875,0.5192387939453125,0.28101150390625
83,CIFAR10,fedprox,0,0,100,0.01,2,839,0.7988,0.86366,0.8292,0.90916,0.6406260986328125,0.40688403076171875,0.5205359619140625,0.27961205078125
84,CIFAR10,fedprox,0,0,100,0.01,2,849,0.7622,0.82476,0.8301,0.90994,0.767190771484375,0.5225453332519531,0.521008154296875,0.27838268981933595
85,CIFAR10,fedprox,0,0,100,0.01,2,859,0.7816,0.84734,0.8293,0.91074,0.7221411376953125,0.45825892822265624,0.5222940185546875,0.2770397717285156
86,CIFAR10,fedprox,0,0,100,0.01,2,869,0.7812,0.84894,0.8313,0.9105,0.701224072265625,0.453424677734375,0.52372587890625,0.2757408935546875
87,CIFAR10,fedprox,0,0,100,0.01,2,879,0.7986,0.87404,0.8303,0.91086,0.6332329345703125,0.3826240441894531,0.525621875,0.2751881335449219
88,CIFAR10,fedprox,0,0,100,0.01,2,889,0.7491,0.81176,0.8314,0.9121,0.851648876953125,0.5986858422851562,0.52487958984375,0.2725178472900391
89,CIFAR10,fedprox,0,0,100,0.01,2,899,0.7653,0.83046,0.8332,0.91236,0.79840927734375,0.5196599975585937,0.52397744140625,0.2718177880859375
90,CIFAR10,fedprox,0,0,100,0.01,2,909,0.7877,0.85646,0.8312,0.9128,0.6774056640625,0.4336541137695312,0.525143408203125,0.27134950622558596
91,CIFAR10,fedprox,0,0,100,0.01,2,919,0.7647,0.82224,0.8299,0.91308,0.834144580078125,0.5709817260742187,0.52394560546875,0.2692712420654297
92,CIFAR10,fedprox,0,0,100,0.01,2,929,0.7885,0.85462,0.8302,0.91362,0.672234765625,0.43565651611328127,0.5219884765625,0.2675064794921875
93,CIFAR10,fedprox,0,0,100,0.01,2,939,0.7875,0.85732,0.8297,0.91334,0.66753564453125,0.42588708740234377,0.520570751953125,0.2666198132324219
94,CIFAR10,fedprox,0,0,100,0.01,2,949,0.7899,0.86374,0.8285,0.91382,0.66201142578125,0.40882242431640625,0.520191650390625,0.26578390563964843
95,CIFAR10,fedprox,0,0,100,0.01,2,959,0.7858,0.85434,0.8297,0.9143,0.689065576171875,0.43862367431640625,0.5192139404296875,0.26370766296386716
96,CIFAR10,fedprox,0,0,100,0.01,2,969,0.7964,0.86838,0.8323,0.91486,0.6553991943359375,0.39770406005859377,0.5181085205078125,0.2622019317626953
97,CIFAR10,fedprox,0,0,100,0.01,2,979,0.7603,0.81414,0.8318,0.91548,0.82343408203125,0.5752881689453125,0.51768369140625,0.2618696844482422
98,CIFAR10,fedprox,0,0,100,0.01,2,989,0.7637,0.82256,0.8345,0.91528,0.7634875244140625,0.5391846728515625,0.516115869140625,0.2614543499755859
99,CIFAR10,fedprox,0,0,100,0.01,2,999,0.7686,0.83524,0.8336,0.91606,0.7611393310546875,0.499869111328125,0.5132865966796875,0.2615117431640625
