,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0,100,0.01,4,9,0.4329,0.43872,0.198,0.19322,1.5494759765625,1.5528603076171874,2.27660830078125,2.276858623046875
1,CIFAR10,fedprox,0,0,100,0.01,4,19,0.5029,0.50534,0.3223,0.32084,1.389037255859375,1.3810533056640626,2.23063193359375,2.23115228515625
2,CIFAR10,fedprox,0,0,100,0.01,4,29,0.5431,0.55628,0.3858,0.38898,1.285441064453125,1.264679892578125,2.1615837890625,2.162531962890625
3,CIFAR10,fedprox,0,0,100,0.01,4,39,0.607,0.62206,0.4524,0.4574,1.1293640625,1.09435521484375,2.0529490234375,2.053754873046875
4,CIFAR10,fedprox,0,0,100,0.01,4,49,0.6256,0.6344,0.4945,0.4994,1.10972705078125,1.0640923681640626,1.93776259765625,1.937604501953125
5,CIFAR10,fedprox,0,0,100,0.01,4,59,0.6119,0.62998,0.5269,0.53536,1.152119287109375,1.08718361328125,1.82835947265625,1.82604755859375
6,CIFAR10,fedprox,0,0,100,0.01,4,69,0.6768,0.69364,0.559,0.56744,0.9601773193359375,0.9055391967773437,1.725132373046875,1.7202368798828125
7,CIFAR10,fedprox,0,0,100,0.01,4,79,0.6577,0.67934,0.6069,0.61798,1.044784765625,0.9643798706054687,1.524750390625,1.514083984375
8,CIFAR10,fedprox,0,0,100,0.01,4,89,0.6524,0.67718,0.6349,0.65044,1.043925244140625,0.9551628637695313,1.41865576171875,1.401557744140625
9,CIFAR10,fedprox,0,0,100,0.01,4,99,0.6843,0.71362,0.6726,0.6955,0.96088330078125,0.8529770483398438,1.176044873046875,1.144553916015625
10,CIFAR10,fedprox,0,0,100,0.01,4,109,0.682,0.71944,0.6885,0.71604,0.94166328125,0.8235537524414063,1.098798486328125,1.05950515625
11,CIFAR10,fedprox,0,0,100,0.01,4,119,0.6774,0.70848,0.7058,0.73704,0.998717724609375,0.88728115234375,1.00600654296875,0.9558386865234375
12,CIFAR10,fedprox,0,0,100,0.01,4,129,0.6811,0.71496,0.7122,0.74748,1.0105455322265624,0.879092548828125,0.9574025146484375,0.9011956811523437
13,CIFAR10,fedprox,0,0,100,0.01,4,139,0.7375,0.77522,0.7222,0.75838,0.811736376953125,0.6755287353515625,0.9147332763671875,0.851928349609375
14,CIFAR10,fedprox,0,0,100,0.01,4,149,0.6691,0.7077,0.7291,0.76868,1.104555517578125,0.9457643432617188,0.888214404296875,0.82052373046875
15,CIFAR10,fedprox,0,0,100,0.01,4,159,0.6965,0.73472,0.7327,0.77514,1.0079323486328124,0.8481638330078125,0.8733849365234375,0.801564580078125
16,CIFAR10,fedprox,0,0,100,0.01,4,169,0.7219,0.75838,0.7382,0.7823,0.856571484375,0.72402884765625,0.843365966796875,0.7667025610351562
17,CIFAR10,fedprox,0,0,100,0.01,4,179,0.6874,0.7262,0.7466,0.79332,1.04041064453125,0.8690015478515625,0.789691943359375,0.7031975634765625
18,CIFAR10,fedprox,0,0,100,0.01,4,189,0.7261,0.77002,0.7502,0.79864,0.8809886962890625,0.7099714111328125,0.77688701171875,0.686553154296875
19,CIFAR10,fedprox,0,0,100,0.01,4,199,0.7151,0.75788,0.7607,0.80892,0.9294611572265625,0.758384072265625,0.7349993896484375,0.6335121337890625
20,CIFAR10,fedprox,0,0,100,0.01,4,209,0.7108,0.7585,0.7672,0.81658,0.904576025390625,0.7336050708007813,0.70483955078125,0.5924196166992187
21,CIFAR10,fedprox,0,0,100,0.01,4,219,0.7192,0.76632,0.7705,0.82094,0.88567880859375,0.7142385424804687,0.68902041015625,0.57107501953125
22,CIFAR10,fedprox,0,0,100,0.01,4,229,0.7553,0.80978,0.7777,0.82824,0.735675927734375,0.5655929663085938,0.6702935546875,0.542479267578125
23,CIFAR10,fedprox,0,0,100,0.01,4,239,0.7128,0.76018,0.7775,0.83194,0.9346021240234375,0.7446054760742188,0.6573450927734374,0.519528076171875
24,CIFAR10,fedprox,0,0,100,0.01,4,249,0.7431,0.79484,0.7802,0.83798,0.7763739990234375,0.6033768920898438,0.6485173095703125,0.502926533203125
25,CIFAR10,fedprox,0,0,100,0.01,4,259,0.7573,0.81044,0.7835,0.8421,0.7739892333984375,0.5738794250488282,0.6391203857421875,0.4849512341308594
26,CIFAR10,fedprox,0,0,100,0.01,4,269,0.7205,0.76944,0.7861,0.84566,0.9171157470703125,0.7058009326171875,0.634470654296875,0.47452419677734375
27,CIFAR10,fedprox,0,0,100,0.01,4,279,0.7589,0.81686,0.7903,0.84946,0.762877392578125,0.5539273596191406,0.6287883544921875,0.4640965808105469
28,CIFAR10,fedprox,0,0,100,0.01,4,289,0.7561,0.81144,0.79,0.85266,0.7825786376953126,0.5740679968261718,0.62447138671875,0.45285875
29,CIFAR10,fedprox,0,0,100,0.01,4,299,0.7438,0.792,0.7919,0.85508,0.8156358642578125,0.6197427661132813,0.620586474609375,0.4397444274902344
30,CIFAR10,fedprox,0,0,100,0.01,4,309,0.7307,0.77718,0.793,0.8578,0.890376806640625,0.6938898266601562,0.6173479736328125,0.43483004638671874
31,CIFAR10,fedprox,0,0,100,0.01,4,319,0.7314,0.7834,0.7959,0.8604,0.8612141845703125,0.6569859497070313,0.613366650390625,0.4268502770996094
32,CIFAR10,fedprox,0,0,100,0.01,4,329,0.7526,0.80094,0.7985,0.86194,0.8145891845703125,0.6084112915039063,0.6097775390625,0.42202895629882814
33,CIFAR10,fedprox,0,0,100,0.01,4,339,0.7175,0.7727,0.7993,0.86464,0.93223388671875,0.7207377124023437,0.6052702392578125,0.4156037841796875
34,CIFAR10,fedprox,0,0,100,0.01,4,349,0.7373,0.78652,0.8005,0.86836,0.8508645751953124,0.659980927734375,0.6014692626953125,0.4026509313964844
35,CIFAR10,fedprox,0,0,100,0.01,4,359,0.7274,0.77706,0.8025,0.86964,0.8703890625,0.6780969677734375,0.600033251953125,0.39594285888671876
36,CIFAR10,fedprox,0,0,100,0.01,4,369,0.7699,0.83062,0.8047,0.87158,0.72992099609375,0.5133267199707031,0.59603876953125,0.39037556030273435
37,CIFAR10,fedprox,0,0,100,0.01,4,379,0.7671,0.83132,0.8043,0.8723,0.7393586181640625,0.5168343273925782,0.594202734375,0.3863555114746094
38,CIFAR10,fedprox,0,0,100,0.01,4,389,0.7403,0.79708,0.8032,0.87424,0.85980126953125,0.6281351098632812,0.5920862060546875,0.379587099609375
39,CIFAR10,fedprox,0,0,100,0.01,4,399,0.7071,0.7512,0.8038,0.87604,1.0154855224609376,0.8046323022460937,0.5895487548828126,0.37619222045898437
40,CIFAR10,fedprox,0,0,100,0.01,4,409,0.7638,0.81694,0.8045,0.8775,0.73945302734375,0.5492593908691407,0.5865580078125,0.3734031982421875
41,CIFAR10,fedprox,0,0,100,0.01,4,419,0.7853,0.84172,0.8085,0.87842,0.687701220703125,0.474025380859375,0.582659814453125,0.36985604736328126
42,CIFAR10,fedprox,0,0,100,0.01,4,429,0.738,0.78502,0.8074,0.87962,0.8780120849609375,0.6694156774902343,0.580828857421875,0.36445030517578125
43,CIFAR10,fedprox,0,0,100,0.01,4,439,0.7498,0.8035,0.8074,0.88076,0.792881298828125,0.5960049475097656,0.5797651611328125,0.3623460217285156
44,CIFAR10,fedprox,0,0,100,0.01,4,449,0.7376,0.79078,0.8099,0.88232,0.81371953125,0.6164735302734375,0.5780445068359376,0.36028929931640624
45,CIFAR10,fedprox,0,0,100,0.01,4,459,0.7361,0.78508,0.8113,0.88504,0.8660218017578125,0.6564881323242188,0.575242626953125,0.35501892822265624
46,CIFAR10,fedprox,0,0,100,0.01,4,469,0.7317,0.78352,0.8152,0.8859,0.8997812744140625,0.6846033471679688,0.5717278564453125,0.3503221331787109
47,CIFAR10,fedprox,0,0,100,0.01,4,479,0.7909,0.85232,0.8151,0.887,0.6598443603515625,0.4377195837402344,0.5682508544921875,0.3466162145996094
