,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0,100,0.1,2,9,0.5793,0.59026,0.5037,0.50616,1.202846533203125,1.1685408154296875,1.775382958984375,1.775808583984375
1,CIFAR10,fedprox,0,0,100,0.1,2,19,0.6432,0.67544,0.6149,0.63356,1.07956171875,0.9702088696289063,1.170124951171875,1.1280522705078124
2,CIFAR10,fedprox,0,0,100,0.1,2,29,0.6727,0.71466,0.6654,0.70304,1.02523505859375,0.8589727734375,0.9838139892578125,0.8678446606445313
3,CIFAR10,fedprox,0,0,100,0.1,2,39,0.6957,0.75648,0.6901,0.74474,0.95352822265625,0.7346702514648438,0.9307494384765626,0.7527433129882812
4,CIFAR10,fedprox,0,0,100,0.1,2,49,0.7161,0.78104,0.7071,0.7693,0.902209033203125,0.657391103515625,0.8950244873046875,0.6825199169921875
5,CIFAR10,fedprox,0,0,100,0.1,2,59,0.7245,0.79676,0.7224,0.78898,0.8754619873046875,0.6143962756347656,0.8605239013671875,0.6222893603515625
6,CIFAR10,fedprox,0,0,100,0.1,2,69,0.7371,0.81006,0.7329,0.8121,0.847033154296875,0.5681575476074219,0.8270189697265625,0.5599262414550781
7,CIFAR10,fedprox,0,0,100,0.1,2,79,0.7427,0.82374,0.7455,0.8242,0.8294340087890625,0.5291036157226563,0.8036333984375,0.5194370642089844
8,CIFAR10,fedprox,0,0,100,0.1,2,89,0.7493,0.8279,0.7536,0.83522,0.8181845947265625,0.5129114892578125,0.7871259521484375,0.4865071752929688
9,CIFAR10,fedprox,0,0,100,0.1,2,99,0.7558,0.84252,0.7598,0.84604,0.790258740234375,0.47011711181640625,0.766923974609375,0.4562890478515625
10,CIFAR10,fedprox,0,0,100,0.1,2,109,0.756,0.84572,0.7654,0.8543,0.78225205078125,0.4546009680175781,0.7479313720703125,0.43016969970703123
11,CIFAR10,fedprox,0,0,100,0.1,2,119,0.7637,0.85332,0.7685,0.85978,0.769535400390625,0.43664385009765627,0.7403099853515624,0.4141262524414063
12,CIFAR10,fedprox,0,0,100,0.1,2,129,0.767,0.8541,0.772,0.86514,0.759113671875,0.437521708984375,0.72870029296875,0.3999847839355469
13,CIFAR10,fedprox,0,0,100,0.1,2,139,0.7694,0.86112,0.7774,0.87038,0.7476468505859375,0.41055697631835936,0.721877099609375,0.38612815063476563
14,CIFAR10,fedprox,0,0,100,0.1,2,149,0.7747,0.86614,0.779,0.87454,0.73301201171875,0.3980012109375,0.7114300537109375,0.3734976672363281
15,CIFAR10,fedprox,0,0,100,0.1,2,159,0.78,0.86942,0.7813,0.87688,0.7326883544921875,0.38896192626953124,0.705107080078125,0.3648099072265625
16,CIFAR10,fedprox,0,0,100,0.1,2,169,0.7664,0.8555,0.7855,0.88106,0.7628205078125,0.42987537353515626,0.6960209716796875,0.35447663940429686
17,CIFAR10,fedprox,0,0,100,0.1,2,179,0.7799,0.87518,0.7873,0.88514,0.7187372802734375,0.37158583374023435,0.6880145751953125,0.3416428686523437
18,CIFAR10,fedprox,0,0,100,0.1,2,189,0.7807,0.8754,0.7898,0.88842,0.70919765625,0.3677136828613281,0.6776581787109375,0.333419873046875
19,CIFAR10,fedprox,0,0,100,0.1,2,199,0.7805,0.87416,0.7899,0.88972,0.72102236328125,0.37791029052734376,0.6785578857421874,0.3287279992675781
20,CIFAR10,fedprox,0,0,100,0.1,2,209,0.7841,0.88028,0.7894,0.89232,0.6944267333984375,0.3548778955078125,0.6735012939453126,0.32211108520507814
21,CIFAR10,fedprox,0,0,100,0.1,2,219,0.7796,0.8695,0.792,0.89372,0.7324406982421875,0.3936335437011719,0.6690454833984375,0.3181188513183594
22,CIFAR10,fedprox,0,0,100,0.1,2,229,0.785,0.88458,0.7975,0.8965,0.6919239013671875,0.33965260498046873,0.6559801513671875,0.3096029235839844
23,CIFAR10,fedprox,0,0,100,0.1,2,239,0.7911,0.88826,0.7989,0.89848,0.678027001953125,0.3331902880859375,0.6512770751953125,0.30323919189453125
24,CIFAR10,fedprox,0,0,100,0.1,2,249,0.7919,0.88732,0.8003,0.90004,0.6842373291015625,0.33491221435546875,0.6487195068359375,0.29920100219726564
25,CIFAR10,fedprox,0,0,100,0.1,2,259,0.7908,0.88398,0.7982,0.90108,0.703202978515625,0.342097548828125,0.6472643798828125,0.29762049682617187
26,CIFAR10,fedprox,0,0,100,0.1,2,269,0.7837,0.87738,0.7991,0.90282,0.7073072509765626,0.36633058837890625,0.64523447265625,0.29385957763671877
27,CIFAR10,fedprox,0,0,100,0.1,2,279,0.7929,0.89174,0.7993,0.90286,0.679503662109375,0.3221434704589844,0.6464150390625,0.29308862426757815
28,CIFAR10,fedprox,0,0,100,0.1,2,289,0.7883,0.88158,0.8018,0.9045,0.69015517578125,0.354104560546875,0.6417063232421875,0.2894907019042969
29,CIFAR10,fedprox,0,0,100,0.1,2,299,0.7911,0.88582,0.8039,0.90446,0.679937451171875,0.33753245483398436,0.6347005126953125,0.2885428515625
