,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0,100,0.1,3,9,0.5734,0.57916,0.4993,0.50422,1.2182556640625,1.1920243115234375,1.788162451171875,1.7877326611328126
1,CIFAR10,fedprox,0,0,100,0.1,3,19,0.6557,0.6783,0.6195,0.63854,1.023074755859375,0.9385314233398437,1.1282091796875,1.0910576025390626
2,CIFAR10,fedprox,0,0,100,0.1,3,29,0.6945,0.73522,0.6809,0.71304,0.9425345458984375,0.7945504418945313,0.9462154541015625,0.8545550146484375
3,CIFAR10,fedprox,0,0,100,0.1,3,39,0.7111,0.76382,0.7065,0.74972,0.90040810546875,0.72165744140625,0.88392626953125,0.743059365234375
4,CIFAR10,fedprox,0,0,100,0.1,3,49,0.7304,0.79096,0.7236,0.7803,0.8448857177734375,0.6371817797851562,0.8316301513671875,0.6588906518554688
5,CIFAR10,fedprox,0,0,100,0.1,3,59,0.744,0.80616,0.7411,0.80622,0.815888720703125,0.5911249047851562,0.7914738525390626,0.5856116064453125
6,CIFAR10,fedprox,0,0,100,0.1,3,69,0.7519,0.82096,0.7542,0.82336,0.79510869140625,0.5454422509765625,0.76671708984375,0.5353608862304687
7,CIFAR10,fedprox,0,0,100,0.1,3,79,0.7641,0.83348,0.7617,0.8348,0.765877734375,0.5016962036132813,0.74838447265625,0.49790762573242187
8,CIFAR10,fedprox,0,0,100,0.1,3,89,0.7692,0.84538,0.7677,0.84608,0.7506628173828125,0.47013939453125,0.73205390625,0.4621465759277344
9,CIFAR10,fedprox,0,0,100,0.1,3,99,0.7698,0.85136,0.7717,0.85628,0.735983935546875,0.449841279296875,0.7196320068359375,0.4369993505859375
10,CIFAR10,fedprox,0,0,100,0.1,3,109,0.7746,0.85578,0.7764,0.86438,0.7346921630859375,0.43921430419921875,0.705239208984375,0.4119677294921875
11,CIFAR10,fedprox,0,0,100,0.1,3,119,0.7807,0.8609,0.785,0.87184,0.714922314453125,0.4178220202636719,0.6900011962890625,0.3900292797851562
12,CIFAR10,fedprox,0,0,100,0.1,3,129,0.7854,0.87082,0.7896,0.87634,0.6892651123046875,0.39190393920898436,0.6743072021484375,0.37295292236328126
13,CIFAR10,fedprox,0,0,100,0.1,3,139,0.7751,0.86356,0.7916,0.88238,0.7284138427734375,0.410318134765625,0.6725733642578124,0.36215353515625
14,CIFAR10,fedprox,0,0,100,0.1,3,149,0.7894,0.87712,0.7931,0.88516,0.6913126953125,0.37003668701171877,0.6647093505859375,0.3451926684570312
15,CIFAR10,fedprox,0,0,100,0.1,3,159,0.7837,0.8774,0.7934,0.88724,0.693007666015625,0.3723891162109375,0.659956298828125,0.34049996826171874
16,CIFAR10,fedprox,0,0,100,0.1,3,169,0.79,0.88014,0.7962,0.88998,0.69175634765625,0.3626835717773437,0.65404013671875,0.330425654296875
17,CIFAR10,fedprox,0,0,100,0.1,3,179,0.7917,0.88892,0.7973,0.89374,0.676008837890625,0.33556053955078124,0.64998115234375,0.31933952392578124
18,CIFAR10,fedprox,0,0,100,0.1,3,189,0.7927,0.88696,0.8008,0.89836,0.6811399169921875,0.3439713415527344,0.643097509765625,0.30943022705078127
19,CIFAR10,fedprox,0,0,100,0.1,3,199,0.7862,0.878,0.8031,0.89954,0.69640068359375,0.36468579833984377,0.6423294189453125,0.30579826904296875
20,CIFAR10,fedprox,0,0,100,0.1,3,209,0.7989,0.89232,0.8033,0.9016,0.6618910400390625,0.3291215771484375,0.63816845703125,0.30168137939453127
21,CIFAR10,fedprox,0,0,100,0.1,3,219,0.7982,0.8921,0.8041,0.90308,0.664717626953125,0.32792847534179687,0.6311455810546875,0.2935372277832031
22,CIFAR10,fedprox,0,0,100,0.1,3,229,0.7921,0.8848,0.8062,0.90584,0.684553857421875,0.34765185302734375,0.6282548828125,0.28723258056640627
23,CIFAR10,fedprox,0,0,100,0.1,3,239,0.7879,0.88414,0.8067,0.90744,0.6862022705078125,0.343921376953125,0.6274712890625,0.28204387451171875
24,CIFAR10,fedprox,0,0,100,0.1,3,249,0.8016,0.89656,0.8067,0.90916,0.6610911865234375,0.31449106689453127,0.624591796875,0.2772902380371094
25,CIFAR10,fedprox,0,0,100,0.1,3,259,0.8028,0.90228,0.8082,0.9106,0.6444063720703125,0.2984468273925781,0.6245711181640625,0.2745378259277344
26,CIFAR10,fedprox,0,0,100,0.1,3,269,0.8024,0.90424,0.8082,0.91322,0.647284423828125,0.2900545068359375,0.62487177734375,0.26811154541015625
27,CIFAR10,fedprox,0,0,100,0.1,3,279,0.8034,0.90034,0.809,0.9136,0.648482080078125,0.30129573486328126,0.61994130859375,0.26496627319335936
28,CIFAR10,fedprox,0,0,100,0.1,3,289,0.8019,0.90038,0.8109,0.91448,0.659366162109375,0.30499035888671877,0.6200250244140625,0.2642614990234375
29,CIFAR10,fedprox,0,0,100,0.1,3,299,0.8057,0.90338,0.8106,0.91642,0.649567822265625,0.29736097595214844,0.6148144287109375,0.26015934692382814
