,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0.3,100,0.01,1,9,0.3301,0.3313,0.1691,0.16786,1.905677001953125,1.9130588037109375,2.29054951171875,2.29053677734375
1,CIFAR10,fedprox,0,0.3,100,0.01,1,19,0.3696,0.3667,0.2643,0.25842,1.846699951171875,1.8466784521484374,2.236034765625,2.236212177734375
2,CIFAR10,fedprox,0,0.3,100,0.01,1,29,0.4257,0.42146,0.3453,0.33672,1.64058564453125,1.6156446875,2.177838671875,2.178066015625
3,CIFAR10,fedprox,0,0.3,100,0.01,1,39,0.4909,0.4927,0.444,0.44046,1.52684443359375,1.488167333984375,2.06089658203125,2.060886953125
4,CIFAR10,fedprox,0,0.3,100,0.01,1,49,0.4935,0.50434,0.5145,0.5178,1.517054150390625,1.4991862841796875,1.8678650390625,1.86653974609375
5,CIFAR10,fedprox,0,0.3,100,0.01,1,59,0.5434,0.54862,0.5488,0.55088,1.3061048828125,1.269280068359375,1.672412109375,1.66791466796875
6,CIFAR10,fedprox,0,0.3,100,0.01,1,69,0.5129,0.51866,0.5856,0.5904,1.687060888671875,1.617114267578125,1.5211818359375,1.511226591796875
7,CIFAR10,fedprox,0,0.3,100,0.01,1,79,0.5391,0.554,0.6009,0.61006,1.406423486328125,1.3253586767578125,1.432317529296875,1.4178627880859376
8,CIFAR10,fedprox,0,0.3,100,0.01,1,89,0.399,0.41042,0.6148,0.63076,2.86323359375,2.770394287109375,1.349401904296875,1.3295607666015625
9,CIFAR10,fedprox,0,0.3,100,0.01,1,99,0.5249,0.54344,0.6346,0.65386,1.678090869140625,1.5751272705078125,1.252472802734375,1.2254252880859375
10,CIFAR10,fedprox,0,0.3,100,0.01,1,109,0.5047,0.5138,0.6519,0.6749,2.03082421875,1.9464215234375,1.1622326171875,1.1270718359375
11,CIFAR10,fedprox,0,0.3,100,0.01,1,119,0.6621,0.68616,0.6719,0.6954,1.0160218994140624,0.9285298388671875,1.079604736328125,1.0349328955078125
12,CIFAR10,fedprox,0,0.3,100,0.01,1,129,0.5896,0.60436,0.6853,0.7127,1.3209955078125,1.2352594384765625,0.9995248779296875,0.944793125
13,CIFAR10,fedprox,0,0.3,100,0.01,1,139,0.5641,0.58404,0.6987,0.72946,1.37586416015625,1.269794287109375,0.9349081298828125,0.8711570239257812
14,CIFAR10,fedprox,0,0.3,100,0.01,1,149,0.574,0.5971,0.705,0.73862,1.331397998046875,1.2253172412109374,0.90239091796875,0.8332142724609375
15,CIFAR10,fedprox,0,0.3,100,0.01,1,159,0.5086,0.5319,0.7123,0.74466,1.736052294921875,1.594530517578125,0.88882587890625,0.8167622509765625
16,CIFAR10,fedprox,0,0.3,100,0.01,1,169,0.648,0.67168,0.7194,0.75242,1.10181328125,0.9928225146484375,0.860959619140625,0.7831180200195312
17,CIFAR10,fedprox,0,0.3,100,0.01,1,179,0.5083,0.53166,0.7271,0.76316,2.02015029296875,1.90321181640625,0.8258229248046876,0.7388276220703125
18,CIFAR10,fedprox,0,0.3,100,0.01,1,189,0.707,0.73846,0.7278,0.76704,0.8945072265625,0.7715938842773438,0.8194059326171875,0.7300347094726563
19,CIFAR10,fedprox,0,0.3,100,0.01,1,199,0.6411,0.66846,0.7353,0.77286,1.160064794921875,1.011179677734375,0.8034635986328125,0.709503427734375
20,CIFAR10,fedprox,0,0.3,100,0.01,1,209,0.5797,0.60346,0.7422,0.78492,1.44575498046875,1.300520498046875,0.766545458984375,0.6608431323242188
21,CIFAR10,fedprox,0,0.3,100,0.01,1,219,0.6158,0.63924,0.7463,0.79004,1.37826669921875,1.2206272900390625,0.742134033203125,0.6229632592773438
22,CIFAR10,fedprox,0,0.3,100,0.01,1,229,0.4591,0.48798,0.75,0.7954,2.36796318359375,2.185973798828125,0.730239697265625,0.6048802856445312
23,CIFAR10,fedprox,0,0.3,100,0.01,1,239,0.5996,0.62712,0.7525,0.79882,1.455092724609375,1.300860791015625,0.7222683349609375,0.594215146484375
24,CIFAR10,fedprox,0,0.3,100,0.01,1,249,0.6168,0.64492,0.7547,0.8035,1.335297119140625,1.1844906396484376,0.7134549560546875,0.583173046875
25,CIFAR10,fedprox,0,0.3,100,0.01,1,259,0.6331,0.6648,0.7601,0.8066,1.207979541015625,1.0601883984375,0.704527392578125,0.5678213549804687
26,CIFAR10,fedprox,0,0.3,100,0.01,1,269,0.6956,0.73228,0.7617,0.80872,0.924350439453125,0.793520439453125,0.69836396484375,0.5610534985351563
27,CIFAR10,fedprox,0,0.3,100,0.01,1,279,0.6278,0.65472,0.7627,0.81,1.276337744140625,1.1264437109375,0.693880615234375,0.5554734350585937
28,CIFAR10,fedprox,0,0.3,100,0.01,1,289,0.6382,0.67058,0.769,0.81486,1.2069244140625,1.042919423828125,0.6848072509765625,0.5436748486328125
29,CIFAR10,fedprox,0,0.3,100,0.01,1,299,0.5509,0.56848,0.7693,0.81662,1.699584619140625,1.5874518017578125,0.6822034423828125,0.5384080688476562
30,CIFAR10,fedprox,0,0.3,100,0.01,1,309,0.6468,0.6722,0.7707,0.81864,1.201468359375,1.0472589819335938,0.6774351318359375,0.531992529296875
31,CIFAR10,fedprox,0,0.3,100,0.01,1,319,0.7,0.74748,0.7738,0.82056,0.921384228515625,0.7511250341796875,0.673266552734375,0.5263576171875
32,CIFAR10,fedprox,0,0.3,100,0.01,1,329,0.4854,0.50496,0.775,0.8234,2.24700048828125,2.054470986328125,0.6668879150390625,0.5171783081054687
33,CIFAR10,fedprox,0,0.3,100,0.01,1,339,0.485,0.50126,0.7772,0.82602,2.1606591796875,1.97500783203125,0.66099375,0.5098080541992187
34,CIFAR10,fedprox,0,0.3,100,0.01,1,349,0.6691,0.70672,0.7807,0.82878,1.0569638671875,0.8843660864257813,0.6522297607421875,0.49803698974609373
35,CIFAR10,fedprox,0,0.3,100,0.01,1,359,0.5561,0.58276,0.7823,0.82946,1.70339951171875,1.5420348193359374,0.6499900390625,0.4951182897949219
36,CIFAR10,fedprox,0,0.3,100,0.01,1,369,0.6958,0.74246,0.7828,0.83214,0.9241878173828125,0.7560190795898437,0.64643125,0.48883068481445313
37,CIFAR10,fedprox,0,0.3,100,0.01,1,379,0.6092,0.64608,0.7827,0.83382,1.379055859375,1.1912802978515624,0.6447637451171875,0.48456681762695314
38,CIFAR10,fedprox,0,0.3,100,0.01,1,389,0.6912,0.74252,0.7821,0.83578,0.9805843505859375,0.790015322265625,0.64223857421875,0.4787781848144531
39,CIFAR10,fedprox,0,0.3,100,0.01,1,399,0.6061,0.63904,0.7827,0.8369,1.450182958984375,1.2548150439453125,0.641772119140625,0.4760961572265625
40,CIFAR10,fedprox,0,0.3,100,0.01,1,409,0.733,0.77174,0.7839,0.83826,0.8294016357421875,0.6687649853515625,0.6416974609375,0.4733484362792969
41,CIFAR10,fedprox,0,0.3,100,0.01,1,419,0.6445,0.68318,0.784,0.83972,1.221570556640625,1.0327541552734374,0.640476025390625,0.470329658203125
42,CIFAR10,fedprox,0,0.3,100,0.01,1,429,0.6327,0.66364,0.7858,0.84076,1.27660234375,1.1179340966796876,0.6385767822265624,0.46707439208984375
43,CIFAR10,fedprox,0,0.3,100,0.01,1,439,0.5843,0.62194,0.7858,0.84228,1.463036376953125,1.2808512548828126,0.6368942138671875,0.4644669946289062
44,CIFAR10,fedprox,0,0.3,100,0.01,1,449,0.5959,0.63518,0.7842,0.84316,1.460994873046875,1.274510849609375,0.636591357421875,0.46396953125
45,CIFAR10,fedprox,0,0.3,100,0.01,1,459,0.5602,0.58316,0.7863,0.84474,1.849610986328125,1.6695205517578124,0.633550341796875,0.46048183227539063
46,CIFAR10,fedprox,0,0.3,100,0.01,1,469,0.5483,0.56196,0.7854,0.84538,1.92330966796875,1.7557754736328124,0.6326715576171875,0.4579518676757813
47,CIFAR10,fedprox,0,0.3,100,0.01,1,479,0.6839,0.72298,0.7857,0.84564,1.0003721435546875,0.8301404272460937,0.631449462890625,0.4567457958984375
48,CIFAR10,fedprox,0,0.3,100,0.01,1,489,0.7303,0.7728,0.7887,0.84624,0.896088720703125,0.7061679443359375,0.6297741455078125,0.4541631689453125
49,CIFAR10,fedprox,0,0.3,100,0.01,1,499,0.6838,0.7325,0.7867,0.84744,1.0291030517578126,0.8362228833007812,0.6277887939453125,0.45044455810546874
50,CIFAR10,fedprox,0,0.3,100,0.01,1,509,0.7144,0.76004,0.7896,0.84686,0.8996031982421875,0.7266674658203125,0.6261520751953125,0.44875521240234373
51,CIFAR10,fedprox,0,0.3,100,0.01,1,519,0.6732,0.71628,0.7906,0.84818,1.09610654296875,0.8961464697265625,0.6238416748046876,0.4441200280761719
52,CIFAR10,fedprox,0,0.3,100,0.01,1,529,0.652,0.69,0.7891,0.84894,1.200926025390625,1.0072396044921874,0.6216398681640625,0.44048791015625
53,CIFAR10,fedprox,0,0.3,100,0.01,1,539,0.6545,0.69456,0.7903,0.8508,1.173825537109375,0.985384326171875,0.6179378173828125,0.43575709228515624
54,CIFAR10,fedprox,0,0.3,100,0.01,1,549,0.6373,0.68128,0.7913,0.85142,1.18538291015625,1.0027293237304689,0.6158076416015625,0.43279480102539064
55,CIFAR10,fedprox,0,0.3,100,0.01,1,559,0.6576,0.69012,0.7935,0.85266,1.266180517578125,1.0854070263671876,0.6138857666015625,0.43077218627929686
56,CIFAR10,fedprox,0,0.3,100,0.01,1,569,0.5515,0.58114,0.793,0.852,1.668949853515625,1.483769228515625,0.6134421875,0.4300535461425781
57,CIFAR10,fedprox,0,0.3,100,0.01,1,579,0.6521,0.6869,0.7936,0.85338,1.255052978515625,1.0662296044921875,0.6111135498046875,0.42684308227539064
58,CIFAR10,fedprox,0,0.3,100,0.01,1,589,0.5915,0.63494,0.7943,0.85458,1.43907138671875,1.22559728515625,0.6109175537109375,0.42499331298828125
59,CIFAR10,fedprox,0,0.3,100,0.01,1,599,0.6534,0.68818,0.7944,0.85496,1.307593896484375,1.109502998046875,0.611467822265625,0.4234396423339844
60,CIFAR10,fedprox,0,0.3,100,0.01,1,609,0.575,0.60176,0.7931,0.85616,1.712502978515625,1.5452307373046874,0.610321240234375,0.42112836059570313
61,CIFAR10,fedprox,0,0.3,100,0.01,1,619,0.5925,0.63098,0.7939,0.8568,1.410641259765625,1.220595654296875,0.6095337646484374,0.4194325512695313
62,CIFAR10,fedprox,0,0.3,100,0.01,1,629,0.6886,0.72962,0.7955,0.85754,1.036402490234375,0.8373354321289063,0.6092225341796875,0.41763568359375
63,CIFAR10,fedprox,0,0.3,100,0.01,1,639,0.7006,0.74334,0.7966,0.8597,0.979627099609375,0.7999761791992187,0.60744375,0.41312968994140625
64,CIFAR10,fedprox,0,0.3,100,0.01,1,649,0.5973,0.62962,0.797,0.86042,1.54683173828125,1.3617939575195313,0.6067493896484375,0.4113212072753906
65,CIFAR10,fedprox,0,0.3,100,0.01,1,659,0.6537,0.68374,0.7996,0.86196,1.30823134765625,1.1335558422851562,0.604190087890625,0.4095470568847656
66,CIFAR10,fedprox,0,0.3,100,0.01,1,669,0.6895,0.73088,0.8012,0.8624,0.989231640625,0.8096724682617188,0.6037044677734374,0.40986365844726563
67,CIFAR10,fedprox,0,0.3,100,0.01,1,679,0.6139,0.64744,0.7985,0.8628,1.42037607421875,1.2428284033203125,0.6027244873046875,0.4085169421386719
68,CIFAR10,fedprox,0,0.3,100,0.01,1,689,0.6944,0.73516,0.7981,0.86212,1.017333154296875,0.820563125,0.60255595703125,0.40817602905273437
