,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0.3,100,0.01,1,9,0.399,0.39436,0.214,0.21126,1.856234033203125,1.8520384912109376,2.2725310546875,2.272788447265625
1,CIFAR10,fedprox,0,0.3,100,0.01,1,19,0.424,0.42572,0.2936,0.28988,1.774079248046875,1.7521516259765626,2.20470322265625,2.205106728515625
2,CIFAR10,fedprox,0,0.3,100,0.01,1,29,0.5298,0.53536,0.3861,0.38512,1.48763896484375,1.4320408447265625,2.10404072265625,2.10395669921875
3,CIFAR10,fedprox,0,0.3,100,0.01,1,39,0.5556,0.57212,0.473,0.47582,1.40001337890625,1.32719544921875,1.953663330078125,1.9518243896484375
4,CIFAR10,fedprox,0,0.3,100,0.01,1,49,0.5622,0.57434,0.5318,0.54082,1.53448623046875,1.4557902099609374,1.78431513671875,1.778383154296875
5,CIFAR10,fedprox,0,0.3,100,0.01,1,59,0.4516,0.4659,0.584,0.59822,2.35514267578125,2.27928548828125,1.535808837890625,1.52176166015625
6,CIFAR10,fedprox,0,0.3,100,0.01,1,69,0.4984,0.5102,0.6237,0.6417,2.2304919921875,2.133619736328125,1.363035400390625,1.340381201171875
7,CIFAR10,fedprox,0,0.3,100,0.01,1,79,0.6082,0.63506,0.6425,0.66678,1.278913916015625,1.1681930908203124,1.232607470703125,1.2005842431640625
8,CIFAR10,fedprox,0,0.3,100,0.01,1,89,0.4583,0.47066,0.658,0.68086,2.84710341796875,2.70754314453125,1.157905712890625,1.1204931787109376
9,CIFAR10,fedprox,0,0.3,100,0.01,1,99,0.393,0.40176,0.6711,0.69676,3.40325,3.3054433203125,1.08279150390625,1.0385112353515624
10,CIFAR10,fedprox,0,0.3,100,0.01,1,109,0.5449,0.56052,0.684,0.71004,2.06544091796875,1.9422540185546875,1.0008882568359374,0.9480186596679687
11,CIFAR10,fedprox,0,0.3,100,0.01,1,119,0.6941,0.72296,0.696,0.72216,0.996569140625,0.8868288427734375,0.9548452880859375,0.8966538647460938
12,CIFAR10,fedprox,0,0.3,100,0.01,1,129,0.5853,0.60884,0.7132,0.74212,1.50910419921875,1.3812434423828126,0.8749654296875,0.8058094873046875
13,CIFAR10,fedprox,0,0.3,100,0.01,1,139,0.5725,0.60002,0.7243,0.75636,1.57949658203125,1.4444656884765625,0.836166015625,0.7605660864257813
14,CIFAR10,fedprox,0,0.3,100,0.01,1,149,0.5645,0.58688,0.7365,0.7698,1.620157275390625,1.485561259765625,0.7868793212890625,0.6979889013671875
15,CIFAR10,fedprox,0,0.3,100,0.01,1,159,0.5402,0.55274,0.7408,0.77508,2.4245802734375,2.271615361328125,0.773781396484375,0.68098044921875
16,CIFAR10,fedprox,0,0.3,100,0.01,1,169,0.6604,0.69122,0.7435,0.7797,1.175798974609375,1.031750458984375,0.7577234375,0.660740849609375
17,CIFAR10,fedprox,0,0.3,100,0.01,1,179,0.5633,0.58114,0.7471,0.78436,2.167178515625,1.9984495068359376,0.744805322265625,0.6421469653320313
18,CIFAR10,fedprox,0,0.3,100,0.01,1,189,0.6826,0.71406,0.7532,0.79186,1.09826025390625,0.9463341552734374,0.727193701171875,0.6145618603515625
19,CIFAR10,fedprox,0,0.3,100,0.01,1,199,0.5418,0.56142,0.7565,0.79624,2.26092265625,2.084389990234375,0.7189693115234375,0.6003992333984375
20,CIFAR10,fedprox,0,0.3,100,0.01,1,209,0.6102,0.63934,0.758,0.801,1.499619580078125,1.3269402587890624,0.7113597412109375,0.583395947265625
21,CIFAR10,fedprox,0,0.3,100,0.01,1,219,0.5517,0.57812,0.7635,0.8065,1.8153986328125,1.650424208984375,0.704756982421875,0.56852677734375
22,CIFAR10,fedprox,0,0.3,100,0.01,1,229,0.6837,0.71896,0.766,0.81002,1.076115283203125,0.9118927905273437,0.6987639404296875,0.5579507153320312
23,CIFAR10,fedprox,0,0.3,100,0.01,1,239,0.5719,0.59012,0.7687,0.81498,1.8472439453125,1.65293486328125,0.6888501708984375,0.5435077221679687
24,CIFAR10,fedprox,0,0.3,100,0.01,1,249,0.5227,0.54376,0.7701,0.81664,2.1743623046875,2.0028596923828124,0.68846015625,0.5374040576171875
25,CIFAR10,fedprox,0,0.3,100,0.01,1,259,0.628,0.66022,0.7718,0.81892,1.3532638671875,1.1795429638671875,0.6834473876953125,0.530830078125
26,CIFAR10,fedprox,0,0.3,100,0.01,1,269,0.6877,0.72852,0.7752,0.82248,1.029046484375,0.869275341796875,0.6791077392578125,0.5230381286621094
27,CIFAR10,fedprox,0,0.3,100,0.01,1,279,0.6555,0.6801,0.7753,0.82468,1.29849052734375,1.1214229443359376,0.6740546630859375,0.5155378991699219
28,CIFAR10,fedprox,0,0.3,100,0.01,1,289,0.6985,0.7323,0.7765,0.826,1.135990869140625,0.964341416015625,0.6710862548828125,0.5114797546386719
29,CIFAR10,fedprox,0,0.3,100,0.01,1,299,0.5134,0.52782,0.7789,0.82706,2.13845263671875,1.9996726416015624,0.6703450439453125,0.5110300854492188
30,CIFAR10,fedprox,0,0.3,100,0.01,1,309,0.6312,0.66048,0.7812,0.8281,1.401568505859375,1.2466924462890625,0.66847783203125,0.5083508410644532
31,CIFAR10,fedprox,0,0.3,100,0.01,1,319,0.687,0.72286,0.7831,0.82928,1.061581884765625,0.8950212084960938,0.6629703369140625,0.5035379406738282
32,CIFAR10,fedprox,0,0.3,100,0.01,1,329,0.6634,0.69954,0.7849,0.83072,1.2371708984375,1.051892802734375,0.65721826171875,0.49789321411132814
33,CIFAR10,fedprox,0,0.3,100,0.01,1,339,0.5115,0.5275,0.7869,0.8322,2.21212431640625,2.0297175390625,0.6556218994140625,0.49556222045898435
34,CIFAR10,fedprox,0,0.3,100,0.01,1,349,0.6629,0.6968,0.7869,0.83216,1.191731005859375,1.0090944921875,0.65394970703125,0.49291131713867187
35,CIFAR10,fedprox,0,0.3,100,0.01,1,359,0.4959,0.5165,0.7854,0.832,2.3391083984375,2.17501859375,0.65447607421875,0.4941752490234375
36,CIFAR10,fedprox,0,0.3,100,0.01,1,369,0.5879,0.6128,0.7891,0.83418,1.750724853515625,1.5833462841796875,0.651491064453125,0.489219384765625
37,CIFAR10,fedprox,0,0.3,100,0.01,1,379,0.5362,0.5585,0.7875,0.83548,2.18993291015625,2.017502626953125,0.648310302734375,0.48701741455078124
38,CIFAR10,fedprox,0,0.3,100,0.01,1,389,0.6987,0.73882,0.7921,0.83624,1.0269301513671876,0.8548078442382813,0.64508017578125,0.48459715576171875
39,CIFAR10,fedprox,0,0.3,100,0.01,1,399,0.6779,0.71722,0.7928,0.83676,1.089925146484375,0.9237052490234375,0.6432269287109375,0.48193323486328127
40,CIFAR10,fedprox,0,0.3,100,0.01,1,409,0.7209,0.75506,0.7935,0.83752,0.9043048828125,0.7662554150390625,0.6394057373046875,0.4790889855957031
41,CIFAR10,fedprox,0,0.3,100,0.01,1,419,0.6696,0.6975,0.7944,0.8387,1.234283642578125,1.0876966674804687,0.636953564453125,0.4776159484863281
42,CIFAR10,fedprox,0,0.3,100,0.01,1,429,0.6091,0.62428,0.7954,0.83906,1.750260595703125,1.596395361328125,0.63370908203125,0.4745142492675781
43,CIFAR10,fedprox,0,0.3,100,0.01,1,439,0.5413,0.5596,0.7938,0.84026,2.06709853515625,1.8931399267578124,0.631753564453125,0.47274504638671877
44,CIFAR10,fedprox,0,0.3,100,0.01,1,449,0.5546,0.57786,0.7956,0.84146,2.08466416015625,1.90017806640625,0.6292365478515625,0.4703375524902344
45,CIFAR10,fedprox,0,0.3,100,0.01,1,459,0.5674,0.58952,0.7952,0.84168,1.93451474609375,1.7646254443359375,0.62732119140625,0.4672173486328125
46,CIFAR10,fedprox,0,0.3,100,0.01,1,469,0.4837,0.49576,0.7979,0.84194,2.6684201171875,2.516831943359375,0.6275444580078124,0.46614445556640627
47,CIFAR10,fedprox,0,0.3,100,0.01,1,479,0.6081,0.62696,0.7956,0.8415,1.553855029296875,1.4213932568359375,0.6287551025390625,0.46845220947265626
48,CIFAR10,fedprox,0,0.3,100,0.01,1,489,0.7248,0.76138,0.7953,0.8409,0.958076416015625,0.7893834155273437,0.6298739013671875,0.46925995361328127
49,CIFAR10,fedprox,0,0.3,100,0.01,1,499,0.6788,0.71298,0.7956,0.84114,1.162578955078125,0.9978344287109375,0.6291126708984375,0.4677795227050781
50,CIFAR10,fedprox,0,0.3,100,0.01,1,509,0.7464,0.78086,0.7961,0.8407,0.842567822265625,0.6905975317382812,0.6282241943359375,0.46911541015625
51,CIFAR10,fedprox,0,0.3,100,0.01,1,519,0.6213,0.6618,0.7944,0.8419,1.327076806640625,1.1326817529296875,0.626524755859375,0.46655153442382813
52,CIFAR10,fedprox,0,0.3,100,0.01,1,529,0.5246,0.54258,0.7954,0.84306,2.0738287109375,1.9242160546875,0.6259082763671875,0.46377576049804686
53,CIFAR10,fedprox,0,0.3,100,0.01,1,539,0.5815,0.61324,0.7962,0.84318,1.571744091796875,1.4008344921875,0.626857177734375,0.4630369885253906
54,CIFAR10,fedprox,0,0.3,100,0.01,1,549,0.5612,0.58412,0.7964,0.84398,1.925762060546875,1.74353203125,0.6262777587890626,0.46170416870117187
55,CIFAR10,fedprox,0,0.3,100,0.01,1,559,0.5801,0.60344,0.7997,0.84518,1.932872607421875,1.7676577880859374,0.6217202392578125,0.4577885925292969
56,CIFAR10,fedprox,0,0.3,100,0.01,1,569,0.5289,0.55212,0.8002,0.8455,2.20929794921875,2.004172841796875,0.6205511474609375,0.45705317626953124
57,CIFAR10,fedprox,0,0.3,100,0.01,1,579,0.6044,0.63778,0.8,0.84666,1.686561279296875,1.4960272802734376,0.6191296875,0.4538206872558594
58,CIFAR10,fedprox,0,0.3,100,0.01,1,589,0.5699,0.59212,0.7979,0.8477,1.876076025390625,1.7016051611328125,0.6193651611328125,0.4537352526855469
59,CIFAR10,fedprox,0,0.3,100,0.01,1,599,0.7166,0.75762,0.7966,0.84708,0.9599254638671875,0.791484765625,0.619725537109375,0.45410232666015626
