,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0.3,100,0.01,3,9,0.3792,0.38292,0.1007,0.10036,1.984621875,1.9716845263671876,2.28838134765625,2.288405224609375
1,CIFAR10,fedprox,0,0.3,100,0.01,3,19,0.4785,0.48674,0.2149,0.21354,1.56087841796875,1.5470705419921875,2.246669140625,2.24705296875
2,CIFAR10,fedprox,0,0.3,100,0.01,3,29,0.3837,0.38894,0.3532,0.35452,2.8675806640625,2.855554541015625,2.138100390625,2.138843837890625
3,CIFAR10,fedprox,0,0.3,100,0.01,3,39,0.4075,0.41486,0.3973,0.4034,2.57909541015625,2.52469029296875,2.06551494140625,2.06531935546875
4,CIFAR10,fedprox,0,0.3,100,0.01,3,49,0.5341,0.55332,0.4445,0.45718,1.629995458984375,1.546753017578125,1.9556341796875,1.9538208447265626
5,CIFAR10,fedprox,0,0.3,100,0.01,3,59,0.4786,0.48926,0.5077,0.52062,2.4977814453125,2.4152333984375,1.783331298828125,1.776901337890625
6,CIFAR10,fedprox,0,0.3,100,0.01,3,69,0.4843,0.49988,0.5639,0.58006,2.23630908203125,2.1256509375,1.618870654296875,1.6059773876953125
7,CIFAR10,fedprox,0,0.3,100,0.01,3,79,0.4531,0.47022,0.605,0.6227,2.47259599609375,2.38249736328125,1.463325244140625,1.4419281298828126
8,CIFAR10,fedprox,0,0.3,100,0.01,3,89,0.5639,0.58242,0.6422,0.66474,1.74944599609375,1.6241607666015625,1.279296435546875,1.2458132568359375
9,CIFAR10,fedprox,0,0.3,100,0.01,3,99,0.597,0.6173,0.6706,0.69814,1.4359013671875,1.33070568359375,1.11233154296875,1.06326421875
10,CIFAR10,fedprox,0,0.3,100,0.01,3,109,0.622,0.65154,0.6951,0.72626,1.30793935546875,1.165773271484375,0.9838866943359375,0.9194247998046875
11,CIFAR10,fedprox,0,0.3,100,0.01,3,119,0.5195,0.53748,0.7163,0.74854,2.23171337890625,2.083019814453125,0.888796240234375,0.8100682373046875
12,CIFAR10,fedprox,0,0.3,100,0.01,3,129,0.4887,0.49776,0.7253,0.75832,2.33877021484375,2.2452405517578127,0.8478733154296875,0.7609610766601562
13,CIFAR10,fedprox,0,0.3,100,0.01,3,139,0.581,0.5975,0.7289,0.76404,1.6551072265625,1.528431298828125,0.8283471435546875,0.7376911840820313
14,CIFAR10,fedprox,0,0.3,100,0.01,3,149,0.5543,0.5762,0.7358,0.77174,1.810892626953125,1.6742916064453126,0.7956440185546875,0.6971532006835938
15,CIFAR10,fedprox,0,0.3,100,0.01,3,159,0.684,0.7177,0.742,0.77602,1.032038330078125,0.8950802685546875,0.776180126953125,0.670952294921875
16,CIFAR10,fedprox,0,0.3,100,0.01,3,169,0.5267,0.54656,0.7448,0.78202,2.07298818359375,1.9512876025390624,0.76053310546875,0.65171146484375
17,CIFAR10,fedprox,0,0.3,100,0.01,3,179,0.703,0.74002,0.7504,0.7905,0.986950146484375,0.8207979736328125,0.73911455078125,0.6236424755859376
18,CIFAR10,fedprox,0,0.3,100,0.01,3,189,0.6551,0.69056,0.7537,0.79502,1.192433740234375,1.0337445629882813,0.729228759765625,0.6089044262695312
19,CIFAR10,fedprox,0,0.3,100,0.01,3,199,0.6983,0.73784,0.7568,0.79716,1.026654833984375,0.8579080859375,0.7261859619140625,0.6021963403320313
20,CIFAR10,fedprox,0,0.3,100,0.01,3,209,0.5139,0.53922,0.7598,0.80298,1.844864892578125,1.7110594140625,0.7165765625,0.581338642578125
21,CIFAR10,fedprox,0,0.3,100,0.01,3,219,0.6596,0.68788,0.7627,0.80554,1.314181201171875,1.1382848388671876,0.71107587890625,0.5719162670898438
