,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0.3,100,0.01,1,9,0.3407,0.33492,0.162,0.159,1.951545849609375,1.9565669677734374,2.286189453125,2.286226416015625
1,CIFAR10,fedprox,0,0.3,100,0.01,1,19,0.3231,0.31952,0.3057,0.30252,2.0501763671875,2.0458484912109376,2.23420478515625,2.234490693359375
2,CIFAR10,fedprox,0,0.3,100,0.01,1,29,0.4081,0.40966,0.3439,0.34434,1.75585703125,1.745656640625,2.18126123046875,2.18169369140625
3,CIFAR10,fedprox,0,0.3,100,0.01,1,39,0.4793,0.48238,0.4163,0.41768,1.5437701171875,1.5188501806640624,2.06639951171875,2.066947607421875
4,CIFAR10,fedprox,0,0.3,100,0.01,1,49,0.4834,0.48804,0.5036,0.50756,1.539356396484375,1.5311842822265624,1.8654587890625,1.8652069287109374
5,CIFAR10,fedprox,0,0.3,100,0.01,1,59,0.5639,0.57242,0.5459,0.55358,1.22711123046875,1.1985244384765625,1.667842578125,1.665242548828125
6,CIFAR10,fedprox,0,0.3,100,0.01,1,69,0.4748,0.47428,0.5903,0.5961,1.8443169921875,1.811412216796875,1.50487939453125,1.498554375
7,CIFAR10,fedprox,0,0.3,100,0.01,1,79,0.5364,0.54954,0.6095,0.61576,1.3888673828125,1.339337294921875,1.417299853515625,1.4077302685546875
8,CIFAR10,fedprox,0,0.3,100,0.01,1,89,0.4341,0.44408,0.6272,0.63518,2.427426171875,2.35264357421875,1.331229248046875,1.3178535302734375
9,CIFAR10,fedprox,0,0.3,100,0.01,1,99,0.5326,0.55006,0.644,0.65422,1.57573818359375,1.480922578125,1.23784658203125,1.218752119140625
10,CIFAR10,fedprox,0,0.3,100,0.01,1,109,0.5021,0.51064,0.6559,0.67196,2.09085966796875,2.028680673828125,1.149350146484375,1.124363935546875
11,CIFAR10,fedprox,0,0.3,100,0.01,1,119,0.6644,0.68218,0.6736,0.69016,1.019718701171875,0.9461694873046875,1.070425537109375,1.038054267578125
12,CIFAR10,fedprox,0,0.3,100,0.01,1,129,0.5939,0.61202,0.6874,0.70684,1.262567919921875,1.1834105224609375,0.993582568359375,0.9527219921875
13,CIFAR10,fedprox,0,0.3,100,0.01,1,139,0.5471,0.56124,0.7019,0.72304,1.459950732421875,1.37675376953125,0.9289524169921874,0.879489482421875
14,CIFAR10,fedprox,0,0.3,100,0.01,1,149,0.5775,0.5898,0.7111,0.73534,1.34381044921875,1.2565802294921875,0.89453115234375,0.84010580078125
15,CIFAR10,fedprox,0,0.3,100,0.01,1,159,0.5569,0.57666,0.7153,0.7413,1.517948486328125,1.43758662109375,0.881527294921875,0.824460390625
