,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0.3,100,0.1,2,9,0.4338,0.43108,0.3577,0.35794,1.54285703125,1.5491943603515625,1.981472265625,1.984141630859375
1,CIFAR10,fedprox,0,0.3,100,0.1,2,19,0.5048,0.51014,0.483,0.48348,1.38318671875,1.370670693359375,1.5357087890625,1.5375512939453124
2,CIFAR10,fedprox,0,0.3,100,0.1,2,29,0.5659,0.5773,0.5619,0.56822,1.19630693359375,1.171995732421875,1.255452001953125,1.2410795849609375
3,CIFAR10,fedprox,0,0.3,100,0.1,2,39,0.5963,0.61426,0.6048,0.61688,1.144707470703125,1.085555380859375,1.1226693359375,1.0845652197265625
4,CIFAR10,fedprox,0,0.3,100,0.1,2,49,0.6386,0.6666,0.6319,0.65202,1.04119775390625,0.9598218627929688,1.0503505859375,0.9934388159179688
5,CIFAR10,fedprox,0,0.3,100,0.1,2,59,0.6614,0.69072,0.6548,0.68146,0.99422841796875,0.8917273168945312,0.9887398193359375,0.910693671875
6,CIFAR10,fedprox,0,0.3,100,0.1,2,69,0.658,0.69052,0.6765,0.71416,0.9891154541015625,0.8704514721679687,0.923117578125,0.8196444384765625
7,CIFAR10,fedprox,0,0.3,100,0.1,2,79,0.6928,0.73428,0.6931,0.73618,0.912436962890625,0.7670447509765626,0.883769091796875,0.7588119311523438
8,CIFAR10,fedprox,0,0.3,100,0.1,2,89,0.6957,0.73758,0.7105,0.75476,0.8943636962890625,0.7434779077148438,0.849892919921875,0.70671138671875
9,CIFAR10,fedprox,0,0.3,100,0.1,2,99,0.7178,0.77058,0.7216,0.77026,0.826211865234375,0.6545956469726563,0.819685009765625,0.6575846630859375
10,CIFAR10,fedprox,0,0.3,100,0.1,2,109,0.7208,0.7762,0.7322,0.78388,0.8322937255859375,0.6407007763671875,0.798544091796875,0.6183013110351563
11,CIFAR10,fedprox,0,0.3,100,0.1,2,119,0.7138,0.7674,0.7362,0.79506,0.8492447998046875,0.656398544921875,0.7839331298828125,0.5924425
12,CIFAR10,fedprox,0,0.3,100,0.1,2,129,0.7322,0.78648,0.7421,0.80312,0.80836279296875,0.6101344287109375,0.7674133056640625,0.5676959826660156
13,CIFAR10,fedprox,0,0.3,100,0.1,2,139,0.7303,0.7929,0.7447,0.81126,0.8123056640625,0.5923060205078124,0.7571825927734375,0.5456202001953125
