,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0.3,100,0.1,1,9,0.5249,0.5264,0.4219,0.41684,1.325083056640625,1.319359140625,1.95693330078125,1.958137431640625
1,CIFAR10,fedprox,0,0.3,100,0.1,1,19,0.6045,0.62396,0.5817,0.5927,1.14572939453125,1.078048564453125,1.288374853515625,1.2686158642578125
2,CIFAR10,fedprox,0,0.3,100,0.1,1,29,0.6316,0.66558,0.6288,0.65388,1.099048681640625,0.978604775390625,1.06907490234375,1.006718603515625
3,CIFAR10,fedprox,0,0.3,100,0.1,1,39,0.6546,0.69738,0.6569,0.69442,1.0320123046875,0.8848908129882812,0.9880589111328125,0.882656630859375
4,CIFAR10,fedprox,0,0.3,100,0.1,1,49,0.6464,0.6907,0.6793,0.72674,1.081096923828125,0.9117977856445313,0.9326350830078125,0.7910333154296875
5,CIFAR10,fedprox,0,0.3,100,0.1,1,59,0.6657,0.72082,0.6988,0.7491,1.047471923828125,0.8382035083007813,0.89863447265625,0.724489658203125
6,CIFAR10,fedprox,0,0.3,100,0.1,1,69,0.6815,0.73376,0.7058,0.76168,0.9869417724609375,0.7802586791992188,0.8767511474609375,0.6851096484375
7,CIFAR10,fedprox,0,0.3,100,0.1,1,79,0.694,0.75142,0.7134,0.77486,0.9413707275390625,0.726939716796875,0.8536463623046875,0.6497655517578125
8,CIFAR10,fedprox,0,0.3,100,0.1,1,89,0.6862,0.7468,0.7217,0.7882,0.958578857421875,0.7376542333984375,0.8270554931640625,0.6120200708007812
9,CIFAR10,fedprox,0,0.3,100,0.1,1,99,0.7142,0.77526,0.7335,0.79826,0.8888697509765625,0.6621677490234374,0.806152978515625,0.583591865234375
10,CIFAR10,fedprox,0,0.3,100,0.1,1,109,0.7188,0.77708,0.7384,0.80594,0.87987138671875,0.650019501953125,0.788180126953125,0.5611169287109375
11,CIFAR10,fedprox,0,0.3,100,0.1,1,119,0.7109,0.77176,0.745,0.81262,0.9365716796875,0.6836032836914062,0.771852685546875,0.5402127856445312
12,CIFAR10,fedprox,0,0.3,100,0.1,1,129,0.7247,0.7888,0.7477,0.8185,0.8613119384765625,0.6154319409179687,0.7617243896484375,0.522810087890625
13,CIFAR10,fedprox,0,0.3,100,0.1,1,139,0.7182,0.78854,0.7477,0.82456,0.8548642578125,0.6097503369140626,0.7553336669921875,0.5085475268554688
14,CIFAR10,fedprox,0,0.3,100,0.1,1,149,0.7334,0.80746,0.7508,0.82984,0.808149560546875,0.5592655224609375,0.7481732421875,0.4953244653320312
15,CIFAR10,fedprox,0,0.3,100,0.1,1,159,0.7342,0.80396,0.7552,0.83146,0.8409640380859374,0.5731339990234375,0.7412564208984375,0.48672088134765623
16,CIFAR10,fedprox,0,0.3,100,0.1,1,169,0.7459,0.81548,0.7609,0.83658,0.7838450439453125,0.5346870776367187,0.7307556396484375,0.47400306884765625
17,CIFAR10,fedprox,0,0.3,100,0.1,1,179,0.7269,0.79278,0.7651,0.84094,0.872597900390625,0.6081357080078125,0.72229296875,0.46264344970703125
18,CIFAR10,fedprox,0,0.3,100,0.1,1,189,0.7329,0.79888,0.7654,0.84398,0.858649755859375,0.5964256713867188,0.717559765625,0.45658691772460935
19,CIFAR10,fedprox,0,0.3,100,0.1,1,199,0.7222,0.79886,0.7641,0.8458,0.8742883056640625,0.5981310815429688,0.71175302734375,0.44885511962890623
20,CIFAR10,fedprox,0,0.3,100,0.1,1,209,0.741,0.81506,0.7663,0.84662,0.821802294921875,0.549854716796875,0.7073490234375,0.4454113525390625
21,CIFAR10,fedprox,0,0.3,100,0.1,1,219,0.7191,0.78958,0.7687,0.85062,0.88191220703125,0.609176201171875,0.7026262939453125,0.4359414367675781
22,CIFAR10,fedprox,0,0.3,100,0.1,1,229,0.7439,0.82214,0.7677,0.85244,0.7862843017578125,0.5163214599609375,0.7016869384765625,0.4314614013671875
23,CIFAR10,fedprox,0,0.3,100,0.1,1,239,0.7467,0.8236,0.7706,0.85278,0.783905517578125,0.5166121472167968,0.6982488525390625,0.4294795947265625
24,CIFAR10,fedprox,0,0.3,100,0.1,1,249,0.7262,0.79736,0.7694,0.85432,0.8649147216796875,0.5949057348632812,0.694673876953125,0.42443466796875
25,CIFAR10,fedprox,0,0.3,100,0.1,1,259,0.7538,0.82504,0.7751,0.85666,0.77587421875,0.5103408654785156,0.691336962890625,0.417488984375
26,CIFAR10,fedprox,0,0.3,100,0.1,1,269,0.7419,0.81554,0.7755,0.85832,0.8136699951171875,0.5334165014648438,0.687708837890625,0.4127490466308594
27,CIFAR10,fedprox,0,0.3,100,0.1,1,279,0.7475,0.81642,0.7761,0.85864,0.800848046875,0.5289015356445312,0.687858056640625,0.41141218383789063
28,CIFAR10,fedprox,0,0.3,100,0.1,1,289,0.7562,0.83184,0.7769,0.86016,0.7602872314453125,0.48052236694335937,0.68268427734375,0.407659736328125
29,CIFAR10,fedprox,0,0.3,100,0.1,1,299,0.755,0.83182,0.7774,0.86196,0.768607958984375,0.4967383056640625,0.6818240234375,0.4054201281738281
