,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0.3,100,0.1,4,9,0.5302,0.53536,0.4742,0.47542,1.319325634765625,1.3051673779296875,1.820374462890625,1.822337470703125
1,CIFAR10,fedprox,0,0.3,100,0.1,4,19,0.5974,0.61962,0.5851,0.5956,1.159558544921875,1.0899145849609375,1.25945859375,1.240136689453125
2,CIFAR10,fedprox,0,0.3,100,0.1,4,29,0.6114,0.63654,0.6286,0.65558,1.187962060546875,1.0681215185546875,1.07219658203125,1.009486015625
3,CIFAR10,fedprox,0,0.3,100,0.1,4,39,0.6661,0.70682,0.6626,0.69766,0.99364541015625,0.8510849096679688,0.982290478515625,0.8760311474609375
4,CIFAR10,fedprox,0,0.3,100,0.1,4,49,0.6839,0.73286,0.6836,0.72986,0.9458890380859375,0.7755923193359375,0.928207763671875,0.7823646020507813
5,CIFAR10,fedprox,0,0.3,100,0.1,4,59,0.6878,0.73288,0.6965,0.75042,0.958766259765625,0.7814966772460937,0.891740234375,0.7228520532226562
6,CIFAR10,fedprox,0,0.3,100,0.1,4,69,0.684,0.7323,0.7097,0.76886,1.0195155517578125,0.800439716796875,0.85804912109375,0.6709617236328125
7,CIFAR10,fedprox,0,0.3,100,0.1,4,79,0.704,0.7693,0.7165,0.78076,0.881374560546875,0.66852337890625,0.839564892578125,0.6380101489257812
8,CIFAR10,fedprox,0,0.3,100,0.1,4,89,0.6738,0.72632,0.727,0.79118,1.07644091796875,0.8440426806640625,0.8162859619140626,0.606115966796875
9,CIFAR10,fedprox,0,0.3,100,0.1,4,99,0.6994,0.76402,0.7373,0.80264,0.9169740478515624,0.6817916943359374,0.79348798828125,0.5723875659179688
10,CIFAR10,fedprox,0,0.3,100,0.1,4,109,0.6957,0.75598,0.741,0.81162,0.982017041015625,0.7427924755859375,0.7804968994140625,0.5499215478515626
11,CIFAR10,fedprox,0,0.3,100,0.1,4,119,0.7228,0.78842,0.7451,0.81706,0.8374677001953125,0.6122487231445313,0.7664311279296875,0.5330948168945312
12,CIFAR10,fedprox,0,0.3,100,0.1,4,129,0.6924,0.75086,0.748,0.8224,0.9975729248046875,0.7485827856445313,0.75579716796875,0.5178829028320312
13,CIFAR10,fedprox,0,0.3,100,0.1,4,139,0.738,0.80844,0.7521,0.82626,0.80079873046875,0.556539189453125,0.7497949951171875,0.5032909301757813
14,CIFAR10,fedprox,0,0.3,100,0.1,4,149,0.7351,0.81112,0.7583,0.83362,0.8095564208984375,0.55233720703125,0.73746103515625,0.48499919677734377
15,CIFAR10,fedprox,0,0.3,100,0.1,4,159,0.7458,0.81392,0.758,0.8357,0.7989134033203125,0.5447835034179688,0.7321693359375,0.47618259887695313
16,CIFAR10,fedprox,0,0.3,100,0.1,4,169,0.7302,0.80334,0.76,0.84012,0.8382109375,0.5694991723632813,0.7266487548828126,0.4673908801269531
17,CIFAR10,fedprox,0,0.3,100,0.1,4,179,0.7293,0.79538,0.7598,0.84226,0.860750390625,0.6008624389648437,0.7193091796875,0.45899285522460936
18,CIFAR10,fedprox,0,0.3,100,0.1,4,189,0.6882,0.75786,0.7638,0.84388,1.04628408203125,0.7455663940429688,0.714672607421875,0.451919111328125
19,CIFAR10,fedprox,0,0.3,100,0.1,4,199,0.7302,0.80034,0.7632,0.84742,0.8803676513671875,0.5962091430664063,0.715468505859375,0.4424125354003906
20,CIFAR10,fedprox,0,0.3,100,0.1,4,209,0.722,0.7942,0.7653,0.85092,0.8834730712890625,0.6057944287109375,0.7122407958984375,0.4350308483886719
21,CIFAR10,fedprox,0,0.3,100,0.1,4,219,0.7424,0.8135,0.7705,0.85172,0.795332080078125,0.5335733020019531,0.707179638671875,0.4316019689941406
22,CIFAR10,fedprox,0,0.3,100,0.1,4,229,0.7532,0.8354,0.7714,0.8523,0.75489052734375,0.4735636462402344,0.701684423828125,0.4270672155761719
23,CIFAR10,fedprox,0,0.3,100,0.1,4,239,0.7342,0.8,0.7721,0.8541,0.8559261474609375,0.581591455078125,0.6960156005859375,0.4229735607910156
24,CIFAR10,fedprox,0,0.3,100,0.1,4,249,0.754,0.82628,0.7738,0.85604,0.7747388916015625,0.5029919702148438,0.6933682373046876,0.41865033081054687
25,CIFAR10,fedprox,0,0.3,100,0.1,4,259,0.7602,0.84206,0.7746,0.85834,0.735040576171875,0.4571556848144531,0.6901019775390625,0.4122594982910156
26,CIFAR10,fedprox,0,0.3,100,0.1,4,269,0.7526,0.8279,0.7731,0.85932,0.7766503662109375,0.5021907177734375,0.68665224609375,0.40733209350585936
27,CIFAR10,fedprox,0,0.3,100,0.1,4,279,0.7632,0.84748,0.7742,0.86078,0.715437060546875,0.4424080480957031,0.6862991455078125,0.4038258935546875
28,CIFAR10,fedprox,0,0.3,100,0.1,4,289,0.7323,0.80326,0.7756,0.86224,0.8804463623046875,0.5898001782226563,0.6819745361328124,0.4016245373535156
29,CIFAR10,fedprox,0,0.3,100,0.1,4,299,0.7492,0.82722,0.7744,0.86166,0.780673046875,0.4979328271484375,0.6843173095703124,0.4012394470214844
