,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedprox,0,0.3,100,0.1,1,9,0.4023,0.39422,0.343,0.33988,1.638223583984375,1.6456232275390625,2.0982125,2.100234716796875
1,CIFAR10,fedprox,0,0.3,100,0.1,1,19,0.504,0.49966,0.476,0.4704,1.375944189453125,1.378787392578125,1.6296359375,1.6334427685546875
2,CIFAR10,fedprox,0,0.3,100,0.1,1,29,0.5516,0.55818,0.5323,0.5354,1.26455068359375,1.24702025390625,1.35481005859375,1.3527379638671875
3,CIFAR10,fedprox,0,0.3,100,0.1,1,39,0.6037,0.60896,0.5863,0.58656,1.1347078125,1.1092239501953125,1.20394111328125,1.1910010791015626
4,CIFAR10,fedprox,0,0.3,100,0.1,1,49,0.5883,0.59736,0.6214,0.63182,1.1614908203125,1.131096943359375,1.08527451171875,1.058180283203125
5,CIFAR10,fedprox,0,0.3,100,0.1,1,59,0.6442,0.66058,0.6504,0.66386,1.03159287109375,0.9725345166015625,1.0083599365234375,0.9644253271484375
6,CIFAR10,fedprox,0,0.3,100,0.1,1,69,0.6612,0.67762,0.6664,0.68654,1.0011259033203126,0.9240059204101563,0.9603800048828125,0.9021508959960938
7,CIFAR10,fedprox,0,0.3,100,0.1,1,79,0.6709,0.69692,0.6846,0.70762,0.95341279296875,0.8650651025390625,0.9137262451171875,0.8396215844726562
8,CIFAR10,fedprox,0,0.3,100,0.1,1,89,0.6762,0.70442,0.6992,0.72714,0.935795654296875,0.8391173901367187,0.874731591796875,0.7850505029296875
9,CIFAR10,fedprox,0,0.3,100,0.1,1,99,0.6978,0.73312,0.7104,0.74238,0.8879229248046875,0.7725121630859375,0.846076171875,0.742470009765625
10,CIFAR10,fedprox,0,0.3,100,0.1,1,109,0.7016,0.741,0.7183,0.7562,0.8800037353515625,0.7483782690429688,0.822540185546875,0.7021679541015625
11,CIFAR10,fedprox,0,0.3,100,0.1,1,119,0.7014,0.74102,0.7254,0.76738,0.897461572265625,0.7522052856445313,0.8007720947265625,0.667351416015625
12,CIFAR10,fedprox,0,0.3,100,0.1,1,129,0.7224,0.7631,0.7344,0.77884,0.8385017333984375,0.6815521459960937,0.7790075439453125,0.6332517919921875
13,CIFAR10,fedprox,0,0.3,100,0.1,1,139,0.7221,0.76794,0.7397,0.78902,0.8199785400390625,0.6626645434570313,0.7645363525390625,0.6074511669921875
14,CIFAR10,fedprox,0,0.3,100,0.1,1,149,0.7371,0.78698,0.7471,0.79748,0.7811650634765624,0.6122115795898437,0.74933193359375,0.5826125830078125
15,CIFAR10,fedprox,0,0.3,100,0.1,1,159,0.7411,0.79122,0.752,0.80428,0.787538330078125,0.6032718505859375,0.7384044921875,0.56320912109375
