,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,4,9,0.4477,0.45746,0.2106,0.21008,1.721590625,1.685780263671875,2.2752455078125,2.27533859375
1,CIFAR10,feddyn,0,0,100,0.01,4,19,0.5355,0.5459,0.2605,0.26114,1.540081591796875,1.497194873046875,2.23446884765625,2.234499599609375
2,CIFAR10,feddyn,0,0,100,0.01,4,29,0.5456,0.56372,0.3005,0.29752,1.611833740234375,1.5327710595703126,2.1751439453125,2.174853974609375
3,CIFAR10,feddyn,0,0,100,0.01,4,39,0.6501,0.68066,0.36,0.35886,1.186903125,1.05625970703125,2.07572587890625,2.0741968359375
4,CIFAR10,feddyn,0,0,100,0.01,4,49,0.6066,0.63162,0.5116,0.52112,1.52321611328125,1.35902498046875,1.7677712890625,1.7568717236328124
5,CIFAR10,feddyn,0,0,100,0.01,4,59,0.6405,0.68288,0.5751,0.59378,1.287758740234375,1.1060144921875,1.579555029296875,1.55865255859375
6,CIFAR10,feddyn,0,0,100,0.01,4,69,0.6871,0.72774,0.6476,0.67778,1.075080078125,0.8962659619140625,1.2830615234375,1.23981421875
7,CIFAR10,feddyn,0,0,100,0.01,4,79,0.7208,0.7596,0.676,0.71056,0.985181494140625,0.8045148510742187,1.1446486328125,1.086321611328125
8,CIFAR10,feddyn,0,0,100,0.01,4,89,0.6852,0.72988,0.6904,0.7317,1.136134814453125,0.9441568969726563,1.07029560546875,1.0021275805664063
9,CIFAR10,feddyn,0,0,100,0.01,4,99,0.6815,0.71572,0.72,0.76636,1.23548740234375,1.0433353979492188,0.8998715576171875,0.8060584423828125
10,CIFAR10,feddyn,0,0,100,0.01,4,109,0.7149,0.76584,0.7356,0.78394,1.002656201171875,0.7773147900390625,0.8474762939453125,0.7440282421875
11,CIFAR10,feddyn,0,0,100,0.01,4,119,0.6809,0.72732,0.7453,0.7961,1.21469140625,0.98322994140625,0.8091103759765625,0.6968483276367188
12,CIFAR10,feddyn,0,0,100,0.01,4,129,0.7085,0.75282,0.7497,0.80372,1.092315869140625,0.8683006665039062,0.771112548828125,0.6460220776367187
13,CIFAR10,feddyn,0,0,100,0.01,4,139,0.7017,0.744,0.7568,0.81204,1.1932439453125,0.9477159985351562,0.7454928955078125,0.6143555859375
14,CIFAR10,feddyn,0,0,100,0.01,4,149,0.7192,0.76548,0.759,0.816,1.04548076171875,0.83089171875,0.73729873046875,0.6047785009765625
15,CIFAR10,feddyn,0,0,100,0.01,4,159,0.7164,0.76002,0.7667,0.82414,1.070932568359375,0.8577581811523437,0.7089194580078125,0.565787177734375
16,CIFAR10,feddyn,0,0,100,0.01,4,169,0.7222,0.77046,0.7698,0.82912,1.037439794921875,0.8050301220703125,0.694180517578125,0.5459886328125
17,CIFAR10,feddyn,0,0,100,0.01,4,179,0.719,0.76462,0.7717,0.83372,1.01197001953125,0.8003644262695313,0.6786390380859375,0.522198837890625
