,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,1,9,0.5268,0.5323,0.2798,0.28022,1.3568060546875,1.3336123779296876,2.25167919921875,2.251897919921875
1,CIFAR10,feddyn,0,0,100,0.01,1,19,0.5852,0.60304,0.3402,0.3445,1.30769951171875,1.243487568359375,2.16223876953125,2.16228689453125
2,CIFAR10,feddyn,0,0,100,0.01,1,29,0.6497,0.67398,0.4078,0.41616,1.17232919921875,1.0723919189453126,2.0300337890625,2.027308291015625
3,CIFAR10,feddyn,0,0,100,0.01,1,39,0.667,0.69794,0.4949,0.50586,1.18173095703125,1.035570205078125,1.837272216796875,1.82814248046875
4,CIFAR10,feddyn,0,0,100,0.01,1,49,0.6838,0.72538,0.5695,0.5806,1.08733603515625,0.9320673046875,1.629295849609375,1.60972271484375
5,CIFAR10,feddyn,0,0,100,0.01,1,59,0.6631,0.70454,0.6392,0.6576,1.27233837890625,1.0773957958984375,1.328984423828125,1.2904658203125
6,CIFAR10,feddyn,0,0,100,0.01,1,69,0.6687,0.70256,0.6708,0.69888,1.26418798828125,1.0851112548828126,1.14067294921875,1.085181591796875
7,CIFAR10,feddyn,0,0,100,0.01,1,79,0.7036,0.74754,0.6932,0.72888,1.012431591796875,0.8440570654296875,1.0103429931640624,0.9377151928710937
8,CIFAR10,feddyn,0,0,100,0.01,1,89,0.6832,0.7198,0.7013,0.74548,1.168028857421875,0.9722604418945312,0.941622802734375,0.8576913891601563
9,CIFAR10,feddyn,0,0,100,0.01,1,99,0.6932,0.73866,0.7179,0.76396,1.182782080078125,0.9423781396484375,0.8728378173828125,0.7746293188476563
10,CIFAR10,feddyn,0,0,100,0.01,1,109,0.7144,0.7593,0.7319,0.77904,1.115655224609375,0.869732724609375,0.8089943359375,0.6935141430664062
11,CIFAR10,feddyn,0,0,100,0.01,1,119,0.7492,0.80028,0.7421,0.79306,0.9155681640625,0.6701938793945312,0.77292685546875,0.6436172045898437
12,CIFAR10,feddyn,0,0,100,0.01,1,129,0.7452,0.80306,0.7579,0.81168,0.8534960693359375,0.6267867211914062,0.7241091796875,0.5733228955078125
13,CIFAR10,feddyn,0,0,100,0.01,1,139,0.7484,0.8048,0.7648,0.8234,0.8847130126953126,0.6317661547851563,0.701376513671875,0.5373386303710938
14,CIFAR10,feddyn,0,0,100,0.01,1,149,0.755,0.8085,0.7757,0.83604,0.866296875,0.6198835498046875,0.678323583984375,0.49179330688476564
15,CIFAR10,feddyn,0,0,100,0.01,1,159,0.7148,0.76742,0.779,0.84048,1.0022477783203125,0.7796209814453126,0.67202998046875,0.47899851806640625
16,CIFAR10,feddyn,0,0,100,0.01,1,169,0.7218,0.76662,0.7827,0.8444,1.0401765625,0.804591318359375,0.6628249267578125,0.4624894287109375
17,CIFAR10,feddyn,0,0,100,0.01,1,179,0.7411,0.78272,0.7871,0.85042,1.019558056640625,0.78260541015625,0.6483955322265625,0.4456549377441406
18,CIFAR10,feddyn,0,0,100,0.01,1,189,0.7735,0.82988,0.796,0.8574,0.7678439697265625,0.5311199462890625,0.636817919921875,0.42374429809570313
19,CIFAR10,feddyn,0,0,100,0.01,1,199,0.7417,0.78964,0.7967,0.86258,0.886480615234375,0.6770325732421875,0.6240987060546875,0.4121230480957031
20,CIFAR10,feddyn,0,0,100,0.01,1,209,0.7676,0.82696,0.8007,0.86762,0.7814837890625,0.5366453149414062,0.6180462890625,0.39850277099609377
21,CIFAR10,feddyn,0,0,100,0.01,1,219,0.7425,0.8005,0.8039,0.87048,0.9053978515625,0.65426923828125,0.6129010498046875,0.386079443359375
22,CIFAR10,feddyn,0,0,100,0.01,1,229,0.7815,0.84152,0.8056,0.87396,0.730923486328125,0.4990172961425781,0.60754423828125,0.377617041015625
23,CIFAR10,feddyn,0,0,100,0.01,1,239,0.743,0.79826,0.8081,0.87676,0.9055181396484375,0.6625382507324219,0.5976051025390625,0.3670665869140625
24,CIFAR10,feddyn,0,0,100,0.01,1,249,0.7351,0.7766,0.8088,0.87782,1.0075213623046875,0.782717978515625,0.596770068359375,0.3619676525878906
25,CIFAR10,feddyn,0,0,100,0.01,1,259,0.7576,0.81392,0.8105,0.87912,0.8356628173828125,0.5965643896484375,0.5901086669921874,0.3589504638671875
26,CIFAR10,feddyn,0,0,100,0.01,1,269,0.7566,0.81446,0.8115,0.88088,0.8059355224609375,0.5817270043945313,0.585976953125,0.3555908081054687
27,CIFAR10,feddyn,0,0,100,0.01,1,279,0.7554,0.81394,0.8141,0.88058,0.840506884765625,0.606738251953125,0.5812328369140625,0.35407259155273435
28,CIFAR10,feddyn,0,0,100,0.01,1,289,0.7708,0.82652,0.8143,0.88108,0.806520068359375,0.5624920837402344,0.580307763671875,0.35415825073242185
29,CIFAR10,feddyn,0,0,100,0.01,1,299,0.7287,0.78144,0.8154,0.88262,0.988453662109375,0.7522513940429687,0.5769253662109375,0.3535872680664062
30,CIFAR10,feddyn,0,0,100,0.01,1,309,0.7177,0.7648,0.8177,0.8827,0.9862321044921875,0.7811359326171875,0.575200341796875,0.3512659509277344
31,CIFAR10,feddyn,0,0,100,0.01,1,319,0.7918,0.84094,0.8172,0.88292,0.7405552490234375,0.5099994567871093,0.5733931884765625,0.3515860339355469
32,CIFAR10,feddyn,0,0,100,0.01,1,329,0.7853,0.84386,0.8192,0.88344,0.74282265625,0.4977673620605469,0.56812763671875,0.3491471520996094
33,CIFAR10,feddyn,0,0,100,0.01,1,339,0.7531,0.80298,0.8198,0.88538,0.90802099609375,0.6699724169921875,0.5652510498046875,0.34731464965820313
34,CIFAR10,feddyn,0,0,100,0.01,1,349,0.7672,0.82284,0.8225,0.8858,0.76946015625,0.55508916015625,0.562610400390625,0.3444541796875
35,CIFAR10,feddyn,0,0,100,0.01,1,359,0.7386,0.78726,0.8225,0.88596,0.9871203857421875,0.7550491674804688,0.560027392578125,0.3446248046875
36,CIFAR10,feddyn,0,0,100,0.01,1,369,0.7454,0.79236,0.8202,0.88772,0.9384586181640625,0.7126599755859375,0.5577204345703125,0.340629091796875
37,CIFAR10,feddyn,0,0,100,0.01,1,379,0.7494,0.80002,0.823,0.888,0.920755322265625,0.693544140625,0.5544908447265625,0.3406175402832031
38,CIFAR10,feddyn,0,0,100,0.01,1,389,0.7905,0.84536,0.8256,0.88912,0.70690546875,0.4790194177246094,0.5492281005859375,0.3370944714355469
