,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,2,9,0.5251,0.53216,0.15,0.15124,1.354021435546875,1.3360976318359374,2.275190234375,2.275466650390625
1,CIFAR10,feddyn,0,0,100,0.01,2,19,0.5897,0.60778,0.2476,0.25012,1.237883935546875,1.1800614990234375,2.23573603515625,2.23614990234375
2,CIFAR10,feddyn,0,0,100,0.01,2,29,0.5976,0.61872,0.3692,0.37612,1.4656134765625,1.3581461865234374,2.15878828125,2.158790859375
3,CIFAR10,feddyn,0,0,100,0.01,2,39,0.6182,0.63866,0.4263,0.43602,1.22968701171875,1.14769849609375,2.0382072265625,2.03636353515625
4,CIFAR10,feddyn,0,0,100,0.01,2,49,0.6379,0.66146,0.4533,0.46122,1.271858349609375,1.162526806640625,1.96485390625,1.9603035546875
5,CIFAR10,feddyn,0,0,100,0.01,2,59,0.6625,0.69068,0.5366,0.54674,1.19681904296875,1.05383833984375,1.749473046875,1.7369722509765626
6,CIFAR10,feddyn,0,0,100,0.01,2,69,0.6748,0.71208,0.6082,0.6353,1.081554296875,0.9340771704101563,1.46580439453125,1.4377494140625
7,CIFAR10,feddyn,0,0,100,0.01,2,79,0.711,0.75272,0.6471,0.68014,0.9628187744140625,0.8045266040039063,1.3053015625,1.2658697998046875
8,CIFAR10,feddyn,0,0,100,0.01,2,89,0.6814,0.7222,0.6705,0.70818,1.23269755859375,1.0074816528320312,1.18134189453125,1.12905830078125
9,CIFAR10,feddyn,0,0,100,0.01,2,99,0.7434,0.79312,0.6936,0.73606,0.8607568115234375,0.66941609375,1.0559658203125,0.9892721923828125
10,CIFAR10,feddyn,0,0,100,0.01,2,109,0.7182,0.75616,0.7147,0.75954,1.08249052734375,0.892823251953125,0.9374919189453125,0.8566121215820313
11,CIFAR10,feddyn,0,0,100,0.01,2,119,0.7352,0.77686,0.7336,0.78558,0.935678759765625,0.7388190844726562,0.8089518798828125,0.7062510229492187
12,CIFAR10,feddyn,0,0,100,0.01,2,129,0.7487,0.79922,0.749,0.80028,0.8529906982421875,0.647760234375,0.747516552734375,0.6270217846679688
13,CIFAR10,feddyn,0,0,100,0.01,2,139,0.6956,0.74646,0.7574,0.81176,1.048200244140625,0.8462335400390625,0.715594091796875,0.5816886059570312
14,CIFAR10,feddyn,0,0,100,0.01,2,149,0.71,0.76328,0.7596,0.81686,0.9973592529296875,0.7749737133789063,0.705275537109375,0.5672098779296875
