,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,4,9,0.4688,0.46458,0.1847,0.18188,1.466625146484375,1.4734574560546876,2.27309912109375,2.27338291015625
1,CIFAR10,feddyn,0,0,100,0.01,4,19,0.491,0.49868,0.2745,0.27502,1.401354833984375,1.3942004736328124,2.22254951171875,2.22294443359375
2,CIFAR10,feddyn,0,0,100,0.01,4,29,0.5521,0.56202,0.3384,0.34248,1.28163544921875,1.2490208154296876,2.14771630859375,2.148086357421875
3,CIFAR10,feddyn,0,0,100,0.01,4,39,0.6167,0.63606,0.4095,0.41204,1.121555859375,1.0732385693359374,2.0239306640625,2.0229041845703124
4,CIFAR10,feddyn,0,0,100,0.01,4,49,0.6468,0.66392,0.461,0.46554,1.0702841796875,1.000879599609375,1.89561640625,1.8926035791015625
5,CIFAR10,feddyn,0,0,100,0.01,4,59,0.6283,0.65208,0.495,0.50558,1.21405205078125,1.1162629248046876,1.78111064453125,1.77397294921875
6,CIFAR10,feddyn,0,0,100,0.01,4,69,0.6776,0.71166,0.5322,0.54594,1.0004726318359376,0.8833815283203125,1.66793232421875,1.6559028955078126
7,CIFAR10,feddyn,0,0,100,0.01,4,79,0.6697,0.7048,0.5895,0.61288,1.0172877197265624,0.8991355712890625,1.4475181640625,1.4233812109375
8,CIFAR10,feddyn,0,0,100,0.01,4,89,0.6787,0.71278,0.626,0.6518,0.9950943115234375,0.8718920361328125,1.315560009765625,1.2808653759765625
9,CIFAR10,feddyn,0,0,100,0.01,4,99,0.6947,0.73226,0.6759,0.70892,0.9732381591796875,0.8326184350585938,1.069661279296875,1.0123329272460937
10,CIFAR10,feddyn,0,0,100,0.01,4,109,0.713,0.756,0.6916,0.73046,0.894862890625,0.7403773974609374,0.99037197265625,0.9217357543945313
11,CIFAR10,feddyn,0,0,100,0.01,4,119,0.6914,0.72984,0.7102,0.75306,1.03097900390625,0.8631083569335938,0.900491064453125,0.816958974609375
12,CIFAR10,feddyn,0,0,100,0.01,4,129,0.7029,0.7415,0.7219,0.7673,0.996200341796875,0.8164529345703125,0.854951171875,0.7623506591796875
13,CIFAR10,feddyn,0,0,100,0.01,4,139,0.7395,0.79424,0.7331,0.7835,0.8377289794921875,0.6290158374023438,0.814093798828125,0.7113564575195312
14,CIFAR10,feddyn,0,0,100,0.01,4,149,0.7237,0.774,0.7395,0.79278,0.941569384765625,0.7221847338867188,0.7913490966796874,0.68096587890625
15,CIFAR10,feddyn,0,0,100,0.01,4,159,0.6797,0.71154,0.7479,0.80026,1.177470849609375,0.9813959619140625,0.774267724609375,0.6588926147460937
16,CIFAR10,feddyn,0,0,100,0.01,4,169,0.7394,0.78442,0.7549,0.80908,0.905182568359375,0.6870380151367188,0.7482472900390625,0.6248971655273438
17,CIFAR10,feddyn,0,0,100,0.01,4,179,0.7258,0.77662,0.7634,0.82,0.9450381591796875,0.7137501245117187,0.7120521484375,0.57443314453125
18,CIFAR10,feddyn,0,0,100,0.01,4,189,0.7512,0.81132,0.7662,0.82422,0.8334685791015625,0.5938244934082031,0.701346533203125,0.5585019848632813
19,CIFAR10,feddyn,0,0,100,0.01,4,199,0.7423,0.80398,0.7715,0.83428,0.8767785400390625,0.6251946875,0.6751956298828125,0.5170144653320312
20,CIFAR10,feddyn,0,0,100,0.01,4,209,0.7485,0.81036,0.7764,0.84332,0.846617724609375,0.5896261181640625,0.6585610595703125,0.4855588720703125
21,CIFAR10,feddyn,0,0,100,0.01,4,219,0.7363,0.79796,0.7787,0.84822,0.900091455078125,0.6398310498046875,0.6507135986328125,0.4682455090332031
22,CIFAR10,feddyn,0,0,100,0.01,4,229,0.7723,0.8378,0.7833,0.855,0.726152978515625,0.4871768359375,0.6387743408203125,0.44204054809570315
23,CIFAR10,feddyn,0,0,100,0.01,4,239,0.7461,0.80464,0.7848,0.85988,0.8947935546875,0.6290387890625,0.6345329833984374,0.42390275634765623
24,CIFAR10,feddyn,0,0,100,0.01,4,249,0.7577,0.82734,0.7877,0.86434,0.7541236328125,0.518562216796875,0.626356884765625,0.4080920825195313
25,CIFAR10,feddyn,0,0,100,0.01,4,259,0.7758,0.8491,0.7932,0.87002,0.73348037109375,0.4644848388671875,0.6172238037109375,0.39065074462890625
26,CIFAR10,feddyn,0,0,100,0.01,4,269,0.7573,0.83092,0.7942,0.87418,0.757684130859375,0.5126416723632813,0.611433203125,0.38049190307617187
27,CIFAR10,feddyn,0,0,100,0.01,4,279,0.7771,0.85144,0.7984,0.87858,0.7195710205078125,0.4516511962890625,0.6037458984375,0.3695019299316406
28,CIFAR10,feddyn,0,0,100,0.01,4,289,0.7783,0.84866,0.7998,0.88144,0.70400732421875,0.455686142578125,0.5970119873046875,0.3600078625488281
29,CIFAR10,feddyn,0,0,100,0.01,4,299,0.755,0.82076,0.8024,0.88484,0.802110546875,0.5500768786621094,0.5933619384765625,0.34898163818359373
30,CIFAR10,feddyn,0,0,100,0.01,4,309,0.7381,0.79368,0.8041,0.88678,0.9556105224609375,0.683356337890625,0.5889707275390625,0.3442358056640625
31,CIFAR10,feddyn,0,0,100,0.01,4,319,0.7326,0.79344,0.8049,0.8892,0.869091015625,0.6375053271484376,0.5849741943359374,0.3376692712402344
32,CIFAR10,feddyn,0,0,100,0.01,4,329,0.7573,0.8253,0.8077,0.89164,0.79615341796875,0.5310049182128906,0.580420751953125,0.33282687133789063
33,CIFAR10,feddyn,0,0,100,0.01,4,339,0.7594,0.82556,0.81,0.89284,0.7960682373046875,0.5398341040039063,0.5761559326171874,0.3294446313476562
34,CIFAR10,feddyn,0,0,100,0.01,4,349,0.7319,0.79328,0.8134,0.89442,0.8657976318359375,0.6307676245117187,0.574511376953125,0.32038091857910156
35,CIFAR10,feddyn,0,0,100,0.01,4,359,0.7634,0.81608,0.8147,0.89624,0.7722886474609375,0.55314314453125,0.572763037109375,0.3152758203125
36,CIFAR10,feddyn,0,0,100,0.01,4,369,0.7834,0.85402,0.8158,0.89698,0.6737958740234375,0.4363560498046875,0.567433984375,0.3117508728027344
37,CIFAR10,feddyn,0,0,100,0.01,4,379,0.7798,0.85544,0.8172,0.89856,0.6983945068359375,0.4460361401367188,0.5626070068359375,0.3087149499511719
38,CIFAR10,feddyn,0,0,100,0.01,4,389,0.741,0.80036,0.8151,0.8991,0.8317091064453125,0.6051999584960938,0.5570768310546875,0.30541644470214846
39,CIFAR10,feddyn,0,0,100,0.01,4,399,0.7382,0.79882,0.817,0.8994,0.864662646484375,0.622304580078125,0.554287646484375,0.3053033868408203
40,CIFAR10,feddyn,0,0,100,0.01,4,409,0.7768,0.84056,0.8173,0.89998,0.703001708984375,0.47676130126953126,0.551252978515625,0.30475631042480467
41,CIFAR10,feddyn,0,0,100,0.01,4,419,0.789,0.86012,0.817,0.90074,0.6766281982421875,0.42905390869140625,0.5488969482421875,0.3042929156494141
42,CIFAR10,feddyn,0,0,100,0.01,4,429,0.7446,0.8042,0.8186,0.9009,0.878006640625,0.6177881079101563,0.5465640380859375,0.30225537170410155
43,CIFAR10,feddyn,0,0,100,0.01,4,439,0.7413,0.80152,0.8203,0.90086,0.7945224853515624,0.5916377075195313,0.54498076171875,0.3040887268066406
44,CIFAR10,feddyn,0,0,100,0.01,4,449,0.7436,0.8014,0.8191,0.89936,0.8272321044921875,0.6037564184570312,0.54291962890625,0.3067963397216797
45,CIFAR10,feddyn,0,0,100,0.01,4,459,0.7584,0.81506,0.8198,0.8993,0.7473044189453125,0.5475757336425782,0.541687060546875,0.3071712420654297
46,CIFAR10,feddyn,0,0,100,0.01,4,469,0.7498,0.8152,0.8213,0.89916,0.8070127197265625,0.565614140625,0.5409442626953125,0.3066020660400391
47,CIFAR10,feddyn,0,0,100,0.01,4,479,0.7893,0.85918,0.8235,0.90054,0.6601890625,0.41136069702148437,0.538575634765625,0.3044092614746094
48,CIFAR10,feddyn,0,0,100,0.01,4,489,0.7927,0.86012,0.8242,0.9011,0.6518228515625,0.42114594482421874,0.537459765625,0.3012578076171875
49,CIFAR10,feddyn,0,0,100,0.01,4,499,0.7871,0.85262,0.8252,0.90252,0.6758293212890625,0.4387904565429688,0.5361443115234374,0.29940829711914063
50,CIFAR10,feddyn,0,0,100,0.01,4,509,0.7618,0.81844,0.825,0.9033,0.7967638427734375,0.5525521997070313,0.5353898193359375,0.2971684234619141
51,CIFAR10,feddyn,0,0,100,0.01,4,519,0.7403,0.80478,0.8242,0.90388,0.8582276123046875,0.6041118774414063,0.535477685546875,0.29732808349609374
52,CIFAR10,feddyn,0,0,100,0.01,4,529,0.7586,0.8218,0.8233,0.90454,0.8056184814453125,0.5561614990234375,0.5352761474609375,0.2966301171875
53,CIFAR10,feddyn,0,0,100,0.01,4,539,0.7661,0.82332,0.8248,0.9045,0.763386376953125,0.5410178784179688,0.532992236328125,0.29491482177734374
54,CIFAR10,feddyn,0,0,100,0.01,4,549,0.7554,0.81524,0.8262,0.90542,0.8324751708984375,0.5806980322265625,0.5314621337890625,0.29196703857421874
55,CIFAR10,feddyn,0,0,100,0.01,4,559,0.7646,0.82084,0.8283,0.90614,0.8411693359375,0.5796934985351563,0.52835126953125,0.29033838134765627
56,CIFAR10,feddyn,0,0,100,0.01,4,569,0.7793,0.8469,0.8279,0.90556,0.7253071533203125,0.4678571313476563,0.5278421142578125,0.2905664587402344
57,CIFAR10,feddyn,0,0,100,0.01,4,579,0.7469,0.81212,0.8294,0.90534,0.8356774658203125,0.571011552734375,0.525518701171875,0.29171016723632814
58,CIFAR10,feddyn,0,0,100,0.01,4,589,0.7919,0.85984,0.8291,0.90518,0.69213564453125,0.42988100830078124,0.524538037109375,0.2933077160644531
59,CIFAR10,feddyn,0,0,100,0.01,4,599,0.7649,0.82832,0.8296,0.90596,0.7455382080078125,0.517417353515625,0.5258841796875,0.2915530346679687
60,CIFAR10,feddyn,0,0,100,0.01,4,609,0.7576,0.81858,0.8302,0.90506,0.77801142578125,0.5506712622070312,0.5281546142578125,0.292347587890625
61,CIFAR10,feddyn,0,0,100,0.01,4,619,0.7857,0.85258,0.8305,0.90566,0.704814892578125,0.45225970947265626,0.5260799560546875,0.28927254150390624
62,CIFAR10,feddyn,0,0,100,0.01,4,629,0.7997,0.87136,0.8302,0.90574,0.6333651611328125,0.38644464965820313,0.52598330078125,0.28882414306640625
63,CIFAR10,feddyn,0,0,100,0.01,4,639,0.7506,0.81682,0.8298,0.9062,0.8080050048828125,0.554874306640625,0.52416298828125,0.286433486328125
64,CIFAR10,feddyn,0,0,100,0.01,4,649,0.7919,0.85992,0.8296,0.90776,0.6633439208984375,0.41631399047851564,0.523031494140625,0.2832866857910156
65,CIFAR10,feddyn,0,0,100,0.01,4,659,0.7938,0.86474,0.8294,0.90816,0.6613611083984375,0.40443237670898435,0.5217486328125,0.28021051391601565
66,CIFAR10,feddyn,0,0,100,0.01,4,669,0.7627,0.82276,0.8302,0.90952,0.779425390625,0.540418623046875,0.5222679443359375,0.2791241223144531
67,CIFAR10,feddyn,0,0,100,0.01,4,679,0.774,0.84122,0.8307,0.91022,0.7376901611328125,0.48210713989257814,0.5222817626953125,0.27757925537109374
68,CIFAR10,feddyn,0,0,100,0.01,4,689,0.7599,0.8226,0.8278,0.91018,0.76859931640625,0.5286184094238281,0.522152197265625,0.27780199462890626
69,CIFAR10,feddyn,0,0,100,0.01,4,699,0.7841,0.86138,0.8278,0.91082,0.6611110107421875,0.4141264013671875,0.5235684814453125,0.2791466796875
70,CIFAR10,feddyn,0,0,100,0.01,4,709,0.7903,0.84882,0.8277,0.91064,0.7060607666015625,0.45736306518554687,0.5232792724609375,0.27861656494140624
71,CIFAR10,feddyn,0,0,100,0.01,4,719,0.7686,0.82368,0.8287,0.91038,0.7680767333984375,0.535020107421875,0.5234224365234375,0.27733149597167966
72,CIFAR10,feddyn,0,0,100,0.01,4,729,0.7966,0.8672,0.8295,0.91178,0.6468883544921875,0.4001889306640625,0.5206829345703125,0.27684264709472656
73,CIFAR10,feddyn,0,0,100,0.01,4,739,0.7795,0.83972,0.83,0.91222,0.7181645751953125,0.4735016516113281,0.5224583740234375,0.2726336370849609
74,CIFAR10,feddyn,0,0,100,0.01,4,749,0.7658,0.82504,0.8324,0.91224,0.8094176025390625,0.5483764208984375,0.521162158203125,0.27166416259765624
75,CIFAR10,feddyn,0,0,100,0.01,4,759,0.7721,0.82974,0.8326,0.91202,0.7707630615234375,0.5283282861328125,0.5199850830078125,0.27074112670898437
76,CIFAR10,feddyn,0,0,100,0.01,4,769,0.7682,0.82788,0.832,0.91226,0.7556833984375,0.5190585729980469,0.51973125,0.27138789123535156
77,CIFAR10,feddyn,0,0,100,0.01,4,779,0.8023,0.86626,0.8341,0.9122,0.6428094970703125,0.39574651000976563,0.5189495849609375,0.2721917248535156
78,CIFAR10,feddyn,0,0,100,0.01,4,789,0.8014,0.86734,0.8329,0.9115,0.6759156494140625,0.40816562133789064,0.5174997314453125,0.27189856872558593
79,CIFAR10,feddyn,0,0,100,0.01,4,799,0.7926,0.857,0.8316,0.9112,0.6888630859375,0.4304634924316406,0.5188175537109375,0.27158790893554685
80,CIFAR10,feddyn,0,0,100,0.01,4,809,0.7654,0.8272,0.8317,0.91148,0.743726171875,0.5200531420898438,0.51866416015625,0.27185451538085936
81,CIFAR10,feddyn,0,0,100,0.01,4,819,0.7738,0.82578,0.8315,0.9113,0.7579966796875,0.5292403344726563,0.518101171875,0.2712164788818359
82,CIFAR10,feddyn,0,0,100,0.01,4,829,0.7846,0.84778,0.8329,0.91124,0.7241306396484375,0.45643178955078123,0.518425537109375,0.2690573785400391
83,CIFAR10,feddyn,0,0,100,0.01,4,839,0.7675,0.836,0.8323,0.91224,0.746177734375,0.48946496948242185,0.5179493286132812,0.2657451019287109
84,CIFAR10,feddyn,0,0,100,0.01,4,849,0.799,0.8733,0.8308,0.91358,0.641614404296875,0.38395709106445314,0.5160057006835937,0.26428490478515626
85,CIFAR10,feddyn,0,0,100,0.01,4,859,0.7889,0.86056,0.8315,0.9146,0.66069072265625,0.41424694091796876,0.514396826171875,0.26353289306640626
86,CIFAR10,feddyn,0,0,100,0.01,4,869,0.7942,0.86176,0.8312,0.91508,0.653803466796875,0.4123312609863281,0.5129134399414063,0.26275490905761717
87,CIFAR10,feddyn,0,0,100,0.01,4,879,0.8023,0.87332,0.8338,0.9155,0.631250439453125,0.3821884832763672,0.5109673706054687,0.2627502020263672
88,CIFAR10,feddyn,0,0,100,0.01,4,889,0.7497,0.79696,0.8348,0.91602,0.8246412841796875,0.6184675317382813,0.5111257080078125,0.26186996826171877
89,CIFAR10,feddyn,0,0,100,0.01,4,899,0.7883,0.85432,0.8349,0.91474,0.6701888916015625,0.4361072595214844,0.509059326171875,0.26297117431640626
90,CIFAR10,feddyn,0,0,100,0.01,4,909,0.7716,0.83662,0.8352,0.91508,0.72555263671875,0.49141320678710937,0.5068790161132812,0.2627953900146484
91,CIFAR10,feddyn,0,0,100,0.01,4,919,0.791,0.86124,0.8331,0.91404,0.644733251953125,0.41744158203125,0.5067934692382813,0.2642215747070312
92,CIFAR10,feddyn,0,0,100,0.01,4,929,0.7525,0.81122,0.8347,0.91362,0.843973828125,0.5881391577148437,0.50874072265625,0.2665032666015625
93,CIFAR10,feddyn,0,0,100,0.01,4,939,0.7958,0.8577,0.8325,0.91362,0.65841962890625,0.4232745300292969,0.508258740234375,0.26690346313476565
