,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.01,4,9,0.4517,0.45172,0.1581,0.15882,1.5349849609375,1.5393735498046874,2.27985927734375,2.280099716796875
1,CIFAR10,feddyn,0,0,100,0.01,4,19,0.4359,0.44346,0.2406,0.24468,1.580914501953125,1.577007998046875,2.2291640625,2.22967166015625
2,CIFAR10,feddyn,0,0,100,0.01,4,29,0.5426,0.5531,0.3447,0.34762,1.28790546875,1.25851658203125,2.15709609375,2.15756025390625
3,CIFAR10,feddyn,0,0,100,0.01,4,39,0.6144,0.62414,0.4352,0.4408,1.126421484375,1.0887084814453125,2.042641259765625,2.042271005859375
4,CIFAR10,feddyn,0,0,100,0.01,4,49,0.6316,0.64482,0.4866,0.49334,1.093081298828125,1.03902412109375,1.92069765625,1.9186734619140624
5,CIFAR10,feddyn,0,0,100,0.01,4,59,0.6353,0.65222,0.5181,0.53006,1.089019287109375,1.032260732421875,1.811830810546875,1.8066378857421874
6,CIFAR10,feddyn,0,0,100,0.01,4,69,0.6789,0.70286,0.5474,0.55906,0.9864494140625,0.9031043359375,1.7066767578125,1.6980433203125
7,CIFAR10,feddyn,0,0,100,0.01,4,79,0.6725,0.70124,0.5986,0.61498,0.990487744140625,0.8881845874023437,1.489498681640625,1.4723719677734375
8,CIFAR10,feddyn,0,0,100,0.01,4,89,0.6547,0.68444,0.6311,0.6534,1.1319294921875,1.0113366162109374,1.36648466796875,1.340905703125
9,CIFAR10,feddyn,0,0,100,0.01,4,99,0.6863,0.72008,0.6755,0.705,0.981520361328125,0.8413833032226562,1.124906689453125,1.081397158203125
10,CIFAR10,feddyn,0,0,100,0.01,4,109,0.7039,0.7413,0.6882,0.72166,0.9149388916015625,0.76548177734375,1.050511279296875,0.9972786376953126
11,CIFAR10,feddyn,0,0,100,0.01,4,119,0.7033,0.73726,0.705,0.74396,1.0008912353515624,0.8427402172851562,0.9552107177734375,0.888639111328125
12,CIFAR10,feddyn,0,0,100,0.01,4,129,0.7018,0.74394,0.7141,0.7559,0.9622296142578125,0.7925656787109375,0.9060983154296876,0.8303311303710937
13,CIFAR10,feddyn,0,0,100,0.01,4,139,0.7415,0.7859,0.7248,0.76984,0.8310274658203125,0.6410764086914063,0.8609343017578125,0.7727685424804688
14,CIFAR10,feddyn,0,0,100,0.01,4,149,0.7242,0.76822,0.7314,0.77938,0.928462353515625,0.735420810546875,0.8325445068359375,0.7367624829101562
15,CIFAR10,feddyn,0,0,100,0.01,4,159,0.7166,0.75992,0.737,0.78826,0.9583822021484375,0.7497221508789063,0.81241572265625,0.7103786499023438
16,CIFAR10,feddyn,0,0,100,0.01,4,169,0.7085,0.75638,0.744,0.79674,0.96551435546875,0.765062978515625,0.7829836669921875,0.6729086596679688
17,CIFAR10,feddyn,0,0,100,0.01,4,179,0.713,0.76502,0.7533,0.80782,0.9441609130859375,0.7290260083007812,0.741438134765625,0.617591865234375
18,CIFAR10,feddyn,0,0,100,0.01,4,189,0.7393,0.79806,0.7605,0.8127,0.868752392578125,0.630298671875,0.72943427734375,0.5992329223632813
19,CIFAR10,feddyn,0,0,100,0.01,4,199,0.7265,0.78084,0.7678,0.82396,0.935346630859375,0.7047645581054688,0.6991091552734375,0.551534775390625
20,CIFAR10,feddyn,0,0,100,0.01,4,209,0.7301,0.78886,0.7715,0.83284,0.8670003662109375,0.6503964086914062,0.67962744140625,0.5171550463867187
21,CIFAR10,feddyn,0,0,100,0.01,4,219,0.723,0.7761,0.7732,0.83716,0.920564013671875,0.6909127612304687,0.6699530029296875,0.4987631188964844
22,CIFAR10,feddyn,0,0,100,0.01,4,229,0.7588,0.82506,0.7768,0.84406,0.756906103515625,0.5248121484375,0.6579612060546876,0.47275640625
23,CIFAR10,feddyn,0,0,100,0.01,4,239,0.7386,0.79436,0.7813,0.848,0.8720072998046875,0.6336488891601563,0.654088330078125,0.4557069287109375
24,CIFAR10,feddyn,0,0,100,0.01,4,249,0.7642,0.82046,0.7854,0.8533,0.7388785888671875,0.5316698754882813,0.6469650390625,0.44068242919921874
25,CIFAR10,feddyn,0,0,100,0.01,4,259,0.7659,0.83174,0.7875,0.85838,0.7632716552734375,0.5193072595214844,0.6373578369140624,0.4247058447265625
26,CIFAR10,feddyn,0,0,100,0.01,4,269,0.7443,0.81102,0.7913,0.86224,0.830867822265625,0.5796011950683594,0.6308783935546876,0.4148133361816406
27,CIFAR10,feddyn,0,0,100,0.01,4,279,0.7757,0.84542,0.7943,0.86674,0.7331741455078125,0.4689633276367188,0.621856103515625,0.4017487536621094
28,CIFAR10,feddyn,0,0,100,0.01,4,289,0.7678,0.83726,0.7981,0.87172,0.748755224609375,0.4871808947753906,0.6154310302734375,0.3902547888183594
29,CIFAR10,feddyn,0,0,100,0.01,4,299,0.7407,0.80266,0.8021,0.87468,0.8174571044921874,0.5892874877929688,0.6120473876953125,0.3773402880859375
30,CIFAR10,feddyn,0,0,100,0.01,4,309,0.7513,0.81666,0.804,0.87652,0.8177637939453125,0.56349201171875,0.6076833251953125,0.3711423754882813
31,CIFAR10,feddyn,0,0,100,0.01,4,319,0.7414,0.80562,0.8057,0.8795,0.8616595703125,0.5976710961914062,0.6042661865234376,0.36230322387695313
32,CIFAR10,feddyn,0,0,100,0.01,4,329,0.7537,0.82338,0.8066,0.88334,0.7745776611328125,0.5354112951660156,0.5993039306640625,0.3544527673339844
33,CIFAR10,feddyn,0,0,100,0.01,4,339,0.7506,0.81182,0.8071,0.88572,0.8328684814453124,0.5795357653808594,0.5957333251953125,0.3482012475585938
34,CIFAR10,feddyn,0,0,100,0.01,4,349,0.7549,0.82018,0.81,0.88882,0.7656336669921875,0.5359143505859375,0.5937261962890625,0.33778646850585936
35,CIFAR10,feddyn,0,0,100,0.01,4,359,0.7303,0.79344,0.8098,0.89,0.8883446044921876,0.6408361352539063,0.592052099609375,0.33125502319335937
36,CIFAR10,feddyn,0,0,100,0.01,4,369,0.7736,0.84476,0.8104,0.8923,0.7278775146484375,0.4593823388671875,0.5884962890625,0.32699707763671876
37,CIFAR10,feddyn,0,0,100,0.01,4,379,0.7767,0.84948,0.8124,0.8936,0.723537890625,0.4509908349609375,0.5858904541015625,0.3228284716796875
38,CIFAR10,feddyn,0,0,100,0.01,4,389,0.7626,0.83008,0.8136,0.8949,0.7521953125,0.5091268908691406,0.58290556640625,0.3190320733642578
39,CIFAR10,feddyn,0,0,100,0.01,4,399,0.7267,0.78666,0.814,0.895,0.8793327392578125,0.6519450830078125,0.5797253173828125,0.3178369757080078
40,CIFAR10,feddyn,0,0,100,0.01,4,409,0.7743,0.83844,0.8141,0.89654,0.7039172119140625,0.4817839794921875,0.5757908447265625,0.3166985009765625
41,CIFAR10,feddyn,0,0,100,0.01,4,419,0.7876,0.8588,0.8141,0.89716,0.6815504638671875,0.4273233984375,0.5722683349609375,0.31477256774902346
42,CIFAR10,feddyn,0,0,100,0.01,4,429,0.7625,0.82182,0.8167,0.89714,0.801931201171875,0.5577137927246094,0.570134716796875,0.3118369873046875
43,CIFAR10,feddyn,0,0,100,0.01,4,439,0.7487,0.79656,0.8157,0.89734,0.794758984375,0.6090656579589844,0.5680806884765625,0.3129696899414062
44,CIFAR10,feddyn,0,0,100,0.01,4,449,0.7366,0.78998,0.8138,0.89558,0.8313906982421875,0.6248108325195313,0.56573203125,0.31523735473632813
45,CIFAR10,feddyn,0,0,100,0.01,4,459,0.7623,0.81844,0.8148,0.89578,0.7520185791015624,0.5421869091796875,0.5638845458984375,0.314239833984375
46,CIFAR10,feddyn,0,0,100,0.01,4,469,0.7548,0.81948,0.8157,0.8959,0.7935763916015625,0.5501037158203125,0.5629048095703125,0.3147826043701172
47,CIFAR10,feddyn,0,0,100,0.01,4,479,0.7883,0.85738,0.8165,0.89542,0.6656111572265625,0.42007753784179686,0.562273681640625,0.3150833947753906
48,CIFAR10,feddyn,0,0,100,0.01,4,489,0.7726,0.83688,0.8168,0.89606,0.71051865234375,0.48549313598632815,0.562338623046875,0.31393591552734373
49,CIFAR10,feddyn,0,0,100,0.01,4,499,0.7804,0.84596,0.8148,0.89762,0.68716806640625,0.46002214965820315,0.5618912353515625,0.3125207025146484
50,CIFAR10,feddyn,0,0,100,0.01,4,509,0.7601,0.8211,0.816,0.89834,0.7927193603515625,0.5526515576171875,0.559020361328125,0.31041462463378905
51,CIFAR10,feddyn,0,0,100,0.01,4,519,0.7459,0.81238,0.8166,0.89832,0.816130419921875,0.5672913818359375,0.5581840576171875,0.31011044067382815
52,CIFAR10,feddyn,0,0,100,0.01,4,529,0.7579,0.81598,0.8166,0.89952,0.78097783203125,0.5576081274414062,0.5564742431640625,0.30822284301757813
53,CIFAR10,feddyn,0,0,100,0.01,4,539,0.7502,0.80576,0.8165,0.90032,0.8782370361328125,0.6241856982421875,0.5548164306640625,0.30755146362304686
54,CIFAR10,feddyn,0,0,100,0.01,4,549,0.7654,0.81992,0.8183,0.90018,0.7590198486328125,0.54574607421875,0.553299267578125,0.305790048828125
55,CIFAR10,feddyn,0,0,100,0.01,4,559,0.7576,0.82412,0.8191,0.90016,0.7998515625,0.5438369458007812,0.5495083984375,0.3042629443359375
56,CIFAR10,feddyn,0,0,100,0.01,4,569,0.7799,0.84726,0.8198,0.9002,0.70592255859375,0.4609643859863281,0.5493626953125,0.30458010375976563
57,CIFAR10,feddyn,0,0,100,0.01,4,579,0.7601,0.82262,0.8204,0.89992,0.777653759765625,0.5348096313476562,0.5475583984375,0.3054283679199219
58,CIFAR10,feddyn,0,0,100,0.01,4,589,0.7914,0.8601,0.8204,0.89952,0.654638232421875,0.41990283935546874,0.5467077392578125,0.30708879028320313
59,CIFAR10,feddyn,0,0,100,0.01,4,599,0.7574,0.8157,0.8209,0.89936,0.774244091796875,0.5462405395507812,0.5480005126953125,0.3068225732421875
60,CIFAR10,feddyn,0,0,100,0.01,4,609,0.7597,0.81622,0.8214,0.8994,0.7652544921875,0.5582717651367187,0.5477722412109375,0.30788237915039063
61,CIFAR10,feddyn,0,0,100,0.01,4,619,0.7761,0.8433,0.8212,0.90088,0.7094768798828125,0.4715204272460938,0.544910595703125,0.3052092443847656
