,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.1,2,9,0.5201,0.52124,0.4419,0.44006,1.346235205078125,1.340196650390625,1.8600580078125,1.863122392578125
1,CIFAR10,feddyn,0,0,100,0.1,2,19,0.5937,0.62528,0.5531,0.56844,1.15002705078125,1.0725255908203124,1.324210302734375,1.3041328955078124
2,CIFAR10,feddyn,0,0,100,0.1,2,29,0.6444,0.69124,0.6284,0.6674,1.048562548828125,0.8982154296875,1.061396142578125,0.9740815161132812
3,CIFAR10,feddyn,0,0,100,0.1,2,39,0.6836,0.74726,0.6713,0.72598,0.9884505126953125,0.7473020703125,0.95971005859375,0.7949971484375
4,CIFAR10,feddyn,0,0,100,0.1,2,49,0.7002,0.78204,0.6948,0.76506,0.9427526611328125,0.640213134765625,0.9146066650390625,0.6802909448242187
5,CIFAR10,feddyn,0,0,100,0.1,2,59,0.7183,0.8082,0.7108,0.79818,0.91762119140625,0.5630198193359375,0.8791779052734375,0.5867839196777344
6,CIFAR10,feddyn,0,0,100,0.1,2,69,0.7344,0.83504,0.7293,0.83016,0.8714384033203125,0.48166677001953123,0.85468759765625,0.4961008642578125
7,CIFAR10,feddyn,0,0,100,0.1,2,79,0.7473,0.85432,0.7455,0.85358,0.841836865234375,0.42724654296875,0.81653623046875,0.42951084594726563
8,CIFAR10,feddyn,0,0,100,0.1,2,89,0.7572,0.86966,0.7549,0.8713,0.78842548828125,0.3792520703125,0.790305859375,0.3790179553222656
9,CIFAR10,feddyn,0,0,100,0.1,2,99,0.7671,0.88474,0.7681,0.8868,0.74789375,0.3399209338378906,0.7516833740234375,0.3342709326171875
10,CIFAR10,feddyn,0,0,100,0.1,2,109,0.7802,0.89596,0.7799,0.89752,0.71152197265625,0.3089638415527344,0.7114693359375,0.3016835595703125
11,CIFAR10,feddyn,0,0,100,0.1,2,119,0.7892,0.89986,0.789,0.90704,0.684768603515625,0.2953141369628906,0.679459521484375,0.2775834417724609
12,CIFAR10,feddyn,0,0,100,0.1,2,129,0.7885,0.9001,0.7935,0.91168,0.67187705078125,0.2976296173095703,0.6550832275390625,0.2654644738769531
13,CIFAR10,feddyn,0,0,100,0.1,2,139,0.79,0.90226,0.7944,0.91512,0.66176357421875,0.29337252197265623,0.6404146484375,0.25892371887207033
14,CIFAR10,feddyn,0,0,100,0.1,2,149,0.798,0.90742,0.7984,0.91718,0.63460673828125,0.2791148718261719,0.62194736328125,0.2544998046875
15,CIFAR10,feddyn,0,0,100,0.1,2,159,0.7997,0.9094,0.8024,0.92026,0.61897421875,0.2760025079345703,0.6017430419921875,0.24968733154296874
16,CIFAR10,feddyn,0,0,100,0.1,2,169,0.7952,0.90008,0.8072,0.91888,0.631152587890625,0.2955134558105469,0.587861376953125,0.24617430725097655
17,CIFAR10,feddyn,0,0,100,0.1,2,179,0.8068,0.91354,0.813,0.92228,0.6024954345703125,0.25735117736816404,0.5781709228515625,0.2401772802734375
18,CIFAR10,feddyn,0,0,100,0.1,2,189,0.811,0.91776,0.814,0.92522,0.5940760986328125,0.25081547912597657,0.572470361328125,0.23119442138671875
19,CIFAR10,feddyn,0,0,100,0.1,2,199,0.8111,0.9188,0.8199,0.92916,0.597322216796875,0.24373755859375,0.568867431640625,0.221510048828125
20,CIFAR10,feddyn,0,0,100,0.1,2,209,0.8178,0.92394,0.8201,0.9302,0.587745849609375,0.23126237670898436,0.567934912109375,0.21518689514160155
21,CIFAR10,feddyn,0,0,100,0.1,2,219,0.8115,0.91936,0.8208,0.93468,0.5986223388671875,0.2404158251953125,0.5601571044921875,0.20583831481933593
22,CIFAR10,feddyn,0,0,100,0.1,2,229,0.8186,0.93072,0.8246,0.93882,0.577147509765625,0.2122644268798828,0.5528329345703125,0.19401561401367187
23,CIFAR10,feddyn,0,0,100,0.1,2,239,0.8165,0.9327,0.8273,0.9412,0.5781443359375,0.21101022338867187,0.5507419677734375,0.18620442932128906
24,CIFAR10,feddyn,0,0,100,0.1,2,249,0.8226,0.93736,0.8289,0.94516,0.56996845703125,0.19714583618164064,0.5471564208984375,0.1797222802734375
25,CIFAR10,feddyn,0,0,100,0.1,2,259,0.8229,0.93604,0.8312,0.94726,0.5713819091796875,0.2012945458984375,0.53888310546875,0.17682429138183595
26,CIFAR10,feddyn,0,0,100,0.1,2,269,0.8224,0.93,0.8328,0.94736,0.562306298828125,0.21541163696289062,0.5304543212890624,0.1739704949951172
27,CIFAR10,feddyn,0,0,100,0.1,2,279,0.8237,0.9375,0.8333,0.94744,0.5506877685546875,0.1961964111328125,0.52683046875,0.1730010662841797
28,CIFAR10,feddyn,0,0,100,0.1,2,289,0.8158,0.9313,0.8346,0.94882,0.56738759765625,0.21293694580078126,0.5223286376953125,0.1698454510498047
29,CIFAR10,feddyn,0,0,100,0.1,2,299,0.8205,0.93706,0.8322,0.9487,0.553905322265625,0.20005872497558594,0.52371669921875,0.1704940899658203
