,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.1,3,9,0.5209,0.5232,0.4658,0.46138,1.345770166015625,1.3385636474609375,1.859890673828125,1.8629004248046874
1,CIFAR10,feddyn,0,0,100,0.1,3,19,0.6201,0.6357,0.5793,0.59002,1.102913037109375,1.041380361328125,1.263126708984375,1.2439938818359375
2,CIFAR10,feddyn,0,0,100,0.1,3,29,0.6616,0.70328,0.6441,0.67468,1.0169548583984376,0.8681231420898438,1.038344921875,0.9608113232421875
3,CIFAR10,feddyn,0,0,100,0.1,3,39,0.6909,0.74342,0.677,0.7214,0.9783826171875,0.7611946533203126,0.95042099609375,0.8030692553710937
4,CIFAR10,feddyn,0,0,100,0.1,3,49,0.7109,0.7832,0.706,0.76494,0.9396980224609375,0.6414147412109374,0.8962841552734375,0.67549435546875
5,CIFAR10,feddyn,0,0,100,0.1,3,59,0.7295,0.81662,0.7223,0.80572,0.8884807861328125,0.5372990869140625,0.87345576171875,0.5668741796875
6,CIFAR10,feddyn,0,0,100,0.1,3,69,0.7408,0.8403,0.7394,0.83456,0.84531875,0.46811714111328123,0.848188525390625,0.4844811560058594
7,CIFAR10,feddyn,0,0,100,0.1,3,79,0.7532,0.85742,0.7503,0.8549,0.8224429443359375,0.41455848266601564,0.81216572265625,0.41961593505859374
8,CIFAR10,feddyn,0,0,100,0.1,3,89,0.7653,0.8776,0.7639,0.87674,0.7826277587890625,0.3568344226074219,0.7739990234375,0.3605339807128906
9,CIFAR10,feddyn,0,0,100,0.1,3,99,0.7714,0.88578,0.7734,0.89078,0.753924462890625,0.33437296630859376,0.7439359619140625,0.3213894921875
10,CIFAR10,feddyn,0,0,100,0.1,3,109,0.777,0.89414,0.7819,0.90104,0.7283895751953126,0.3120044421386719,0.7122216064453125,0.2916146215820313
11,CIFAR10,feddyn,0,0,100,0.1,3,119,0.7835,0.89982,0.7853,0.91096,0.6978627685546875,0.293586171875,0.6831486572265625,0.269207744140625
12,CIFAR10,feddyn,0,0,100,0.1,3,129,0.7908,0.90936,0.7933,0.9155,0.65731630859375,0.2737808349609375,0.6558032958984376,0.25691614501953125
13,CIFAR10,feddyn,0,0,100,0.1,3,139,0.7922,0.90672,0.8012,0.91956,0.6500125,0.281302060546875,0.63418837890625,0.24842729248046874
14,CIFAR10,feddyn,0,0,100,0.1,3,149,0.7979,0.9117,0.8035,0.92224,0.6324572509765625,0.26608659423828124,0.618512744140625,0.24216253540039062
15,CIFAR10,feddyn,0,0,100,0.1,3,159,0.8001,0.90734,0.8046,0.92352,0.6349478759765625,0.272800009765625,0.606629345703125,0.23984296142578124
16,CIFAR10,feddyn,0,0,100,0.1,3,169,0.8031,0.91276,0.8069,0.9219,0.622986767578125,0.26506486877441404,0.60161875,0.24165177124023438
17,CIFAR10,feddyn,0,0,100,0.1,3,179,0.8137,0.91806,0.8135,0.92508,0.60689736328125,0.24820066223144532,0.59451005859375,0.23477239013671874
18,CIFAR10,feddyn,0,0,100,0.1,3,189,0.8121,0.9197,0.8147,0.92848,0.6017631591796875,0.24388806091308593,0.582776416015625,0.2229873974609375
19,CIFAR10,feddyn,0,0,100,0.1,3,199,0.8097,0.91552,0.8185,0.93164,0.6033352783203125,0.25324269287109374,0.5693582275390625,0.21641939453125
20,CIFAR10,feddyn,0,0,100,0.1,3,209,0.8132,0.92632,0.8168,0.93404,0.5889178955078125,0.22330252075195312,0.5633826416015625,0.20730894104003905
21,CIFAR10,feddyn,0,0,100,0.1,3,219,0.814,0.92742,0.8216,0.93682,0.5931463134765625,0.21957736083984375,0.5603686279296874,0.1969931024169922
22,CIFAR10,feddyn,0,0,100,0.1,3,229,0.8113,0.92372,0.8227,0.94056,0.60474248046875,0.2295759051513672,0.55544580078125,0.18999979064941405
23,CIFAR10,feddyn,0,0,100,0.1,3,239,0.8162,0.92892,0.8228,0.94308,0.5834395751953125,0.21565779357910156,0.551316650390625,0.18196738037109375
24,CIFAR10,feddyn,0,0,100,0.1,3,249,0.821,0.93726,0.8275,0.9464,0.55876630859375,0.19320951538085937,0.5452278076171875,0.17521329345703124
25,CIFAR10,feddyn,0,0,100,0.1,3,259,0.8229,0.93964,0.8266,0.9469,0.562351904296875,0.18738253662109375,0.5406725341796875,0.17037583435058593
