,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0,100,0.1,3,9,0.5945,0.61152,0.5055,0.51764,1.177387060546875,1.1268768017578126,1.742966748046875,1.738269677734375
1,CIFAR10,feddyn,0,0,100,0.1,3,19,0.6535,0.69992,0.6301,0.66496,1.086233349609375,0.9125578979492187,1.08539326171875,1.013072177734375
2,CIFAR10,feddyn,0,0,100,0.1,3,29,0.6891,0.7581,0.6798,0.73702,1.0320666015625,0.7486363110351563,0.9531253662109375,0.7761491967773437
3,CIFAR10,feddyn,0,0,100,0.1,3,39,0.7118,0.78986,0.7014,0.77684,1.0040373779296874,0.6499357275390625,0.9529165283203125,0.666056240234375
4,CIFAR10,feddyn,0,0,100,0.1,3,49,0.7238,0.8225,0.721,0.81306,0.94665166015625,0.5384150439453125,0.9022145751953125,0.55466501953125
5,CIFAR10,feddyn,0,0,100,0.1,3,59,0.745,0.84738,0.737,0.84368,0.8713623046875,0.46244066162109376,0.8711859619140625,0.46707772094726563
6,CIFAR10,feddyn,0,0,100,0.1,3,69,0.758,0.86214,0.7536,0.86214,0.8002180419921875,0.40611566528320314,0.8155044189453124,0.40450221435546874
7,CIFAR10,feddyn,0,0,100,0.1,3,79,0.7715,0.8738,0.7666,0.8782,0.76902939453125,0.3765210803222656,0.7683922119140625,0.3628586706542969
8,CIFAR10,feddyn,0,0,100,0.1,3,89,0.78,0.8856,0.7804,0.8896,0.7180808349609376,0.3444767932128906,0.7157326416015625,0.3293474731445313
9,CIFAR10,feddyn,0,0,100,0.1,3,99,0.7762,0.88132,0.7862,0.89634,0.712092431640625,0.3540199450683594,0.685601220703125,0.31238253784179687
10,CIFAR10,feddyn,0,0,100,0.1,3,109,0.7906,0.88876,0.7927,0.89976,0.682118408203125,0.3303853271484375,0.6590060791015625,0.3010105908203125
11,CIFAR10,feddyn,0,0,100,0.1,3,119,0.7932,0.89122,0.7991,0.90474,0.6715470947265625,0.3269720251464844,0.6363821044921875,0.28856525024414065
12,CIFAR10,feddyn,0,0,100,0.1,3,129,0.8009,0.89942,0.8023,0.90706,0.6508875732421875,0.30112180908203123,0.629092431640625,0.28182738647460936
13,CIFAR10,feddyn,0,0,100,0.1,3,139,0.8014,0.89808,0.8087,0.90992,0.654468017578125,0.30232851806640626,0.6235804931640625,0.2704923229980469
14,CIFAR10,feddyn,0,0,100,0.1,3,149,0.8066,0.90732,0.8079,0.9153,0.630501806640625,0.27284858154296876,0.615527978515625,0.256136484375
15,CIFAR10,feddyn,0,0,100,0.1,3,159,0.8068,0.90958,0.8119,0.91862,0.6246712646484375,0.2720468957519531,0.6044234375,0.24830738037109376
16,CIFAR10,feddyn,0,0,100,0.1,3,169,0.8134,0.91408,0.816,0.92266,0.6138800537109375,0.25582283081054685,0.593205908203125,0.2384922637939453
17,CIFAR10,feddyn,0,0,100,0.1,3,179,0.8117,0.918,0.8199,0.92534,0.6082802001953125,0.24766940856933595,0.5858171630859375,0.22936823791503907
18,CIFAR10,feddyn,0,0,100,0.1,3,189,0.8138,0.9183,0.8219,0.92898,0.6014890869140626,0.24809701904296874,0.5750068359375,0.21953172607421875
19,CIFAR10,feddyn,0,0,100,0.1,3,199,0.8096,0.91226,0.8231,0.92902,0.613565380859375,0.2638401452636719,0.569127001953125,0.21856482055664062
20,CIFAR10,feddyn,0,0,100,0.1,3,209,0.8159,0.9194,0.8249,0.92982,0.5888826904296875,0.24463875122070314,0.5610223388671876,0.21757340942382813
21,CIFAR10,feddyn,0,0,100,0.1,3,219,0.8095,0.91622,0.8233,0.92952,0.6017782958984375,0.24928902465820313,0.5586988525390625,0.2152399835205078
22,CIFAR10,feddyn,0,0,100,0.1,3,229,0.8096,0.91108,0.8222,0.92932,0.6183988037109375,0.2631081665039062,0.5663226318359375,0.21383437561035157
23,CIFAR10,feddyn,0,0,100,0.1,3,239,0.8141,0.9172,0.8258,0.93188,0.61114189453125,0.2480065802001953,0.561713525390625,0.2081986492919922
24,CIFAR10,feddyn,0,0,100,0.1,3,249,0.8193,0.9201,0.8249,0.93274,0.5934341064453125,0.2402565118408203,0.5610070068359375,0.20709348205566405
25,CIFAR10,feddyn,0,0,100,0.1,3,259,0.8209,0.92176,0.8281,0.933,0.5843618896484375,0.23035230529785156,0.5568223388671875,0.20639649658203124
26,CIFAR10,feddyn,0,0,100,0.1,3,269,0.8227,0.92588,0.8321,0.93528,0.5752467041015625,0.22477489135742187,0.5496095458984375,0.19890350708007812
27,CIFAR10,feddyn,0,0,100,0.1,3,279,0.8246,0.92446,0.8321,0.93796,0.5721567626953125,0.22631496520996094,0.5412896728515625,0.19557509338378906
28,CIFAR10,feddyn,0,0,100,0.1,3,289,0.8202,0.92208,0.8329,0.93766,0.5766002685546875,0.23477618469238282,0.5377445068359376,0.19449244750976563
29,CIFAR10,feddyn,0,0,100,0.1,3,299,0.8212,0.9225,0.83,0.93826,0.5914085205078125,0.23160354919433593,0.5457639892578126,0.19526577392578126
