,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,2,9,0.3439,0.33548,0.1577,0.15622,2.1092951171875,2.106414169921875,2.28553623046875,2.285733837890625
1,CIFAR10,feddyn,0,0.3,100,0.01,2,19,0.3847,0.38344,0.2689,0.27132,2.11699677734375,2.092544765625,2.2340458984375,2.234419931640625
2,CIFAR10,feddyn,0,0.3,100,0.01,2,29,0.4421,0.44186,0.332,0.3379,1.657645458984375,1.6425531689453126,2.1407291015625,2.141183125
3,CIFAR10,feddyn,0,0.3,100,0.01,2,39,0.4328,0.43632,0.3934,0.3963,1.932899267578125,1.896526171875,2.038510498046875,2.038760771484375
4,CIFAR10,feddyn,0,0.3,100,0.01,2,49,0.3589,0.36384,0.4325,0.4365,2.658044921875,2.63079578125,1.946910205078125,1.94626955078125
5,CIFAR10,feddyn,0,0.3,100,0.01,2,59,0.4624,0.46598,0.485,0.49122,2.43377138671875,2.37945134765625,1.786518603515625,1.7829108544921874
6,CIFAR10,feddyn,0,0.3,100,0.01,2,69,0.5489,0.56178,0.5348,0.54726,1.4194767578125,1.34543921875,1.6041384765625,1.5949504833984376
7,CIFAR10,feddyn,0,0.3,100,0.01,2,79,0.6469,0.66892,0.5774,0.588,1.07054091796875,0.9868334228515625,1.42222373046875,1.4051307666015624
8,CIFAR10,feddyn,0,0.3,100,0.01,2,89,0.5205,0.52912,0.5988,0.61194,1.997239501953125,1.897015458984375,1.31291279296875,1.2888809228515625
9,CIFAR10,feddyn,0,0.3,100,0.01,2,99,0.6614,0.69474,0.6223,0.63992,1.023465185546875,0.901705927734375,1.2298177734375,1.197204208984375
10,CIFAR10,feddyn,0,0.3,100,0.01,2,109,0.5824,0.6035,0.6357,0.65828,1.5248943359375,1.4121561474609374,1.154990576171875,1.1142584814453125
11,CIFAR10,feddyn,0,0.3,100,0.01,2,119,0.6488,0.67478,0.6571,0.68456,1.157416796875,1.03978794921875,1.05494580078125,1.003055712890625
12,CIFAR10,feddyn,0,0.3,100,0.01,2,129,0.6426,0.67034,0.6788,0.70594,1.1436259765625,1.0152061376953125,0.9796527099609375,0.9171691918945313
