,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,2,9,0.3665,0.36752,0.1415,0.14006,2.1333021484375,2.137149697265625,2.28106044921875,2.28125267578125
1,CIFAR10,feddyn,0,0.3,100,0.01,2,19,0.4162,0.4261,0.2345,0.23238,2.202891796875,2.134035546875,2.24725390625,2.247368037109375
2,CIFAR10,feddyn,0,0.3,100,0.01,2,29,0.2629,0.2674,0.312,0.3141,4.2690328125,4.1763877734375,2.1864771484375,2.1857125
3,CIFAR10,feddyn,0,0.3,100,0.01,2,39,0.4599,0.47456,0.393,0.39942,2.4801169921875,2.401286875,2.08861962890625,2.085555810546875
4,CIFAR10,feddyn,0,0.3,100,0.01,2,49,0.478,0.49686,0.4274,0.4374,2.169235546875,2.018511376953125,2.02482109375,2.0190241259765624
5,CIFAR10,feddyn,0,0.3,100,0.01,2,59,0.4486,0.46414,0.5032,0.51848,2.6125296875,2.480249619140625,1.85116884765625,1.8378062646484374
6,CIFAR10,feddyn,0,0.3,100,0.01,2,69,0.4305,0.44986,0.5666,0.58446,2.611251171875,2.477753935546875,1.618251220703125,1.5927172216796874
7,CIFAR10,feddyn,0,0.3,100,0.01,2,79,0.6459,0.67656,0.597,0.61854,1.206668212890625,1.08395466796875,1.479863720703125,1.4456419873046875
8,CIFAR10,feddyn,0,0.3,100,0.01,2,89,0.5261,0.55098,0.6204,0.64776,2.14066611328125,1.9604333251953125,1.366776025390625,1.3242476904296876
9,CIFAR10,feddyn,0,0.3,100,0.01,2,99,0.6657,0.70516,0.6417,0.67732,1.110575830078125,0.9532448779296875,1.25308134765625,1.2000666357421874
10,CIFAR10,feddyn,0,0.3,100,0.01,2,109,0.5799,0.60488,0.6627,0.69888,1.870997216796875,1.7037088427734375,1.134683447265625,1.0698773974609375
11,CIFAR10,feddyn,0,0.3,100,0.01,2,119,0.6487,0.68066,0.6859,0.7267,1.291866015625,1.1517154052734375,0.986740283203125,0.9028179125976562
12,CIFAR10,feddyn,0,0.3,100,0.01,2,129,0.6544,0.68288,0.7007,0.74612,1.244709326171875,1.0909337377929686,0.905083642578125,0.8068945434570313
13,CIFAR10,feddyn,0,0.3,100,0.01,2,139,0.393,0.41212,0.7141,0.75896,3.2995705078125,3.13472296875,0.86011943359375,0.7516904907226563
14,CIFAR10,feddyn,0,0.3,100,0.01,2,149,0.4677,0.4783,0.7154,0.76428,2.71553447265625,2.557891953125,0.850088330078125,0.7388676391601563
15,CIFAR10,feddyn,0,0.3,100,0.01,2,159,0.6472,0.68694,0.7273,0.77654,1.244945068359375,1.08467880859375,0.8028416259765625,0.6752890698242188
16,CIFAR10,feddyn,0,0.3,100,0.01,2,169,0.5458,0.56882,0.7334,0.78494,2.23683310546875,2.064406494140625,0.779494970703125,0.6425766552734375
17,CIFAR10,feddyn,0,0.3,100,0.01,2,179,0.553,0.57358,0.7381,0.79098,2.1344013671875,1.940338447265625,0.7623851318359375,0.6158662963867187
18,CIFAR10,feddyn,0,0.3,100,0.01,2,189,0.651,0.68976,0.7435,0.79684,1.249620263671875,1.0594683740234374,0.7499948974609375,0.6017669653320312
19,CIFAR10,feddyn,0,0.3,100,0.01,2,199,0.6218,0.65118,0.7496,0.8033,1.508541064453125,1.3319073486328126,0.734679736328125,0.5809875366210937
20,CIFAR10,feddyn,0,0.3,100,0.01,2,209,0.5648,0.59076,0.7545,0.8075,1.87045791015625,1.69401568359375,0.722208447265625,0.5685257080078125
21,CIFAR10,feddyn,0,0.3,100,0.01,2,219,0.4563,0.47684,0.758,0.81112,2.7780521484375,2.5535733203125,0.7114124267578125,0.5558911938476563
22,CIFAR10,feddyn,0,0.3,100,0.01,2,229,0.5305,0.55398,0.7613,0.81518,2.33300927734375,2.121772783203125,0.7046781982421875,0.54479572265625
23,CIFAR10,feddyn,0,0.3,100,0.01,2,239,0.7002,0.74288,0.7668,0.82066,1.01416689453125,0.8213520678710937,0.69348310546875,0.5290687670898437
24,CIFAR10,feddyn,0,0.3,100,0.01,2,249,0.6704,0.71616,0.7694,0.82336,1.14296318359375,0.9395698266601562,0.683075830078125,0.5154314343261719
25,CIFAR10,feddyn,0,0.3,100,0.01,2,259,0.5336,0.55594,0.7697,0.82628,2.07168759765625,1.907340556640625,0.6785958984375,0.5105863891601562
26,CIFAR10,feddyn,0,0.3,100,0.01,2,269,0.6525,0.6918,0.7719,0.8299,1.262111376953125,1.063695244140625,0.6724919189453125,0.5055523376464843
27,CIFAR10,feddyn,0,0.3,100,0.01,2,279,0.6373,0.66626,0.7735,0.8308,1.460788134765625,1.28872103515625,0.670621630859375,0.4999889013671875
28,CIFAR10,feddyn,0,0.3,100,0.01,2,289,0.5195,0.55052,0.7762,0.83224,2.2261130859375,1.9864102392578125,0.667766943359375,0.4961046728515625
29,CIFAR10,feddyn,0,0.3,100,0.01,2,299,0.5811,0.61214,0.7783,0.83356,1.867037646484375,1.6779813330078126,0.663159814453125,0.49199294555664064
30,CIFAR10,feddyn,0,0.3,100,0.01,2,309,0.5452,0.57024,0.778,0.83384,2.265355859375,2.062492138671875,0.659690087890625,0.4910367016601562
31,CIFAR10,feddyn,0,0.3,100,0.01,2,319,0.6787,0.7164,0.7748,0.83464,1.101139697265625,0.9192421484375,0.6568853271484375,0.4905621484375
32,CIFAR10,feddyn,0,0.3,100,0.01,2,329,0.5783,0.60178,0.7767,0.83616,1.843163427734375,1.6825096923828124,0.65420185546875,0.488951435546875
33,CIFAR10,feddyn,0,0.3,100,0.01,2,339,0.6917,0.73798,0.7789,0.83808,0.98342490234375,0.8004568090820312,0.65125498046875,0.4870877490234375
34,CIFAR10,feddyn,0,0.3,100,0.01,2,349,0.5317,0.55576,0.7796,0.83736,1.8890466796875,1.72946984375,0.6511549560546875,0.48750080078125
35,CIFAR10,feddyn,0,0.3,100,0.01,2,359,0.5469,0.58014,0.7809,0.83764,1.8204310546875,1.6375656103515626,0.648294189453125,0.48569048095703127
36,CIFAR10,feddyn,0,0.3,100,0.01,2,369,0.5685,0.59464,0.7881,0.83966,1.89714873046875,1.7085858642578124,0.644121875,0.4812218603515625
37,CIFAR10,feddyn,0,0.3,100,0.01,2,379,0.5397,0.56082,0.7871,0.84176,2.107343359375,1.9337253466796875,0.6402907958984375,0.476640869140625
38,CIFAR10,feddyn,0,0.3,100,0.01,2,389,0.5845,0.6174,0.7889,0.84258,1.584859423828125,1.39234431640625,0.6367421142578125,0.4727127392578125
39,CIFAR10,feddyn,0,0.3,100,0.01,2,399,0.7447,0.78556,0.7879,0.84232,0.84709794921875,0.65983400390625,0.6360071533203125,0.47109533203125
40,CIFAR10,feddyn,0,0.3,100,0.01,2,409,0.6659,0.70894,0.7868,0.84308,1.17801025390625,0.9760096435546874,0.6332113525390625,0.4669168115234375
