,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,3,9,0.3742,0.37898,0.1499,0.1527,2.19686376953125,2.169610732421875,2.2818220703125,2.2820394921875
1,CIFAR10,feddyn,0,0.3,100,0.01,3,19,0.4781,0.4889,0.247,0.24706,1.641650146484375,1.6043057421875,2.23152919921875,2.231968232421875
2,CIFAR10,feddyn,0,0.3,100,0.01,3,29,0.3724,0.3793,0.3502,0.35626,3.20609189453125,3.1676963671875,2.10646474609375,2.106308486328125
3,CIFAR10,feddyn,0,0.3,100,0.01,3,39,0.3669,0.37938,0.3895,0.39634,3.17088818359375,3.074640078125,2.027558837890625,2.02581798828125
4,CIFAR10,feddyn,0,0.3,100,0.01,3,49,0.5728,0.59794,0.4541,0.4638,1.520485009765625,1.4034099658203125,1.908592431640625,1.90339150390625
5,CIFAR10,feddyn,0,0.3,100,0.01,3,59,0.4537,0.47046,0.5181,0.53434,2.82625927734375,2.661008017578125,1.729118017578125,1.7164056298828125
6,CIFAR10,feddyn,0,0.3,100,0.01,3,69,0.4668,0.4829,0.5677,0.58674,2.6865234375,2.538842705078125,1.5601787109375,1.5373692236328125
7,CIFAR10,feddyn,0,0.3,100,0.01,3,79,0.5075,0.534,0.6013,0.62868,2.12988447265625,1.9634801123046874,1.41010400390625,1.3741124462890626
8,CIFAR10,feddyn,0,0.3,100,0.01,3,89,0.5852,0.61342,0.6326,0.67158,1.756887841796875,1.57298712890625,1.232786376953125,1.1792013330078126
9,CIFAR10,feddyn,0,0.3,100,0.01,3,99,0.6177,0.64464,0.6637,0.70788,1.44759111328125,1.2947220654296876,1.07521376953125,1.0011826416015626
10,CIFAR10,feddyn,0,0.3,100,0.01,3,109,0.6351,0.6693,0.6857,0.73412,1.26065205078125,1.1006082958984376,0.9637317138671875,0.8703124829101563
11,CIFAR10,feddyn,0,0.3,100,0.01,3,119,0.5178,0.5408,0.7057,0.75734,2.47779765625,2.2654117236328126,0.878655126953125,0.7658581225585938
12,CIFAR10,feddyn,0,0.3,100,0.01,3,129,0.5221,0.54158,0.7153,0.76964,2.2710765625,2.0730090966796877,0.844099267578125,0.7195352392578125
13,CIFAR10,feddyn,0,0.3,100,0.01,3,139,0.5837,0.6152,0.7235,0.77394,1.707508447265625,1.5400779931640625,0.8285593994140625,0.6983272680664062
14,CIFAR10,feddyn,0,0.3,100,0.01,3,149,0.5986,0.62808,0.7299,0.78272,1.581351806640625,1.41652419921875,0.7991002685546875,0.6579009155273438
15,CIFAR10,feddyn,0,0.3,100,0.01,3,159,0.6847,0.73046,0.7363,0.78864,1.070050732421875,0.8645407543945313,0.781284228515625,0.6307797534179688
16,CIFAR10,feddyn,0,0.3,100,0.01,3,169,0.5355,0.56616,0.739,0.7939,1.992425830078125,1.808713349609375,0.76854228515625,0.6126831665039062
17,CIFAR10,feddyn,0,0.3,100,0.01,3,179,0.7058,0.75472,0.7451,0.80294,0.9742951904296875,0.7686718115234376,0.7466080810546875,0.5832996435546876
18,CIFAR10,feddyn,0,0.3,100,0.01,3,189,0.6835,0.72558,0.7502,0.80626,1.069004833984375,0.8775135791015625,0.735820947265625,0.5680918969726563
19,CIFAR10,feddyn,0,0.3,100,0.01,3,199,0.7259,0.78062,0.7553,0.80996,0.8875169921875,0.6881721752929687,0.72683408203125,0.5603186206054688
20,CIFAR10,feddyn,0,0.3,100,0.01,3,209,0.5235,0.55638,0.7602,0.81764,2.0941744140625,1.874290673828125,0.713630126953125,0.5367007641601562
21,CIFAR10,feddyn,0,0.3,100,0.01,3,219,0.6417,0.67518,0.7635,0.82,1.39503642578125,1.18390029296875,0.7082369384765625,0.5278450695800782
22,CIFAR10,feddyn,0,0.3,100,0.01,3,229,0.6143,0.63776,0.7636,0.82188,1.583638330078125,1.4375083740234376,0.70297529296875,0.5234894714355469
23,CIFAR10,feddyn,0,0.3,100,0.01,3,239,0.6769,0.71974,0.7656,0.82244,1.048816015625,0.8794146240234375,0.700030029296875,0.5229716857910156
24,CIFAR10,feddyn,0,0.3,100,0.01,3,249,0.681,0.7127,0.7661,0.82244,1.160147021484375,0.99270052734375,0.69604814453125,0.5221046911621093
25,CIFAR10,feddyn,0,0.3,100,0.01,3,259,0.5624,0.58648,0.7683,0.8248,1.860599853515625,1.662810224609375,0.6893840576171875,0.5163893310546875
26,CIFAR10,feddyn,0,0.3,100,0.01,3,269,0.6961,0.73428,0.7739,0.82876,1.022625244140625,0.8594093383789062,0.682292724609375,0.507385634765625
27,CIFAR10,feddyn,0,0.3,100,0.01,3,279,0.5977,0.63092,0.7745,0.82948,1.61235859375,1.43050234375,0.68007548828125,0.5062747863769531
28,CIFAR10,feddyn,0,0.3,100,0.01,3,289,0.4945,0.51472,0.7757,0.83122,2.4438654296875,2.231805625,0.675671044921875,0.50318318359375
29,CIFAR10,feddyn,0,0.3,100,0.01,3,299,0.6545,0.68472,0.7752,0.83398,1.383562353515625,1.1897224462890625,0.6720668701171875,0.49864211303710937
30,CIFAR10,feddyn,0,0.3,100,0.01,3,309,0.5965,0.62616,0.7773,0.83444,1.630818798828125,1.450575830078125,0.6698658935546875,0.49661544921875
31,CIFAR10,feddyn,0,0.3,100,0.01,3,319,0.5077,0.53448,0.7794,0.83746,2.122257421875,1.9058865966796874,0.664085693359375,0.4875814990234375
32,CIFAR10,feddyn,0,0.3,100,0.01,3,329,0.6757,0.71694,0.7811,0.83866,1.0834947265625,0.9014356225585938,0.65933525390625,0.482786396484375
33,CIFAR10,feddyn,0,0.3,100,0.01,3,339,0.6993,0.73834,0.785,0.84302,1.058291015625,0.8684169873046875,0.650707080078125,0.47071551025390623
34,CIFAR10,feddyn,0,0.3,100,0.01,3,349,0.7138,0.7524,0.7857,0.8433,0.992195849609375,0.8090974658203125,0.6475693603515625,0.4686977795410156
35,CIFAR10,feddyn,0,0.3,100,0.01,3,359,0.6963,0.7415,0.7878,0.84512,1.0386830078125,0.8362389282226562,0.6433042236328125,0.4654650500488281
36,CIFAR10,feddyn,0,0.3,100,0.01,3,369,0.7381,0.77676,0.7896,0.84616,0.849318115234375,0.6915363598632812,0.6391663330078124,0.46275247802734376
37,CIFAR10,feddyn,0,0.3,100,0.01,3,379,0.4971,0.52822,0.7894,0.84546,2.4051302734375,2.178399404296875,0.63640166015625,0.46182712890625
38,CIFAR10,feddyn,0,0.3,100,0.01,3,389,0.5894,0.62366,0.7893,0.84698,1.624044775390625,1.4248953515625,0.63403076171875,0.4588594445800781
39,CIFAR10,feddyn,0,0.3,100,0.01,3,399,0.6194,0.64292,0.7891,0.84682,1.806138720703125,1.5713161083984375,0.6326126220703125,0.45902815551757814
40,CIFAR10,feddyn,0,0.3,100,0.01,3,409,0.7024,0.73872,0.7914,0.84798,0.9712570068359375,0.8145957153320312,0.62834423828125,0.4555126672363281
41,CIFAR10,feddyn,0,0.3,100,0.01,3,419,0.6491,0.683,0.7914,0.84924,1.49303828125,1.2760176611328125,0.6246119384765625,0.4519743371582031
42,CIFAR10,feddyn,0,0.3,100,0.01,3,429,0.6354,0.6651,0.793,0.84912,1.568134326171875,1.396325712890625,0.6232677001953125,0.452838623046875
43,CIFAR10,feddyn,0,0.3,100,0.01,3,439,0.68,0.71614,0.7958,0.84796,1.08894228515625,0.912037041015625,0.6203520751953125,0.45224453857421876
44,CIFAR10,feddyn,0,0.3,100,0.01,3,449,0.7201,0.75826,0.7958,0.84704,0.8912758544921875,0.7311240673828125,0.6196424072265625,0.4538840356445312
45,CIFAR10,feddyn,0,0.3,100,0.01,3,459,0.6273,0.6572,0.7958,0.8477,1.4457689453125,1.2655302880859376,0.6178857666015625,0.45121208984375
46,CIFAR10,feddyn,0,0.3,100,0.01,3,469,0.6754,0.71208,0.7971,0.84844,1.124919287109375,0.942317021484375,0.6151729248046875,0.45099472900390625
47,CIFAR10,feddyn,0,0.3,100,0.01,3,479,0.6783,0.71502,0.8015,0.84782,1.10820390625,0.9268355322265625,0.61286796875,0.45140441040039064
48,CIFAR10,feddyn,0,0.3,100,0.01,3,489,0.6219,0.6442,0.801,0.8488,1.54905048828125,1.383832392578125,0.6106376708984375,0.44957139770507815
49,CIFAR10,feddyn,0,0.3,100,0.01,3,499,0.6567,0.692,0.8011,0.84918,1.20903671875,1.0286636108398437,0.6089406494140625,0.4454358325195312
50,CIFAR10,feddyn,0,0.3,100,0.01,3,509,0.5823,0.6113,0.8006,0.84984,1.872886865234375,1.6740291357421875,0.6095636474609375,0.4450403955078125
51,CIFAR10,feddyn,0,0.3,100,0.01,3,519,0.6191,0.6532,0.8008,0.85006,1.50759912109375,1.3079054736328124,0.611400244140625,0.446809609375
52,CIFAR10,feddyn,0,0.3,100,0.01,3,529,0.6872,0.72906,0.7983,0.8508,1.084819921875,0.893683486328125,0.61087568359375,0.4459364306640625
53,CIFAR10,feddyn,0,0.3,100,0.01,3,539,0.6561,0.6891,0.799,0.8527,1.419638720703125,1.2123214990234374,0.61045439453125,0.4452873474121094
54,CIFAR10,feddyn,0,0.3,100,0.01,3,549,0.5799,0.60866,0.7994,0.8528,1.87098173828125,1.6752574072265625,0.609580908203125,0.44290519287109376
55,CIFAR10,feddyn,0,0.3,100,0.01,3,559,0.7014,0.7401,0.7989,0.85434,1.138670849609375,0.9527023901367188,0.606770361328125,0.4403964599609375
56,CIFAR10,feddyn,0,0.3,100,0.01,3,569,0.7054,0.75092,0.7984,0.85418,0.91467919921875,0.7563525073242188,0.6061873779296875,0.440654169921875
57,CIFAR10,feddyn,0,0.3,100,0.01,3,579,0.6716,0.70732,0.7997,0.85408,1.22475302734375,1.0134250561523437,0.60570234375,0.441227138671875
58,CIFAR10,feddyn,0,0.3,100,0.01,3,589,0.6956,0.73726,0.7989,0.85538,1.065683447265625,0.8701616357421875,0.60316904296875,0.43530082275390625
59,CIFAR10,feddyn,0,0.3,100,0.01,3,599,0.7042,0.73778,0.8016,0.85652,1.0164446044921875,0.843129970703125,0.602116845703125,0.43304355346679685
