,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,1,9,0.4054,0.4039,0.1907,0.18946,1.83420068359375,1.816695361328125,2.27637451171875,2.27613841796875
1,CIFAR10,feddyn,0,0.3,100,0.01,1,19,0.4709,0.46672,0.3221,0.32128,1.735664013671875,1.7053804638671874,2.2042205078125,2.204170185546875
2,CIFAR10,feddyn,0,0.3,100,0.01,1,29,0.5273,0.54202,0.374,0.3764,1.550257666015625,1.4784696240234374,2.08976552734375,2.089128828125
3,CIFAR10,feddyn,0,0.3,100,0.01,1,39,0.5712,0.59322,0.4526,0.46396,1.48314296875,1.3722787451171874,1.920181201171875,1.9163128759765624
4,CIFAR10,feddyn,0,0.3,100,0.01,1,49,0.5822,0.6031,0.5107,0.52286,1.428559912109375,1.3252220947265625,1.742437939453125,1.732075009765625
5,CIFAR10,feddyn,0,0.3,100,0.01,1,59,0.5094,0.5249,0.564,0.58166,2.09770537109375,1.991868828125,1.496833154296875,1.4739493310546874
6,CIFAR10,feddyn,0,0.3,100,0.01,1,69,0.5238,0.53572,0.6058,0.6251,2.04130263671875,1.902793623046875,1.326953271484375,1.2921798583984374
7,CIFAR10,feddyn,0,0.3,100,0.01,1,79,0.6398,0.67282,0.631,0.65468,1.191879833984375,1.046688330078125,1.20283984375,1.15608392578125
8,CIFAR10,feddyn,0,0.3,100,0.01,1,89,0.4864,0.5054,0.6498,0.67612,2.76670615234375,2.626084541015625,1.12482431640625,1.0694536669921875
9,CIFAR10,feddyn,0,0.3,100,0.01,1,99,0.4438,0.45388,0.6662,0.69862,3.0843802734375,2.941689560546875,1.043173046875,0.9768557470703125
10,CIFAR10,feddyn,0,0.3,100,0.01,1,109,0.5773,0.60092,0.6829,0.71816,1.88250458984375,1.71539447265625,0.9692346923828125,0.8905471655273437
11,CIFAR10,feddyn,0,0.3,100,0.01,1,119,0.6975,0.73422,0.6965,0.73558,1.018123291015625,0.852148974609375,0.9186764892578125,0.8309304272460938
12,CIFAR10,feddyn,0,0.3,100,0.01,1,129,0.6192,0.65586,0.7138,0.75638,1.375523291015625,1.206083330078125,0.846206494140625,0.7429843969726563
13,CIFAR10,feddyn,0,0.3,100,0.01,1,139,0.6102,0.64276,0.7269,0.7716,1.41845673828125,1.2535249267578126,0.8073393798828125,0.6959783203125
