,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,2,9,0.398,0.39404,0.1409,0.14326,1.973890478515625,1.9691614453125,2.28187958984375,2.281837978515625
1,CIFAR10,feddyn,0,0.3,100,0.01,2,19,0.4491,0.45846,0.2025,0.20596,2.0837728515625,2.0382566796875,2.24885693359375,2.248901337890625
2,CIFAR10,feddyn,0,0.3,100,0.01,2,29,0.2664,0.26826,0.2834,0.29338,3.344040234375,3.3203995703125,2.18911552734375,2.18878416015625
3,CIFAR10,feddyn,0,0.3,100,0.01,2,39,0.4565,0.47162,0.3732,0.38444,2.11844736328125,2.06171193359375,2.08647373046875,2.0846405859375
4,CIFAR10,feddyn,0,0.3,100,0.01,2,49,0.4467,0.46232,0.4243,0.43224,2.26491396484375,2.144520888671875,2.015396484375,2.011537587890625
5,CIFAR10,feddyn,0,0.3,100,0.01,2,59,0.4709,0.48372,0.5016,0.51466,2.57485966796875,2.46153560546875,1.822298486328125,1.8128610595703125
6,CIFAR10,feddyn,0,0.3,100,0.01,2,69,0.4568,0.47024,0.5707,0.58726,2.41609462890625,2.323661044921875,1.569404931640625,1.5510404345703126
7,CIFAR10,feddyn,0,0.3,100,0.01,2,79,0.6705,0.69004,0.6102,0.62772,1.134344677734375,1.02978615234375,1.428924267578125,1.402811376953125
8,CIFAR10,feddyn,0,0.3,100,0.01,2,89,0.538,0.54952,0.6375,0.6529,1.850983203125,1.7391048095703125,1.320253076171875,1.28689541015625
9,CIFAR10,feddyn,0,0.3,100,0.01,2,99,0.6938,0.72222,0.6622,0.68082,1.042655322265625,0.8974826977539062,1.20285458984375,1.1597858203125
10,CIFAR10,feddyn,0,0.3,100,0.01,2,109,0.6041,0.6256,0.6791,0.70298,1.8416962890625,1.689150693359375,1.085307861328125,1.0308673046875
11,CIFAR10,feddyn,0,0.3,100,0.01,2,119,0.665,0.695,0.7022,0.73074,1.19393203125,1.0668816650390625,0.942004931640625,0.8700048510742188
12,CIFAR10,feddyn,0,0.3,100,0.01,2,129,0.6736,0.70824,0.7191,0.7483,1.1352583984375,0.9870220166015625,0.8630205322265625,0.7794733862304688
13,CIFAR10,feddyn,0,0.3,100,0.01,2,139,0.4846,0.5114,0.7246,0.76124,2.1356359375,1.99503583984375,0.8206541259765625,0.7271402612304687
