,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.01,3,9,0.2261,0.22454,0.1295,0.13174,2.1637623046875,2.1576605859375,2.2992505859375,2.299043701171875
1,CIFAR10,feddyn,0,0.3,100,0.01,3,19,0.3075,0.30372,0.1775,0.17802,1.866101171875,1.87214298828125,2.2869421875,2.28671298828125
2,CIFAR10,feddyn,0,0.3,100,0.01,3,29,0.2854,0.28444,0.2019,0.20556,2.1570404296875,2.16614298828125,2.25402998046875,2.25403890625
3,CIFAR10,feddyn,0,0.3,100,0.01,3,39,0.212,0.21534,0.2512,0.2546,2.7387611328125,2.72395607421875,2.20418857421875,2.2045509765625
4,CIFAR10,feddyn,0,0.3,100,0.01,3,49,0.4201,0.41838,0.3072,0.3084,1.666884375,1.66483404296875,2.15554833984375,2.1562581640625
5,CIFAR10,feddyn,0,0.3,100,0.01,3,59,0.3297,0.33186,0.3808,0.38086,2.4742951171875,2.438969501953125,2.0844431640625,2.08543291015625
6,CIFAR10,feddyn,0,0.3,100,0.01,3,69,0.4081,0.40594,0.4343,0.43666,2.087364453125,2.078168134765625,2.0070060546875,2.0078945166015627
7,CIFAR10,feddyn,0,0.3,100,0.01,3,79,0.4367,0.44646,0.4958,0.49594,1.853557373046875,1.8327025244140625,1.868644775390625,1.86880490234375
8,CIFAR10,feddyn,0,0.3,100,0.01,3,89,0.5019,0.5078,0.5279,0.5314,1.61045791015625,1.588508642578125,1.7800962890625,1.779120029296875
9,CIFAR10,feddyn,0,0.3,100,0.01,3,99,0.5394,0.54936,0.5529,0.55932,1.351761962890625,1.3144384033203125,1.667406103515625,1.663982216796875
10,CIFAR10,feddyn,0,0.3,100,0.01,3,109,0.6058,0.6196,0.5982,0.60796,1.184106591796875,1.1413158544921875,1.45111064453125,1.442117080078125
11,CIFAR10,feddyn,0,0.3,100,0.01,3,119,0.6169,0.62986,0.6343,0.64484,1.094546240234375,1.0480942724609374,1.24740908203125,1.2302877880859375
12,CIFAR10,feddyn,0,0.3,100,0.01,3,129,0.463,0.46726,0.654,0.6655,2.1090615234375,2.0677328564453124,1.11426923828125,1.0888473681640625
13,CIFAR10,feddyn,0,0.3,100,0.01,3,139,0.5394,0.5598,0.6621,0.67664,1.565294189453125,1.4964724609375,1.0748634765625,1.0437715380859376
14,CIFAR10,feddyn,0,0.3,100,0.01,3,149,0.5459,0.56266,0.6715,0.68896,1.491059033203125,1.4266742919921875,1.0062330078125,0.9685437451171875
15,CIFAR10,feddyn,0,0.3,100,0.01,3,159,0.6481,0.67018,0.681,0.69862,1.136517919921875,1.0616449438476563,0.969841650390625,0.9279112109375
16,CIFAR10,feddyn,0,0.3,100,0.01,3,169,0.5079,0.52448,0.6924,0.71004,1.9603072265625,1.8641452587890626,0.9307154296875,0.883019775390625
17,CIFAR10,feddyn,0,0.3,100,0.01,3,179,0.6676,0.6924,0.6979,0.71816,1.03471845703125,0.92887205078125,0.9026689208984375,0.8496889306640625
18,CIFAR10,feddyn,0,0.3,100,0.01,3,189,0.6527,0.678,0.7052,0.72962,1.10376826171875,0.9920498779296875,0.8617517333984375,0.7991763696289063
19,CIFAR10,feddyn,0,0.3,100,0.01,3,199,0.6709,0.70478,0.7117,0.73788,1.020550439453125,0.8987919165039062,0.835070166015625,0.7624848461914062
20,CIFAR10,feddyn,0,0.3,100,0.01,3,209,0.5622,0.57898,0.7195,0.74788,1.49073203125,1.3877037744140626,0.8143475341796875,0.731262080078125
21,CIFAR10,feddyn,0,0.3,100,0.01,3,219,0.6384,0.66,0.7234,0.75402,1.32536884765625,1.20238021484375,0.8010349609375,0.7103775537109375
22,CIFAR10,feddyn,0,0.3,100,0.01,3,229,0.4542,0.46796,0.7264,0.75734,2.4918361328125,2.384760966796875,0.7940664794921874,0.700595908203125
23,CIFAR10,feddyn,0,0.3,100,0.01,3,239,0.6117,0.64046,0.7312,0.76152,1.32442578125,1.17588912109375,0.786317431640625,0.6875765161132813
24,CIFAR10,feddyn,0,0.3,100,0.01,3,249,0.6699,0.69648,0.7335,0.76746,1.19373447265625,1.04947396484375,0.7749498779296875,0.6707985205078125
25,CIFAR10,feddyn,0,0.3,100,0.01,3,259,0.5628,0.5846,0.7343,0.77354,1.870892529296875,1.711081533203125,0.7691978271484375,0.6564866870117188
26,CIFAR10,feddyn,0,0.3,100,0.01,3,269,0.6365,0.66082,0.7391,0.77904,1.24247900390625,1.10787763671875,0.75901220703125,0.6410519897460938
27,CIFAR10,feddyn,0,0.3,100,0.01,3,279,0.6663,0.70572,0.7416,0.78184,1.135711328125,0.96152314453125,0.753742138671875,0.6317260034179687
28,CIFAR10,feddyn,0,0.3,100,0.01,3,289,0.5174,0.54314,0.7448,0.7846,1.809409423828125,1.661728984375,0.74929765625,0.6236294873046875
29,CIFAR10,feddyn,0,0.3,100,0.01,3,299,0.5738,0.60126,0.7476,0.78712,1.743406689453125,1.5917319580078124,0.7459573486328125,0.614274609375
30,CIFAR10,feddyn,0,0.3,100,0.01,3,309,0.6057,0.63076,0.7495,0.79072,1.490233203125,1.316461015625,0.744440771484375,0.6069533374023437
31,CIFAR10,feddyn,0,0.3,100,0.01,3,319,0.5399,0.56358,0.7523,0.79428,1.868788427734375,1.7029727099609375,0.7416798583984375,0.5964392797851562
32,CIFAR10,feddyn,0,0.3,100,0.01,3,329,0.5729,0.60128,0.7512,0.795,1.678223486328125,1.494512421875,0.739080712890625,0.5919764892578125
33,CIFAR10,feddyn,0,0.3,100,0.01,3,339,0.6728,0.70672,0.7526,0.7982,1.25352080078125,1.101999326171875,0.7390747314453125,0.5837444287109375
34,CIFAR10,feddyn,0,0.3,100,0.01,3,349,0.6921,0.73048,0.7552,0.8004,1.02639638671875,0.8564629272460937,0.73445703125,0.5760579956054688
35,CIFAR10,feddyn,0,0.3,100,0.01,3,359,0.6029,0.62076,0.7582,0.803,1.68078212890625,1.5203795703125,0.7317392578125,0.5684739794921875
36,CIFAR10,feddyn,0,0.3,100,0.01,3,369,0.6864,0.72598,0.7597,0.80572,1.031401953125,0.8532556372070312,0.72898447265625,0.5629787524414063
37,CIFAR10,feddyn,0,0.3,100,0.01,3,379,0.7055,0.74248,0.7587,0.80846,0.9977282470703125,0.8224696923828125,0.7315290283203125,0.5601567602539063
38,CIFAR10,feddyn,0,0.3,100,0.01,3,389,0.5323,0.55422,0.7605,0.81076,2.10118076171875,1.8950890283203126,0.728107080078125,0.5557103198242187
39,CIFAR10,feddyn,0,0.3,100,0.01,3,399,0.5715,0.59726,0.7618,0.81072,1.829060498046875,1.6651833642578124,0.7267255126953125,0.5528289526367187
40,CIFAR10,feddyn,0,0.3,100,0.01,3,409,0.6669,0.70034,0.7642,0.8121,1.09198095703125,0.935909013671875,0.721955517578125,0.5479210278320312
41,CIFAR10,feddyn,0,0.3,100,0.01,3,419,0.633,0.65658,0.7654,0.81378,1.4047310546875,1.2254304443359374,0.719462939453125,0.5443032666015625
42,CIFAR10,feddyn,0,0.3,100,0.01,3,429,0.5423,0.57282,0.7668,0.8151,1.87045224609375,1.698149716796875,0.7165185546875,0.5412819091796875
43,CIFAR10,feddyn,0,0.3,100,0.01,3,439,0.6365,0.66126,0.7684,0.8159,1.3484892578125,1.1668369287109375,0.712311328125,0.5360813916015625
44,CIFAR10,feddyn,0,0.3,100,0.01,3,449,0.6839,0.72204,0.7686,0.81668,0.9663193359375,0.8260218408203125,0.7089556396484376,0.5333707934570312
45,CIFAR10,feddyn,0,0.3,100,0.01,3,459,0.6524,0.6875,0.7674,0.81692,1.1810109375,1.015910537109375,0.7090134765625,0.5324584619140625
46,CIFAR10,feddyn,0,0.3,100,0.01,3,469,0.5317,0.55084,0.7694,0.81804,1.9402251953125,1.7853809423828124,0.706803466796875,0.5298148583984374
47,CIFAR10,feddyn,0,0.3,100,0.01,3,479,0.5385,0.56208,0.7717,0.81894,1.702936669921875,1.5569672998046875,0.7030243408203125,0.5269822143554688
48,CIFAR10,feddyn,0,0.3,100,0.01,3,489,0.6266,0.6563,0.7722,0.8191,1.424685546875,1.2434103125,0.702000341796875,0.5266328662109375
49,CIFAR10,feddyn,0,0.3,100,0.01,3,499,0.5849,0.6189,0.7736,0.81978,1.56864736328125,1.383439306640625,0.69794140625,0.5226124658203125
50,CIFAR10,feddyn,0,0.3,100,0.01,3,509,0.6197,0.64988,0.7763,0.82116,1.3406626953125,1.1767832958984374,0.696757763671875,0.5194966015625
51,CIFAR10,feddyn,0,0.3,100,0.01,3,519,0.6555,0.68858,0.777,0.82272,1.151244091796875,0.9875653076171875,0.692958935546875,0.5163744116210938
52,CIFAR10,feddyn,0,0.3,100,0.01,3,529,0.6963,0.7345,0.7784,0.8246,0.9795517333984375,0.8041603100585938,0.686585791015625,0.5120803491210938
53,CIFAR10,feddyn,0,0.3,100,0.01,3,539,0.5743,0.59544,0.7814,0.82634,1.82240458984375,1.6619923828125,0.6797521484375,0.5067472631835938
