,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.1,2,9,0.465,0.46042,0.3926,0.39074,1.48038359375,1.48222318359375,1.9441982421875,1.9459288818359375
1,CIFAR10,feddyn,0,0.3,100,0.1,2,19,0.542,0.55028,0.5224,0.5264,1.29532421875,1.26064849609375,1.41608154296875,1.409750361328125
2,CIFAR10,feddyn,0,0.3,100,0.1,2,29,0.612,0.63586,0.5987,0.61746,1.109179345703125,1.032375068359375,1.1411005859375,1.094809375
3,CIFAR10,feddyn,0,0.3,100,0.1,2,39,0.6394,0.67232,0.6437,0.67486,1.0882779296875,0.9420390747070313,1.029151708984375,0.9263664892578125
4,CIFAR10,feddyn,0,0.3,100,0.1,2,49,0.674,0.72718,0.6656,0.71184,1.0002790771484376,0.787374482421875,0.9672005859375,0.8130191528320313
5,CIFAR10,feddyn,0,0.3,100,0.1,2,59,0.6882,0.75214,0.6883,0.74586,1.0080653564453126,0.7346597583007812,0.9291374267578125,0.7205827783203125
6,CIFAR10,feddyn,0,0.3,100,0.1,2,69,0.6953,0.76738,0.7059,0.77738,0.96355048828125,0.6662448120117187,0.8931150634765626,0.6279930615234375
7,CIFAR10,feddyn,0,0.3,100,0.1,2,79,0.7178,0.79562,0.7213,0.80134,0.9050688232421875,0.5865101354980469,0.8521122314453125,0.5570165966796875
8,CIFAR10,feddyn,0,0.3,100,0.1,2,89,0.7246,0.80746,0.7344,0.8203,0.8700592529296876,0.5464241223144531,0.8244693359375,0.5032811364746094
9,CIFAR10,feddyn,0,0.3,100,0.1,2,99,0.7452,0.83394,0.7461,0.83796,0.795148486328125,0.466678876953125,0.78433955078125,0.4550129028320313
10,CIFAR10,feddyn,0,0.3,100,0.1,2,109,0.7489,0.84528,0.7532,0.85112,0.7606788330078125,0.44252088256835936,0.7477119873046875,0.41993490600585937
11,CIFAR10,feddyn,0,0.3,100,0.1,2,119,0.7511,0.84224,0.7612,0.86112,0.7625875732421875,0.4488157116699219,0.71871298828125,0.3968001989746094
12,CIFAR10,feddyn,0,0.3,100,0.1,2,129,0.7653,0.8551,0.7689,0.86812,0.703773974609375,0.4130646813964844,0.69224384765625,0.3815541076660156
13,CIFAR10,feddyn,0,0.3,100,0.1,2,139,0.7643,0.85632,0.7781,0.87268,0.7066483642578125,0.4174911218261719,0.6754436767578125,0.374779443359375
14,CIFAR10,feddyn,0,0.3,100,0.1,2,149,0.7777,0.86692,0.7822,0.87554,0.679757275390625,0.3880969970703125,0.6597560302734375,0.3661193212890625
15,CIFAR10,feddyn,0,0.3,100,0.1,2,159,0.776,0.86916,0.7777,0.8788,0.678854296875,0.3801771691894531,0.6526502685546876,0.35596844970703123
16,CIFAR10,feddyn,0,0.3,100,0.1,2,169,0.7592,0.84442,0.7798,0.88212,0.728270751953125,0.4432009167480469,0.649918603515625,0.3481644580078125
