,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,feddyn,0,0.3,100,0.1,1,9,0.3819,0.37964,0.335,0.32998,1.706192138671875,1.712242431640625,2.1304849609375,2.131994267578125
1,CIFAR10,feddyn,0,0.3,100,0.1,1,19,0.4884,0.48796,0.4514,0.4537,1.414084375,1.418711142578125,1.66938125,1.6743514501953125
2,CIFAR10,feddyn,0,0.3,100,0.1,1,29,0.5315,0.53734,0.5167,0.52334,1.3101919921875,1.290048994140625,1.385625390625,1.3850693701171874
3,CIFAR10,feddyn,0,0.3,100,0.1,1,39,0.5932,0.60312,0.573,0.58036,1.161465966796875,1.1207732080078125,1.218895556640625,1.1987259521484375
4,CIFAR10,feddyn,0,0.3,100,0.1,1,49,0.6073,0.62328,0.6155,0.63064,1.132528857421875,1.0661803662109375,1.09406201171875,1.044756875
5,CIFAR10,feddyn,0,0.3,100,0.1,1,59,0.6487,0.67362,0.6463,0.67464,1.06712890625,0.9501915112304687,1.01757451171875,0.9303570068359375
6,CIFAR10,feddyn,0,0.3,100,0.1,1,69,0.6713,0.70292,0.6758,0.70052,1.032226318359375,0.882189716796875,0.9774682861328124,0.8573956665039062
7,CIFAR10,feddyn,0,0.3,100,0.1,1,79,0.6797,0.7205,0.6885,0.72728,1.023321875,0.8379638598632813,0.943848388671875,0.7890831958007812
8,CIFAR10,feddyn,0,0.3,100,0.1,1,89,0.6916,0.72942,0.7045,0.74946,1.026940234375,0.8326964868164063,0.9123064697265625,0.7301569970703125
9,CIFAR10,feddyn,0,0.3,100,0.1,1,99,0.7131,0.7645,0.7192,0.76804,0.9329283935546875,0.7065326733398437,0.88171328125,0.6782571044921875
10,CIFAR10,feddyn,0,0.3,100,0.1,1,109,0.7199,0.77668,0.7318,0.786,0.90313818359375,0.66084578125,0.85359228515625,0.6265212353515625
11,CIFAR10,feddyn,0,0.3,100,0.1,1,119,0.7283,0.77748,0.7395,0.79848,0.93669091796875,0.6817429248046875,0.830558740234375,0.5887901611328125
12,CIFAR10,feddyn,0,0.3,100,0.1,1,129,0.7446,0.80334,0.7484,0.81166,0.8465074951171875,0.58063798828125,0.80687802734375,0.548540341796875
13,CIFAR10,feddyn,0,0.3,100,0.1,1,139,0.7367,0.79916,0.7592,0.82332,0.83876630859375,0.5788403466796875,0.779563818359375,0.5103111889648437
14,CIFAR10,feddyn,0,0.3,100,0.1,1,149,0.7527,0.82136,0.7643,0.8314,0.761669775390625,0.5077212280273438,0.751531884765625,0.48259675537109376
15,CIFAR10,feddyn,0,0.3,100,0.1,1,159,0.7581,0.82246,0.7701,0.83764,0.77760654296875,0.5117589953613281,0.7290396240234375,0.45943816528320314
16,CIFAR10,feddyn,0,0.3,100,0.1,1,169,0.7606,0.8324,0.7737,0.84682,0.7416935302734375,0.47422083862304687,0.705293603515625,0.43664338012695314
17,CIFAR10,feddyn,0,0.3,100,0.1,1,179,0.7551,0.82796,0.779,0.85342,0.76014013671875,0.4967805078125,0.68234384765625,0.4184496643066406
