,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedadagrad,0,0,100,0.01,1,9,0.4453,0.44872,0.2661,0.26706,1.603975,1.598869150390625,2.25604921875,2.25667748046875
1,CIFAR10,fedadagrad,0,0,100,0.01,1,19,0.526,0.52842,0.337,0.33994,1.45078515625,1.408886201171875,2.1949595703125,2.1951915625
2,CIFAR10,fedadagrad,0,0,100,0.01,1,29,0.5594,0.57268,0.4104,0.4164,1.346036376953125,1.2927107177734376,2.12275400390625,2.12246087890625
3,CIFAR10,fedadagrad,0,0,100,0.01,1,39,0.5825,0.60744,0.4938,0.4984,1.293815771484375,1.207739521484375,1.982133203125,1.9801499072265625
4,CIFAR10,fedadagrad,0,0,100,0.01,1,49,0.6025,0.62218,0.5561,0.57262,1.1927474609375,1.117762470703125,1.76050908203125,1.752780419921875
5,CIFAR10,fedadagrad,0,0,100,0.01,1,59,0.6289,0.6488,0.5962,0.618,1.123303125,1.041415703125,1.54215966796875,1.5265065283203125
6,CIFAR10,fedadagrad,0,0,100,0.01,1,69,0.6628,0.68664,0.6268,0.6516,1.024392236328125,0.934945595703125,1.38774375,1.363443251953125
7,CIFAR10,fedadagrad,0,0,100,0.01,1,79,0.6485,0.66726,0.6453,0.66972,1.118376171875,1.0455750634765626,1.293368505859375,1.26309380859375
8,CIFAR10,fedadagrad,0,0,100,0.01,1,89,0.6515,0.66766,0.6604,0.68606,1.123374267578125,1.0431894458007813,1.210505126953125,1.175910556640625
9,CIFAR10,fedadagrad,0,0,100,0.01,1,99,0.6718,0.7052,0.68,0.70394,0.99382294921875,0.8908630297851563,1.113783984375,1.0743877978515626
10,CIFAR10,fedadagrad,0,0,100,0.01,1,109,0.6786,0.70816,0.6905,0.72,1.0073253662109376,0.9011768579101562,1.03440078125,0.9893516577148438
11,CIFAR10,fedadagrad,0,0,100,0.01,1,119,0.6896,0.7135,0.7049,0.73738,0.966875048828125,0.868151494140625,0.9604279296875,0.9090786328125
12,CIFAR10,fedadagrad,0,0,100,0.01,1,129,0.6972,0.7239,0.7185,0.75098,0.921433251953125,0.8182002026367188,0.8940162353515625,0.833861640625
13,CIFAR10,fedadagrad,0,0,100,0.01,1,139,0.7068,0.73824,0.7272,0.76364,0.886034619140625,0.7770368188476563,0.8419927001953125,0.7732289184570312
14,CIFAR10,fedadagrad,0,0,100,0.01,1,149,0.7077,0.73428,0.7362,0.77078,0.8945416015625,0.7870957470703125,0.812014990234375,0.7394739672851562
15,CIFAR10,fedadagrad,0,0,100,0.01,1,159,0.7008,0.73024,0.7408,0.77508,0.9348308349609376,0.8267791577148438,0.8006020751953125,0.7274986572265625
16,CIFAR10,fedadagrad,0,0,100,0.01,1,169,0.6994,0.73606,0.7444,0.78144,0.9199058837890625,0.7922486865234375,0.775193359375,0.6971687670898438
17,CIFAR10,fedadagrad,0,0,100,0.01,1,179,0.7189,0.75456,0.749,0.78806,0.884104052734375,0.7453837817382812,0.7494113525390625,0.6641253515625
18,CIFAR10,fedadagrad,0,0,100,0.01,1,189,0.7349,0.76886,0.7551,0.79064,0.8163671875,0.7043593481445313,0.741842138671875,0.6565378100585938
