,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedadagrad,0,0,100,0.01,2,9,0.4542,0.45564,0.2503,0.25472,1.605175927734375,1.59314869140625,2.26798828125,2.267657177734375
1,CIFAR10,fedadagrad,0,0,100,0.01,2,19,0.5372,0.53498,0.3093,0.309,1.39142451171875,1.38170109375,2.21358916015625,2.213681025390625
2,CIFAR10,fedadagrad,0,0,100,0.01,2,29,0.5609,0.57364,0.408,0.41244,1.34609755859375,1.2882244677734376,2.1201822265625,2.1203197265625
3,CIFAR10,fedadagrad,0,0,100,0.01,2,39,0.5724,0.58018,0.469,0.47706,1.314890869140625,1.2649541650390626,2.017628466796875,2.016911513671875
4,CIFAR10,fedadagrad,0,0,100,0.01,2,49,0.5747,0.58828,0.5024,0.5155,1.32198271484375,1.2649634326171875,1.928612939453125,1.9260759619140626
5,CIFAR10,fedadagrad,0,0,100,0.01,2,59,0.5942,0.61528,0.5506,0.56478,1.252162890625,1.1777554931640626,1.7877654296875,1.781475009765625
6,CIFAR10,fedadagrad,0,0,100,0.01,2,69,0.6231,0.63906,0.596,0.61298,1.14621640625,1.0865596704101563,1.618339306640625,1.607227568359375
7,CIFAR10,fedadagrad,0,0,100,0.01,2,79,0.6503,0.66972,0.6284,0.6488,1.03698671875,0.9698127905273437,1.428070166015625,1.409398671875
8,CIFAR10,fedadagrad,0,0,100,0.01,2,89,0.6645,0.68512,0.6444,0.6681,1.06819072265625,0.9731582202148438,1.31368408203125,1.2898159423828126
9,CIFAR10,fedadagrad,0,0,100,0.01,2,99,0.6843,0.70438,0.6627,0.68574,0.9785840087890625,0.8963577270507812,1.236911669921875,1.2093634375
10,CIFAR10,fedadagrad,0,0,100,0.01,2,109,0.6709,0.70794,0.6718,0.69936,0.983655419921875,0.8805654321289063,1.161844384765625,1.1289358837890624
11,CIFAR10,fedadagrad,0,0,100,0.01,2,119,0.6693,0.6946,0.6859,0.71532,1.0199361328125,0.921180048828125,1.05193505859375,1.0101444921875
12,CIFAR10,fedadagrad,0,0,100,0.01,2,129,0.6997,0.72656,0.6992,0.72874,0.9221819091796875,0.831621484375,0.98121376953125,0.9314775048828124
13,CIFAR10,fedadagrad,0,0,100,0.01,2,139,0.6944,0.71696,0.7097,0.73822,0.97906142578125,0.8788674780273438,0.9307672607421875,0.8755877514648438
14,CIFAR10,fedadagrad,0,0,100,0.01,2,149,0.7123,0.73802,0.7204,0.74874,0.887550830078125,0.7863662646484375,0.8986626953125,0.8410515844726563
15,CIFAR10,fedadagrad,0,0,100,0.01,2,159,0.7141,0.74072,0.7301,0.75746,0.8848790283203125,0.7813600073242187,0.8564617431640625,0.7936825927734374
16,CIFAR10,fedadagrad,0,0,100,0.01,2,169,0.7129,0.734,0.741,0.7685,0.8916035888671875,0.792519619140625,0.7853967041015625,0.70991982421875
17,CIFAR10,fedadagrad,0,0,100,0.01,2,179,0.7254,0.75272,0.7455,0.77378,0.8673112060546875,0.7604417846679687,0.772724658203125,0.6963355786132812
18,CIFAR10,fedadagrad,0,0,100,0.01,2,189,0.7385,0.76058,0.7566,0.78456,0.8131818359375,0.7146233666992188,0.739740576171875,0.6585312475585937
19,CIFAR10,fedadagrad,0,0,100,0.01,2,199,0.7417,0.77256,0.7588,0.79212,0.801155908203125,0.6860275219726563,0.715291748046875,0.6281517944335937
20,CIFAR10,fedadagrad,0,0,100,0.01,2,209,0.7361,0.76958,0.7639,0.79634,0.82721708984375,0.6994027954101563,0.703425244140625,0.6136106811523437
21,CIFAR10,fedadagrad,0,0,100,0.01,2,219,0.7384,0.77216,0.7671,0.8012,0.8193777587890625,0.6795283764648438,0.6927633544921875,0.6008470190429688
22,CIFAR10,fedadagrad,0,0,100,0.01,2,229,0.7465,0.78376,0.7707,0.80616,0.782787060546875,0.6512092553710938,0.680213818359375,0.583604375
23,CIFAR10,fedadagrad,0,0,100,0.01,2,239,0.7372,0.77234,0.7716,0.80744,0.8256667236328125,0.6979392919921875,0.676494873046875,0.578314033203125
24,CIFAR10,fedadagrad,0,0,100,0.01,2,249,0.7441,0.77218,0.7765,0.81086,0.810353271484375,0.6882786767578125,0.662338623046875,0.5560294921875
25,CIFAR10,fedadagrad,0,0,100,0.01,2,259,0.7462,0.77502,0.7797,0.81486,0.7811875732421875,0.6678601611328125,0.6548515869140625,0.5440338879394532
26,CIFAR10,fedadagrad,0,0,100,0.01,2,269,0.755,0.78996,0.7809,0.81822,0.7874432373046875,0.64311451171875,0.6475128173828125,0.5350042016601563
27,CIFAR10,fedadagrad,0,0,100,0.01,2,279,0.7463,0.78232,0.7814,0.81998,0.7817572021484375,0.646383154296875,0.6445500244140625,0.53103630859375
28,CIFAR10,fedadagrad,0,0,100,0.01,2,289,0.7439,0.7748,0.7856,0.82342,0.8601216796875,0.7227537451171875,0.637169970703125,0.5207539660644531
29,CIFAR10,fedadagrad,0,0,100,0.01,2,299,0.746,0.78774,0.7872,0.82558,0.770620703125,0.6327094555664062,0.632386328125,0.5132624328613281
30,CIFAR10,fedadagrad,0,0,100,0.01,2,309,0.7521,0.79114,0.789,0.82864,0.7945419677734376,0.6464071875,0.627157177734375,0.5046155456542969
31,CIFAR10,fedadagrad,0,0,100,0.01,2,319,0.7494,0.7928,0.7911,0.83094,0.76572978515625,0.6175578881835937,0.62177119140625,0.4949345739746094
32,CIFAR10,fedadagrad,0,0,100,0.01,2,329,0.7596,0.79306,0.7907,0.83194,0.7600397705078125,0.622412802734375,0.619920068359375,0.49235666381835935
33,CIFAR10,fedadagrad,0,0,100,0.01,2,339,0.7504,0.79072,0.792,0.83414,0.772174755859375,0.6335310815429688,0.616753076171875,0.48773443603515626
34,CIFAR10,fedadagrad,0,0,100,0.01,2,349,0.7485,0.78588,0.7929,0.835,0.808668603515625,0.6516755908203125,0.61381220703125,0.4848822998046875
35,CIFAR10,fedadagrad,0,0,100,0.01,2,359,0.7526,0.79606,0.7952,0.83648,0.7571004638671875,0.6157773559570312,0.61045205078125,0.48040009765625
36,CIFAR10,fedadagrad,0,0,100,0.01,2,369,0.7537,0.79826,0.7944,0.83942,0.7597208251953125,0.607267666015625,0.6061545654296875,0.4720710900878906
37,CIFAR10,fedadagrad,0,0,100,0.01,2,379,0.7642,0.80436,0.7962,0.8411,0.7523834716796876,0.5925899914550782,0.6035491455078125,0.46778080322265625
38,CIFAR10,fedadagrad,0,0,100,0.01,2,389,0.7555,0.7999,0.7978,0.84262,0.7587735595703125,0.59766513671875,0.6004375,0.4632020495605469
39,CIFAR10,fedadagrad,0,0,100,0.01,2,399,0.7628,0.80454,0.7989,0.84504,0.7577253662109374,0.588731455078125,0.59750615234375,0.4577206127929688
40,CIFAR10,fedadagrad,0,0,100,0.01,2,409,0.7776,0.82164,0.7986,0.84742,0.6857521728515625,0.5322933459472656,0.5942597900390625,0.45098248291015625
41,CIFAR10,fedadagrad,0,0,100,0.01,2,419,0.766,0.8134,0.7977,0.84864,0.752128271484375,0.5663932971191407,0.5932020751953125,0.44805087890625
42,CIFAR10,fedadagrad,0,0,100,0.01,2,429,0.7582,0.80172,0.7986,0.84948,0.762332568359375,0.5957935278320312,0.592825,0.44549542724609376
43,CIFAR10,fedadagrad,0,0,100,0.01,2,439,0.7576,0.80342,0.7975,0.85062,0.7674737548828126,0.5991200341796875,0.591878173828125,0.4413958264160156
44,CIFAR10,fedadagrad,0,0,100,0.01,2,449,0.7655,0.81132,0.7986,0.8523,0.760111328125,0.5750945336914063,0.5911815185546875,0.43516556762695313
45,CIFAR10,fedadagrad,0,0,100,0.01,2,459,0.7593,0.80736,0.7975,0.8526,0.7599537841796875,0.5790489575195312,0.5913365234375,0.43370938598632813
46,CIFAR10,fedadagrad,0,0,100,0.01,2,469,0.7684,0.81222,0.8019,0.85402,0.7358957763671875,0.568148623046875,0.5896796142578125,0.4285885803222656
47,CIFAR10,fedadagrad,0,0,100,0.01,2,479,0.7635,0.80268,0.8022,0.85594,0.753998046875,0.5942990808105468,0.58889111328125,0.4258865087890625
48,CIFAR10,fedadagrad,0,0,100,0.01,2,489,0.7693,0.80938,0.8028,0.85614,0.7553029541015625,0.5882942456054687,0.58764619140625,0.42396961547851564
49,CIFAR10,fedadagrad,0,0,100,0.01,2,499,0.7652,0.81086,0.8053,0.8577,0.74850576171875,0.5736937194824219,0.58421103515625,0.4194823791503906
50,CIFAR10,fedadagrad,0,0,100,0.01,2,509,0.7683,0.81592,0.8056,0.85826,0.73226787109375,0.5559177612304688,0.5830600830078125,0.4149580737304687
51,CIFAR10,fedadagrad,0,0,100,0.01,2,519,0.7768,0.82226,0.8074,0.85906,0.707884912109375,0.5295322229003906,0.581144140625,0.41239176635742186
52,CIFAR10,fedadagrad,0,0,100,0.01,2,529,0.7685,0.81602,0.8061,0.86038,0.7193307861328125,0.5452876916503906,0.57773896484375,0.41041406127929686
53,CIFAR10,fedadagrad,0,0,100,0.01,2,539,0.7791,0.826,0.8084,0.86226,0.699294091796875,0.5234398974609376,0.5760655029296875,0.4045368701171875
54,CIFAR10,fedadagrad,0,0,100,0.01,2,549,0.7764,0.82724,0.8087,0.86478,0.7036923583984375,0.5160535522460937,0.5738233642578126,0.3998513781738281
55,CIFAR10,fedadagrad,0,0,100,0.01,2,559,0.779,0.82838,0.8089,0.86616,0.6993392333984375,0.5172831701660157,0.57206806640625,0.39675193969726563
56,CIFAR10,fedadagrad,0,0,100,0.01,2,569,0.7799,0.83246,0.809,0.86694,0.6804149658203125,0.5003556970214844,0.570306982421875,0.3929442199707031
57,CIFAR10,fedadagrad,0,0,100,0.01,2,579,0.7802,0.82488,0.8099,0.86834,0.69322763671875,0.5183718737792968,0.568691845703125,0.3895328369140625
58,CIFAR10,fedadagrad,0,0,100,0.01,2,589,0.7809,0.82784,0.8107,0.86914,0.696883056640625,0.5130820263671875,0.5667642578125,0.38554327026367186
59,CIFAR10,fedadagrad,0,0,100,0.01,2,599,0.7807,0.8366,0.8102,0.86996,0.674221826171875,0.479796689453125,0.5652138916015625,0.3818702673339844
60,CIFAR10,fedadagrad,0,0,100,0.01,2,609,0.7796,0.8327,0.81,0.87178,0.6956912841796875,0.49336024658203126,0.56514052734375,0.3774289453125
61,CIFAR10,fedadagrad,0,0,100,0.01,2,619,0.7869,0.83906,0.8096,0.87358,0.677289111328125,0.48253310302734376,0.56655,0.37251065307617187
62,CIFAR10,fedadagrad,0,0,100,0.01,2,629,0.7875,0.8325,0.8107,0.87384,0.672275634765625,0.4959913610839844,0.5646213134765625,0.36965636962890625
63,CIFAR10,fedadagrad,0,0,100,0.01,2,639,0.7822,0.8344,0.8112,0.87454,0.6878111328125,0.4997342834472656,0.56236826171875,0.3672595104980469
64,CIFAR10,fedadagrad,0,0,100,0.01,2,649,0.7789,0.83162,0.8119,0.87522,0.6947197998046875,0.5071951013183593,0.5615844970703125,0.3661367651367187
65,CIFAR10,fedadagrad,0,0,100,0.01,2,659,0.7741,0.82502,0.814,0.87524,0.757624365234375,0.5427637634277344,0.5630719482421875,0.36572708251953123
66,CIFAR10,fedadagrad,0,0,100,0.01,2,669,0.7824,0.83154,0.8146,0.8755,0.6838960205078125,0.49817778076171876,0.5634775634765625,0.36519236572265623
67,CIFAR10,fedadagrad,0,0,100,0.01,2,679,0.7792,0.82644,0.8145,0.87684,0.7085545654296875,0.5171243505859375,0.56289990234375,0.36424097290039065
68,CIFAR10,fedadagrad,0,0,100,0.01,2,689,0.7833,0.8243,0.8156,0.87634,0.6998231201171875,0.5207312963867188,0.561046630859375,0.3628656872558594
69,CIFAR10,fedadagrad,0,0,100,0.01,2,699,0.7821,0.83176,0.817,0.87644,0.679240185546875,0.49949062744140627,0.5593435302734375,0.36279970458984373
