,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedadagrad,0,0,100,0.01,2,9,0.4121,0.41432,0.2318,0.23146,1.6414560546875,1.64639724609375,2.267472265625,2.267650029296875
1,CIFAR10,fedadagrad,0,0,100,0.01,2,19,0.5034,0.5047,0.2699,0.26434,1.4349953125,1.4132746337890625,2.232347265625,2.23285484375
2,CIFAR10,fedadagrad,0,0,100,0.01,2,29,0.551,0.56688,0.3671,0.3717,1.331111865234375,1.2753387890625,2.14722890625,2.146958251953125
3,CIFAR10,fedadagrad,0,0,100,0.01,2,39,0.5167,0.53176,0.4429,0.4481,1.468342529296875,1.42986029296875,2.04750751953125,2.04608931640625
4,CIFAR10,fedadagrad,0,0,100,0.01,2,49,0.5732,0.58484,0.4866,0.49336,1.272421240234375,1.229243232421875,1.951768212890625,1.9485606640625
5,CIFAR10,fedadagrad,0,0,100,0.01,2,59,0.5997,0.61788,0.5342,0.54972,1.191665869140625,1.1361684130859375,1.79024248046875,1.782770693359375
6,CIFAR10,fedadagrad,0,0,100,0.01,2,69,0.6204,0.63638,0.5795,0.598,1.18439873046875,1.0972160961914061,1.61363486328125,1.60076158203125
7,CIFAR10,fedadagrad,0,0,100,0.01,2,79,0.6492,0.6698,0.6166,0.63568,1.0336767578125,0.9735966284179688,1.41993154296875,1.4001420458984375
8,CIFAR10,fedadagrad,0,0,100,0.01,2,89,0.6504,0.67528,0.6394,0.65728,1.0417853515625,0.9632013549804688,1.309263330078125,1.284302548828125
9,CIFAR10,fedadagrad,0,0,100,0.01,2,99,0.6708,0.69008,0.6553,0.67804,1.0034585693359375,0.9300028442382813,1.22977998046875,1.2012039306640625
10,CIFAR10,fedadagrad,0,0,100,0.01,2,109,0.6651,0.68766,0.6684,0.69302,1.035412255859375,0.944523056640625,1.1522708984375,1.1197833935546875
11,CIFAR10,fedadagrad,0,0,100,0.01,2,119,0.6757,0.70178,0.6844,0.70906,0.9629901611328125,0.8816826586914063,1.046311376953125,1.0060582983398438
12,CIFAR10,fedadagrad,0,0,100,0.01,2,129,0.7004,0.72514,0.6941,0.72484,0.9000917236328125,0.8141300219726563,0.9784406494140625,0.9310295434570313
13,CIFAR10,fedadagrad,0,0,100,0.01,2,139,0.6946,0.71488,0.7027,0.73482,0.9390705322265624,0.8524460620117188,0.93056064453125,0.8774409838867188
14,CIFAR10,fedadagrad,0,0,100,0.01,2,149,0.696,0.72968,0.7103,0.74282,0.9095627685546875,0.80799138671875,0.89677421875,0.8391439477539062
15,CIFAR10,fedadagrad,0,0,100,0.01,2,159,0.6899,0.71714,0.7165,0.75196,0.9502181640625,0.8547073388671875,0.856138037109375,0.79281212890625
16,CIFAR10,fedadagrad,0,0,100,0.01,2,169,0.7193,0.7423,0.7301,0.76328,0.8527525146484375,0.7572322583007812,0.794528759765625,0.7186202563476562
17,CIFAR10,fedadagrad,0,0,100,0.01,2,179,0.7054,0.74022,0.7361,0.76742,0.90484501953125,0.786842119140625,0.783439794921875,0.705920517578125
18,CIFAR10,fedadagrad,0,0,100,0.01,2,189,0.7214,0.7491,0.7437,0.77612,0.8377781982421875,0.7373350756835938,0.7567330078125,0.6742878125
19,CIFAR10,fedadagrad,0,0,100,0.01,2,199,0.7326,0.76558,0.7512,0.78214,0.810189990234375,0.7009551147460937,0.7366727783203125,0.6491627880859375
20,CIFAR10,fedadagrad,0,0,100,0.01,2,209,0.7332,0.77264,0.7573,0.78828,0.8251465576171875,0.6956510815429687,0.7241910888671875,0.6334753881835937
21,CIFAR10,fedadagrad,0,0,100,0.01,2,219,0.7385,0.7726,0.7624,0.79244,0.810226123046875,0.67654587890625,0.7143350341796875,0.62026751953125
22,CIFAR10,fedadagrad,0,0,100,0.01,2,229,0.7276,0.76452,0.7657,0.79782,0.8314286865234375,0.6965635961914063,0.702744482421875,0.6035696875
23,CIFAR10,fedadagrad,0,0,100,0.01,2,239,0.7317,0.76874,0.7653,0.79966,0.8387078369140625,0.7017167993164063,0.7001162841796875,0.5993430224609375
24,CIFAR10,fedadagrad,0,0,100,0.01,2,249,0.7298,0.76804,0.7698,0.80376,0.8279660400390625,0.6945432348632813,0.6866376220703125,0.576945654296875
25,CIFAR10,fedadagrad,0,0,100,0.01,2,259,0.7334,0.76434,0.7722,0.8068,0.837458447265625,0.7040353662109375,0.6803856201171875,0.5648334204101563
26,CIFAR10,fedadagrad,0,0,100,0.01,2,269,0.7439,0.77804,0.7727,0.81052,0.812681884765625,0.6715246215820313,0.6751410888671875,0.5561563208007813
27,CIFAR10,fedadagrad,0,0,100,0.01,2,279,0.7407,0.7813,0.7731,0.81236,0.79953935546875,0.6492866333007813,0.671322021484375,0.5504696801757812
28,CIFAR10,fedadagrad,0,0,100,0.01,2,289,0.7319,0.77182,0.7751,0.8167,0.8687950927734375,0.7111824487304688,0.6657627685546875,0.5402653430175781
29,CIFAR10,fedadagrad,0,0,100,0.01,2,299,0.7327,0.77704,0.775,0.81928,0.802223779296875,0.657370263671875,0.6612740234375,0.5328119921875
30,CIFAR10,fedadagrad,0,0,100,0.01,2,309,0.7411,0.78274,0.7772,0.82204,0.8148093994140625,0.6532934375,0.657627880859375,0.5254464538574218
31,CIFAR10,fedadagrad,0,0,100,0.01,2,319,0.7488,0.7889,0.781,0.82644,0.773301611328125,0.6241374072265625,0.65218408203125,0.5139737878417969
32,CIFAR10,fedadagrad,0,0,100,0.01,2,329,0.7499,0.79202,0.783,0.8272,0.7669940185546875,0.61687689453125,0.6502831787109375,0.5102311645507812
33,CIFAR10,fedadagrad,0,0,100,0.01,2,339,0.7412,0.782,0.7835,0.8287,0.8034444091796875,0.64407126953125,0.6469482666015625,0.505102802734375
34,CIFAR10,fedadagrad,0,0,100,0.01,2,349,0.7439,0.78494,0.7846,0.83002,0.805208544921875,0.651070234375,0.6437419189453125,0.500840419921875
35,CIFAR10,fedadagrad,0,0,100,0.01,2,359,0.7492,0.78846,0.7851,0.8321,0.788036181640625,0.6400365576171875,0.6414972900390625,0.49726285888671873
36,CIFAR10,fedadagrad,0,0,100,0.01,2,369,0.7475,0.78462,0.7886,0.83376,0.8018543212890625,0.6572451904296875,0.634960107421875,0.4886805615234375
37,CIFAR10,fedadagrad,0,0,100,0.01,2,379,0.7398,0.78498,0.7885,0.8354,0.84105439453125,0.6695412548828125,0.6303491943359375,0.4839444860839844
38,CIFAR10,fedadagrad,0,0,100,0.01,2,389,0.7479,0.79024,0.7895,0.83696,0.7610158447265625,0.618012822265625,0.62668681640625,0.4798908935546875
39,CIFAR10,fedadagrad,0,0,100,0.01,2,399,0.765,0.8095,0.79,0.838,0.74418046875,0.582829716796875,0.623199609375,0.4746021740722656
40,CIFAR10,fedadagrad,0,0,100,0.01,2,409,0.7682,0.81308,0.7926,0.8411,0.7078627685546875,0.5540703491210938,0.6186888671875,0.4686462414550781
41,CIFAR10,fedadagrad,0,0,100,0.01,2,419,0.7605,0.80188,0.7938,0.84206,0.7914077880859375,0.6178147302246094,0.6162266357421875,0.4654404016113281
42,CIFAR10,fedadagrad,0,0,100,0.01,2,429,0.7527,0.78986,0.7956,0.84236,0.7819896728515625,0.6316638159179687,0.6140683837890625,0.46246051513671876
43,CIFAR10,fedadagrad,0,0,100,0.01,2,439,0.7549,0.79288,0.7978,0.84492,0.7904766845703125,0.6351646520996094,0.6100111572265625,0.45781790405273437
44,CIFAR10,fedadagrad,0,0,100,0.01,2,449,0.7597,0.80358,0.799,0.84756,0.7760889404296875,0.5996683386230469,0.6076743408203125,0.45104600341796874
45,CIFAR10,fedadagrad,0,0,100,0.01,2,459,0.764,0.80766,0.7987,0.84818,0.726370361328125,0.5756737451171875,0.6059266357421875,0.44895984130859373
46,CIFAR10,fedadagrad,0,0,100,0.01,2,469,0.7676,0.811,0.799,0.85048,0.7189777587890624,0.5647756750488281,0.6035054931640625,0.444172470703125
47,CIFAR10,fedadagrad,0,0,100,0.01,2,479,0.7586,0.80162,0.7989,0.85102,0.7435580810546875,0.5921867602539063,0.601819189453125,0.4417679309082031
48,CIFAR10,fedadagrad,0,0,100,0.01,2,489,0.7644,0.80332,0.7983,0.85172,0.7399805908203125,0.5842702514648438,0.6002260498046875,0.4395877209472656
49,CIFAR10,fedadagrad,0,0,100,0.01,2,499,0.7554,0.80606,0.7972,0.85306,0.755395361328125,0.5814370910644531,0.597330029296875,0.4355912658691406
50,CIFAR10,fedadagrad,0,0,100,0.01,2,509,0.771,0.81754,0.7993,0.85406,0.70759287109375,0.5463937145996094,0.594720458984375,0.4310978527832031
51,CIFAR10,fedadagrad,0,0,100,0.01,2,519,0.7708,0.81674,0.8019,0.85484,0.7156388671875,0.5465006481933594,0.5931163330078125,0.4290695202636719
