,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedadagrad,0,0,100,0.01,1,9,0.4139,0.41194,0.2748,0.27214,1.604882421875,1.6191755029296875,2.26739208984375,2.2677573828125
1,CIFAR10,fedadagrad,0,0,100,0.01,1,19,0.4781,0.47522,0.3286,0.33064,1.4766712890625,1.474858896484375,2.22711240234375,2.227560751953125
2,CIFAR10,fedadagrad,0,0,100,0.01,1,29,0.5055,0.51384,0.3706,0.37298,1.3870546875,1.369247041015625,2.1779986328125,2.17870529296875
3,CIFAR10,fedadagrad,0,0,100,0.01,1,39,0.5684,0.57736,0.4554,0.45892,1.239852099609375,1.2158713134765624,2.07031357421875,2.0703176953125
4,CIFAR10,fedadagrad,0,0,100,0.01,1,49,0.6018,0.61026,0.538,0.54644,1.173951123046875,1.136694970703125,1.878813037109375,1.8763946240234375
5,CIFAR10,fedadagrad,0,0,100,0.01,1,59,0.6278,0.63908,0.5885,0.6,1.102221533203125,1.0581973754882812,1.67276435546875,1.66642771484375
6,CIFAR10,fedadagrad,0,0,100,0.01,1,69,0.646,0.6634,0.6276,0.64122,1.03905205078125,0.9779333740234375,1.5030533203125,1.49175525390625
7,CIFAR10,fedadagrad,0,0,100,0.01,1,79,0.6136,0.62802,0.6481,0.66348,1.189274658203125,1.1442436962890625,1.4014369140625,1.386386328125
8,CIFAR10,fedadagrad,0,0,100,0.01,1,89,0.6344,0.65662,0.6591,0.67692,1.062025146484375,1.00773248046875,1.31944619140625,1.3010224560546875
9,CIFAR10,fedadagrad,0,0,100,0.01,1,99,0.6652,0.6803,0.678,0.69044,1.006008203125,0.9412495678710937,1.220201025390625,1.196633984375
10,CIFAR10,fedadagrad,0,0,100,0.01,1,109,0.6704,0.6932,0.6887,0.70422,1.009296484375,0.9203593969726562,1.132627490234375,1.1030106591796875
11,CIFAR10,fedadagrad,0,0,100,0.01,1,119,0.6863,0.7112,0.6979,0.71406,0.9289084228515625,0.8518366015625,1.05033193359375,1.0131293359375
12,CIFAR10,fedadagrad,0,0,100,0.01,1,129,0.677,0.70316,0.7077,0.72644,0.960905517578125,0.87915548828125,0.972034375,0.9269004296875
13,CIFAR10,fedadagrad,0,0,100,0.01,1,139,0.6916,0.71626,0.7153,0.74068,0.921995458984375,0.8342284741210938,0.9088637451171875,0.85552359375
14,CIFAR10,fedadagrad,0,0,100,0.01,1,149,0.6903,0.71714,0.723,0.7504,0.9181320556640625,0.8229209326171875,0.876382666015625,0.818239169921875
15,CIFAR10,fedadagrad,0,0,100,0.01,1,159,0.6846,0.71124,0.7274,0.75474,0.9660084716796875,0.86538775390625,0.864400048828125,0.80407875
16,CIFAR10,fedadagrad,0,0,100,0.01,1,169,0.6979,0.72374,0.7321,0.7614,0.90948564453125,0.8067860595703125,0.836907275390625,0.7724905224609375
17,CIFAR10,fedadagrad,0,0,100,0.01,1,179,0.6916,0.72324,0.7381,0.76674,0.9253360107421875,0.8246810595703125,0.8052779052734375,0.7351184741210938
18,CIFAR10,fedadagrad,0,0,100,0.01,1,189,0.7254,0.74758,0.7398,0.7716,0.8399054931640625,0.7503299487304688,0.7958356201171874,0.7249324755859375
19,CIFAR10,fedadagrad,0,0,100,0.01,1,199,0.7089,0.7387,0.7436,0.77508,0.8904686279296875,0.7920905810546875,0.781865673828125,0.7097227026367188
