,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedadagrad,0,0.3,100,0.01,1,9,0.2678,0.26384,0.1913,0.18738,2.3867310546875,2.399609169921875,2.27057255859375,2.2708551171875
1,CIFAR10,fedadagrad,0,0.3,100,0.01,1,19,0.3956,0.404,0.3294,0.32412,1.716752685546875,1.71074732421875,2.22615810546875,2.226484619140625
2,CIFAR10,fedadagrad,0,0.3,100,0.01,1,29,0.4604,0.4634,0.3945,0.39296,1.548327587890625,1.545211767578125,2.17834453125,2.1784158984375
3,CIFAR10,fedadagrad,0,0.3,100,0.01,1,39,0.5189,0.52726,0.4598,0.461,1.397068994140625,1.3722097998046876,2.0776984375,2.07633748046875
4,CIFAR10,fedadagrad,0,0.3,100,0.01,1,49,0.5037,0.5149,0.5282,0.53322,1.46227197265625,1.4188877783203124,1.90170908203125,1.897922412109375
5,CIFAR10,fedadagrad,0,0.3,100,0.01,1,59,0.5138,0.5282,0.5706,0.58086,1.44104501953125,1.3796854443359374,1.740628076171875,1.73203943359375
6,CIFAR10,fedadagrad,0,0.3,100,0.01,1,69,0.5561,0.56888,0.5971,0.60778,1.3473466796875,1.2812478955078126,1.601716259765625,1.5878275146484375
7,CIFAR10,fedadagrad,0,0.3,100,0.01,1,79,0.5289,0.53966,0.6103,0.62688,1.619564453125,1.5523744580078125,1.51636962890625,1.49768912109375
8,CIFAR10,fedadagrad,0,0.3,100,0.01,1,89,0.5098,0.52198,0.6237,0.64176,1.81137919921875,1.7492732177734376,1.43975283203125,1.416174990234375
9,CIFAR10,fedadagrad,0,0.3,100,0.01,1,99,0.5788,0.59114,0.6392,0.6617,1.296494677734375,1.2395931298828125,1.350176171875,1.321776650390625
10,CIFAR10,fedadagrad,0,0.3,100,0.01,1,109,0.5716,0.58756,0.653,0.67562,1.30257578125,1.2323240869140626,1.259392822265625,1.226767919921875
11,CIFAR10,fedadagrad,0,0.3,100,0.01,1,119,0.6243,0.64228,0.6668,0.68858,1.18841953125,1.109132880859375,1.172270703125,1.13539814453125
12,CIFAR10,fedadagrad,0,0.3,100,0.01,1,129,0.5758,0.5859,0.6831,0.70036,1.294408349609375,1.2376590966796874,1.08405712890625,1.0430380029296875
13,CIFAR10,fedadagrad,0,0.3,100,0.01,1,139,0.5757,0.58998,0.697,0.7145,1.38459775390625,1.3195934814453125,1.0103738037109375,0.9654954956054688
14,CIFAR10,fedadagrad,0,0.3,100,0.01,1,149,0.6139,0.63102,0.707,0.72662,1.154601953125,1.099811240234375,0.9656507080078125,0.9178090283203125
15,CIFAR10,fedadagrad,0,0.3,100,0.01,1,159,0.6582,0.67734,0.7129,0.7311,1.035287548828125,0.960654013671875,0.9525494384765625,0.9047837329101562
16,CIFAR10,fedadagrad,0,0.3,100,0.01,1,169,0.6576,0.67626,0.7162,0.73664,1.019426123046875,0.9537489624023437,0.9197260009765625,0.8703296875
17,CIFAR10,fedadagrad,0,0.3,100,0.01,1,179,0.6599,0.67328,0.7244,0.74328,1.066970361328125,0.993171962890625,0.8792108154296875,0.8254823583984375
18,CIFAR10,fedadagrad,0,0.3,100,0.01,1,189,0.6677,0.68862,0.7285,0.74664,1.040446728515625,0.948340751953125,0.86994267578125,0.8150776586914062
19,CIFAR10,fedadagrad,0,0.3,100,0.01,1,199,0.6424,0.66654,0.734,0.75408,1.099214794921875,0.9926872265625,0.85305390625,0.795144267578125
20,CIFAR10,fedadagrad,0,0.3,100,0.01,1,209,0.6577,0.67528,0.7396,0.76232,1.098524560546875,1.0144728930664062,0.810827685546875,0.7430969580078125
21,CIFAR10,fedadagrad,0,0.3,100,0.01,1,219,0.673,0.6983,0.7448,0.76706,1.011326904296875,0.9006981665039062,0.775739990234375,0.6984560522460938
22,CIFAR10,fedadagrad,0,0.3,100,0.01,1,229,0.6139,0.63636,0.7467,0.77218,1.217798388671875,1.114311552734375,0.7603582763671874,0.6773462255859375
23,CIFAR10,fedadagrad,0,0.3,100,0.01,1,239,0.6623,0.68396,0.7511,0.77582,1.033926220703125,0.9460759106445312,0.7523772705078124,0.6671670703125
24,CIFAR10,fedadagrad,0,0.3,100,0.01,1,249,0.6593,0.67066,0.7545,0.77994,1.095284228515625,1.003453486328125,0.7434131591796875,0.6557782836914062
