,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedadagrad,0,0.3,100,0.01,2,9,0.3395,0.3432,0.1772,0.18134,2.019699462890625,2.0106089013671875,2.277982421875,2.278479619140625
1,CIFAR10,fedadagrad,0,0.3,100,0.01,2,19,0.4319,0.42592,0.2527,0.25656,1.677861669921875,1.6779667822265625,2.24192431640625,2.242387177734375
2,CIFAR10,fedadagrad,0,0.3,100,0.01,2,29,0.3971,0.40042,0.3327,0.33398,2.07176865234375,2.0436162890625,2.1738009765625,2.173959013671875
3,CIFAR10,fedadagrad,0,0.3,100,0.01,2,39,0.4572,0.45888,0.4077,0.41166,1.735611865234375,1.7008521826171874,2.09812353515625,2.097234453125
4,CIFAR10,fedadagrad,0,0.3,100,0.01,2,49,0.4423,0.4524,0.4484,0.4573,1.809491845703125,1.779420263671875,2.02517294921875,2.0224802294921873
5,CIFAR10,fedadagrad,0,0.3,100,0.01,2,59,0.3968,0.40534,0.5,0.5087,2.003851708984375,1.965895439453125,1.897821484375,1.891764248046875
6,CIFAR10,fedadagrad,0,0.3,100,0.01,2,69,0.5461,0.55308,0.543,0.55198,1.3785869140625,1.344380458984375,1.74110283203125,1.7322801171875
7,CIFAR10,fedadagrad,0,0.3,100,0.01,2,79,0.5257,0.53864,0.5732,0.58234,1.443332763671875,1.3864221826171874,1.57355791015625,1.56044033203125
8,CIFAR10,fedadagrad,0,0.3,100,0.01,2,89,0.5575,0.56976,0.5921,0.60074,1.341971826171875,1.2791489404296874,1.47428505859375,1.4573743359375
9,CIFAR10,fedadagrad,0,0.3,100,0.01,2,99,0.6045,0.61794,0.6051,0.61928,1.221513427734375,1.1636153759765624,1.403765673828125,1.38281435546875
10,CIFAR10,fedadagrad,0,0.3,100,0.01,2,109,0.5771,0.59606,0.617,0.63396,1.265253955078125,1.2080614697265626,1.33289560546875,1.3075568408203124
11,CIFAR10,fedadagrad,0,0.3,100,0.01,2,119,0.5795,0.59108,0.6325,0.6507,1.3011384765625,1.2603606103515625,1.231442138671875,1.19986541015625
12,CIFAR10,fedadagrad,0,0.3,100,0.01,2,129,0.5595,0.57598,0.6496,0.66746,1.387183251953125,1.3295901513671875,1.154912353515625,1.118501552734375
13,CIFAR10,fedadagrad,0,0.3,100,0.01,2,139,0.5166,0.53882,0.6592,0.67822,1.57709033203125,1.48030384765625,1.102125048828125,1.0613172314453125
14,CIFAR10,fedadagrad,0,0.3,100,0.01,2,149,0.5552,0.56914,0.67,0.68838,1.501354833984375,1.42824642578125,1.064860693359375,1.02043546875
15,CIFAR10,fedadagrad,0,0.3,100,0.01,2,159,0.5874,0.61068,0.6765,0.69674,1.235849755859375,1.1664415771484375,1.02304033203125,0.975393271484375
16,CIFAR10,fedadagrad,0,0.3,100,0.01,2,169,0.6531,0.67436,0.6912,0.70986,1.070203857421875,0.985654033203125,0.9408763916015624,0.8853565258789062
17,CIFAR10,fedadagrad,0,0.3,100,0.01,2,179,0.6433,0.66584,0.6976,0.7179,1.070407763671875,1.0017142651367188,0.9264240966796875,0.8699329125976563
18,CIFAR10,fedadagrad,0,0.3,100,0.01,2,189,0.6634,0.68632,0.7088,0.72852,0.9943383056640624,0.916122939453125,0.8899701171875,0.83021572265625
19,CIFAR10,fedadagrad,0,0.3,100,0.01,2,199,0.6005,0.61802,0.7154,0.73716,1.2520060546875,1.181250498046875,0.8585280517578125,0.79481482421875
20,CIFAR10,fedadagrad,0,0.3,100,0.01,2,209,0.677,0.6973,0.7195,0.74244,0.9955038818359375,0.9115822216796875,0.8421691162109375,0.7769658569335938
21,CIFAR10,fedadagrad,0,0.3,100,0.01,2,219,0.6559,0.68132,0.7249,0.74794,1.034154638671875,0.941585341796875,0.8282123291015625,0.761237080078125
22,CIFAR10,fedadagrad,0,0.3,100,0.01,2,229,0.6695,0.68522,0.7323,0.75618,0.997485205078125,0.930508759765625,0.8106377197265625,0.7415464013671875
23,CIFAR10,fedadagrad,0,0.3,100,0.01,2,239,0.6283,0.65538,0.7331,0.75846,1.215092041015625,1.0973788427734374,0.8071007080078125,0.7372946264648438
24,CIFAR10,fedadagrad,0,0.3,100,0.01,2,249,0.5825,0.60248,0.7382,0.76486,1.4543984375,1.3689803125,0.780841357421875,0.7056566796875
25,CIFAR10,fedadagrad,0,0.3,100,0.01,2,259,0.6457,0.6658,0.7418,0.768,1.13342392578125,1.0407045776367188,0.7690467041015625,0.6905855322265625
26,CIFAR10,fedadagrad,0,0.3,100,0.01,2,269,0.6856,0.70848,0.7441,0.77096,0.9631952392578125,0.8730208520507813,0.76136953125,0.6826443774414063
27,CIFAR10,fedadagrad,0,0.3,100,0.01,2,279,0.6707,0.68886,0.7461,0.77298,1.019987646484375,0.9307456591796875,0.756869873046875,0.6781069775390625
28,CIFAR10,fedadagrad,0,0.3,100,0.01,2,289,0.6731,0.68828,0.749,0.77584,1.087873046875,0.9991239086914062,0.746130859375,0.6662385717773438
29,CIFAR10,fedadagrad,0,0.3,100,0.01,2,299,0.6776,0.69272,0.7513,0.77882,1.020096240234375,0.9353254956054687,0.736315576171875,0.6562433569335937
30,CIFAR10,fedadagrad,0,0.3,100,0.01,2,309,0.6613,0.6847,0.7531,0.78164,1.024859423828125,0.9345258618164063,0.7290213134765625,0.6481090502929687
31,CIFAR10,fedadagrad,0,0.3,100,0.01,2,319,0.7124,0.73118,0.7569,0.78394,0.8964306640625,0.807637939453125,0.71921796875,0.6374334008789062
