,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedadagrad,0,0.3,100,0.01,1,9,0.2069,0.20094,0.1517,0.15546,2.733656640625,2.76005041015625,2.279891796875,2.28006783203125
1,CIFAR10,fedadagrad,0,0.3,100,0.01,1,19,0.3928,0.39794,0.295,0.29268,1.759432275390625,1.7601992529296875,2.23027177734375,2.23093626953125
2,CIFAR10,fedadagrad,0,0.3,100,0.01,1,29,0.4196,0.41614,0.3776,0.36852,1.7198828125,1.7338566943359375,2.1889728515625,2.18978189453125
3,CIFAR10,fedadagrad,0,0.3,100,0.01,1,39,0.4834,0.49004,0.4466,0.44182,1.475817822265625,1.4594524169921874,2.0941759765625,2.09457521484375
4,CIFAR10,fedadagrad,0,0.3,100,0.01,1,49,0.5133,0.52056,0.5096,0.51428,1.38232841796875,1.3514331298828124,1.917195849609375,1.9154903564453125
5,CIFAR10,fedadagrad,0,0.3,100,0.01,1,59,0.4764,0.48958,0.5507,0.55586,1.6403435546875,1.5798606298828124,1.74309599609375,1.73779177734375
6,CIFAR10,fedadagrad,0,0.3,100,0.01,1,69,0.5357,0.54656,0.5774,0.58728,1.426914111328125,1.364977470703125,1.606233935546875,1.597641826171875
7,CIFAR10,fedadagrad,0,0.3,100,0.01,1,79,0.4596,0.46894,0.5916,0.60268,1.871769091796875,1.806695107421875,1.52366142578125,1.5115851318359375
8,CIFAR10,fedadagrad,0,0.3,100,0.01,1,89,0.4603,0.4692,0.6015,0.61314,1.9619251953125,1.9080102880859375,1.45590341796875,1.44143724609375
9,CIFAR10,fedadagrad,0,0.3,100,0.01,1,99,0.5082,0.524,0.6139,0.62988,1.430886865234375,1.37978806640625,1.376293115234375,1.358838935546875
10,CIFAR10,fedadagrad,0,0.3,100,0.01,1,109,0.5696,0.56934,0.6264,0.64714,1.3841767578125,1.34173529296875,1.297042919921875,1.2756488134765624
11,CIFAR10,fedadagrad,0,0.3,100,0.01,1,119,0.5983,0.60822,0.6395,0.66016,1.2340484375,1.175391142578125,1.220430224609375,1.19477138671875
12,CIFAR10,fedadagrad,0,0.3,100,0.01,1,129,0.5716,0.5872,0.6512,0.6722,1.32847294921875,1.2567803564453126,1.139355126953125,1.1076883740234376
13,CIFAR10,fedadagrad,0,0.3,100,0.01,1,139,0.5662,0.5792,0.6663,0.68648,1.38742392578125,1.32797259765625,1.06877666015625,1.0305137060546874
14,CIFAR10,fedadagrad,0,0.3,100,0.01,1,149,0.5265,0.54232,0.6762,0.69652,1.4995357421875,1.438659580078125,1.0248103515625,0.9833349560546875
15,CIFAR10,fedadagrad,0,0.3,100,0.01,1,159,0.6156,0.63344,0.6825,0.70266,1.188659912109375,1.1123435986328125,1.0081627197265626,0.9657525708007813
16,CIFAR10,fedadagrad,0,0.3,100,0.01,1,169,0.6425,0.66508,0.6896,0.71094,1.05717607421875,0.97703892578125,0.97307802734375,0.9269401513671875
17,CIFAR10,fedadagrad,0,0.3,100,0.01,1,179,0.6443,0.66256,0.6946,0.7207,1.13184287109375,1.0563941088867188,0.933279443359375,0.8819103295898437
18,CIFAR10,fedadagrad,0,0.3,100,0.01,1,189,0.6215,0.64288,0.6978,0.72386,1.159920458984375,1.088143662109375,0.92612392578125,0.8743390795898438
19,CIFAR10,fedadagrad,0,0.3,100,0.01,1,199,0.6316,0.658,0.7064,0.72974,1.129501611328125,1.0419391015625,0.9063393310546874,0.8522477563476563
20,CIFAR10,fedadagrad,0,0.3,100,0.01,1,209,0.6258,0.64222,0.7167,0.73928,1.2451255859375,1.16697703125,0.8609029541015625,0.800081669921875
21,CIFAR10,fedadagrad,0,0.3,100,0.01,1,219,0.6682,0.68918,0.7213,0.74454,0.9967043701171875,0.9081465014648438,0.8284881103515624,0.7597574047851563
22,CIFAR10,fedadagrad,0,0.3,100,0.01,1,229,0.5978,0.62492,0.7244,0.74916,1.266643408203125,1.1673394677734374,0.8111493408203125,0.7382558325195312
23,CIFAR10,fedadagrad,0,0.3,100,0.01,1,239,0.6494,0.66876,0.726,0.75306,1.081041357421875,0.9892951025390625,0.7999129150390625,0.7254025537109375
24,CIFAR10,fedadagrad,0,0.3,100,0.01,1,249,0.6622,0.67934,0.7308,0.75838,1.046006591796875,0.9581989794921875,0.78729580078125,0.7104404663085937
25,CIFAR10,fedadagrad,0,0.3,100,0.01,1,259,0.631,0.6568,0.7345,0.76204,1.094047998046875,1.0063475756835938,0.7756259521484375,0.6934711791992187
26,CIFAR10,fedadagrad,0,0.3,100,0.01,1,269,0.6516,0.67308,0.7378,0.76336,1.094704248046875,1.0085695678710938,0.7690069091796875,0.68595162109375
27,CIFAR10,fedadagrad,0,0.3,100,0.01,1,279,0.6486,0.66362,0.7381,0.7652,1.17634873046875,1.0940494946289063,0.763795703125,0.67972591796875
28,CIFAR10,fedadagrad,0,0.3,100,0.01,1,289,0.6536,0.67426,0.741,0.7673,1.0169275390625,0.9287821752929688,0.757368701171875,0.6715113427734375
