,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedadagrad,0,0.3,100,0.01,1,9,0.161,0.15982,0.1479,0.14578,3.2813033203125,3.317572529296875,2.284534765625,2.284526806640625
1,CIFAR10,fedadagrad,0,0.3,100,0.01,1,19,0.3372,0.33238,0.1824,0.17878,1.8353662109375,1.842045595703125,2.24864150390625,2.248513291015625
2,CIFAR10,fedadagrad,0,0.3,100,0.01,1,29,0.3901,0.39208,0.248,0.24326,1.7333259765625,1.7456546630859375,2.21628154296875,2.216492998046875
3,CIFAR10,fedadagrad,0,0.3,100,0.01,1,39,0.4379,0.4471,0.3613,0.35544,1.5601732421875,1.5460351806640624,2.1410048828125,2.14191078125
4,CIFAR10,fedadagrad,0,0.3,100,0.01,1,49,0.4864,0.49826,0.4463,0.44752,1.44255341796875,1.4221901318359376,1.99882744140625,1.9995259716796876
5,CIFAR10,fedadagrad,0,0.3,100,0.01,1,59,0.4706,0.47588,0.4867,0.48604,1.59906337890625,1.5784034033203125,1.86186328125,1.861276953125
6,CIFAR10,fedadagrad,0,0.3,100,0.01,1,69,0.4563,0.45866,0.5132,0.5158,1.62664130859375,1.5921616748046874,1.743001025390625,1.7401744287109375
7,CIFAR10,fedadagrad,0,0.3,100,0.01,1,79,0.4061,0.40896,0.5321,0.53654,1.91951328125,1.8776506201171874,1.664396875,1.659397333984375
8,CIFAR10,fedadagrad,0,0.3,100,0.01,1,89,0.4322,0.43776,0.5387,0.54556,1.830826708984375,1.808784443359375,1.598993310546875,1.5914478466796875
9,CIFAR10,fedadagrad,0,0.3,100,0.01,1,99,0.4475,0.4598,0.5609,0.56878,1.682414013671875,1.628282568359375,1.5116134765625,1.5013007958984375
10,CIFAR10,fedadagrad,0,0.3,100,0.01,1,109,0.4901,0.49564,0.5766,0.58792,1.561281494140625,1.52013369140625,1.431005517578125,1.4170367138671875
11,CIFAR10,fedadagrad,0,0.3,100,0.01,1,119,0.5329,0.53526,0.5916,0.60552,1.413664111328125,1.37828728515625,1.345975439453125,1.3289255029296876
12,CIFAR10,fedadagrad,0,0.3,100,0.01,1,129,0.5494,0.55456,0.6069,0.6191,1.37915849609375,1.34497365234375,1.261959375,1.2425062548828125
13,CIFAR10,fedadagrad,0,0.3,100,0.01,1,139,0.5354,0.5414,0.6262,0.63566,1.39778525390625,1.3697735400390625,1.184440966796875,1.163038193359375
14,CIFAR10,fedadagrad,0,0.3,100,0.01,1,149,0.5073,0.51514,0.6384,0.65002,1.619318017578125,1.5722508984375,1.14065283203125,1.11683654296875
15,CIFAR10,fedadagrad,0,0.3,100,0.01,1,159,0.5833,0.582,0.6446,0.65626,1.2739884765625,1.2427120849609374,1.121989404296875,1.097578662109375
16,CIFAR10,fedadagrad,0,0.3,100,0.01,1,169,0.5805,0.59524,0.6519,0.6635,1.259111572265625,1.203086103515625,1.085716845703125,1.0596668408203125
17,CIFAR10,fedadagrad,0,0.3,100,0.01,1,179,0.5969,0.60778,0.6608,0.67066,1.302307373046875,1.2656956591796875,1.042132958984375,1.0138811865234374
18,CIFAR10,fedadagrad,0,0.3,100,0.01,1,189,0.6026,0.61704,0.6685,0.6755,1.2091310546875,1.1536873779296875,1.031265283203125,1.00316931640625
19,CIFAR10,fedadagrad,0,0.3,100,0.01,1,199,0.6029,0.62152,0.6726,0.68326,1.1910146484375,1.133480576171875,1.011325390625,0.9801367041015625
20,CIFAR10,fedadagrad,0,0.3,100,0.01,1,209,0.6073,0.61976,0.6813,0.69376,1.22480634765625,1.17557271484375,0.964578564453125,0.9273748413085937
21,CIFAR10,fedadagrad,0,0.3,100,0.01,1,219,0.629,0.64098,0.6835,0.70022,1.110951904296875,1.048073427734375,0.931332666015625,0.88903203125
22,CIFAR10,fedadagrad,0,0.3,100,0.01,1,229,0.6031,0.6206,0.6885,0.70514,1.19352451171875,1.120016552734375,0.911396826171875,0.8652855883789062
23,CIFAR10,fedadagrad,0,0.3,100,0.01,1,239,0.5968,0.61686,0.6914,0.70868,1.185918603515625,1.115903408203125,0.898709375,0.8511915844726563
24,CIFAR10,fedadagrad,0,0.3,100,0.01,1,249,0.6355,0.6442,0.6974,0.71266,1.1159134765625,1.0597196875,0.8874323974609375,0.838395615234375
25,CIFAR10,fedadagrad,0,0.3,100,0.01,1,259,0.6145,0.62988,0.6996,0.71634,1.162111572265625,1.1097999658203126,0.873303173828125,0.8220707568359376
26,CIFAR10,fedadagrad,0,0.3,100,0.01,1,269,0.6224,0.63152,0.7015,0.71814,1.134324169921875,1.0897814794921874,0.866905615234375,0.8153957861328125
27,CIFAR10,fedadagrad,0,0.3,100,0.01,1,279,0.6424,0.65242,0.7091,0.72104,1.142844482421875,1.0867313427734375,0.860420068359375,0.8085771337890625
28,CIFAR10,fedadagrad,0,0.3,100,0.01,1,289,0.6455,0.6523,0.71,0.72374,1.089317822265625,1.0365810693359374,0.852827099609375,0.7992610620117188
29,CIFAR10,fedadagrad,0,0.3,100,0.01,1,299,0.5915,0.5972,0.7132,0.72492,1.512257275390625,1.4518404931640625,0.8471729248046875,0.7924191162109375
30,CIFAR10,fedadagrad,0,0.3,100,0.01,1,309,0.6018,0.61366,0.7138,0.72588,1.206706640625,1.1567936328125,0.8433935302734376,0.78796220703125
31,CIFAR10,fedadagrad,0,0.3,100,0.01,1,319,0.6231,0.6421,0.7174,0.7296,1.148195263671875,1.085111533203125,0.834641064453125,0.7800542846679688
32,CIFAR10,fedadagrad,0,0.3,100,0.01,1,329,0.6381,0.65318,0.7175,0.73334,1.082053857421875,1.02148142578125,0.8264081787109375,0.771064736328125
33,CIFAR10,fedadagrad,0,0.3,100,0.01,1,339,0.6603,0.67034,0.7207,0.73526,1.018562109375,0.9715957470703125,0.8201124267578125,0.7638679541015625
34,CIFAR10,fedadagrad,0,0.3,100,0.01,1,349,0.6277,0.6517,0.7232,0.74058,1.106091162109375,1.0320254052734374,0.81035771484375,0.750467880859375
35,CIFAR10,fedadagrad,0,0.3,100,0.01,1,359,0.6742,0.69428,0.7252,0.7416,0.966923583984375,0.9009628295898438,0.8075092041015625,0.746349013671875
36,CIFAR10,fedadagrad,0,0.3,100,0.01,1,369,0.6675,0.6828,0.726,0.7437,0.998482763671875,0.92863724609375,0.8023296630859375,0.7392654931640625
37,CIFAR10,fedadagrad,0,0.3,100,0.01,1,379,0.6432,0.65596,0.7305,0.74496,1.10962880859375,1.0656815185546875,0.799052294921875,0.73536947265625
38,CIFAR10,fedadagrad,0,0.3,100,0.01,1,389,0.6491,0.6693,0.732,0.74512,1.03681015625,0.95961625,0.793029150390625,0.7291282885742187
39,CIFAR10,fedadagrad,0,0.3,100,0.01,1,399,0.6415,0.66076,0.7308,0.7471,1.121821875,1.0539721044921875,0.7900447265625,0.725731982421875
40,CIFAR10,fedadagrad,0,0.3,100,0.01,1,409,0.6258,0.65132,0.7348,0.74948,1.10519521484375,1.0307428173828126,0.7842863525390625,0.7195356469726563
41,CIFAR10,fedadagrad,0,0.3,100,0.01,1,419,0.6597,0.67688,0.7355,0.75034,1.0522162109375,0.982214501953125,0.7808318115234375,0.7154197045898437
42,CIFAR10,fedadagrad,0,0.3,100,0.01,1,429,0.6378,0.65756,0.7368,0.75164,1.12209736328125,1.039371015625,0.779364306640625,0.7124238842773437
43,CIFAR10,fedadagrad,0,0.3,100,0.01,1,439,0.6655,0.67776,0.7367,0.75354,1.018534716796875,0.9531704248046875,0.7776646728515625,0.7090856494140625
44,CIFAR10,fedadagrad,0,0.3,100,0.01,1,449,0.662,0.67846,0.7378,0.75516,1.03826181640625,0.9657693115234375,0.773508935546875,0.7035393188476563
45,CIFAR10,fedadagrad,0,0.3,100,0.01,1,459,0.6689,0.69164,0.738,0.7568,1.013633837890625,0.9243607446289063,0.77036025390625,0.6983836865234375
