,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,fedavgm,0,0,100,0.01,1,9,0.4005,0.40068,0.1877,0.19162,1.8835787109375,1.8945886474609375,2.27061171875,2.271076533203125
1,CIFAR10,fedavgm,0,0,100,0.01,1,19,0.4419,0.4458,0.1994,0.19664,1.8002923828125,1.758171328125,2.23394716796875,2.2341340234375
2,CIFAR10,fedavgm,0,0,100,0.01,1,29,0.4182,0.42678,0.193,0.1925,1.92047470703125,1.866573193359375,2.21734228515625,2.21678447265625
3,CIFAR10,fedavgm,0,0,100,0.01,1,39,0.4351,0.44822,0.2147,0.21802,1.696818896484375,1.6628138232421874,2.20455390625,2.203299208984375
4,CIFAR10,fedavgm,0,0,100,0.01,1,49,0.4531,0.45754,0.3153,0.31662,1.702424609375,1.682961845703125,2.16781875,2.165835673828125
5,CIFAR10,fedavgm,0,0,100,0.01,1,59,0.4752,0.4813,0.3276,0.32522,1.6623037109375,1.633923740234375,2.14606142578125,2.1435826171875
6,CIFAR10,fedavgm,0,0,100,0.01,1,69,0.4553,0.46652,0.3204,0.31902,1.70163720703125,1.6744137353515625,2.1357806640625,2.132408837890625
7,CIFAR10,fedavgm,0,0,100,0.01,1,79,0.4202,0.41928,0.2817,0.28172,2.099841796875,2.0897960546875,2.16514912109375,2.16178046875
8,CIFAR10,fedavgm,0,0,100,0.01,1,89,0.3603,0.36802,0.1703,0.16924,2.2142376953125,2.183790302734375,2.24082666015625,2.239389013671875
9,CIFAR10,fedavgm,0,0,100,0.01,1,99,0.4037,0.40734,0.118,0.119,1.695296240234375,1.6819958251953124,2.28395478515625,2.283209306640625
10,CIFAR10,fedavgm,0,0,100,0.01,1,109,0.4256,0.42858,0.1425,0.1435,1.800258349609375,1.7884830517578125,2.28805146484375,2.28723107421875
11,CIFAR10,fedavgm,0,0,100,0.01,1,119,0.4245,0.432,0.1737,0.17458,1.722041015625,1.689641533203125,2.2869001953125,2.2859481640625
12,CIFAR10,fedavgm,0,0,100,0.01,1,129,0.4015,0.40852,0.1691,0.16722,1.85970869140625,1.8405984521484375,2.2809349609375,2.27978046875
13,CIFAR10,fedavgm,0,0,100,0.01,1,139,0.4344,0.44028,0.1244,0.12674,1.91424287109375,1.87770005859375,2.29238818359375,2.291192333984375
14,CIFAR10,fedavgm,0,0,100,0.01,1,149,0.4539,0.46404,0.1024,0.1016,1.66211142578125,1.6340992626953126,2.303915234375,2.303370966796875
15,CIFAR10,fedavgm,0,0,100,0.01,1,159,0.3757,0.38156,0.1,0.10014,2.49954462890625,2.459016044921875,2.30900224609375,2.30865052734375
16,CIFAR10,fedavgm,0,0,100,0.01,1,169,0.384,0.3817,0.117,0.11682,2.303397265625,2.3253530859375,2.30955849609375,2.309341376953125
17,CIFAR10,fedavgm,0,0,100,0.01,1,179,0.4277,0.42014,0.1262,0.1267,1.833041748046875,1.822795673828125,2.31595185546875,2.316194326171875
18,CIFAR10,fedavgm,0,0,100,0.01,1,189,0.4363,0.44252,0.0941,0.09646,1.78683564453125,1.7557891455078125,2.32873662109375,2.329172626953125
