,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,scaffold,0,0,100,0.01,1,9,0.449,0.44636,0.1576,0.1538,1.531680419921875,1.5326500244140624,2.27747177734375,2.277553017578125
1,CIFAR10,scaffold,0,0,100,0.01,1,19,0.5467,0.5516,0.3421,0.33752,1.282555224609375,1.26321681640625,2.20440263671875,2.20488935546875
2,CIFAR10,scaffold,0,0,100,0.01,1,29,0.5895,0.60634,0.4051,0.40618,1.1781896484375,1.1359965771484375,2.13503662109375,2.13537396484375
3,CIFAR10,scaffold,0,0,100,0.01,1,39,0.5945,0.60504,0.4736,0.47428,1.174849072265625,1.1249958447265624,2.00321103515625,2.002087333984375
4,CIFAR10,scaffold,0,0,100,0.01,1,49,0.661,0.67584,0.5435,0.54886,0.991232861328125,0.929526103515625,1.799846826171875,1.7939761083984376
5,CIFAR10,scaffold,0,0,100,0.01,1,59,0.6774,0.70776,0.5942,0.60408,0.9356246826171875,0.8509289819335938,1.589586328125,1.5750678955078126
6,CIFAR10,scaffold,0,0,100,0.01,1,69,0.6296,0.64944,0.6241,0.64258,1.151847802734375,1.066929755859375,1.4369875,1.4142456787109374
7,CIFAR10,scaffold,0,0,100,0.01,1,79,0.6627,0.6972,0.6422,0.66556,0.9684388427734375,0.8822457836914063,1.344679296875,1.31597458984375
8,CIFAR10,scaffold,0,0,100,0.01,1,89,0.6443,0.66948,0.6578,0.68284,1.1100017578125,1.0035222265625,1.264780322265625,1.2302371484375
9,CIFAR10,scaffold,0,0,100,0.01,1,99,0.6992,0.7278,0.6688,0.70098,0.9055344482421875,0.7960366162109375,1.177513916015625,1.134348212890625
10,CIFAR10,scaffold,0,0,100,0.01,1,109,0.6863,0.71424,0.6834,0.7173,0.9260721923828125,0.8263601684570312,1.088039453125,1.036960068359375
11,CIFAR10,scaffold,0,0,100,0.01,1,119,0.7089,0.74798,0.7008,0.73606,0.84926787109375,0.7293389331054687,1.014739453125,0.95634234375
12,CIFAR10,scaffold,0,0,100,0.01,1,129,0.7028,0.73502,0.7174,0.75024,0.877105615234375,0.7693367236328125,0.937770068359375,0.87197482421875
13,CIFAR10,scaffold,0,0,100,0.01,1,139,0.7075,0.74902,0.7307,0.76492,0.849452685546875,0.7219686767578125,0.8733727294921875,0.7997218359375
14,CIFAR10,scaffold,0,0,100,0.01,1,149,0.7269,0.75596,0.7394,0.77466,0.8219873046875,0.7100173315429688,0.847911767578125,0.7681188598632812
15,CIFAR10,scaffold,0,0,100,0.01,1,159,0.6562,0.68736,0.7419,0.77662,1.056592919921875,0.940649775390625,0.842183251953125,0.7602940063476562
16,CIFAR10,scaffold,0,0,100,0.01,1,169,0.6852,0.7154,0.7449,0.78176,0.9766995361328125,0.8472833911132812,0.823262451171875,0.7362046142578125
17,CIFAR10,scaffold,0,0,100,0.01,1,179,0.6802,0.71272,0.7526,0.78726,0.99708720703125,0.8686209375,0.7951636474609375,0.7024883349609375
18,CIFAR10,scaffold,0,0,100,0.01,1,189,0.7485,0.78502,0.753,0.78894,0.7553896240234375,0.6251416870117188,0.7947566162109375,0.7028706103515625
19,CIFAR10,scaffold,0,0,100,0.01,1,199,0.7567,0.78866,0.7571,0.79604,0.7307072265625,0.6117862744140625,0.7762364990234375,0.6828087963867188
20,CIFAR10,scaffold,0,0,100,0.01,1,209,0.7353,0.7806,0.7655,0.80716,0.7675183349609375,0.6362043920898437,0.72777177734375,0.6270805444335937
21,CIFAR10,scaffold,0,0,100,0.01,1,219,0.7584,0.80132,0.7704,0.81414,0.716709130859375,0.5740069189453125,0.696167626953125,0.5838554174804688
22,CIFAR10,scaffold,0,0,100,0.01,1,229,0.6956,0.73248,0.7739,0.81866,0.931127587890625,0.8008849584960938,0.6817627197265625,0.564373994140625
23,CIFAR10,scaffold,0,0,100,0.01,1,239,0.7221,0.75908,0.775,0.82232,0.8629401123046875,0.7140709033203125,0.6725892333984375,0.552643193359375
24,CIFAR10,scaffold,0,0,100,0.01,1,249,0.7165,0.75196,0.7796,0.826,0.8907477294921875,0.7384309716796875,0.6640613037109375,0.5438949609375
25,CIFAR10,scaffold,0,0,100,0.01,1,259,0.7385,0.77818,0.7835,0.82778,0.782402392578125,0.6510227758789062,0.65260029296875,0.5275669006347656
26,CIFAR10,scaffold,0,0,100,0.01,1,269,0.74,0.78352,0.7848,0.82872,0.7712400146484375,0.6331806103515625,0.650777392578125,0.5243799694824218
27,CIFAR10,scaffold,0,0,100,0.01,1,279,0.7503,0.79002,0.7866,0.82952,0.765278564453125,0.619405595703125,0.64752412109375,0.52096091796875
28,CIFAR10,scaffold,0,0,100,0.01,1,289,0.7508,0.78994,0.7876,0.83232,0.7536993896484375,0.6087296728515625,0.641798046875,0.5114091284179687
29,CIFAR10,scaffold,0,0,100,0.01,1,299,0.7091,0.75322,0.7886,0.83392,0.891425341796875,0.7366033837890625,0.6412763916015625,0.50855171875
30,CIFAR10,scaffold,0,0,100,0.01,1,309,0.7166,0.74776,0.7872,0.83612,0.8730993896484375,0.7441721313476563,0.6416541259765625,0.5070677954101562
31,CIFAR10,scaffold,0,0,100,0.01,1,319,0.7646,0.8043,0.7877,0.83628,0.7132208984375,0.5723350439453125,0.64338984375,0.5089468444824219
32,CIFAR10,scaffold,0,0,100,0.01,1,329,0.7299,0.77192,0.79,0.83774,0.822982958984375,0.6714284375,0.640046435546875,0.5034150439453124
33,CIFAR10,scaffold,0,0,100,0.01,1,339,0.7236,0.76192,0.793,0.84,0.8446168701171874,0.7085278540039063,0.6350334228515625,0.49708427978515624
34,CIFAR10,scaffold,0,0,100,0.01,1,349,0.7525,0.79686,0.7949,0.84132,0.753482421875,0.594009140625,0.6261186767578125,0.4843040283203125
35,CIFAR10,scaffold,0,0,100,0.01,1,359,0.6999,0.73656,0.7954,0.8425,0.98701005859375,0.8257708374023438,0.624603564453125,0.4839157531738281
36,CIFAR10,scaffold,0,0,100,0.01,1,369,0.7618,0.79786,0.7958,0.8434,0.7337883544921875,0.5919423461914063,0.622540478515625,0.48147456909179687
37,CIFAR10,scaffold,0,0,100,0.01,1,379,0.7528,0.79654,0.7943,0.84384,0.74734013671875,0.5965470629882812,0.6212150634765625,0.4798279040527344
38,CIFAR10,scaffold,0,0,100,0.01,1,389,0.7661,0.81976,0.7968,0.84538,0.6705779296875,0.5297907067871094,0.617374755859375,0.4775146337890625
39,CIFAR10,scaffold,0,0,100,0.01,1,399,0.75,0.78604,0.7964,0.84756,0.76297275390625,0.6242284790039062,0.61351533203125,0.47377328369140626
40,CIFAR10,scaffold,0,0,100,0.01,1,409,0.7634,0.80834,0.7957,0.84806,0.7207737548828125,0.5599666638183594,0.611884765625,0.46962576171875
41,CIFAR10,scaffold,0,0,100,0.01,1,419,0.675,0.70652,0.7956,0.84754,1.01391015625,0.872337568359375,0.613660546875,0.46954290405273436
42,CIFAR10,scaffold,0,0,100,0.01,1,429,0.7003,0.7383,0.7966,0.84736,0.8865427734375,0.759564404296875,0.6143336669921875,0.46828342407226564
43,CIFAR10,scaffold,0,0,100,0.01,1,439,0.7297,0.76718,0.7962,0.84714,0.847863525390625,0.6893286938476563,0.6150690185546875,0.46842605224609374
44,CIFAR10,scaffold,0,0,100,0.01,1,449,0.714,0.75398,0.7956,0.84838,0.8903781494140625,0.7307542309570313,0.6132636474609375,0.4653978491210938
45,CIFAR10,scaffold,0,0,100,0.01,1,459,0.7394,0.78102,0.7967,0.84926,0.779260595703125,0.6373595654296875,0.6089971923828125,0.461695185546875
46,CIFAR10,scaffold,0,0,100,0.01,1,469,0.7413,0.78052,0.7991,0.84834,0.8340395263671875,0.658021943359375,0.60673720703125,0.4608876599121094
47,CIFAR10,scaffold,0,0,100,0.01,1,479,0.7591,0.79882,0.7988,0.84754,0.7384333251953125,0.5859250268554688,0.6073982666015625,0.4612166540527344
48,CIFAR10,scaffold,0,0,100,0.01,1,489,0.7664,0.80864,0.7972,0.84492,0.6970162841796875,0.5491309252929687,0.6132041015625,0.4681219604492188
49,CIFAR10,scaffold,0,0,100,0.01,1,499,0.7596,0.80432,0.7968,0.84404,0.7399798095703125,0.5741471044921875,0.6160171142578125,0.4676819775390625
50,CIFAR10,scaffold,0,0,100,0.01,1,509,0.7769,0.8215,0.797,0.8445,0.667637255859375,0.5259427380371093,0.6146956787109376,0.4690370263671875
51,CIFAR10,scaffold,0,0,100,0.01,1,519,0.7514,0.79676,0.7976,0.84708,0.7627398193359375,0.602739501953125,0.6081838134765625,0.4630903674316406
